"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","AcylGlcADG","[M+NH4]+","[M-SN3-C6H10O7+H]+","[C6H6O67+SN3+H]+","[SN2+C3H4O2+H]+","[SN1+C3H4O2+H]+","[SN3-H]+","RT_min","RT_max","Comment","RT at Max Intensity","AcylGlcADG","[M+NH4]+","[M-SN3-C6H10O7+H]+","[C6H6O67+SN3+H]+","[SN2+C3H4O2+H]+","[SN1+C3H4O2+H]+","[SN3-H]+","RT_min","RT_max","Comment","Number of Scans","AcylGlcADG","[M+NH4]+","[M-SN3-C6H10O7+H]+","[C6H6O67+SN3+H]+","[SN2+C3H4O2+H]+","[SN1+C3H4O2+H]+","[SN3-H]+","RT_min","RT_max","Comment","Max Intensity","AcylGlcADG","[M+NH4]+","[M-SN3-C6H10O7+H]+","[C6H6O67+SN3+H]+","[SN2+C3H4O2+H]+","[SN1+C3H4O2+H]+","[SN3-H]+","RT_min","RT_max","Comment","Average m/z","AcylGlcADG","[M+NH4]+","[M-SN3-C6H10O7+H]+","[C6H6O67+SN3+H]+","[SN2+C3H4O2+H]+","[SN1+C3H4O2+H]+","[SN3-H]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","AcylGlcADG","[M+NH4]+","[M-SN3-C6H10O7+H]+","[C6H6O67+SN3+H]+","[SN2+C3H4O2+H]+","[SN1+C3H4O2+H]+","[SN3-H]+","RT_min","RT_max","Comment"
"","AcylGlcADG(12:0_16:0_16:0)+NH4",0,0,0,0,0,0,"11.23642","11.53642","18528","","AcylGlcADG(12:0_16:0_16:0)+NH4",0,0,0,0,0,0,"11.23642","11.53642","18528","","AcylGlcADG(12:0_16:0_16:0)+NH4",0,0,0,0,0,0,"11.23642","11.53642","18528","","AcylGlcADG(12:0_16:0_16:0)+NH4",0,0,0,0,0,0,"11.23642","11.53642","18528","","AcylGlcADG(12:0_16:0_16:0)+NH4",0,0,0,0,0,0,"11.23642","11.53642","18528","","AcylGlcADG(12:0_16:0_16:0)+NH4","944.7402","495.4408","415.269","313.2737","257.2112","239.238","11.23642","11.53642","18528"
"","AcylGlcADG(12:0_16:0_16:1)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(12:0_16:0_16:1)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(12:0_16:0_16:1)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(12:0_16:0_16:1)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(12:0_16:0_16:1)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(12:0_16:0_16:1)+NH4","942.7245","495.4408","413.2534","313.2737","257.2112","237.2224","10.9828902777778","11.2828902777778","18589"
"","AcylGlcADG(12:0_16:0_20:1)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_16:0_20:1)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_16:0_20:1)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_16:0_20:1)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_16:0_20:1)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_16:0_20:1)+NH4","998.7872","495.4408","469.316","313.2737","257.2112","293.285","14.6851348484848","14.9851348484848","13522"
"","AcylGlcADG(12:0_16:1_16:0)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(12:0_16:1_16:0)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(12:0_16:1_16:0)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(12:0_16:1_16:0)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(12:0_16:1_16:0)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(12:0_16:1_16:0)+NH4","942.7245","493.4251","415.269","311.2581","257.2112","239.238","10.9828902777778","11.2828902777778","18589"
"","AcylGlcADG(12:0_16:1_20:0)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_16:1_20:0)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_16:1_20:0)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_16:1_20:0)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_16:1_20:0)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_16:1_20:0)+NH4","998.7872","493.4251","471.3316","311.2581","257.2112","295.3006","14.6851348484848","14.9851348484848","13522"
"","AcylGlcADG(12:0_18:0_12:0)+NH4",0,0,0,0,0,0,"10.6625388888889","10.9625388888889","13652","","AcylGlcADG(12:0_18:0_12:0)+NH4",0,0,0,0,0,0,"10.6625388888889","10.9625388888889","13652","","AcylGlcADG(12:0_18:0_12:0)+NH4",0,0,0,0,0,0,"10.6625388888889","10.9625388888889","13652","","AcylGlcADG(12:0_18:0_12:0)+NH4",0,0,0,0,0,0,"10.6625388888889","10.9625388888889","13652","","AcylGlcADG(12:0_18:0_12:0)+NH4",0,0,0,0,0,0,"10.6625388888889","10.9625388888889","13652","","AcylGlcADG(12:0_18:0_12:0)+NH4","916.7089","523.4721","359.2064","341.3051","257.2112","183.1754","10.6625388888889","10.9625388888889","13652"
"","AcylGlcADG(12:0_18:0_14:0)+NH4",0,0,0,0,0,0,"11.23642","11.53642","18528","","AcylGlcADG(12:0_18:0_14:0)+NH4",0,0,0,0,0,0,"11.23642","11.53642","18528","","AcylGlcADG(12:0_18:0_14:0)+NH4",0,0,0,0,0,0,"11.23642","11.53642","18528","","AcylGlcADG(12:0_18:0_14:0)+NH4",0,0,0,0,0,0,"11.23642","11.53642","18528","","AcylGlcADG(12:0_18:0_14:0)+NH4",0,0,0,0,0,0,"11.23642","11.53642","18528","","AcylGlcADG(12:0_18:0_14:0)+NH4","944.7402","523.4721","387.2377","341.3051","257.2112","211.2067","11.23642","11.53642","18528"
"","AcylGlcADG(12:0_18:0_14:1)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(12:0_18:0_14:1)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(12:0_18:0_14:1)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(12:0_18:0_14:1)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(12:0_18:0_14:1)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(12:0_18:0_14:1)+NH4","942.7245","523.4721","385.2221","341.3051","257.2112","209.1911","10.9828902777778","11.2828902777778","18589"
"","AcylGlcADG(12:0_18:0_18:1)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_18:0_18:1)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_18:0_18:1)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_18:0_18:1)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_18:0_18:1)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_18:0_18:1)+NH4","998.7872","523.4721","441.2847","341.3051","257.2112","265.2537","14.6851348484848","14.9851348484848","13522"
"","AcylGlcADG(12:0_18:1_14:0)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(12:0_18:1_14:0)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(12:0_18:1_14:0)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(12:0_18:1_14:0)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(12:0_18:1_14:0)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(12:0_18:1_14:0)+NH4","942.7245","521.4564","387.2377","339.2894","257.2112","211.2067","10.9828902777778","11.2828902777778","18589"
