"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer-NS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","RT at Max Intensity","Cer-NS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Number of Scans","Cer-NS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Max Intensity","Cer-NS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Average m/z","Cer-NS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer-NS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment"
"","Cer-NS(d14:1/13:0)+H",0,0,0,0,0,0,0,"1.19280277777778","1.49280277777778","2257","","Cer-NS(d14:1/13:0)+H",0,0,0,0,0,0,0,"1.19280277777778","1.49280277777778","2257","","Cer-NS(d14:1/13:0)+H",0,0,0,0,0,0,0,"1.19280277777778","1.49280277777778","2257","","Cer-NS(d14:1/13:0)+H",0,0,0,0,0,0,0,"1.19280277777778","1.49280277777778","2257","","Cer-NS(d14:1/13:0)+H",0,0,0,0,0,0,0,"1.19280277777778","1.49280277777778","2257","","Cer-NS(d14:1/13:0)+H","440.4098","422.3993","404.3887","226.2166","208.206","214.2166","196.206","1.19280277777778","1.49280277777778","2257"
"","Cer-NS(d14:1/13:0)+H",0,0,0,0,0,0,0,"4.10482777777778","4.40482777777778","4254","","Cer-NS(d14:1/13:0)+H",0,0,0,0,0,0,0,"4.10482777777778","4.40482777777778","4254","","Cer-NS(d14:1/13:0)+H",0,0,0,0,0,0,0,"4.10482777777778","4.40482777777778","4254","","Cer-NS(d14:1/13:0)+H",0,0,0,0,0,0,0,"4.10482777777778","4.40482777777778","4254","","Cer-NS(d14:1/13:0)+H",0,0,0,0,0,0,0,"4.10482777777778","4.40482777777778","4254","","Cer-NS(d14:1/13:0)+H","440.4098","422.3993","404.3887","226.2166","208.206","214.2166","196.206","4.10482777777778","4.40482777777778","4254"
"","Cer-NS(d14:1/13:0)+H",0,0,0,0,0,0,0,"4.62076111111111","4.92076111111111","7826","","Cer-NS(d14:1/13:0)+H",0,0,0,0,0,0,0,"4.62076111111111","4.92076111111111","7826","","Cer-NS(d14:1/13:0)+H",0,0,0,0,0,0,0,"4.62076111111111","4.92076111111111","7826","","Cer-NS(d14:1/13:0)+H",0,0,0,0,0,0,0,"4.62076111111111","4.92076111111111","7826","","Cer-NS(d14:1/13:0)+H",0,0,0,0,0,0,0,"4.62076111111111","4.92076111111111","7826","","Cer-NS(d14:1/13:0)+H","440.4098","422.3993","404.3887","226.2166","208.206","214.2166","196.206","4.62076111111111","4.92076111111111","7826"
"","Cer-NS(d14:1/13:0)+H",0,0,0,0,0,0,0,"1.39024861111111","1.69024861111111","10066","","Cer-NS(d14:1/13:0)+H",0,0,0,0,0,0,0,"1.39024861111111","1.69024861111111","10066","","Cer-NS(d14:1/13:0)+H",0,0,0,0,0,0,0,"1.39024861111111","1.69024861111111","10066","","Cer-NS(d14:1/13:0)+H",0,0,0,0,0,0,0,"1.39024861111111","1.69024861111111","10066","","Cer-NS(d14:1/13:0)+H",0,0,0,0,0,0,0,"1.39024861111111","1.69024861111111","10066","","Cer-NS(d14:1/13:0)+H","440.4098","422.3993","404.3887","226.2166","208.206","214.2166","196.206","1.39024861111111","1.69024861111111","10066"
"","Cer-NS(d14:1/14:0)+H",0,0,0,0,0,0,0,"4.9715625","5.2715625","6229","","Cer-NS(d14:1/14:0)+H",0,0,0,0,0,0,0,"4.9715625","5.2715625","6229","","Cer-NS(d14:1/14:0)+H",0,0,0,0,0,0,0,"4.9715625","5.2715625","6229","","Cer-NS(d14:1/14:0)+H",0,0,0,0,0,0,0,"4.9715625","5.2715625","6229","","Cer-NS(d14:1/14:0)+H",0,0,0,0,0,0,0,"4.9715625","5.2715625","6229","","Cer-NS(d14:1/14:0)+H","454.4255","436.4149","418.4043","226.2166","208.206","228.2322","196.206","4.9715625","5.2715625","6229"
"","Cer-NS(d14:1/14:0)+H",0,0,0,0,0,0,0,"6.10195972222222","6.40195972222222","14862","","Cer-NS(d14:1/14:0)+H",0,0,0,0,0,0,0,"6.10195972222222","6.40195972222222","14862","","Cer-NS(d14:1/14:0)+H",0,0,0,0,0,0,0,"6.10195972222222","6.40195972222222","14862","","Cer-NS(d14:1/14:0)+H",0,0,0,0,0,0,0,"6.10195972222222","6.40195972222222","14862","","Cer-NS(d14:1/14:0)+H",0,0,0,0,0,0,0,"6.10195972222222","6.40195972222222","14862","","Cer-NS(d14:1/14:0)+H","454.4255","436.4149","418.4043","226.2166","208.206","228.2322","196.206","6.10195972222222","6.40195972222222","14862"
"","Cer-NS(d14:1/14:0)+H",0,0,0,0,0,0,0,"6.11783888888889","6.41783888888889","15542","","Cer-NS(d14:1/14:0)+H",0,0,0,0,0,0,0,"6.11783888888889","6.41783888888889","15542","","Cer-NS(d14:1/14:0)+H",0,0,0,0,0,0,0,"6.11783888888889","6.41783888888889","15542","","Cer-NS(d14:1/14:0)+H",0,0,0,0,0,0,0,"6.11783888888889","6.41783888888889","15542","","Cer-NS(d14:1/14:0)+H",0,0,0,0,0,0,0,"6.11783888888889","6.41783888888889","15542","","Cer-NS(d14:1/14:0)+H","454.4255","436.4149","418.4043","226.2166","208.206","228.2322","196.206","6.11783888888889","6.41783888888889","15542"
"","Cer-NS(d14:1/14:1)+H",0,0,0,0,0,0,0,"5.02466666666667","5.32466666666667","6840","","Cer-NS(d14:1/14:1)+H",0,0,0,0,0,0,0,"5.02466666666667","5.32466666666667","6840","","Cer-NS(d14:1/14:1)+H",0,0,0,0,0,0,0,"5.02466666666667","5.32466666666667","6840","","Cer-NS(d14:1/14:1)+H",0,0,0,0,0,0,0,"5.02466666666667","5.32466666666667","6840","","Cer-NS(d14:1/14:1)+H",0,0,0,0,0,0,0,"5.02466666666667","5.32466666666667","6840","","Cer-NS(d14:1/14:1)+H","452.4098","434.3993","416.3887","226.2166","208.206","226.2166","196.206","5.02466666666667","5.32466666666667","6840"
"","Cer-NS(d14:1/15:0)+H",1,0,0,0,0,0,0,"1.82907361111111","2.12907361111111","1601","","Cer-NS(d14:1/15:0)+H",1.99963,0,0,0,0,0,0,"1.82907361111111","2.12907361111111","1601","","Cer-NS(d14:1/15:0)+H",1,0,0,0,0,0,0,"1.82907361111111","2.12907361111111","1601","","Cer-NS(d14:1/15:0)+H",381617.6,0,0,0,0,0,0,"1.82907361111111","2.12907361111111","1601","","Cer-NS(d14:1/15:0)+H",468.4416,0,0,0,0,0,0,"1.82907361111111","2.12907361111111","1601","","Cer-NS(d14:1/15:0)+H","468.4411","450.4305","432.42","226.2166","208.206","242.2478","196.206","1.82907361111111","2.12907361111111","1601"
"","Cer-NS(d14:1/15:0)+H",0,0,0,0,0,0,0,"5.68424027777778","5.98424027777778","8556","","Cer-NS(d14:1/15:0)+H",0,0,0,0,0,0,0,"5.68424027777778","5.98424027777778","8556","","Cer-NS(d14:1/15:0)+H",0,0,0,0,0,0,0,"5.68424027777778","5.98424027777778","8556","","Cer-NS(d14:1/15:0)+H",0,0,0,0,0,0,0,"5.68424027777778","5.98424027777778","8556","","Cer-NS(d14:1/15:0)+H",0,0,0,0,0,0,0,"5.68424027777778","5.98424027777778","8556","","Cer-NS(d14:1/15:0)+H","468.4411","450.4305","432.42","226.2166","208.206","242.2478","196.206","5.68424027777778","5.98424027777778","8556"
"","Cer-NS(d14:1/15:0)+H",0,0,0,0,0,0,0,"1.59082638888889","1.89082638888889","12463","","Cer-NS(d14:1/15:0)+H",0,0,0,0,0,0,0,"1.59082638888889","1.89082638888889","12463","","Cer-NS(d14:1/15:0)+H",0,0,0,0,0,0,0,"1.59082638888889","1.89082638888889","12463","","Cer-NS(d14:1/15:0)+H",0,0,0,0,0,0,0,"1.59082638888889","1.89082638888889","12463","","Cer-NS(d14:1/15:0)+H",0,0,0,0,0,0,0,"1.59082638888889","1.89082638888889","12463","","Cer-NS(d14:1/15:0)+H","468.4411","450.4305","432.42","226.2166","208.206","242.2478","196.206","1.59082638888889","1.89082638888889","12463"
"","Cer-NS(d14:1/15:0)+H",0,0,0,0,0,0,0,"5.76620555555556","6.06620555555556","14717","","Cer-NS(d14:1/15:0)+H",0,0,0,0,0,0,0,"5.76620555555556","6.06620555555556","14717","","Cer-NS(d14:1/15:0)+H",0,0,0,0,0,0,0,"5.76620555555556","6.06620555555556","14717","","Cer-NS(d14:1/15:0)+H",0,0,0,0,0,0,0,"5.76620555555556","6.06620555555556","14717","","Cer-NS(d14:1/15:0)+H",0,0,0,0,0,0,0,"5.76620555555556","6.06620555555556","14717","","Cer-NS(d14:1/15:0)+H","468.4411","450.4305","432.42","226.2166","208.206","242.2478","196.206","5.76620555555556","6.06620555555556","14717"
"","Cer-NS(d14:1/15:0)+H",0,0,0,0,0,0,0,"2.01379166666667","2.31379166666667","14901","","Cer-NS(d14:1/15:0)+H",0,0,0,0,0,0,0,"2.01379166666667","2.31379166666667","14901","","Cer-NS(d14:1/15:0)+H",0,0,0,0,0,0,0,"2.01379166666667","2.31379166666667","14901","","Cer-NS(d14:1/15:0)+H",0,0,0,0,0,0,0,"2.01379166666667","2.31379166666667","14901","","Cer-NS(d14:1/15:0)+H",0,0,0,0,0,0,0,"2.01379166666667","2.31379166666667","14901","","Cer-NS(d14:1/15:0)+H","468.4411","450.4305","432.42","226.2166","208.206","242.2478","196.206","2.01379166666667","2.31379166666667","14901"
"","Cer-NS(d14:1/17:0)+H",0,0,0,0,0,0,0,"8.11116805555555","8.41116805555555","4548","","Cer-NS(d14:1/17:0)+H",0,0,0,0,0,0,0,"8.11116805555555","8.41116805555555","4548","","Cer-NS(d14:1/17:0)+H",0,0,0,0,0,0,0,"8.11116805555555","8.41116805555555","4548","","Cer-NS(d14:1/17:0)+H",0,0,0,0,0,0,0,"8.11116805555555","8.41116805555555","4548","","Cer-NS(d14:1/17:0)+H",0,0,0,0,0,0,0,"8.11116805555555","8.41116805555555","4548","","Cer-NS(d14:1/17:0)+H","496.4724","478.4619","460.4513","226.2166","208.206","270.2791","196.206","8.11116805555555","8.41116805555555","4548"
