"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PS","[M+H]+","NL_head","T1RCOO+58","T2RCOO+58","T1_RCO+","T2_RCO+","[M+H]-sn1","[M+H]-sn2","[M+H]-sn1-H2O","[M+H]-sn2-H2O","RT_min","RT_max","Comment","RT at Max Intensity","PS","[M+H]+","NL_head","T1RCOO+58","T2RCOO+58","T1_RCO+","T2_RCO+","[M+H]-sn1","[M+H]-sn2","[M+H]-sn1-H2O","[M+H]-sn2-H2O","RT_min","RT_max","Comment","Number of Scans","PS","[M+H]+","NL_head","T1RCOO+58","T2RCOO+58","T1_RCO+","T2_RCO+","[M+H]-sn1","[M+H]-sn2","[M+H]-sn1-H2O","[M+H]-sn2-H2O","RT_min","RT_max","Comment","Max Intensity","PS","[M+H]+","NL_head","T1RCOO+58","T2RCOO+58","T1_RCO+","T2_RCO+","[M+H]-sn1","[M+H]-sn2","[M+H]-sn1-H2O","[M+H]-sn2-H2O","RT_min","RT_max","Comment","Average m/z","PS","[M+H]+","NL_head","T1RCOO+58","T2RCOO+58","T1_RCO+","T2_RCO+","[M+H]-sn1","[M+H]-sn2","[M+H]-sn1-H2O","[M+H]-sn2-H2O","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PS","[M+H]+","NL_head","T1RCOO+58","T2RCOO+58","T1_RCO+","T2_RCO+","[M+H]-sn1","[M+H]-sn2","[M+H]-sn1-H2O","[M+H]-sn2-H2O","RT_min","RT_max","Comment"
"","PS(8:0_20:2)+H",0,0,0,0,0,0,0,0,0,0,"1.04389166666667","1.34389166666667","10733","","PS(8:0_20:2)+H",0,0,0,0,0,0,0,0,0,0,"1.04389166666667","1.34389166666667","10733","","PS(8:0_20:2)+H",0,0,0,0,0,0,0,0,0,0,"1.04389166666667","1.34389166666667","10733","","PS(8:0_20:2)+H",0,0,0,0,0,0,0,0,0,0,"1.04389166666667","1.34389166666667","10733","","PS(8:0_20:2)+H",0,0,0,0,0,0,0,0,0,0,"1.04389166666667","1.34389166666667","10733","","PS(8:0_20:2)+H","676.41846","491.40951","365.30506","201.14856","127.11175","291.26825","550.3147","386.1582","532.3042","368.1477","1.04389166666667","1.34389166666667","10733"
"","PS(8:0_21:0)+H",0,0,0,0,0,0,0,0,0,0,"5.00976527777778","5.30976527777778","981","","PS(8:0_21:0)+H",0,0,0,0,0,0,0,0,0,0,"5.00976527777778","5.30976527777778","981","","PS(8:0_21:0)+H",0,0,0,0,0,0,0,0,0,0,"5.00976527777778","5.30976527777778","981","","PS(8:0_21:0)+H",0,0,0,0,0,0,0,0,0,0,"5.00976527777778","5.30976527777778","981","","PS(8:0_21:0)+H",0,0,0,0,0,0,0,0,0,0,"5.00976527777778","5.30976527777778","981","","PS(8:0_21:0)+H","694.46546","509.45651","383.35206","201.14856","127.11175","309.31525","568.3617","386.1582","550.3512","368.1477","5.00976527777778","5.30976527777778","981"
"","PS(8:0_21:0)+H",0,0,0,0,0,0,0,0,0,0,"1.50699722222222","1.80699722222222","14667","","PS(8:0_21:0)+H",0,0,0,0,0,0,0,0,0,0,"1.50699722222222","1.80699722222222","14667","","PS(8:0_21:0)+H",0,0,0,0,0,0,0,0,0,0,"1.50699722222222","1.80699722222222","14667","","PS(8:0_21:0)+H",0,0,0,0,0,0,0,0,0,0,"1.50699722222222","1.80699722222222","14667","","PS(8:0_21:0)+H",0,0,0,0,0,0,0,0,0,0,"1.50699722222222","1.80699722222222","14667","","PS(8:0_21:0)+H","694.46546","509.45651","383.35206","201.14856","127.11175","309.31525","568.3617","386.1582","550.3512","368.1477","1.50699722222222","1.80699722222222","14667"
"","PS(8:0_22:1)+H",0,0,0,0,0,0,0,0,0,0,"1.34317916666667","1.64317916666667","6183","","PS(8:0_22:1)+H",0,0,0,0,0,0,0,0,0,0,"1.34317916666667","1.64317916666667","6183","","PS(8:0_22:1)+H",0,0,0,0,0,0,0,0,0,0,"1.34317916666667","1.64317916666667","6183","","PS(8:0_22:1)+H",0,0,0,0,0,0,0,0,0,0,"1.34317916666667","1.64317916666667","6183","","PS(8:0_22:1)+H",0,0,0,0,0,0,0,0,0,0,"1.34317916666667","1.64317916666667","6183","","PS(8:0_22:1)+H","706.46546","521.45651","395.35206","201.14856","127.11175","321.31525","580.3617","386.1582","562.3512","368.1477","1.34317916666667","1.64317916666667","6183"
"","PS(8:0_22:2)+H",0,0,0,0,0,0,0,0,0,0,"1.05886111111111","1.35886111111111","7726","","PS(8:0_22:2)+H",0,0,0,0,0,0,0,0,0,0,"1.05886111111111","1.35886111111111","7726","","PS(8:0_22:2)+H",0,0,0,0,0,0,0,0,0,0,"1.05886111111111","1.35886111111111","7726","","PS(8:0_22:2)+H",0,0,0,0,0,0,0,0,0,0,"1.05886111111111","1.35886111111111","7726","","PS(8:0_22:2)+H",0,0,0,0,0,0,0,0,0,0,"1.05886111111111","1.35886111111111","7726","","PS(8:0_22:2)+H","704.44976","519.44081","393.33636","201.14856","127.11175","319.29955","578.346","386.1582","560.3355","368.1477","1.05886111111111","1.35886111111111","7726"
"","PS(8:0_23:0)+H",0,0,0,0,0,0,0,0,0,0,"5.71002361111111","6.01002361111111","952","","PS(8:0_23:0)+H",0,0,0,0,0,0,0,0,0,0,"5.71002361111111","6.01002361111111","952","","PS(8:0_23:0)+H",0,0,0,0,0,0,0,0,0,0,"5.71002361111111","6.01002361111111","952","","PS(8:0_23:0)+H",0,0,0,0,0,0,0,0,0,0,"5.71002361111111","6.01002361111111","952","","PS(8:0_23:0)+H",0,0,0,0,0,0,0,0,0,0,"5.71002361111111","6.01002361111111","952","","PS(8:0_23:0)+H","722.49676","537.48781","411.38336","201.14856","127.11175","337.34655","596.393","386.1582","578.3825","368.1477","5.71002361111111","6.01002361111111","952"
"","PS(8:0_24:1)+H",0,0,0,0,0,0,0,0,0,0,"1.86179583333333","2.16179583333333","9016","","PS(8:0_24:1)+H",0,0,0,0,0,0,0,0,0,0,"1.86179583333333","2.16179583333333","9016","","PS(8:0_24:1)+H",0,0,0,0,0,0,0,0,0,0,"1.86179583333333","2.16179583333333","9016","","PS(8:0_24:1)+H",0,0,0,0,0,0,0,0,0,0,"1.86179583333333","2.16179583333333","9016","","PS(8:0_24:1)+H",0,0,0,0,0,0,0,0,0,0,"1.86179583333333","2.16179583333333","9016","","PS(8:0_24:1)+H","734.49676","549.48781","423.38336","201.14856","127.11175","349.34655","608.393","386.1582","590.3825","368.1477","1.86179583333333","2.16179583333333","9016"
"","PS(8:0_26:0)+H",1,1,0,0,0,0,0,0,0,0,"7.68959027777778","7.98959027777778","200","","PS(8:0_26:0)+H",7.867475,7.867475,0,0,0,0,0,0,0,0,"7.68959027777778","7.98959027777778","200","","PS(8:0_26:0)+H",1,1,0,0,0,0,0,0,0,0,"7.68959027777778","7.98959027777778","200","","PS(8:0_26:0)+H",4952.251,7554868,0,0,0,0,0,0,0,0,"7.68959027777778","7.98959027777778","200","","PS(8:0_26:0)+H",764.5439,579.535,0,0,0,0,0,0,0,0,"7.68959027777778","7.98959027777778","200","","PS(8:0_26:0)+H","764.54366","579.53471","453.43026","201.14856","127.11175","379.39345","638.4399","386.1582","620.4294","368.1477","7.68959027777778","7.98959027777778","200"
"","PS(10:0_10:0)+H",0,0,0,0,0,0,0,0,0,0,"0.335309090909091","0.635309090909091","9300","","PS(10:0_10:0)+H",0,0,0,0,0,0,0,0,0,0,"0.335309090909091","0.635309090909091","9300","","PS(10:0_10:0)+H",0,0,0,0,0,0,0,0,0,0,"0.335309090909091","0.635309090909091","9300","","PS(10:0_10:0)+H",0,0,0,0,0,0,0,0,0,0,"0.335309090909091","0.635309090909091","9300","","PS(10:0_10:0)+H",0,0,0,0,0,0,0,0,0,0,"0.335309090909091","0.635309090909091","9300","","PS(10:0_10:0)+H","568.32456","383.31561","229.17986","229.17986","155.14305","155.14305","414.1895","414.1895","396.179","396.179","0.335309090909091","0.635309090909091","9300"
"","PS(10:0_13:0)+H",0,0,0,0,0,0,0,0,0,0,"0.769251388888889","1.06925138888889","14542","","PS(10:0_13:0)+H",0,0,0,0,0,0,0,0,0,0,"0.769251388888889","1.06925138888889","14542","","PS(10:0_13:0)+H",0,0,0,0,0,0,0,0,0,0,"0.769251388888889","1.06925138888889","14542","","PS(10:0_13:0)+H",0,0,0,0,0,0,0,0,0,0,"0.769251388888889","1.06925138888889","14542","","PS(10:0_13:0)+H",0,0,0,0,0,0,0,0,0,0,"0.769251388888889","1.06925138888889","14542","","PS(10:0_13:0)+H","610.37156","425.36261","271.22686","229.17986","155.14305","197.19005","456.2365","414.1895","438.226","396.179","0.769251388888889","1.06925138888889","14542"
"","PS(10:0_16:0)+H",0,0,0,0,0,0,0,0,0,0,"2.6957875","2.9957875","8069","","PS(10:0_16:0)+H",0,0,0,0,0,0,0,0,0,0,"2.6957875","2.9957875","8069","","PS(10:0_16:0)+H",0,0,0,0,0,0,0,0,0,0,"2.6957875","2.9957875","8069","","PS(10:0_16:0)+H",0,0,0,0,0,0,0,0,0,0,"2.6957875","2.9957875","8069","","PS(10:0_16:0)+H",0,0,0,0,0,0,0,0,0,0,"2.6957875","2.9957875","8069","","PS(10:0_16:0)+H","652.41846","467.40951","313.27376","229.17986","155.14305","239.23695","498.2834","414.1895","480.2729","396.179","2.6957875","2.9957875","8069"
"","PS(10:0_16:1)+H",0,0,0,0,0,0,0,0,0,0,"0.92806527777778","1.22806527777778","5931","","PS(10:0_16:1)+H",0,0,0,0,0,0,0,0,0,0,"0.92806527777778","1.22806527777778","5931","","PS(10:0_16:1)+H",0,0,0,0,0,0,0,0,0,0,"0.92806527777778","1.22806527777778","5931","","PS(10:0_16:1)+H",0,0,0,0,0,0,0,0,0,0,"0.92806527777778","1.22806527777778","5931","","PS(10:0_16:1)+H",0,0,0,0,0,0,0,0,0,0,"0.92806527777778","1.22806527777778","5931","","PS(10:0_16:1)+H","650.40286","465.39391","311.25816","229.17986","155.14305","237.22135","496.2678","414.1895","478.2573","396.179","0.92806527777778","1.22806527777778","5931"
"","PS(10:0_17:0)+H",0,0,0,0,0,0,0,0,0,0,"0.97390138888889","1.27390138888889","5474","","PS(10:0_17:0)+H",0,0,0,0,0,0,0,0,0,0,"0.97390138888889","1.27390138888889","5474","","PS(10:0_17:0)+H",0,0,0,0,0,0,0,0,0,0,"0.97390138888889","1.27390138888889","5474","","PS(10:0_17:0)+H",0,0,0,0,0,0,0,0,0,0,"0.97390138888889","1.27390138888889","5474","","PS(10:0_17:0)+H",0,0,0,0,0,0,0,0,0,0,"0.97390138888889","1.27390138888889","5474","","PS(10:0_17:0)+H","666.43416","481.42521","327.28946","229.17986","155.14305","253.25265","512.2991","414.1895","494.2886","396.179","0.97390138888889","1.27390138888889","5474"
"","PS(10:0_18:0)+H",1,1,0,0,0,0,0,0,0,0,"3.85204848484848","4.15204848484848","264","","PS(10:0_18:0)+H",4.028213,4.028213,0,0,0,0,0,0,0,0,"3.85204848484848","4.15204848484848","264","","PS(10:0_18:0)+H",1,2,0,0,0,0,0,0,0,0,"3.85204848484848","4.15204848484848","264","","PS(10:0_18:0)+H",3461.459,4628533,0,0,0,0,0,0,0,0,"3.85204848484848","4.15204848484848","264","","PS(10:0_18:0)+H",680.4498,495.44145,0,0,0,0,0,0,0,0,"3.85204848484848","4.15204848484848","264","","PS(10:0_18:0)+H","680.44976","495.44081","341.30506","229.17986","155.14305","267.26825","526.3147","414.1895","508.3042","396.179","3.85204848484848","4.15204848484848","264"
"","PS(10:0_18:0)+H",0,0,0,0,0,0,0,0,0,0,"4.899375","5.199375","2098","","PS(10:0_18:0)+H",0,0,0,0,0,0,0,0,0,0,"4.899375","5.199375","2098","","PS(10:0_18:0)+H",0,0,0,0,0,0,0,0,0,0,"4.899375","5.199375","2098","","PS(10:0_18:0)+H",0,0,0,0,0,0,0,0,0,0,"4.899375","5.199375","2098","","PS(10:0_18:0)+H",0,0,0,0,0,0,0,0,0,0,"4.899375","5.199375","2098","","PS(10:0_18:0)+H","680.44976","495.44081","341.30506","229.17986","155.14305","267.26825","526.3147","414.1895","508.3042","396.179","4.899375","5.199375","2098"
"","PS(10:0_18:0)+H",1,1,0,0,0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12646","","PS(10:0_18:0)+H",4.028213,4.028213,0,0,0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12646","","PS(10:0_18:0)+H",1,2,0,0,0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12646","","PS(10:0_18:0)+H",3461.459,4628533,0,0,0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12646","","PS(10:0_18:0)+H",680.4498,495.44145,0,0,0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12646","","PS(10:0_18:0)+H","680.44976","495.44081","341.30506","229.17986","155.14305","267.26825","526.3147","414.1895","508.3042","396.179","3.85645138888889","4.15645138888889","12646"
"","PS(10:0_18:0)+H",0,0,0,0,0,0,0,0,0,0,"4.91009027777778","5.21009027777778","12764","","PS(10:0_18:0)+H",0,0,0,0,0,0,0,0,0,0,"4.91009027777778","5.21009027777778","12764","","PS(10:0_18:0)+H",0,0,0,0,0,0,0,0,0,0,"4.91009027777778","5.21009027777778","12764","","PS(10:0_18:0)+H",0,0,0,0,0,0,0,0,0,0,"4.91009027777778","5.21009027777778","12764","","PS(10:0_18:0)+H",0,0,0,0,0,0,0,0,0,0,"4.91009027777778","5.21009027777778","12764","","PS(10:0_18:0)+H","680.44976","495.44081","341.30506","229.17986","155.14305","267.26825","526.3147","414.1895","508.3042","396.179","4.91009027777778","5.21009027777778","12764"
"","PS(10:0_18:1)+H",0,0,0,0,0,0,0,0,0,0,"1.40908333333333","1.70908333333333","10447","","PS(10:0_18:1)+H",0,0,0,0,0,0,0,0,0,0,"1.40908333333333","1.70908333333333","10447","","PS(10:0_18:1)+H",0,0,0,0,0,0,0,0,0,0,"1.40908333333333","1.70908333333333","10447","","PS(10:0_18:1)+H",0,0,0,0,0,0,0,0,0,0,"1.40908333333333","1.70908333333333","10447","","PS(10:0_18:1)+H",0,0,0,0,0,0,0,0,0,0,"1.40908333333333","1.70908333333333","10447","","PS(10:0_18:1)+H","678.43416","493.42521","339.28946","229.17986","155.14305","265.25265","524.2991","414.1895","506.2886","396.179","1.40908333333333","1.70908333333333","10447"
"","PS(10:0_18:2)+H",0,0,0,0,0,0,0,0,0,0,"1.04389166666667","1.34389166666667","10733","","PS(10:0_18:2)+H",0,0,0,0,0,0,0,0,0,0,"1.04389166666667","1.34389166666667","10733","","PS(10:0_18:2)+H",0,0,0,0,0,0,0,0,0,0,"1.04389166666667","1.34389166666667","10733","","PS(10:0_18:2)+H",0,0,0,0,0,0,0,0,0,0,"1.04389166666667","1.34389166666667","10733","","PS(10:0_18:2)+H",0,0,0,0,0,0,0,0,0,0,"1.04389166666667","1.34389166666667","10733","","PS(10:0_18:2)+H","676.41846","491.40951","337.27376","229.17986","155.14305","263.23695","522.2834","414.1895","504.2729","396.179","1.04389166666667","1.34389166666667","10733"
"","PS(10:0_19:0)+H",0,0,0,0,0,0,0,0,0,0,"5.00976527777778","5.30976527777778","981","","PS(10:0_19:0)+H",0,0,0,0,0,0,0,0,0,0,"5.00976527777778","5.30976527777778","981","","PS(10:0_19:0)+H",0,0,0,0,0,0,0,0,0,0,"5.00976527777778","5.30976527777778","981","","PS(10:0_19:0)+H",0,0,0,0,0,0,0,0,0,0,"5.00976527777778","5.30976527777778","981","","PS(10:0_19:0)+H",0,0,0,0,0,0,0,0,0,0,"5.00976527777778","5.30976527777778","981","","PS(10:0_19:0)+H","694.46546","509.45651","355.32076","229.17986","155.14305","281.28395","540.3304","414.1895","522.3199","396.179","5.00976527777778","5.30976527777778","981"
"","PS(10:0_19:0)+H",0,0,0,0,0,0,0,0,0,0,"1.50699722222222","1.80699722222222","14667","","PS(10:0_19:0)+H",0,0,0,0,0,0,0,0,0,0,"1.50699722222222","1.80699722222222","14667","","PS(10:0_19:0)+H",0,0,0,0,0,0,0,0,0,0,"1.50699722222222","1.80699722222222","14667","","PS(10:0_19:0)+H",0,0,0,0,0,0,0,0,0,0,"1.50699722222222","1.80699722222222","14667","","PS(10:0_19:0)+H",0,0,0,0,0,0,0,0,0,0,"1.50699722222222","1.80699722222222","14667","","PS(10:0_19:0)+H","694.46546","509.45651","355.32076","229.17986","155.14305","281.28395","540.3304","414.1895","522.3199","396.179","1.50699722222222","1.80699722222222","14667"
"","PS(10:0_20:1)+H",0,0,0,0,0,0,0,0,0,0,"1.34317916666667","1.64317916666667","6183","","PS(10:0_20:1)+H",0,0,0,0,0,0,0,0,0,0,"1.34317916666667","1.64317916666667","6183","","PS(10:0_20:1)+H",0,0,0,0,0,0,0,0,0,0,"1.34317916666667","1.64317916666667","6183","","PS(10:0_20:1)+H",0,0,0,0,0,0,0,0,0,0,"1.34317916666667","1.64317916666667","6183","","PS(10:0_20:1)+H",0,0,0,0,0,0,0,0,0,0,"1.34317916666667","1.64317916666667","6183","","PS(10:0_20:1)+H","706.46546","521.45651","367.32076","229.17986","155.14305","293.28395","552.3304","414.1895","534.3199","396.179","1.34317916666667","1.64317916666667","6183"
"","PS(10:0_20:2)+H",0,0,0,0,0,0,0,0,0,0,"1.05886111111111","1.35886111111111","7726","","PS(10:0_20:2)+H",0,0,0,0,0,0,0,0,0,0,"1.05886111111111","1.35886111111111","7726","","PS(10:0_20:2)+H",0,0,0,0,0,0,0,0,0,0,"1.05886111111111","1.35886111111111","7726","","PS(10:0_20:2)+H",0,0,0,0,0,0,0,0,0,0,"1.05886111111111","1.35886111111111","7726","","PS(10:0_20:2)+H",0,0,0,0,0,0,0,0,0,0,"1.05886111111111","1.35886111111111","7726","","PS(10:0_20:2)+H","704.44976","519.44081","365.30506","229.17986","155.14305","291.26825","550.3147","414.1895","532.3042","396.179","1.05886111111111","1.35886111111111","7726"
"","PS(10:0_21:0)+H",0,0,0,0,0,0,0,0,0,0,"5.71002361111111","6.01002361111111","952","","PS(10:0_21:0)+H",0,0,0,0,0,0,0,0,0,0,"5.71002361111111","6.01002361111111","952","","PS(10:0_21:0)+H",0,0,0,0,0,0,0,0,0,0,"5.71002361111111","6.01002361111111","952","","PS(10:0_21:0)+H",0,0,0,0,0,0,0,0,0,0,"5.71002361111111","6.01002361111111","952","","PS(10:0_21:0)+H",0,0,0,0,0,0,0,0,0,0,"5.71002361111111","6.01002361111111","952","","PS(10:0_21:0)+H","722.49676","537.48781","383.35206","229.17986","155.14305","309.31525","568.3617","414.1895","550.3512","396.179","5.71002361111111","6.01002361111111","952"
