"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PEtOH","[M+NH4]+","[M-C2H7O4P+H]+","NL of SN1+H2O","NL of SN2+H2O","[M-SN1-126+H]+","[M-SN2-126+H]+","SN2-H2O","SN1-H2O","[C5H11O5P+H]+","RT_min","RT_max","Comment","RT at Max Intensity","PEtOH","[M+NH4]+","[M-C2H7O4P+H]+","NL of SN1+H2O","NL of SN2+H2O","[M-SN1-126+H]+","[M-SN2-126+H]+","SN2-H2O","SN1-H2O","[C5H11O5P+H]+","RT_min","RT_max","Comment","Number of Scans","PEtOH","[M+NH4]+","[M-C2H7O4P+H]+","NL of SN1+H2O","NL of SN2+H2O","[M-SN1-126+H]+","[M-SN2-126+H]+","SN2-H2O","SN1-H2O","[C5H11O5P+H]+","RT_min","RT_max","Comment","Max Intensity","PEtOH","[M+NH4]+","[M-C2H7O4P+H]+","NL of SN1+H2O","NL of SN2+H2O","[M-SN1-126+H]+","[M-SN2-126+H]+","SN2-H2O","SN1-H2O","[C5H11O5P+H]+","RT_min","RT_max","Comment","Average m/z","PEtOH","[M+NH4]+","[M-C2H7O4P+H]+","NL of SN1+H2O","NL of SN2+H2O","[M-SN1-126+H]+","[M-SN2-126+H]+","SN2-H2O","SN1-H2O","[C5H11O5P+H]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PEtOH","[M+NH4]+","[M-C2H7O4P+H]+","NL of SN1+H2O","NL of SN2+H2O","[M-SN1-126+H]+","[M-SN2-126+H]+","SN2-H2O","SN1-H2O","[C5H11O5P+H]+","RT_min","RT_max","Comment"
"","PEtOH(12:0_19:2)+NH4",0,0,0,0,0,0,0,0,0,"3.4817375","3.7817375","10871","","PEtOH(12:0_19:2)+NH4",0,0,0,0,0,0,0,0,0,"3.4817375","3.7817375","10871","","PEtOH(12:0_19:2)+NH4",0,0,0,0,0,0,0,0,0,"3.4817375","3.7817375","10871","","PEtOH(12:0_19:2)+NH4",0,0,0,0,0,0,0,0,0,"3.4817375","3.7817375","10871","","PEtOH(12:0_19:2)+NH4",0,0,0,0,0,0,0,0,0,"3.4817375","3.7817375","10871","","PEtOH(12:0_19:2)+NH4","676.49117","533.4564","459.287","365.2089","351.2894","257.2112","277.2524","183.1742","183.0417","3.4817375","3.7817375","10871"
"","PEtOH(12:0_20:0)+NH4",0,0,0,0,0,0,0,0,0,"8.26794583333333","8.56794583333333","5174","","PEtOH(12:0_20:0)+NH4",0,0,0,0,0,0,0,0,0,"8.26794583333333","8.56794583333333","5174","","PEtOH(12:0_20:0)+NH4",0,0,0,0,0,0,0,0,0,"8.26794583333333","8.56794583333333","5174","","PEtOH(12:0_20:0)+NH4",0,0,0,0,0,0,0,0,0,"8.26794583333333","8.56794583333333","5174","","PEtOH(12:0_20:0)+NH4",0,0,0,0,0,0,0,0,0,"8.26794583333333","8.56794583333333","5174","","PEtOH(12:0_20:0)+NH4","694.53817","551.5034","477.334","365.2089","369.3364","257.2113","295.2993","183.1742","183.0417","8.26794583333333","8.56794583333333","5174"
"","PEtOH(12:0_20:1)+NH4",0,0,0,0,0,0,0,0,0,"5.37767361111111","5.67767361111111","2266","","PEtOH(12:0_20:1)+NH4",0,0,0,0,0,0,0,0,0,"5.37767361111111","5.67767361111111","2266","","PEtOH(12:0_20:1)+NH4",0,0,0,0,0,0,0,0,0,"5.37767361111111","5.67767361111111","2266","","PEtOH(12:0_20:1)+NH4",0,0,0,0,0,0,0,0,0,"5.37767361111111","5.67767361111111","2266","","PEtOH(12:0_20:1)+NH4",0,0,0,0,0,0,0,0,0,"5.37767361111111","5.67767361111111","2266","","PEtOH(12:0_20:1)+NH4","692.52247","549.4877","475.3184","365.2089","367.3207","257.2112","293.2837","183.1742","183.0417","5.37767361111111","5.67767361111111","2266"
"","PEtOH(12:0_20:1)+NH4",0,0,0,0,0,0,0,0,0,"5.64302916666667","5.94302916666667","3402","","PEtOH(12:0_20:1)+NH4",0,0,0,0,0,0,0,0,0,"5.64302916666667","5.94302916666667","3402","","PEtOH(12:0_20:1)+NH4",0,0,0,0,0,0,0,0,0,"5.64302916666667","5.94302916666667","3402","","PEtOH(12:0_20:1)+NH4",0,0,0,0,0,0,0,0,0,"5.64302916666667","5.94302916666667","3402","","PEtOH(12:0_20:1)+NH4",0,0,0,0,0,0,0,0,0,"5.64302916666667","5.94302916666667","3402","","PEtOH(12:0_20:1)+NH4","692.52247","549.4877","475.3184","365.2089","367.3207","257.2112","293.2837","183.1742","183.0417","5.64302916666667","5.94302916666667","3402"
"","PEtOH(12:0_20:1)+NH4",0,0,0,0,0,0,0,0,0,"5.12018472222222","5.42018472222222","4596","","PEtOH(12:0_20:1)+NH4",0,0,0,0,0,0,0,0,0,"5.12018472222222","5.42018472222222","4596","","PEtOH(12:0_20:1)+NH4",0,0,0,0,0,0,0,0,0,"5.12018472222222","5.42018472222222","4596","","PEtOH(12:0_20:1)+NH4",0,0,0,0,0,0,0,0,0,"5.12018472222222","5.42018472222222","4596","","PEtOH(12:0_20:1)+NH4",0,0,0,0,0,0,0,0,0,"5.12018472222222","5.42018472222222","4596","","PEtOH(12:0_20:1)+NH4","692.52247","549.4877","475.3184","365.2089","367.3207","257.2112","293.2837","183.1742","183.0417","5.12018472222222","5.42018472222222","4596"
"","PEtOH(12:0_20:1)+NH4",0,0,0,0,0,0,0,0,0,"12.1199472222222","12.4199472222222","7285","","PEtOH(12:0_20:1)+NH4",0,0,0,0,0,0,0,0,0,"12.1199472222222","12.4199472222222","7285","","PEtOH(12:0_20:1)+NH4",0,0,0,0,0,0,0,0,0,"12.1199472222222","12.4199472222222","7285","","PEtOH(12:0_20:1)+NH4",0,0,0,0,0,0,0,0,0,"12.1199472222222","12.4199472222222","7285","","PEtOH(12:0_20:1)+NH4",0,0,0,0,0,0,0,0,0,"12.1199472222222","12.4199472222222","7285","","PEtOH(12:0_20:1)+NH4","692.52247","549.4877","475.3184","365.2089","367.3207","257.2112","293.2837","183.1742","183.0417","12.1199472222222","12.4199472222222","7285"
"","PEtOH(12:0_20:2)+NH4",0,0,0,0,0,0,0,0,0,"12.0874060606061","12.3874060606061","9023","","PEtOH(12:0_20:2)+NH4",0,0,0,0,0,0,0,0,0,"12.0874060606061","12.3874060606061","9023","","PEtOH(12:0_20:2)+NH4",0,0,0,0,0,0,0,0,0,"12.0874060606061","12.3874060606061","9023","","PEtOH(12:0_20:2)+NH4",0,0,0,0,0,0,0,0,0,"12.0874060606061","12.3874060606061","9023","","PEtOH(12:0_20:2)+NH4",0,0,0,0,0,0,0,0,0,"12.0874060606061","12.3874060606061","9023","","PEtOH(12:0_20:2)+NH4","690.50687","547.4721","473.3028","365.2089","365.3051","257.2113","291.2681","183.1742","183.0417","12.0874060606061","12.3874060606061","9023"
"","PEtOH(12:0_20:3)+NH4",0,0,0,0,0,0,0,0,0,"11.5169424242424","11.8169424242424","12384","","PEtOH(12:0_20:3)+NH4",0,0,0,0,0,0,0,0,0,"11.5169424242424","11.8169424242424","12384","","PEtOH(12:0_20:3)+NH4",0,0,0,0,0,0,0,0,0,"11.5169424242424","11.8169424242424","12384","","PEtOH(12:0_20:3)+NH4",0,0,0,0,0,0,0,0,0,"11.5169424242424","11.8169424242424","12384","","PEtOH(12:0_20:3)+NH4",0,0,0,0,0,0,0,0,0,"11.5169424242424","11.8169424242424","12384","","PEtOH(12:0_20:3)+NH4","688.49117","545.4564","471.287","365.2089","363.2894","257.2112","289.2524","183.1742","183.0417","11.5169424242424","11.8169424242424","12384"
"","PEtOH(12:0_21:1)+NH4",1,0,0,0,0,0,0,0,0,"6.02765","6.32765","188","","PEtOH(12:0_21:1)+NH4",6.168828,0,0,0,0,0,0,0,0,"6.02765","6.32765","188","","PEtOH(12:0_21:1)+NH4",3,0,0,0,0,0,0,0,0,"6.02765","6.32765","188","","PEtOH(12:0_21:1)+NH4",1563772,0,0,0,0,0,0,0,0,"6.02765","6.32765","188","","PEtOH(12:0_21:1)+NH4",706.538766666667,0,0,0,0,0,0,0,0,"6.02765","6.32765","188","","PEtOH(12:0_21:1)+NH4","706.53817","563.5034","489.334","365.2089","381.3364","257.2113","307.2993","183.1742","183.0417","6.02765","6.32765","188"
"","PEtOH(12:0_21:2)+NH4",1,0,0,0,0,0,0,0,0,"4.889025","5.189025","340","","PEtOH(12:0_21:2)+NH4",5.068664,0,0,0,0,0,0,0,0,"4.889025","5.189025","340","","PEtOH(12:0_21:2)+NH4",2,0,0,0,0,0,0,0,0,"4.889025","5.189025","340","","PEtOH(12:0_21:2)+NH4",570787,0,0,0,0,0,0,0,0,"4.889025","5.189025","340","","PEtOH(12:0_21:2)+NH4",704.5241,0,0,0,0,0,0,0,0,"4.889025","5.189025","340","","PEtOH(12:0_21:2)+NH4","704.52247","561.4877","487.3184","365.2089","379.3207","257.2112","305.2837","183.1742","183.0417","4.889025","5.189025","340"
