"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","SQDG","[M+NH4]+","[M-SN1+H]+","[M-SN2+H]+","[M-C6H10O7S+H]+","[M-C6H10O7S-H2O+H]+","[M-C6H10O7S-SN1+H]+","[M-C6H10O7S-SN2+H]+","SN2","SN1","RT_min","RT_max","Comment","RT at Max Intensity","SQDG","[M+NH4]+","[M-SN1+H]+","[M-SN2+H]+","[M-C6H10O7S+H]+","[M-C6H10O7S-H2O+H]+","[M-C6H10O7S-SN1+H]+","[M-C6H10O7S-SN2+H]+","SN2","SN1","RT_min","RT_max","Comment","Number of Scans","SQDG","[M+NH4]+","[M-SN1+H]+","[M-SN2+H]+","[M-C6H10O7S+H]+","[M-C6H10O7S-H2O+H]+","[M-C6H10O7S-SN1+H]+","[M-C6H10O7S-SN2+H]+","SN2","SN1","RT_min","RT_max","Comment","Max Intensity","SQDG","[M+NH4]+","[M-SN1+H]+","[M-SN2+H]+","[M-C6H10O7S+H]+","[M-C6H10O7S-H2O+H]+","[M-C6H10O7S-SN1+H]+","[M-C6H10O7S-SN2+H]+","SN2","SN1","RT_min","RT_max","Comment","Average m/z","SQDG","[M+NH4]+","[M-SN1+H]+","[M-SN2+H]+","[M-C6H10O7S+H]+","[M-C6H10O7S-H2O+H]+","[M-C6H10O7S-SN1+H]+","[M-C6H10O7S-SN2+H]+","SN2","SN1","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","SQDG","[M+NH4]+","[M-SN1+H]+","[M-SN2+H]+","[M-C6H10O7S+H]+","[M-C6H10O7S-H2O+H]+","[M-C6H10O7S-SN1+H]+","[M-C6H10O7S-SN2+H]+","SN2","SN1","RT_min","RT_max","Comment"
"","SQDG(12:0_26:0)+NH4",0,0,0,0,0,0,0,0,0,"8.70818611111111","9.00818611111111","10225","","SQDG(12:0_26:0)+NH4",0,0,0,0,0,0,0,0,0,"8.70818611111111","9.00818611111111","10225","","SQDG(12:0_26:0)+NH4",0,0,0,0,0,0,0,0,0,"8.70818611111111","9.00818611111111","10225","","SQDG(12:0_26:0)+NH4",0,0,0,0,0,0,0,0,0,"8.70818611111111","9.00818611111111","10225","","SQDG(12:0_26:0)+NH4",0,0,0,0,0,0,0,0,0,"8.70818611111111","9.00818611111111","10225","","SQDG(12:0_26:0)+NH4","896.6497","679.4449","483.2258","653.6078","635.5973","453.4302","257.2111","379.3935","183.1743","8.70818611111111","9.00818611111111","10225"
"","SQDG(12:0_26:0)+NH4",0,0,0,0,0,0,0,0,0,"8.97857638888889","9.27857638888889","11731","","SQDG(12:0_26:0)+NH4",0,0,0,0,0,0,0,0,0,"8.97857638888889","9.27857638888889","11731","","SQDG(12:0_26:0)+NH4",0,0,0,0,0,0,0,0,0,"8.97857638888889","9.27857638888889","11731","","SQDG(12:0_26:0)+NH4",0,0,0,0,0,0,0,0,0,"8.97857638888889","9.27857638888889","11731","","SQDG(12:0_26:0)+NH4",0,0,0,0,0,0,0,0,0,"8.97857638888889","9.27857638888889","11731","","SQDG(12:0_26:0)+NH4","896.6497","679.4449","483.2258","653.6078","635.5973","453.4302","257.2111","379.3935","183.1743","8.97857638888889","9.27857638888889","11731"
"","SQDG(13:0_16:1)+NH4",0,0,0,0,0,0,0,0,0,"5.12925694444444","5.42925694444444","7515","","SQDG(13:0_16:1)+NH4",0,0,0,0,0,0,0,0,0,"5.12925694444444","5.42925694444444","7515","","SQDG(13:0_16:1)+NH4",0,0,0,0,0,0,0,0,0,"5.12925694444444","5.42925694444444","7515","","SQDG(13:0_16:1)+NH4",0,0,0,0,0,0,0,0,0,"5.12925694444444","5.42925694444444","7515","","SQDG(13:0_16:1)+NH4",0,0,0,0,0,0,0,0,0,"5.12925694444444","5.42925694444444","7515","","SQDG(13:0_16:1)+NH4","768.4932","537.2728","497.2415","525.4514","507.4408","311.2581","271.2267","237.2213","197.19","5.12925694444444","5.42925694444444","7515"
"","SQDG(13:0_18:1)+NH4",0,0,0,0,0,0,0,0,0,"4.94340138888889","5.24340138888889","1357","","SQDG(13:0_18:1)+NH4",0,0,0,0,0,0,0,0,0,"4.94340138888889","5.24340138888889","1357","","SQDG(13:0_18:1)+NH4",0,0,0,0,0,0,0,0,0,"4.94340138888889","5.24340138888889","1357","","SQDG(13:0_18:1)+NH4",0,0,0,0,0,0,0,0,0,"4.94340138888889","5.24340138888889","1357","","SQDG(13:0_18:1)+NH4",0,0,0,0,0,0,0,0,0,"4.94340138888889","5.24340138888889","1357","","SQDG(13:0_18:1)+NH4","796.5245","565.3041","497.2415","553.4827","535.4721","339.2894","271.2267","265.2526","197.19","4.94340138888889","5.24340138888889","1357"
"","SQDG(13:0_18:1)+NH4",1,0,0,0,0,0,0,0,0,"6.50441111111111","6.80441111111111","9550","","SQDG(13:0_18:1)+NH4",6.709229,0,0,0,0,0,0,0,0,"6.50441111111111","6.80441111111111","9550","","SQDG(13:0_18:1)+NH4",1,0,0,0,0,0,0,0,0,"6.50441111111111","6.80441111111111","9550","","SQDG(13:0_18:1)+NH4",19417.12,0,0,0,0,0,0,0,0,"6.50441111111111","6.80441111111111","9550","","SQDG(13:0_18:1)+NH4",796.5253,0,0,0,0,0,0,0,0,"6.50441111111111","6.80441111111111","9550","","SQDG(13:0_18:1)+NH4","796.5245","565.3041","497.2415","553.4827","535.4721","339.2894","271.2267","265.2526","197.19","6.50441111111111","6.80441111111111","9550"
"","SQDG(13:0_18:2)+NH4",0,0,0,0,0,0,0,0,0,"5.54281666666667","5.84281666666667","7831","","SQDG(13:0_18:2)+NH4",0,0,0,0,0,0,0,0,0,"5.54281666666667","5.84281666666667","7831","","SQDG(13:0_18:2)+NH4",0,0,0,0,0,0,0,0,0,"5.54281666666667","5.84281666666667","7831","","SQDG(13:0_18:2)+NH4",0,0,0,0,0,0,0,0,0,"5.54281666666667","5.84281666666667","7831","","SQDG(13:0_18:2)+NH4",0,0,0,0,0,0,0,0,0,"5.54281666666667","5.84281666666667","7831","","SQDG(13:0_18:2)+NH4","794.5089","563.2885","497.2415","551.467","533.4564","337.2737","271.2267","263.2369","197.19","5.54281666666667","5.84281666666667","7831"
"","SQDG(13:0_20:0)+NH4",0,0,0,0,0,0,0,0,0,"8.47476388888889","8.77476388888889","3945","","SQDG(13:0_20:0)+NH4",0,0,0,0,0,0,0,0,0,"8.47476388888889","8.77476388888889","3945","","SQDG(13:0_20:0)+NH4",0,0,0,0,0,0,0,0,0,"8.47476388888889","8.77476388888889","3945","","SQDG(13:0_20:0)+NH4",0,0,0,0,0,0,0,0,0,"8.47476388888889","8.77476388888889","3945","","SQDG(13:0_20:0)+NH4",0,0,0,0,0,0,0,0,0,"8.47476388888889","8.77476388888889","3945","","SQDG(13:0_20:0)+NH4","826.5714","595.351","497.2415","583.5296","565.519","369.3363","271.2267","295.2996","197.19","8.47476388888889","8.77476388888889","3945"
"","SQDG(13:0_20:1)+NH4",0,0,0,0,0,0,0,0,0,"7.67626944444444","7.97626944444444","3406","","SQDG(13:0_20:1)+NH4",0,0,0,0,0,0,0,0,0,"7.67626944444444","7.97626944444444","3406","","SQDG(13:0_20:1)+NH4",0,0,0,0,0,0,0,0,0,"7.67626944444444","7.97626944444444","3406","","SQDG(13:0_20:1)+NH4",0,0,0,0,0,0,0,0,0,"7.67626944444444","7.97626944444444","3406","","SQDG(13:0_20:1)+NH4",0,0,0,0,0,0,0,0,0,"7.67626944444444","7.97626944444444","3406","","SQDG(13:0_20:1)+NH4","824.5558","593.3354","497.2415","581.514","563.5034","367.3206","271.2267","293.2839","197.19","7.67626944444444","7.97626944444444","3406"
"","SQDG(13:0_20:2)+NH4",1,0,0,0,0,0,0,0,0,"6.725425","7.025425","3618","","SQDG(13:0_20:2)+NH4",6.990346,0,0,0,0,0,0,0,0,"6.725425","7.025425","3618","","SQDG(13:0_20:2)+NH4",1,0,0,0,0,0,0,0,0,"6.725425","7.025425","3618","","SQDG(13:0_20:2)+NH4",13334.64,0,0,0,0,0,0,0,0,"6.725425","7.025425","3618","","SQDG(13:0_20:2)+NH4",822.5397,0,0,0,0,0,0,0,0,"6.725425","7.025425","3618","","SQDG(13:0_20:2)+NH4","822.5401","591.3198","497.2415","579.4983","561.4877","365.305","271.2267","291.2682","197.19","6.725425","7.025425","3618"
"","SQDG(13:0_20:2)+NH4",1,0,0,0,0,0,0,0,0,"6.71988333333333","7.01988333333333","17207","","SQDG(13:0_20:2)+NH4",6.990346,0,0,0,0,0,0,0,0,"6.71988333333333","7.01988333333333","17207","","SQDG(13:0_20:2)+NH4",1,0,0,0,0,0,0,0,0,"6.71988333333333","7.01988333333333","17207","","SQDG(13:0_20:2)+NH4",13334.64,0,0,0,0,0,0,0,0,"6.71988333333333","7.01988333333333","17207","","SQDG(13:0_20:2)+NH4",822.5397,0,0,0,0,0,0,0,0,"6.71988333333333","7.01988333333333","17207","","SQDG(13:0_20:2)+NH4","822.5401","591.3198","497.2415","579.4983","561.4877","365.305","271.2267","291.2682","197.19","6.71988333333333","7.01988333333333","17207"
