"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PMeOH","[M+NH4]+","[M-CH5O4P+H]+","NL of SN1+H2O","NL of SN2+H2O","[M-SN1-112+H]+","[M-SN2-112+H]+","SN2-H2O","SN1-H2O","[C4H9O5P+H]+","RT_min","RT_max","Comment","RT at Max Intensity","PMeOH","[M+NH4]+","[M-CH5O4P+H]+","NL of SN1+H2O","NL of SN2+H2O","[M-SN1-112+H]+","[M-SN2-112+H]+","SN2-H2O","SN1-H2O","[C4H9O5P+H]+","RT_min","RT_max","Comment","Number of Scans","PMeOH","[M+NH4]+","[M-CH5O4P+H]+","NL of SN1+H2O","NL of SN2+H2O","[M-SN1-112+H]+","[M-SN2-112+H]+","SN2-H2O","SN1-H2O","[C4H9O5P+H]+","RT_min","RT_max","Comment","Max Intensity","PMeOH","[M+NH4]+","[M-CH5O4P+H]+","NL of SN1+H2O","NL of SN2+H2O","[M-SN1-112+H]+","[M-SN2-112+H]+","SN2-H2O","SN1-H2O","[C4H9O5P+H]+","RT_min","RT_max","Comment","Average m/z","PMeOH","[M+NH4]+","[M-CH5O4P+H]+","NL of SN1+H2O","NL of SN2+H2O","[M-SN1-112+H]+","[M-SN2-112+H]+","SN2-H2O","SN1-H2O","[C4H9O5P+H]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PMeOH","[M+NH4]+","[M-CH5O4P+H]+","NL of SN1+H2O","NL of SN2+H2O","[M-SN1-112+H]+","[M-SN2-112+H]+","SN2-H2O","SN1-H2O","[C4H9O5P+H]+","RT_min","RT_max","Comment"
"","PMeOH(12:0_20:1)+NH4",1,0,0,0,0,0,0,0,0,"4.68950454545455","4.98950454545455","1155","","PMeOH(12:0_20:1)+NH4",4.868633,0,0,0,0,0,0,0,0,"4.68950454545455","4.98950454545455","1155","","PMeOH(12:0_20:1)+NH4",1,0,0,0,0,0,0,0,0,"4.68950454545455","4.98950454545455","1155","","PMeOH(12:0_20:1)+NH4",122538.7,0,0,0,0,0,0,0,0,"4.68950454545455","4.98950454545455","1155","","PMeOH(12:0_20:1)+NH4",678.509,0,0,0,0,0,0,0,0,"4.68950454545455","4.98950454545455","1155","","PMeOH(12:0_20:1)+NH4","678.50682","549.4877","461.3028","351.1933","367.3208","257.2113","293.2837","183.1742","169.026","4.68950454545455","4.98950454545455","1155"
"","PMeOH(12:0_20:1)+NH4",1,0,0,0,0,0,0,0,0,"4.69344722222222","4.99344722222222","12687","","PMeOH(12:0_20:1)+NH4",4.868633,0,0,0,0,0,0,0,0,"4.69344722222222","4.99344722222222","12687","","PMeOH(12:0_20:1)+NH4",1,0,0,0,0,0,0,0,0,"4.69344722222222","4.99344722222222","12687","","PMeOH(12:0_20:1)+NH4",122538.7,0,0,0,0,0,0,0,0,"4.69344722222222","4.99344722222222","12687","","PMeOH(12:0_20:1)+NH4",678.509,0,0,0,0,0,0,0,0,"4.69344722222222","4.99344722222222","12687","","PMeOH(12:0_20:1)+NH4","678.50682","549.4877","461.3028","351.1933","367.3208","257.2113","293.2837","183.1742","169.026","4.69344722222222","4.99344722222222","12687"
"","PMeOH(12:0_20:2)+NH4",0,0,0,0,0,0,0,0,0,"3.4817375","3.7817375","10871","","PMeOH(12:0_20:2)+NH4",0,0,0,0,0,0,0,0,0,"3.4817375","3.7817375","10871","","PMeOH(12:0_20:2)+NH4",0,0,0,0,0,0,0,0,0,"3.4817375","3.7817375","10871","","PMeOH(12:0_20:2)+NH4",0,0,0,0,0,0,0,0,0,"3.4817375","3.7817375","10871","","PMeOH(12:0_20:2)+NH4",0,0,0,0,0,0,0,0,0,"3.4817375","3.7817375","10871","","PMeOH(12:0_20:2)+NH4","676.49112","547.472","459.287","351.1932","365.3051","257.2112","291.2681","183.1742","169.026","3.4817375","3.7817375","10871"
"","PMeOH(12:0_21:0)+NH4",0,0,0,0,0,0,0,0,0,"8.26794583333333","8.56794583333333","5174","","PMeOH(12:0_21:0)+NH4",0,0,0,0,0,0,0,0,0,"8.26794583333333","8.56794583333333","5174","","PMeOH(12:0_21:0)+NH4",0,0,0,0,0,0,0,0,0,"8.26794583333333","8.56794583333333","5174","","PMeOH(12:0_21:0)+NH4",0,0,0,0,0,0,0,0,0,"8.26794583333333","8.56794583333333","5174","","PMeOH(12:0_21:0)+NH4",0,0,0,0,0,0,0,0,0,"8.26794583333333","8.56794583333333","5174","","PMeOH(12:0_21:0)+NH4","694.53812","565.519","477.334","351.1933","383.3521","257.2113","309.315","183.1742","169.026","8.26794583333333","8.56794583333333","5174"
"","PMeOH(12:0_21:1)+NH4",0,0,0,0,0,0,0,0,0,"5.37767361111111","5.67767361111111","2266","","PMeOH(12:0_21:1)+NH4",0,0,0,0,0,0,0,0,0,"5.37767361111111","5.67767361111111","2266","","PMeOH(12:0_21:1)+NH4",0,0,0,0,0,0,0,0,0,"5.37767361111111","5.67767361111111","2266","","PMeOH(12:0_21:1)+NH4",0,0,0,0,0,0,0,0,0,"5.37767361111111","5.67767361111111","2266","","PMeOH(12:0_21:1)+NH4",0,0,0,0,0,0,0,0,0,"5.37767361111111","5.67767361111111","2266","","PMeOH(12:0_21:1)+NH4","692.52252","563.5034","475.3184","351.1932","381.3364","257.2112","307.2993","183.1742","169.026","5.37767361111111","5.67767361111111","2266"
"","PMeOH(12:0_21:1)+NH4",0,0,0,0,0,0,0,0,0,"5.64302916666667","5.94302916666667","3402","","PMeOH(12:0_21:1)+NH4",0,0,0,0,0,0,0,0,0,"5.64302916666667","5.94302916666667","3402","","PMeOH(12:0_21:1)+NH4",0,0,0,0,0,0,0,0,0,"5.64302916666667","5.94302916666667","3402","","PMeOH(12:0_21:1)+NH4",0,0,0,0,0,0,0,0,0,"5.64302916666667","5.94302916666667","3402","","PMeOH(12:0_21:1)+NH4",0,0,0,0,0,0,0,0,0,"5.64302916666667","5.94302916666667","3402","","PMeOH(12:0_21:1)+NH4","692.52252","563.5034","475.3184","351.1932","381.3364","257.2112","307.2993","183.1742","169.026","5.64302916666667","5.94302916666667","3402"
"","PMeOH(12:0_21:1)+NH4",0,0,0,0,0,0,0,0,0,"5.12018472222222","5.42018472222222","4596","","PMeOH(12:0_21:1)+NH4",0,0,0,0,0,0,0,0,0,"5.12018472222222","5.42018472222222","4596","","PMeOH(12:0_21:1)+NH4",0,0,0,0,0,0,0,0,0,"5.12018472222222","5.42018472222222","4596","","PMeOH(12:0_21:1)+NH4",0,0,0,0,0,0,0,0,0,"5.12018472222222","5.42018472222222","4596","","PMeOH(12:0_21:1)+NH4",0,0,0,0,0,0,0,0,0,"5.12018472222222","5.42018472222222","4596","","PMeOH(12:0_21:1)+NH4","692.52252","563.5034","475.3184","351.1932","381.3364","257.2112","307.2993","183.1742","169.026","5.12018472222222","5.42018472222222","4596"
"","PMeOH(12:0_21:1)+NH4",0,0,0,0,0,0,0,0,0,"12.1199472222222","12.4199472222222","7285","","PMeOH(12:0_21:1)+NH4",0,0,0,0,0,0,0,0,0,"12.1199472222222","12.4199472222222","7285","","PMeOH(12:0_21:1)+NH4",0,0,0,0,0,0,0,0,0,"12.1199472222222","12.4199472222222","7285","","PMeOH(12:0_21:1)+NH4",0,0,0,0,0,0,0,0,0,"12.1199472222222","12.4199472222222","7285","","PMeOH(12:0_21:1)+NH4",0,0,0,0,0,0,0,0,0,"12.1199472222222","12.4199472222222","7285","","PMeOH(12:0_21:1)+NH4","692.52252","563.5034","475.3184","351.1932","381.3364","257.2112","307.2993","183.1742","169.026","12.1199472222222","12.4199472222222","7285"
"","PMeOH(12:0_21:2)+NH4",0,0,0,0,0,0,0,0,0,"12.0874060606061","12.3874060606061","9023","","PMeOH(12:0_21:2)+NH4",0,0,0,0,0,0,0,0,0,"12.0874060606061","12.3874060606061","9023","","PMeOH(12:0_21:2)+NH4",0,0,0,0,0,0,0,0,0,"12.0874060606061","12.3874060606061","9023","","PMeOH(12:0_21:2)+NH4",0,0,0,0,0,0,0,0,0,"12.0874060606061","12.3874060606061","9023","","PMeOH(12:0_21:2)+NH4",0,0,0,0,0,0,0,0,0,"12.0874060606061","12.3874060606061","9023","","PMeOH(12:0_21:2)+NH4","690.50682","561.4877","473.3028","351.1933","379.3208","257.2113","305.2837","183.1742","169.026","12.0874060606061","12.3874060606061","9023"
"","PMeOH(12:0_22:1)+NH4",1,0,0,0,0,0,0,0,0,"6.02765","6.32765","188","","PMeOH(12:0_22:1)+NH4",6.168828,0,0,0,0,0,0,0,0,"6.02765","6.32765","188","","PMeOH(12:0_22:1)+NH4",3,0,0,0,0,0,0,0,0,"6.02765","6.32765","188","","PMeOH(12:0_22:1)+NH4",1563772,0,0,0,0,0,0,0,0,"6.02765","6.32765","188","","PMeOH(12:0_22:1)+NH4",706.538766666667,0,0,0,0,0,0,0,0,"6.02765","6.32765","188","","PMeOH(12:0_22:1)+NH4","706.53812","577.519","489.334","351.1933","395.3521","257.2113","321.315","183.1742","169.026","6.02765","6.32765","188"
"","PMeOH(12:0_22:2)+NH4",1,0,0,0,0,0,0,0,0,"4.889025","5.189025","340","","PMeOH(12:0_22:2)+NH4",5.068664,0,0,0,0,0,0,0,0,"4.889025","5.189025","340","","PMeOH(12:0_22:2)+NH4",2,0,0,0,0,0,0,0,0,"4.889025","5.189025","340","","PMeOH(12:0_22:2)+NH4",570787,0,0,0,0,0,0,0,0,"4.889025","5.189025","340","","PMeOH(12:0_22:2)+NH4",704.5241,0,0,0,0,0,0,0,0,"4.889025","5.189025","340","","PMeOH(12:0_22:2)+NH4","704.52252","575.5034","487.3184","351.1932","393.3364","257.2112","319.2993","183.1742","169.026","4.889025","5.189025","340"
"","PMeOH(12:0_22:2)+NH4",0,0,0,0,0,0,0,0,0,"5.52259444444444","5.82259444444444","9928","","PMeOH(12:0_22:2)+NH4",0,0,0,0,0,0,0,0,0,"5.52259444444444","5.82259444444444","9928","","PMeOH(12:0_22:2)+NH4",0,0,0,0,0,0,0,0,0,"5.52259444444444","5.82259444444444","9928","","PMeOH(12:0_22:2)+NH4",0,0,0,0,0,0,0,0,0,"5.52259444444444","5.82259444444444","9928","","PMeOH(12:0_22:2)+NH4",0,0,0,0,0,0,0,0,0,"5.52259444444444","5.82259444444444","9928","","PMeOH(12:0_22:2)+NH4","704.52252","575.5034","487.3184","351.1932","393.3364","257.2112","319.2993","183.1742","169.026","5.52259444444444","5.82259444444444","9928"
"","PMeOH(12:0_22:2)+NH4",0,0,0,0,0,0,0,0,0,"7.02406805555556","7.32406805555556","16090","","PMeOH(12:0_22:2)+NH4",0,0,0,0,0,0,0,0,0,"7.02406805555556","7.32406805555556","16090","","PMeOH(12:0_22:2)+NH4",0,0,0,0,0,0,0,0,0,"7.02406805555556","7.32406805555556","16090","","PMeOH(12:0_22:2)+NH4",0,0,0,0,0,0,0,0,0,"7.02406805555556","7.32406805555556","16090","","PMeOH(12:0_22:2)+NH4",0,0,0,0,0,0,0,0,0,"7.02406805555556","7.32406805555556","16090","","PMeOH(12:0_22:2)+NH4","704.52252","575.5034","487.3184","351.1932","393.3364","257.2112","319.2993","183.1742","169.026","7.02406805555556","7.32406805555556","16090"
"","PMeOH(12:0_22:2)+NH4",0,0,0,0,0,0,0,0,0,"6.90816111111111","7.20816111111111","18891","","PMeOH(12:0_22:2)+NH4",0,0,0,0,0,0,0,0,0,"6.90816111111111","7.20816111111111","18891","","PMeOH(12:0_22:2)+NH4",0,0,0,0,0,0,0,0,0,"6.90816111111111","7.20816111111111","18891","","PMeOH(12:0_22:2)+NH4",0,0,0,0,0,0,0,0,0,"6.90816111111111","7.20816111111111","18891","","PMeOH(12:0_22:2)+NH4",0,0,0,0,0,0,0,0,0,"6.90816111111111","7.20816111111111","18891","","PMeOH(12:0_22:2)+NH4","704.52252","575.5034","487.3184","351.1932","393.3364","257.2112","319.2993","183.1742","169.026","6.90816111111111","7.20816111111111","18891"
"","PMeOH(12:0_22:3)+NH4",0,0,0,0,0,0,0,0,0,"3.73294305555556","4.03294305555556","4431","","PMeOH(12:0_22:3)+NH4",0,0,0,0,0,0,0,0,0,"3.73294305555556","4.03294305555556","4431","","PMeOH(12:0_22:3)+NH4",0,0,0,0,0,0,0,0,0,"3.73294305555556","4.03294305555556","4431","","PMeOH(12:0_22:3)+NH4",0,0,0,0,0,0,0,0,0,"3.73294305555556","4.03294305555556","4431","","PMeOH(12:0_22:3)+NH4",0,0,0,0,0,0,0,0,0,"3.73294305555556","4.03294305555556","4431","","PMeOH(12:0_22:3)+NH4","702.50682","573.4877","485.3028","351.1933","391.3208","257.2113","317.2837","183.1742","169.026","3.73294305555556","4.03294305555556","4431"
"","PMeOH(12:0_24:1)+NH4",1,0,0,0,0,0,0,0,0,"7.24374583333333","7.54374583333333","75","","PMeOH(12:0_24:1)+NH4",7.444524,0,0,0,0,0,0,0,0,"7.24374583333333","7.54374583333333","75","","PMeOH(12:0_24:1)+NH4",2,0,0,0,0,0,0,0,0,"7.24374583333333","7.54374583333333","75","","PMeOH(12:0_24:1)+NH4",3586960,0,0,0,0,0,0,0,0,"7.24374583333333","7.54374583333333","75","","PMeOH(12:0_24:1)+NH4",734.5693,0,0,0,0,0,0,0,0,"7.24374583333333","7.54374583333333","75","","PMeOH(12:0_24:1)+NH4","734.56952","605.5504","517.3654","351.1933","423.3834","257.2113","349.3463","183.1742","169.026","7.24374583333333","7.54374583333333","75"
"","PMeOH(12:0_24:1)+NH4",0,0,0,0,0,0,0,0,0,"9.16413611111111","9.46413611111111","5965","","PMeOH(12:0_24:1)+NH4",0,0,0,0,0,0,0,0,0,"9.16413611111111","9.46413611111111","5965","","PMeOH(12:0_24:1)+NH4",0,0,0,0,0,0,0,0,0,"9.16413611111111","9.46413611111111","5965","","PMeOH(12:0_24:1)+NH4",0,0,0,0,0,0,0,0,0,"9.16413611111111","9.46413611111111","5965","","PMeOH(12:0_24:1)+NH4",0,0,0,0,0,0,0,0,0,"9.16413611111111","9.46413611111111","5965","","PMeOH(12:0_24:1)+NH4","734.56952","605.5504","517.3654","351.1933","423.3834","257.2113","349.3463","183.1742","169.026","9.16413611111111","9.46413611111111","5965"
"","PMeOH(12:0_24:1)+NH4",1,0,0,0,0,0,0,0,0,"7.05414444444444","7.35414444444444","9118","","PMeOH(12:0_24:1)+NH4",7.332081,0,0,0,0,0,0,0,0,"7.05414444444444","7.35414444444444","9118","","PMeOH(12:0_24:1)+NH4",1,0,0,0,0,0,0,0,0,"7.05414444444444","7.35414444444444","9118","","PMeOH(12:0_24:1)+NH4",1701472,0,0,0,0,0,0,0,0,"7.05414444444444","7.35414444444444","9118","","PMeOH(12:0_24:1)+NH4",734.5693,0,0,0,0,0,0,0,0,"7.05414444444444","7.35414444444444","9118","","PMeOH(12:0_24:1)+NH4","734.56952","605.5504","517.3654","351.1933","423.3834","257.2113","349.3463","183.1742","169.026","7.05414444444444","7.35414444444444","9118"
"","PMeOH(12:0_24:1)+NH4",1,0,0,0,0,0,0,0,0,"7.05408472222222","7.35408472222222","12681","","PMeOH(12:0_24:1)+NH4",7.332081,0,0,0,0,0,0,0,0,"7.05408472222222","7.35408472222222","12681","","PMeOH(12:0_24:1)+NH4",1,0,0,0,0,0,0,0,0,"7.05408472222222","7.35408472222222","12681","","PMeOH(12:0_24:1)+NH4",1701472,0,0,0,0,0,0,0,0,"7.05408472222222","7.35408472222222","12681","","PMeOH(12:0_24:1)+NH4",734.5693,0,0,0,0,0,0,0,0,"7.05408472222222","7.35408472222222","12681","","PMeOH(12:0_24:1)+NH4","734.56952","605.5504","517.3654","351.1933","423.3834","257.2113","349.3463","183.1742","169.026","7.05408472222222","7.35408472222222","12681"
