"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","HexCer-NS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","RT at Max Intensity","HexCer-NS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Number of Scans","HexCer-NS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Max Intensity","HexCer-NS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Average m/z","HexCer-NS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","HexCer-NS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment"
"","HexCer-NS(d14:1/20:0)+H",0,0,0,0,0,0,0,0,"8.27312916666667","8.57312916666667","18238","","HexCer-NS(d14:1/20:0)+H",0,0,0,0,0,0,0,0,"8.27312916666667","8.57312916666667","18238","","HexCer-NS(d14:1/20:0)+H",0,0,0,0,0,0,0,0,"8.27312916666667","8.57312916666667","18238","","HexCer-NS(d14:1/20:0)+H",0,0,0,0,0,0,0,0,"8.27312916666667","8.57312916666667","18238","","HexCer-NS(d14:1/20:0)+H",0,0,0,0,0,0,0,0,"8.27312916666667","8.57312916666667","18238","","HexCer-NS(d14:1/20:0)+H","700.5728","538.5199","520.5093","502.4988","226.2166","208.206","312.3261","196.206","8.27312916666667","8.57312916666667","18238"
"","HexCer-NS(d14:1/20:1)+H",0,0,0,0,0,0,0,0,"4.94340138888889","5.24340138888889","2663","","HexCer-NS(d14:1/20:1)+H",0,0,0,0,0,0,0,0,"4.94340138888889","5.24340138888889","2663","","HexCer-NS(d14:1/20:1)+H",0,0,0,0,0,0,0,0,"4.94340138888889","5.24340138888889","2663","","HexCer-NS(d14:1/20:1)+H",0,0,0,0,0,0,0,0,"4.94340138888889","5.24340138888889","2663","","HexCer-NS(d14:1/20:1)+H",0,0,0,0,0,0,0,0,"4.94340138888889","5.24340138888889","2663","","HexCer-NS(d14:1/20:1)+H","698.5571","536.5043","518.4937","500.4831","226.2166","208.206","310.3105","196.206","4.94340138888889","5.24340138888889","2663"
"","HexCer-NS(d14:1/20:1)+H",0,0,0,0,0,0,0,0,"5.1868696969697","5.4868696969697","5264","","HexCer-NS(d14:1/20:1)+H",0,0,0,0,0,0,0,0,"5.1868696969697","5.4868696969697","5264","","HexCer-NS(d14:1/20:1)+H",0,0,0,0,0,0,0,0,"5.1868696969697","5.4868696969697","5264","","HexCer-NS(d14:1/20:1)+H",0,0,0,0,0,0,0,0,"5.1868696969697","5.4868696969697","5264","","HexCer-NS(d14:1/20:1)+H",0,0,0,0,0,0,0,0,"5.1868696969697","5.4868696969697","5264","","HexCer-NS(d14:1/20:1)+H","698.5571","536.5043","518.4937","500.4831","226.2166","208.206","310.3105","196.206","5.1868696969697","5.4868696969697","5264"
"","HexCer-NS(d14:1/20:1)+H",0,0,0,0,0,0,0,0,"5.19360416666667","5.49360416666667","13084","","HexCer-NS(d14:1/20:1)+H",0,0,0,0,0,0,0,0,"5.19360416666667","5.49360416666667","13084","","HexCer-NS(d14:1/20:1)+H",0,0,0,0,0,0,0,0,"5.19360416666667","5.49360416666667","13084","","HexCer-NS(d14:1/20:1)+H",0,0,0,0,0,0,0,0,"5.19360416666667","5.49360416666667","13084","","HexCer-NS(d14:1/20:1)+H",0,0,0,0,0,0,0,0,"5.19360416666667","5.49360416666667","13084","","HexCer-NS(d14:1/20:1)+H","698.5571","536.5043","518.4937","500.4831","226.2166","208.206","310.3105","196.206","5.19360416666667","5.49360416666667","13084"
"","HexCer-NS(d14:1/21:0)+H",0,0,0,0,0,0,0,0,"8.68942916666667","8.98942916666667","8501","","HexCer-NS(d14:1/21:0)+H",0,0,0,0,0,0,0,0,"8.68942916666667","8.98942916666667","8501","","HexCer-NS(d14:1/21:0)+H",0,0,0,0,0,0,0,0,"8.68942916666667","8.98942916666667","8501","","HexCer-NS(d14:1/21:0)+H",0,0,0,0,0,0,0,0,"8.68942916666667","8.98942916666667","8501","","HexCer-NS(d14:1/21:0)+H",0,0,0,0,0,0,0,0,"8.68942916666667","8.98942916666667","8501","","HexCer-NS(d14:1/21:0)+H","714.5884","552.5356","534.525","516.5144","226.2166","208.206","326.3417","196.206","8.68942916666667","8.98942916666667","8501"
"","HexCer-NS(d14:1/22:0)+H",0,0,0,0,0,0,0,0,"7.61792777777778","7.91792777777778","2666","","HexCer-NS(d14:1/22:0)+H",0,0,0,0,0,0,0,0,"7.61792777777778","7.91792777777778","2666","","HexCer-NS(d14:1/22:0)+H",0,0,0,0,0,0,0,0,"7.61792777777778","7.91792777777778","2666","","HexCer-NS(d14:1/22:0)+H",0,0,0,0,0,0,0,0,"7.61792777777778","7.91792777777778","2666","","HexCer-NS(d14:1/22:0)+H",0,0,0,0,0,0,0,0,"7.61792777777778","7.91792777777778","2666","","HexCer-NS(d14:1/22:0)+H","728.6041","566.5512","548.5406","530.5301","226.2166","208.206","340.3574","196.206","7.61792777777778","7.91792777777778","2666"
"","HexCer-NS(d14:1/24:0)+H",0,0,0,0,0,0,0,0,"8.72719305555555","9.02719305555555","2137","","HexCer-NS(d14:1/24:0)+H",0,0,0,0,0,0,0,0,"8.72719305555555","9.02719305555555","2137","","HexCer-NS(d14:1/24:0)+H",0,0,0,0,0,0,0,0,"8.72719305555555","9.02719305555555","2137","","HexCer-NS(d14:1/24:0)+H",0,0,0,0,0,0,0,0,"8.72719305555555","9.02719305555555","2137","","HexCer-NS(d14:1/24:0)+H",0,0,0,0,0,0,0,0,"8.72719305555555","9.02719305555555","2137","","HexCer-NS(d14:1/24:0)+H","756.6353","594.5825","576.572","558.5613","226.2166","208.206","368.3887","196.206","8.72719305555555","9.02719305555555","2137"
"","HexCer-NS(d14:1/24:0)+H",0,0,0,0,0,0,0,0,"9.20191944444444","9.50191944444444","6842","","HexCer-NS(d14:1/24:0)+H",0,0,0,0,0,0,0,0,"9.20191944444444","9.50191944444444","6842","","HexCer-NS(d14:1/24:0)+H",0,0,0,0,0,0,0,0,"9.20191944444444","9.50191944444444","6842","","HexCer-NS(d14:1/24:0)+H",0,0,0,0,0,0,0,0,"9.20191944444444","9.50191944444444","6842","","HexCer-NS(d14:1/24:0)+H",0,0,0,0,0,0,0,0,"9.20191944444444","9.50191944444444","6842","","HexCer-NS(d14:1/24:0)+H","756.6353","594.5825","576.572","558.5613","226.2166","208.206","368.3887","196.206","9.20191944444444","9.50191944444444","6842"
"","HexCer-NS(d14:1/24:0)+H",0,0,0,0,0,0,0,0,"9.20142222222222","9.50142222222222","13508","","HexCer-NS(d14:1/24:0)+H",0,0,0,0,0,0,0,0,"9.20142222222222","9.50142222222222","13508","","HexCer-NS(d14:1/24:0)+H",0,0,0,0,0,0,0,0,"9.20142222222222","9.50142222222222","13508","","HexCer-NS(d14:1/24:0)+H",0,0,0,0,0,0,0,0,"9.20142222222222","9.50142222222222","13508","","HexCer-NS(d14:1/24:0)+H",0,0,0,0,0,0,0,0,"9.20142222222222","9.50142222222222","13508","","HexCer-NS(d14:1/24:0)+H","756.6353","594.5825","576.572","558.5613","226.2166","208.206","368.3887","196.206","9.20142222222222","9.50142222222222","13508"
"","HexCer-NS(d14:1/24:1)+H",0,0,0,0,0,0,0,0,"7.74322222222222","8.04322222222222","9868","","HexCer-NS(d14:1/24:1)+H",0,0,0,0,0,0,0,0,"7.74322222222222","8.04322222222222","9868","","HexCer-NS(d14:1/24:1)+H",0,0,0,0,0,0,0,0,"7.74322222222222","8.04322222222222","9868","","HexCer-NS(d14:1/24:1)+H",0,0,0,0,0,0,0,0,"7.74322222222222","8.04322222222222","9868","","HexCer-NS(d14:1/24:1)+H",0,0,0,0,0,0,0,0,"7.74322222222222","8.04322222222222","9868","","HexCer-NS(d14:1/24:1)+H","754.6197","592.5668","574.5563","556.5457","226.2166","208.206","366.373","196.206","7.74322222222222","8.04322222222222","9868"
"","HexCer-NS(d14:1/24:1)+H",0,0,0,0,0,0,0,0,"6.96971944444444","7.26971944444444","11887","","HexCer-NS(d14:1/24:1)+H",0,0,0,0,0,0,0,0,"6.96971944444444","7.26971944444444","11887","","HexCer-NS(d14:1/24:1)+H",0,0,0,0,0,0,0,0,"6.96971944444444","7.26971944444444","11887","","HexCer-NS(d14:1/24:1)+H",0,0,0,0,0,0,0,0,"6.96971944444444","7.26971944444444","11887","","HexCer-NS(d14:1/24:1)+H",0,0,0,0,0,0,0,0,"6.96971944444444","7.26971944444444","11887","","HexCer-NS(d14:1/24:1)+H","754.6197","592.5668","574.5563","556.5457","226.2166","208.206","366.373","196.206","6.96971944444444","7.26971944444444","11887"
"","HexCer-NS(d14:1/24:1)+H",0,0,0,0,0,0,0,0,"6.79748055555556","7.09748055555556","16139","","HexCer-NS(d14:1/24:1)+H",0,0,0,0,0,0,0,0,"6.79748055555556","7.09748055555556","16139","","HexCer-NS(d14:1/24:1)+H",0,0,0,0,0,0,0,0,"6.79748055555556","7.09748055555556","16139","","HexCer-NS(d14:1/24:1)+H",0,0,0,0,0,0,0,0,"6.79748055555556","7.09748055555556","16139","","HexCer-NS(d14:1/24:1)+H",0,0,0,0,0,0,0,0,"6.79748055555556","7.09748055555556","16139","","HexCer-NS(d14:1/24:1)+H","754.6197","592.5668","574.5563","556.5457","226.2166","208.206","366.373","196.206","6.79748055555556","7.09748055555556","16139"
"","HexCer-NS(d14:1/25:0)+H",0,0,0,0,0,0,0,0,"9.25202638888889","9.55202638888889","3834","","HexCer-NS(d14:1/25:0)+H",0,0,0,0,0,0,0,0,"9.25202638888889","9.55202638888889","3834","","HexCer-NS(d14:1/25:0)+H",0,0,0,0,0,0,0,0,"9.25202638888889","9.55202638888889","3834","","HexCer-NS(d14:1/25:0)+H",0,0,0,0,0,0,0,0,"9.25202638888889","9.55202638888889","3834","","HexCer-NS(d14:1/25:0)+H",0,0,0,0,0,0,0,0,"9.25202638888889","9.55202638888889","3834","","HexCer-NS(d14:1/25:0)+H","770.651","608.5981","590.5876","572.577","226.2166","208.206","382.4044","196.206","9.25202638888889","9.55202638888889","3834"
"","HexCer-NS(d14:1/26:0)+H",0,0,0,0,0,0,0,0,"9.75355416666667","10.0535541666667","782","","HexCer-NS(d14:1/26:0)+H",0,0,0,0,0,0,0,0,"9.75355416666667","10.0535541666667","782","","HexCer-NS(d14:1/26:0)+H",0,0,0,0,0,0,0,0,"9.75355416666667","10.0535541666667","782","","HexCer-NS(d14:1/26:0)+H",0,0,0,0,0,0,0,0,"9.75355416666667","10.0535541666667","782","","HexCer-NS(d14:1/26:0)+H",0,0,0,0,0,0,0,0,"9.75355416666667","10.0535541666667","782","","HexCer-NS(d14:1/26:0)+H","784.6666","622.6138","604.6032","586.5927","226.2166","208.206","396.42","196.206","9.75355416666667","10.0535541666667","782"
"","HexCer-NS(d14:1/26:0)+H",0,0,0,0,0,0,0,0,"10.1036152777778","10.4036152777778","5567","","HexCer-NS(d14:1/26:0)+H",0,0,0,0,0,0,0,0,"10.1036152777778","10.4036152777778","5567","","HexCer-NS(d14:1/26:0)+H",0,0,0,0,0,0,0,0,"10.1036152777778","10.4036152777778","5567","","HexCer-NS(d14:1/26:0)+H",0,0,0,0,0,0,0,0,"10.1036152777778","10.4036152777778","5567","","HexCer-NS(d14:1/26:0)+H",0,0,0,0,0,0,0,0,"10.1036152777778","10.4036152777778","5567","","HexCer-NS(d14:1/26:0)+H","784.6666","622.6138","604.6032","586.5927","226.2166","208.206","396.42","196.206","10.1036152777778","10.4036152777778","5567"
"","HexCer-NS(d14:1/26:0)+H",0,0,0,0,0,0,0,0,"10.02995","10.32995","18396","","HexCer-NS(d14:1/26:0)+H",0,0,0,0,0,0,0,0,"10.02995","10.32995","18396","","HexCer-NS(d14:1/26:0)+H",0,0,0,0,0,0,0,0,"10.02995","10.32995","18396","","HexCer-NS(d14:1/26:0)+H",0,0,0,0,0,0,0,0,"10.02995","10.32995","18396","","HexCer-NS(d14:1/26:0)+H",0,0,0,0,0,0,0,0,"10.02995","10.32995","18396","","HexCer-NS(d14:1/26:0)+H","784.6666","622.6138","604.6032","586.5927","226.2166","208.206","396.42","196.206","10.02995","10.32995","18396"
"","HexCer-NS(d14:1/26:1)+H",0,0,0,0,0,0,0,0,"8.83116388888889","9.13116388888889","2968","","HexCer-NS(d14:1/26:1)+H",0,0,0,0,0,0,0,0,"8.83116388888889","9.13116388888889","2968","","HexCer-NS(d14:1/26:1)+H",0,0,0,0,0,0,0,0,"8.83116388888889","9.13116388888889","2968","","HexCer-NS(d14:1/26:1)+H",0,0,0,0,0,0,0,0,"8.83116388888889","9.13116388888889","2968","","HexCer-NS(d14:1/26:1)+H",0,0,0,0,0,0,0,0,"8.83116388888889","9.13116388888889","2968","","HexCer-NS(d14:1/26:1)+H","782.651","620.5981","602.5876","584.577","226.2166","208.206","394.4044","196.206","8.83116388888889","9.13116388888889","2968"
"","HexCer-NS(d14:1/26:1)+H",0,0,0,0,0,0,0,0,"9.52148787878788","9.82148787878788","11986","","HexCer-NS(d14:1/26:1)+H",0,0,0,0,0,0,0,0,"9.52148787878788","9.82148787878788","11986","","HexCer-NS(d14:1/26:1)+H",0,0,0,0,0,0,0,0,"9.52148787878788","9.82148787878788","11986","","HexCer-NS(d14:1/26:1)+H",0,0,0,0,0,0,0,0,"9.52148787878788","9.82148787878788","11986","","HexCer-NS(d14:1/26:1)+H",0,0,0,0,0,0,0,0,"9.52148787878788","9.82148787878788","11986","","HexCer-NS(d14:1/26:1)+H","782.651","620.5981","602.5876","584.577","226.2166","208.206","394.4044","196.206","9.52148787878788","9.82148787878788","11986"
