"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer-NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","RT at Max Intensity","Cer-NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Number of Scans","Cer-NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Max Intensity","Cer-NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Average m/z","Cer-NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer-NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment"
"","Cer-NDS(d14:0/12:1)+H",0,0,0,0,0,0,0,"1.16647916666667","1.46647916666667","12045","","Cer-NDS(d14:0/12:1)+H",0,0,0,0,0,0,0,"1.16647916666667","1.46647916666667","12045","","Cer-NDS(d14:0/12:1)+H",0,0,0,0,0,0,0,"1.16647916666667","1.46647916666667","12045","","Cer-NDS(d14:0/12:1)+H",0,0,0,0,0,0,0,"1.16647916666667","1.46647916666667","12045","","Cer-NDS(d14:0/12:1)+H",0,0,0,0,0,0,0,"1.16647916666667","1.46647916666667","12045","","Cer-NDS(d14:0/12:1)+H","426.3942","408.3836","390.373","228.2322","210.2216","198.1853","198.2216","1.16647916666667","1.46647916666667","12045"
"","Cer-NDS(d14:0/13:0)+H",0,0,0,0,0,0,0,"4.96933939393939","5.26933939393939","8302","","Cer-NDS(d14:0/13:0)+H",0,0,0,0,0,0,0,"4.96933939393939","5.26933939393939","8302","","Cer-NDS(d14:0/13:0)+H",0,0,0,0,0,0,0,"4.96933939393939","5.26933939393939","8302","","Cer-NDS(d14:0/13:0)+H",0,0,0,0,0,0,0,"4.96933939393939","5.26933939393939","8302","","Cer-NDS(d14:0/13:0)+H",0,0,0,0,0,0,0,"4.96933939393939","5.26933939393939","8302","","Cer-NDS(d14:0/13:0)+H","442.4255","424.4149","406.4043","228.2322","210.2216","214.2166","198.2216","4.96933939393939","5.26933939393939","8302"
"","Cer-NDS(d14:0/13:0)+H",0,0,0,0,0,0,0,"3.47921944444444","3.77921944444444","8370","","Cer-NDS(d14:0/13:0)+H",0,0,0,0,0,0,0,"3.47921944444444","3.77921944444444","8370","","Cer-NDS(d14:0/13:0)+H",0,0,0,0,0,0,0,"3.47921944444444","3.77921944444444","8370","","Cer-NDS(d14:0/13:0)+H",0,0,0,0,0,0,0,"3.47921944444444","3.77921944444444","8370","","Cer-NDS(d14:0/13:0)+H",0,0,0,0,0,0,0,"3.47921944444444","3.77921944444444","8370","","Cer-NDS(d14:0/13:0)+H","442.4255","424.4149","406.4043","228.2322","210.2216","214.2166","198.2216","3.47921944444444","3.77921944444444","8370"
"","Cer-NDS(d14:0/13:0)+H",0,0,0,0,0,0,0,"2.82840694444444","3.12840694444444","8711","","Cer-NDS(d14:0/13:0)+H",0,0,0,0,0,0,0,"2.82840694444444","3.12840694444444","8711","","Cer-NDS(d14:0/13:0)+H",0,0,0,0,0,0,0,"2.82840694444444","3.12840694444444","8711","","Cer-NDS(d14:0/13:0)+H",0,0,0,0,0,0,0,"2.82840694444444","3.12840694444444","8711","","Cer-NDS(d14:0/13:0)+H",0,0,0,0,0,0,0,"2.82840694444444","3.12840694444444","8711","","Cer-NDS(d14:0/13:0)+H","442.4255","424.4149","406.4043","228.2322","210.2216","214.2166","198.2216","2.82840694444444","3.12840694444444","8711"
"","Cer-NDS(d14:0/13:1)+H",0,0,0,0,0,0,0,"1.19280277777778","1.49280277777778","2257","","Cer-NDS(d14:0/13:1)+H",0,0,0,0,0,0,0,"1.19280277777778","1.49280277777778","2257","","Cer-NDS(d14:0/13:1)+H",0,0,0,0,0,0,0,"1.19280277777778","1.49280277777778","2257","","Cer-NDS(d14:0/13:1)+H",0,0,0,0,0,0,0,"1.19280277777778","1.49280277777778","2257","","Cer-NDS(d14:0/13:1)+H",0,0,0,0,0,0,0,"1.19280277777778","1.49280277777778","2257","","Cer-NDS(d14:0/13:1)+H","440.4098","422.3993","404.3887","228.2322","210.2216","212.2009","198.2216","1.19280277777778","1.49280277777778","2257"
"","Cer-NDS(d14:0/13:1)+H",0,0,0,0,0,0,0,"4.10482777777778","4.40482777777778","4254","","Cer-NDS(d14:0/13:1)+H",0,0,0,0,0,0,0,"4.10482777777778","4.40482777777778","4254","","Cer-NDS(d14:0/13:1)+H",0,0,0,0,0,0,0,"4.10482777777778","4.40482777777778","4254","","Cer-NDS(d14:0/13:1)+H",0,0,0,0,0,0,0,"4.10482777777778","4.40482777777778","4254","","Cer-NDS(d14:0/13:1)+H",0,0,0,0,0,0,0,"4.10482777777778","4.40482777777778","4254","","Cer-NDS(d14:0/13:1)+H","440.4098","422.3993","404.3887","228.2322","210.2216","212.2009","198.2216","4.10482777777778","4.40482777777778","4254"
"","Cer-NDS(d14:0/13:1)+H",0,0,0,0,0,0,0,"4.62076111111111","4.92076111111111","7826","","Cer-NDS(d14:0/13:1)+H",0,0,0,0,0,0,0,"4.62076111111111","4.92076111111111","7826","","Cer-NDS(d14:0/13:1)+H",0,0,0,0,0,0,0,"4.62076111111111","4.92076111111111","7826","","Cer-NDS(d14:0/13:1)+H",0,0,0,0,0,0,0,"4.62076111111111","4.92076111111111","7826","","Cer-NDS(d14:0/13:1)+H",0,0,0,0,0,0,0,"4.62076111111111","4.92076111111111","7826","","Cer-NDS(d14:0/13:1)+H","440.4098","422.3993","404.3887","228.2322","210.2216","212.2009","198.2216","4.62076111111111","4.92076111111111","7826"
"","Cer-NDS(d14:0/13:1)+H",0,0,0,0,0,0,0,"1.39024861111111","1.69024861111111","10066","","Cer-NDS(d14:0/13:1)+H",0,0,0,0,0,0,0,"1.39024861111111","1.69024861111111","10066","","Cer-NDS(d14:0/13:1)+H",0,0,0,0,0,0,0,"1.39024861111111","1.69024861111111","10066","","Cer-NDS(d14:0/13:1)+H",0,0,0,0,0,0,0,"1.39024861111111","1.69024861111111","10066","","Cer-NDS(d14:0/13:1)+H",0,0,0,0,0,0,0,"1.39024861111111","1.69024861111111","10066","","Cer-NDS(d14:0/13:1)+H","440.4098","422.3993","404.3887","228.2322","210.2216","212.2009","198.2216","1.39024861111111","1.69024861111111","10066"
"","Cer-NDS(d14:0/14:0)+H",0,0,0,0,0,0,0,"5.00679583333333","5.30679583333333","15684","","Cer-NDS(d14:0/14:0)+H",0,0,0,0,0,0,0,"5.00679583333333","5.30679583333333","15684","","Cer-NDS(d14:0/14:0)+H",0,0,0,0,0,0,0,"5.00679583333333","5.30679583333333","15684","","Cer-NDS(d14:0/14:0)+H",0,0,0,0,0,0,0,"5.00679583333333","5.30679583333333","15684","","Cer-NDS(d14:0/14:0)+H",0,0,0,0,0,0,0,"5.00679583333333","5.30679583333333","15684","","Cer-NDS(d14:0/14:0)+H","456.4411","438.4305","420.42","228.2322","210.2216","228.2322","198.2216","5.00679583333333","5.30679583333333","15684"
"","Cer-NDS(d14:0/14:0)+H",0,0,0,0,0,0,0,"5.74023833333333","6.04023833333333","17041","","Cer-NDS(d14:0/14:0)+H",0,0,0,0,0,0,0,"5.74023833333333","6.04023833333333","17041","","Cer-NDS(d14:0/14:0)+H",0,0,0,0,0,0,0,"5.74023833333333","6.04023833333333","17041","","Cer-NDS(d14:0/14:0)+H",0,0,0,0,0,0,0,"5.74023833333333","6.04023833333333","17041","","Cer-NDS(d14:0/14:0)+H",0,0,0,0,0,0,0,"5.74023833333333","6.04023833333333","17041","","Cer-NDS(d14:0/14:0)+H","456.4411","438.4305","420.42","228.2322","210.2216","228.2322","198.2216","5.74023833333333","6.04023833333333","17041"
