"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PMeOH","[M-H]-","NL of SN1","NL of SN2","FA SN2","FA SN1","[C4H9O5P-H]-","RT_min","RT_max","Comment","RT at Max Intensity","PMeOH","[M-H]-","NL of SN1","NL of SN2","FA SN2","FA SN1","[C4H9O5P-H]-","RT_min","RT_max","Comment","Number of Scans","PMeOH","[M-H]-","NL of SN1","NL of SN2","FA SN2","FA SN1","[C4H9O5P-H]-","RT_min","RT_max","Comment","Max Intensity","PMeOH","[M-H]-","NL of SN1","NL of SN2","FA SN2","FA SN1","[C4H9O5P-H]-","RT_min","RT_max","Comment","Average m/z","PMeOH","[M-H]-","NL of SN1","NL of SN2","FA SN2","FA SN1","[C4H9O5P-H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PMeOH","[M-H]-","NL of SN1","NL of SN2","FA SN2","FA SN1","[C4H9O5P-H]-","RT_min","RT_max","Comment"
"","PMeOH(14:1_22:2)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PMeOH(14:1_22:2)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PMeOH(14:1_22:2)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PMeOH(14:1_22:2)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PMeOH(14:1_22:2)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PMeOH(14:1_22:2)-H","711.497","503.3144","393.2049","335.2948","225.1853","167.0115","4.49487916666667","4.79487916666667","8972"
"","PMeOH(25:0_14:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PMeOH(25:0_14:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PMeOH(25:0_14:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PMeOH(25:0_14:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PMeOH(25:0_14:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PMeOH(25:0_14:1)-H","757.5753","393.205","549.3927","225.1853","381.373","167.0115","11.2052194444444","11.5052194444444","5081"
"","PMeOH(27:0_14:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PMeOH(27:0_14:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PMeOH(27:0_14:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PMeOH(27:0_14:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PMeOH(27:0_14:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PMeOH(27:0_14:1)-H","785.6065","393.205","577.424","225.1853","409.4043","167.0115","11.9665222222222","12.2665222222222","3510"
"","PMeOH(15:0_22:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PMeOH(15:0_22:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PMeOH(15:0_22:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PMeOH(15:0_22:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PMeOH(15:0_22:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PMeOH(15:0_22:0)-H","731.5596","507.3457","409.2363","339.3261","241.2166","167.0115","11.1076555555556","11.4076555555556","7671"
"","PMeOH(15:0_24:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PMeOH(15:0_24:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PMeOH(15:0_24:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PMeOH(15:0_24:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PMeOH(15:0_24:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PMeOH(15:0_24:0)-H","759.5909","535.377","409.2363","367.3574","241.2166","167.0115","11.8773597222222","12.1773597222222","4216"
"","PMeOH(15:0_24:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PMeOH(15:0_24:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PMeOH(15:0_24:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PMeOH(15:0_24:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PMeOH(15:0_24:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PMeOH(15:0_24:1)-H","757.5753","533.3615","409.2363","365.3417","241.2166","167.0115","11.2052194444444","11.5052194444444","5081"
"","PMeOH(15:0_26:0)-H",0,0,0,0,0,0,"12.5862263888889","12.8862263888889","2975","","PMeOH(15:0_26:0)-H",0,0,0,0,0,0,"12.5862263888889","12.8862263888889","2975","","PMeOH(15:0_26:0)-H",0,0,0,0,0,0,"12.5862263888889","12.8862263888889","2975","","PMeOH(15:0_26:0)-H",0,0,0,0,0,0,"12.5862263888889","12.8862263888889","2975","","PMeOH(15:0_26:0)-H",0,0,0,0,0,0,"12.5862263888889","12.8862263888889","2975","","PMeOH(15:0_26:0)-H","787.6222","563.4083","409.2363","395.3887","241.2166","167.0115","12.5862263888889","12.8862263888889","2975"
"","PMeOH(15:0_26:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PMeOH(15:0_26:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PMeOH(15:0_26:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PMeOH(15:0_26:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PMeOH(15:0_26:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PMeOH(15:0_26:1)-H","785.6065","561.3926","409.2362","393.373","241.2166","167.0115","11.9665222222222","12.2665222222222","3510"
"","PMeOH(15:1_21:2)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PMeOH(15:1_21:2)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PMeOH(15:1_21:2)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PMeOH(15:1_21:2)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PMeOH(15:1_21:2)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PMeOH(15:1_21:2)-H","711.497","489.2988","407.2206","321.2792","239.201","167.0115","4.49487916666667","4.79487916666667","8972"
"","PMeOH(24:0_15:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PMeOH(24:0_15:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PMeOH(24:0_15:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PMeOH(24:0_15:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PMeOH(24:0_15:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PMeOH(24:0_15:1)-H","757.5753","407.2207","535.3771","239.201","367.3574","167.0115","11.2052194444444","11.5052194444444","5081"
"","PMeOH(26:0_15:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PMeOH(26:0_15:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PMeOH(26:0_15:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PMeOH(26:0_15:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PMeOH(26:0_15:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PMeOH(26:0_15:1)-H","785.6065","407.2206","563.4083","239.201","395.3887","167.0115","11.9665222222222","12.2665222222222","3510"
"","PMeOH(15:1_26:4)-H",0,0,0,0,0,0,"6.414625","6.714625","3530","","PMeOH(15:1_26:4)-H",0,0,0,0,0,0,"6.414625","6.714625","3530","","PMeOH(15:1_26:4)-H",0,0,0,0,0,0,"6.414625","6.714625","3530","","PMeOH(15:1_26:4)-H",0,0,0,0,0,0,"6.414625","6.714625","3530","","PMeOH(15:1_26:4)-H",0,0,0,0,0,0,"6.414625","6.714625","3530","","PMeOH(15:1_26:4)-H","777.544","555.3458","407.2207","387.3261","239.201","167.0115","6.414625","6.714625","3530"
"","PMeOH(16:0_20:3)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PMeOH(16:0_20:3)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PMeOH(16:0_20:3)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PMeOH(16:0_20:3)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PMeOH(16:0_20:3)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PMeOH(16:0_20:3)-H","711.497","473.2675","423.2519","305.2479","255.2323","167.0115","4.49487916666667","4.79487916666667","8972"
"","PMeOH(16:0_21:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PMeOH(16:0_21:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PMeOH(16:0_21:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PMeOH(16:0_21:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PMeOH(16:0_21:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PMeOH(16:0_21:0)-H","731.5596","493.3301","423.2519","325.3105","255.2323","167.0115","11.1076555555556","11.4076555555556","7671"
"","PMeOH(16:0_23:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PMeOH(16:0_23:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PMeOH(16:0_23:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PMeOH(16:0_23:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PMeOH(16:0_23:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PMeOH(16:0_23:0)-H","759.5909","521.3614","423.2519","353.3417","255.2323","167.0115","11.8773597222222","12.1773597222222","4216"
"","PMeOH(16:0_25:0)-H",0,0,0,0,0,0,"12.5862263888889","12.8862263888889","2975","","PMeOH(16:0_25:0)-H",0,0,0,0,0,0,"12.5862263888889","12.8862263888889","2975","","PMeOH(16:0_25:0)-H",0,0,0,0,0,0,"12.5862263888889","12.8862263888889","2975","","PMeOH(16:0_25:0)-H",0,0,0,0,0,0,"12.5862263888889","12.8862263888889","2975","","PMeOH(16:0_25:0)-H",0,0,0,0,0,0,"12.5862263888889","12.8862263888889","2975","","PMeOH(16:0_25:0)-H","787.6222","549.3927","423.252","381.373","255.2323","167.0115","12.5862263888889","12.8862263888889","2975"
"","PMeOH(16:0_27:0)-H",0,0,0,0,0,0,"13.2440986111111","13.5440986111111","2408","","PMeOH(16:0_27:0)-H",0,0,0,0,0,0,"13.2440986111111","13.5440986111111","2408","","PMeOH(16:0_27:0)-H",0,0,0,0,0,0,"13.2440986111111","13.5440986111111","2408","","PMeOH(16:0_27:0)-H",0,0,0,0,0,0,"13.2440986111111","13.5440986111111","2408","","PMeOH(16:0_27:0)-H",0,0,0,0,0,0,"13.2440986111111","13.5440986111111","2408","","PMeOH(16:0_27:0)-H","815.6535","577.424","423.252","409.4043","255.2323","167.0115","13.2440986111111","13.5440986111111","2408"
"","PMeOH(16:1_20:2)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PMeOH(16:1_20:2)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PMeOH(16:1_20:2)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PMeOH(16:1_20:2)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PMeOH(16:1_20:2)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PMeOH(16:1_20:2)-H","711.497","475.2831","421.2362","307.2635","253.2166","167.0115","4.49487916666667","4.79487916666667","8972"
"","PMeOH(23:0_16:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PMeOH(23:0_16:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PMeOH(23:0_16:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PMeOH(23:0_16:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PMeOH(23:0_16:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PMeOH(23:0_16:1)-H","757.5753","421.2363","521.3615","253.2166","353.3417","167.0115","11.2052194444444","11.5052194444444","5081"
"","PMeOH(25:0_16:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PMeOH(25:0_16:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PMeOH(25:0_16:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PMeOH(25:0_16:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PMeOH(25:0_16:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PMeOH(25:0_16:1)-H","785.6065","421.2362","549.3926","253.2166","381.373","167.0115","11.9665222222222","12.2665222222222","3510"
"","PMeOH(27:0_16:1)-H",0,0,0,0,0,0,"12.6584708333333","12.9584708333333","2622","","PMeOH(27:0_16:1)-H",0,0,0,0,0,0,"12.6584708333333","12.9584708333333","2622","","PMeOH(27:0_16:1)-H",0,0,0,0,0,0,"12.6584708333333","12.9584708333333","2622","","PMeOH(27:0_16:1)-H",0,0,0,0,0,0,"12.6584708333333","12.9584708333333","2622","","PMeOH(27:0_16:1)-H",0,0,0,0,0,0,"12.6584708333333","12.9584708333333","2622","","PMeOH(27:0_16:1)-H","813.6378","421.2363","577.424","253.2166","409.4043","167.0115","12.6584708333333","12.9584708333333","2622"
"","PMeOH(20:1_16:2)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PMeOH(20:1_16:2)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PMeOH(20:1_16:2)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PMeOH(20:1_16:2)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PMeOH(20:1_16:2)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PMeOH(20:1_16:2)-H","711.497","419.2206","477.2988","251.201","309.2792","167.0115","4.49487916666667","4.79487916666667","8972"
"","PMeOH(27:0_16:2)-H",0,0,0,0,0,0,"12.0062194444444","12.3062194444444","4054","","PMeOH(27:0_16:2)-H",0,0,0,0,0,0,"12.0062194444444","12.3062194444444","4054","","PMeOH(27:0_16:2)-H",0,0,0,0,0,0,"12.0062194444444","12.3062194444444","4054","","PMeOH(27:0_16:2)-H",0,0,0,0,0,0,"12.0062194444444","12.3062194444444","4054","","PMeOH(27:0_16:2)-H",0,0,0,0,0,0,"12.0062194444444","12.3062194444444","4054","","PMeOH(27:0_16:2)-H","811.6222","419.2207","577.424","251.201","409.4043","167.0115","12.0062194444444","12.3062194444444","4054"
"","PMeOH(20:0_16:3)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PMeOH(20:0_16:3)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PMeOH(20:0_16:3)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PMeOH(20:0_16:3)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PMeOH(20:0_16:3)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PMeOH(20:0_16:3)-H","711.497","417.2049","479.3144","249.1853","311.2948","167.0115","4.49487916666667","4.79487916666667","8972"
"","PMeOH(16:3_26:4)-H",0,0,0,0,0,0,"5.90351666666667","6.20351666666667","11923","","PMeOH(16:3_26:4)-H",0,0,0,0,0,0,"5.90351666666667","6.20351666666667","11923","","PMeOH(16:3_26:4)-H",0,0,0,0,0,0,"5.90351666666667","6.20351666666667","11923","","PMeOH(16:3_26:4)-H",0,0,0,0,0,0,"5.90351666666667","6.20351666666667","11923","","PMeOH(16:3_26:4)-H",0,0,0,0,0,0,"5.90351666666667","6.20351666666667","11923","","PMeOH(16:3_26:4)-H","787.5283","555.3457","417.205","387.3261","249.1853","167.0115","5.90351666666667","6.20351666666667","11923"
"","PMeOH(17:0_20:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PMeOH(17:0_20:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PMeOH(17:0_20:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PMeOH(17:0_20:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PMeOH(17:0_20:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PMeOH(17:0_20:0)-H","731.5596","479.3145","437.2675","311.2948","269.2479","167.0115","11.1076555555556","11.4076555555556","7671"
"","PMeOH(17:0_22:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PMeOH(17:0_22:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PMeOH(17:0_22:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PMeOH(17:0_22:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PMeOH(17:0_22:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PMeOH(17:0_22:0)-H","759.5909","507.3458","437.2675","339.3261","269.2479","167.0115","11.8773597222222","12.1773597222222","4216"
"","PMeOH(17:0_22:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PMeOH(17:0_22:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PMeOH(17:0_22:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PMeOH(17:0_22:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PMeOH(17:0_22:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PMeOH(17:0_22:1)-H","757.5753","505.3302","437.2676","337.3105","269.2479","167.0115","11.2052194444444","11.5052194444444","5081"
"","PMeOH(17:0_24:0)-H",0,0,0,0,0,0,"12.5862263888889","12.8862263888889","2975","","PMeOH(17:0_24:0)-H",0,0,0,0,0,0,"12.5862263888889","12.8862263888889","2975","","PMeOH(17:0_24:0)-H",0,0,0,0,0,0,"12.5862263888889","12.8862263888889","2975","","PMeOH(17:0_24:0)-H",0,0,0,0,0,0,"12.5862263888889","12.8862263888889","2975","","PMeOH(17:0_24:0)-H",0,0,0,0,0,0,"12.5862263888889","12.8862263888889","2975","","PMeOH(17:0_24:0)-H","787.6222","535.3771","437.2676","367.3574","269.2479","167.0115","12.5862263888889","12.8862263888889","2975"
"","PMeOH(17:0_24:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PMeOH(17:0_24:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PMeOH(17:0_24:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PMeOH(17:0_24:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PMeOH(17:0_24:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PMeOH(17:0_24:1)-H","785.6065","533.3614","437.2675","365.3417","269.2479","167.0115","11.9665222222222","12.2665222222222","3510"
"","PMeOH(17:0_26:0)-H",0,0,0,0,0,0,"13.2440986111111","13.5440986111111","2408","","PMeOH(17:0_26:0)-H",0,0,0,0,0,0,"13.2440986111111","13.5440986111111","2408","","PMeOH(17:0_26:0)-H",0,0,0,0,0,0,"13.2440986111111","13.5440986111111","2408","","PMeOH(17:0_26:0)-H",0,0,0,0,0,0,"13.2440986111111","13.5440986111111","2408","","PMeOH(17:0_26:0)-H",0,0,0,0,0,0,"13.2440986111111","13.5440986111111","2408","","PMeOH(17:0_26:0)-H","815.6535","563.4084","437.2676","395.3887","269.2479","167.0115","13.2440986111111","13.5440986111111","2408"
