"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","HexCer-NDS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","RT at Max Intensity","HexCer-NDS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Number of Scans","HexCer-NDS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Max Intensity","HexCer-NDS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Average m/z","HexCer-NDS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","HexCer-NDS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment"
"","HexCer-NDS(d14:0/20:2)+H",0,0,0,0,0,0,0,0,"5.1868696969697","5.4868696969697","5264","","HexCer-NDS(d14:0/20:2)+H",0,0,0,0,0,0,0,0,"5.1868696969697","5.4868696969697","5264","","HexCer-NDS(d14:0/20:2)+H",0,0,0,0,0,0,0,0,"5.1868696969697","5.4868696969697","5264","","HexCer-NDS(d14:0/20:2)+H",0,0,0,0,0,0,0,0,"5.1868696969697","5.4868696969697","5264","","HexCer-NDS(d14:0/20:2)+H",0,0,0,0,0,0,0,0,"5.1868696969697","5.4868696969697","5264","","HexCer-NDS(d14:0/20:2)+H","698.5571","536.5043","518.4937","500.4831","228.2322","210.2216","308.2948","198.2216","5.1868696969697","5.4868696969697","5264"
"","HexCer-NDS(d14:0/20:2)+H",0,0,0,0,0,0,0,0,"5.19360416666667","5.49360416666667","13084","","HexCer-NDS(d14:0/20:2)+H",0,0,0,0,0,0,0,0,"5.19360416666667","5.49360416666667","13084","","HexCer-NDS(d14:0/20:2)+H",0,0,0,0,0,0,0,0,"5.19360416666667","5.49360416666667","13084","","HexCer-NDS(d14:0/20:2)+H",0,0,0,0,0,0,0,0,"5.19360416666667","5.49360416666667","13084","","HexCer-NDS(d14:0/20:2)+H",0,0,0,0,0,0,0,0,"5.19360416666667","5.49360416666667","13084","","HexCer-NDS(d14:0/20:2)+H","698.5571","536.5043","518.4937","500.4831","228.2322","210.2216","308.2948","198.2216","5.19360416666667","5.49360416666667","13084"
"","HexCer-NDS(d14:0/21:1)+H",0,0,0,0,0,0,0,0,"8.68942916666667","8.98942916666667","8501","","HexCer-NDS(d14:0/21:1)+H",0,0,0,0,0,0,0,0,"8.68942916666667","8.98942916666667","8501","","HexCer-NDS(d14:0/21:1)+H",0,0,0,0,0,0,0,0,"8.68942916666667","8.98942916666667","8501","","HexCer-NDS(d14:0/21:1)+H",0,0,0,0,0,0,0,0,"8.68942916666667","8.98942916666667","8501","","HexCer-NDS(d14:0/21:1)+H",0,0,0,0,0,0,0,0,"8.68942916666667","8.98942916666667","8501","","HexCer-NDS(d14:0/21:1)+H","714.5884","552.5356","534.525","516.5144","228.2322","210.2216","324.3261","198.2216","8.68942916666667","8.98942916666667","8501"
"","HexCer-NDS(d14:0/22:1)+H",0,0,0,0,0,0,0,0,"7.61792777777778","7.91792777777778","2666","","HexCer-NDS(d14:0/22:1)+H",0,0,0,0,0,0,0,0,"7.61792777777778","7.91792777777778","2666","","HexCer-NDS(d14:0/22:1)+H",0,0,0,0,0,0,0,0,"7.61792777777778","7.91792777777778","2666","","HexCer-NDS(d14:0/22:1)+H",0,0,0,0,0,0,0,0,"7.61792777777778","7.91792777777778","2666","","HexCer-NDS(d14:0/22:1)+H",0,0,0,0,0,0,0,0,"7.61792777777778","7.91792777777778","2666","","HexCer-NDS(d14:0/22:1)+H","728.6041","566.5512","548.5406","530.5301","228.2322","210.2216","338.3417","198.2216","7.61792777777778","7.91792777777778","2666"
"","HexCer-NDS(d14:0/24:1)+H",0,0,0,0,0,0,0,0,"8.72719305555555","9.02719305555555","2137","","HexCer-NDS(d14:0/24:1)+H",0,0,0,0,0,0,0,0,"8.72719305555555","9.02719305555555","2137","","HexCer-NDS(d14:0/24:1)+H",0,0,0,0,0,0,0,0,"8.72719305555555","9.02719305555555","2137","","HexCer-NDS(d14:0/24:1)+H",0,0,0,0,0,0,0,0,"8.72719305555555","9.02719305555555","2137","","HexCer-NDS(d14:0/24:1)+H",0,0,0,0,0,0,0,0,"8.72719305555555","9.02719305555555","2137","","HexCer-NDS(d14:0/24:1)+H","756.6353","594.5825","576.572","558.5613","228.2322","210.2216","366.373","198.2216","8.72719305555555","9.02719305555555","2137"
"","HexCer-NDS(d14:0/24:1)+H",0,0,0,0,0,0,0,0,"9.20191944444444","9.50191944444444","6842","","HexCer-NDS(d14:0/24:1)+H",0,0,0,0,0,0,0,0,"9.20191944444444","9.50191944444444","6842","","HexCer-NDS(d14:0/24:1)+H",0,0,0,0,0,0,0,0,"9.20191944444444","9.50191944444444","6842","","HexCer-NDS(d14:0/24:1)+H",0,0,0,0,0,0,0,0,"9.20191944444444","9.50191944444444","6842","","HexCer-NDS(d14:0/24:1)+H",0,0,0,0,0,0,0,0,"9.20191944444444","9.50191944444444","6842","","HexCer-NDS(d14:0/24:1)+H","756.6353","594.5825","576.572","558.5613","228.2322","210.2216","366.373","198.2216","9.20191944444444","9.50191944444444","6842"
"","HexCer-NDS(d14:0/24:1)+H",0,0,0,0,0,0,0,0,"9.20142222222222","9.50142222222222","13508","","HexCer-NDS(d14:0/24:1)+H",0,0,0,0,0,0,0,0,"9.20142222222222","9.50142222222222","13508","","HexCer-NDS(d14:0/24:1)+H",0,0,0,0,0,0,0,0,"9.20142222222222","9.50142222222222","13508","","HexCer-NDS(d14:0/24:1)+H",0,0,0,0,0,0,0,0,"9.20142222222222","9.50142222222222","13508","","HexCer-NDS(d14:0/24:1)+H",0,0,0,0,0,0,0,0,"9.20142222222222","9.50142222222222","13508","","HexCer-NDS(d14:0/24:1)+H","756.6353","594.5825","576.572","558.5613","228.2322","210.2216","366.373","198.2216","9.20142222222222","9.50142222222222","13508"
"","HexCer-NDS(d14:0/24:2)+H",0,0,0,0,0,0,0,0,"7.74322222222222","8.04322222222222","9868","","HexCer-NDS(d14:0/24:2)+H",0,0,0,0,0,0,0,0,"7.74322222222222","8.04322222222222","9868","","HexCer-NDS(d14:0/24:2)+H",0,0,0,0,0,0,0,0,"7.74322222222222","8.04322222222222","9868","","HexCer-NDS(d14:0/24:2)+H",0,0,0,0,0,0,0,0,"7.74322222222222","8.04322222222222","9868","","HexCer-NDS(d14:0/24:2)+H",0,0,0,0,0,0,0,0,"7.74322222222222","8.04322222222222","9868","","HexCer-NDS(d14:0/24:2)+H","754.6197","592.5668","574.5563","556.5457","228.2322","210.2216","364.3574","198.2216","7.74322222222222","8.04322222222222","9868"
"","HexCer-NDS(d14:0/24:2)+H",0,0,0,0,0,0,0,0,"6.96971944444444","7.26971944444444","11887","","HexCer-NDS(d14:0/24:2)+H",0,0,0,0,0,0,0,0,"6.96971944444444","7.26971944444444","11887","","HexCer-NDS(d14:0/24:2)+H",0,0,0,0,0,0,0,0,"6.96971944444444","7.26971944444444","11887","","HexCer-NDS(d14:0/24:2)+H",0,0,0,0,0,0,0,0,"6.96971944444444","7.26971944444444","11887","","HexCer-NDS(d14:0/24:2)+H",0,0,0,0,0,0,0,0,"6.96971944444444","7.26971944444444","11887","","HexCer-NDS(d14:0/24:2)+H","754.6197","592.5668","574.5563","556.5457","228.2322","210.2216","364.3574","198.2216","6.96971944444444","7.26971944444444","11887"
"","HexCer-NDS(d14:0/24:2)+H",0,0,0,0,0,0,0,0,"6.79748055555556","7.09748055555556","16139","","HexCer-NDS(d14:0/24:2)+H",0,0,0,0,0,0,0,0,"6.79748055555556","7.09748055555556","16139","","HexCer-NDS(d14:0/24:2)+H",0,0,0,0,0,0,0,0,"6.79748055555556","7.09748055555556","16139","","HexCer-NDS(d14:0/24:2)+H",0,0,0,0,0,0,0,0,"6.79748055555556","7.09748055555556","16139","","HexCer-NDS(d14:0/24:2)+H",0,0,0,0,0,0,0,0,"6.79748055555556","7.09748055555556","16139","","HexCer-NDS(d14:0/24:2)+H","754.6197","592.5668","574.5563","556.5457","228.2322","210.2216","364.3574","198.2216","6.79748055555556","7.09748055555556","16139"
