"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","HBMP","[M+NH4]+","[M-SN3-H3O4P]+","[SN2+C3H4O2+H]+","[SN3+C3H4O2+H]+","[SN1+C3H4O2+H]+","RT_min","RT_max","Comment","RT at Max Intensity","HBMP","[M+NH4]+","[M-SN3-H3O4P]+","[SN2+C3H4O2+H]+","[SN3+C3H4O2+H]+","[SN1+C3H4O2+H]+","RT_min","RT_max","Comment","Number of Scans","HBMP","[M+NH4]+","[M-SN3-H3O4P]+","[SN2+C3H4O2+H]+","[SN3+C3H4O2+H]+","[SN1+C3H4O2+H]+","RT_min","RT_max","Comment","Max Intensity","HBMP","[M+NH4]+","[M-SN3-H3O4P]+","[SN2+C3H4O2+H]+","[SN3+C3H4O2+H]+","[SN1+C3H4O2+H]+","RT_min","RT_max","Comment","Average m/z","HBMP","[M+NH4]+","[M-SN3-H3O4P]+","[SN2+C3H4O2+H]+","[SN3+C3H4O2+H]+","[SN1+C3H4O2+H]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","HBMP","[M+NH4]+","[M-SN3-H3O4P]+","[SN2+C3H4O2+H]+","[SN3+C3H4O2+H]+","[SN1+C3H4O2+H]+","RT_min","RT_max","Comment"
"","HBMP(12:0_12:0_18:2)+NH4",0,0,0,0,0,"9.5629125","9.8629125","8398","","HBMP(12:0_12:0_18:2)+NH4",0,0,0,0,0,"9.5629125","9.8629125","8398","","HBMP(12:0_12:0_18:2)+NH4",0,0,0,0,0,"9.5629125","9.8629125","8398","","HBMP(12:0_12:0_18:2)+NH4",0,0,0,0,0,"9.5629125","9.8629125","8398","","HBMP(12:0_12:0_18:2)+NH4",0,0,0,0,0,"9.5629125","9.8629125","8398","","HBMP(12:0_12:0_18:2)+NH4","890.6486","439.3787","257.2112","337.2737","257.2112","9.5629125","9.8629125","8398"
"","HBMP(12:0_12:0_18:2)+NH4",0,0,0,0,0,"8.89693611111111","9.19693611111111","14218","","HBMP(12:0_12:0_18:2)+NH4",0,0,0,0,0,"8.89693611111111","9.19693611111111","14218","","HBMP(12:0_12:0_18:2)+NH4",0,0,0,0,0,"8.89693611111111","9.19693611111111","14218","","HBMP(12:0_12:0_18:2)+NH4",0,0,0,0,0,"8.89693611111111","9.19693611111111","14218","","HBMP(12:0_12:0_18:2)+NH4",0,0,0,0,0,"8.89693611111111","9.19693611111111","14218","","HBMP(12:0_12:0_18:2)+NH4","890.6486","439.3787","257.2112","337.2737","257.2112","8.89693611111111","9.19693611111111","14218"
"","HBMP(12:0_12:0_18:2)+NH4",0,0,0,0,0,"9.0764","9.3764","18110","","HBMP(12:0_12:0_18:2)+NH4",0,0,0,0,0,"9.0764","9.3764","18110","","HBMP(12:0_12:0_18:2)+NH4",0,0,0,0,0,"9.0764","9.3764","18110","","HBMP(12:0_12:0_18:2)+NH4",0,0,0,0,0,"9.0764","9.3764","18110","","HBMP(12:0_12:0_18:2)+NH4",0,0,0,0,0,"9.0764","9.3764","18110","","HBMP(12:0_12:0_18:2)+NH4","890.6486","439.3787","257.2112","337.2737","257.2112","9.0764","9.3764","18110"
"","HBMP(12:0_12:0_18:5)+NH4",0,0,0,0,0,"5.58934861111111","5.88934861111111","13481","","HBMP(12:0_12:0_18:5)+NH4",0,0,0,0,0,"5.58934861111111","5.88934861111111","13481","","HBMP(12:0_12:0_18:5)+NH4",0,0,0,0,0,"5.58934861111111","5.88934861111111","13481","","HBMP(12:0_12:0_18:5)+NH4",0,0,0,0,0,"5.58934861111111","5.88934861111111","13481","","HBMP(12:0_12:0_18:5)+NH4",0,0,0,0,0,"5.58934861111111","5.88934861111111","13481","","HBMP(12:0_12:0_18:5)+NH4","884.6017","439.3787","257.2112","331.2268","257.2112","5.58934861111111","5.88934861111111","13481"
"","HBMP(12:0_12:0_20:2)+NH4",0,0,0,0,0,"9.78410833333333","10.0841083333333","4023","","HBMP(12:0_12:0_20:2)+NH4",0,0,0,0,0,"9.78410833333333","10.0841083333333","4023","","HBMP(12:0_12:0_20:2)+NH4",0,0,0,0,0,"9.78410833333333","10.0841083333333","4023","","HBMP(12:0_12:0_20:2)+NH4",0,0,0,0,0,"9.78410833333333","10.0841083333333","4023","","HBMP(12:0_12:0_20:2)+NH4",0,0,0,0,0,"9.78410833333333","10.0841083333333","4023","","HBMP(12:0_12:0_20:2)+NH4","918.6799","439.3787","257.2112","365.3051","257.2112","9.78410833333333","10.0841083333333","4023"
"","HBMP(12:0_12:0_22:2)+NH4",0,0,0,0,0,"10.6110569444444","10.9110569444444","5737","","HBMP(12:0_12:0_22:2)+NH4",0,0,0,0,0,"10.6110569444444","10.9110569444444","5737","","HBMP(12:0_12:0_22:2)+NH4",0,0,0,0,0,"10.6110569444444","10.9110569444444","5737","","HBMP(12:0_12:0_22:2)+NH4",0,0,0,0,0,"10.6110569444444","10.9110569444444","5737","","HBMP(12:0_12:0_22:2)+NH4",0,0,0,0,0,"10.6110569444444","10.9110569444444","5737","","HBMP(12:0_12:0_22:2)+NH4","946.7112","439.3787","257.2112","393.3363","257.2112","10.6110569444444","10.9110569444444","5737"
"","HBMP(12:0_12:0_22:3)+NH4",0,0,0,0,0,"9.8998875","10.1998875","4975","","HBMP(12:0_12:0_22:3)+NH4",0,0,0,0,0,"9.8998875","10.1998875","4975","","HBMP(12:0_12:0_22:3)+NH4",0,0,0,0,0,"9.8998875","10.1998875","4975","","HBMP(12:0_12:0_22:3)+NH4",0,0,0,0,0,"9.8998875","10.1998875","4975","","HBMP(12:0_12:0_22:3)+NH4",0,0,0,0,0,"9.8998875","10.1998875","4975","","HBMP(12:0_12:0_22:3)+NH4","944.6956","439.3787","257.2112","391.3207","257.2112","9.8998875","10.1998875","4975"
"","HBMP(12:0_12:0_22:4)+NH4",0,0,0,0,0,"9.19669166666667","9.49669166666667","6142","","HBMP(12:0_12:0_22:4)+NH4",0,0,0,0,0,"9.19669166666667","9.49669166666667","6142","","HBMP(12:0_12:0_22:4)+NH4",0,0,0,0,0,"9.19669166666667","9.49669166666667","6142","","HBMP(12:0_12:0_22:4)+NH4",0,0,0,0,0,"9.19669166666667","9.49669166666667","6142","","HBMP(12:0_12:0_22:4)+NH4",0,0,0,0,0,"9.19669166666667","9.49669166666667","6142","","HBMP(12:0_12:0_22:4)+NH4","942.6799","439.3787","257.2112","389.3051","257.2112","9.19669166666667","9.49669166666667","6142"
"","HBMP(12:0_14:0_12:0)+NH4",0,0,0,0,0,"0.252780555555556","0.552780555555556","388","","HBMP(12:0_14:0_12:0)+NH4",0,0,0,0,0,"0.252780555555556","0.552780555555556","388","","HBMP(12:0_14:0_12:0)+NH4",0,0,0,0,0,"0.252780555555556","0.552780555555556","388","","HBMP(12:0_14:0_12:0)+NH4",0,0,0,0,0,"0.252780555555556","0.552780555555556","388","","HBMP(12:0_14:0_12:0)+NH4",0,0,0,0,0,"0.252780555555556","0.552780555555556","388","","HBMP(12:0_14:0_12:0)+NH4","838.6173","467.41","285.2424","257.2112","257.2112","0.252780555555556","0.552780555555556","388"
"","HBMP(12:0_14:0_12:0)+NH4",0,0,0,0,0,"0.436625","0.736625","14471","","HBMP(12:0_14:0_12:0)+NH4",0,0,0,0,0,"0.436625","0.736625","14471","","HBMP(12:0_14:0_12:0)+NH4",0,0,0,0,0,"0.436625","0.736625","14471","","HBMP(12:0_14:0_12:0)+NH4",0,0,0,0,0,"0.436625","0.736625","14471","","HBMP(12:0_14:0_12:0)+NH4",0,0,0,0,0,"0.436625","0.736625","14471","","HBMP(12:0_14:0_12:0)+NH4","838.6173","467.41","285.2424","257.2112","257.2112","0.436625","0.736625","14471"
"","HBMP(12:0_14:0_14:0)+NH4",0,0,0,0,0,"0.241907575757576","0.541907575757576","16664","","HBMP(12:0_14:0_14:0)+NH4",0,0,0,0,0,"0.241907575757576","0.541907575757576","16664","","HBMP(12:0_14:0_14:0)+NH4",0,0,0,0,0,"0.241907575757576","0.541907575757576","16664","","HBMP(12:0_14:0_14:0)+NH4",0,0,0,0,0,"0.241907575757576","0.541907575757576","16664","","HBMP(12:0_14:0_14:0)+NH4",0,0,0,0,0,"0.241907575757576","0.541907575757576","16664","","HBMP(12:0_14:0_14:0)+NH4","866.6486","467.41","285.2424","285.2424","257.2112","0.241907575757576","0.541907575757576","16664"
