"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PEG","[M+?]+","fragment 1","fragment 2","RT_min","RT_max","Comment","RT at Max Intensity","PEG","[M+?]+","fragment 1","fragment 2","RT_min","RT_max","Comment","Number of Scans","PEG","[M+?]+","fragment 1","fragment 2","RT_min","RT_max","Comment","Max Intensity","PEG","[M+?]+","fragment 1","fragment 2","RT_min","RT_max","Comment","Average m/z","PEG","[M+?]+","fragment 1","fragment 2","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PEG","[M+?]+","fragment 1","fragment 2","RT_min","RT_max","Comment"
"","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"10.1340916666667","10.4340916666667","7023","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"10.1340916666667","10.4340916666667","7023","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"10.1340916666667","10.4340916666667","7023","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"10.1340916666667","10.4340916666667","7023","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"10.1340916666667","10.4340916666667","7023","","PEG(n=3_Na+_CH2=3_DBE=3_)","209.079","89.0602","133.0859","10.1340916666667","10.4340916666667","7023"
"","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"9.20958611111111","9.50958611111111","7030","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"9.20958611111111","9.50958611111111","7030","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"9.20958611111111","9.50958611111111","7030","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"9.20958611111111","9.50958611111111","7030","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"9.20958611111111","9.50958611111111","7030","","PEG(n=3_Na+_CH2=3_DBE=3_)","209.079","89.0602","133.0859","9.20958611111111","9.50958611111111","7030"
"","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"5.64886944444444","5.94886944444444","7222","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"5.64886944444444","5.94886944444444","7222","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"5.64886944444444","5.94886944444444","7222","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"5.64886944444444","5.94886944444444","7222","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"5.64886944444444","5.94886944444444","7222","","PEG(n=3_Na+_CH2=3_DBE=3_)","209.079","89.0602","133.0859","5.64886944444444","5.94886944444444","7222"
"","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"7.76920277777778","8.06920277777778","7346","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"7.76920277777778","8.06920277777778","7346","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"7.76920277777778","8.06920277777778","7346","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"7.76920277777778","8.06920277777778","7346","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"7.76920277777778","8.06920277777778","7346","","PEG(n=3_Na+_CH2=3_DBE=3_)","209.079","89.0602","133.0859","7.76920277777778","8.06920277777778","7346"
"","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"6.05889027777778","6.35889027777778","7695","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"6.05889027777778","6.35889027777778","7695","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"6.05889027777778","6.35889027777778","7695","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"6.05889027777778","6.35889027777778","7695","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"6.05889027777778","6.35889027777778","7695","","PEG(n=3_Na+_CH2=3_DBE=3_)","209.079","89.0602","133.0859","6.05889027777778","6.35889027777778","7695"
"","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"0.450651388888889","0.750651388888889","7972","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"0.450651388888889","0.750651388888889","7972","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"0.450651388888889","0.750651388888889","7972","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"0.450651388888889","0.750651388888889","7972","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"0.450651388888889","0.750651388888889","7972","","PEG(n=3_Na+_CH2=3_DBE=3_)","209.079","89.0602","133.0859","0.450651388888889","0.750651388888889","7972"
"","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"6.8912","7.1912","8483","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"6.8912","7.1912","8483","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"6.8912","7.1912","8483","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"6.8912","7.1912","8483","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"6.8912","7.1912","8483","","PEG(n=3_Na+_CH2=3_DBE=3_)","209.079","89.0602","133.0859","6.8912","7.1912","8483"
"","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"4.84337916666667","5.14337916666667","8557","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"4.84337916666667","5.14337916666667","8557","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"4.84337916666667","5.14337916666667","8557","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"4.84337916666667","5.14337916666667","8557","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"4.84337916666667","5.14337916666667","8557","","PEG(n=3_Na+_CH2=3_DBE=3_)","209.079","89.0602","133.0859","4.84337916666667","5.14337916666667","8557"
"","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"2.67705416666667","2.97705416666667","8718","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"2.67705416666667","2.97705416666667","8718","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"2.67705416666667","2.97705416666667","8718","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"2.67705416666667","2.97705416666667","8718","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"2.67705416666667","2.97705416666667","8718","","PEG(n=3_Na+_CH2=3_DBE=3_)","209.079","89.0602","133.0859","2.67705416666667","2.97705416666667","8718"
"","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"8.61004305555556","8.91004305555556","10220","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"8.61004305555556","8.91004305555556","10220","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"8.61004305555556","8.91004305555556","10220","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"8.61004305555556","8.91004305555556","10220","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"8.61004305555556","8.91004305555556","10220","","PEG(n=3_Na+_CH2=3_DBE=3_)","209.079","89.0602","133.0859","8.61004305555556","8.91004305555556","10220"
"","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"7.95448472222222","8.25448472222222","10479","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"7.95448472222222","8.25448472222222","10479","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"7.95448472222222","8.25448472222222","10479","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"7.95448472222222","8.25448472222222","10479","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"7.95448472222222","8.25448472222222","10479","","PEG(n=3_Na+_CH2=3_DBE=3_)","209.079","89.0602","133.0859","7.95448472222222","8.25448472222222","10479"
