"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","ether-PS","[M+H]+","NL_head","NL_T2_RCOOH","T2_RCO+","RT_min","RT_max","Comment","RT at Max Intensity","ether-PS","[M+H]+","NL_head","NL_T2_RCOOH","T2_RCO+","RT_min","RT_max","Comment","Number of Scans","ether-PS","[M+H]+","NL_head","NL_T2_RCOOH","T2_RCO+","RT_min","RT_max","Comment","Max Intensity","ether-PS","[M+H]+","NL_head","NL_T2_RCOOH","T2_RCO+","RT_min","RT_max","Comment","Average m/z","ether-PS","[M+H]+","NL_head","NL_T2_RCOOH","T2_RCO+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","ether-PS","[M+H]+","NL_head","NL_T2_RCOOH","T2_RCO+","RT_min","RT_max","Comment"
"","Plasmanyl-PS(O-16:0/20:1)+H",0,0,0,0,"4.86781666666667","5.16781666666667","13186","","Plasmanyl-PS(O-16:0/20:1)+H",0,0,0,0,"4.86781666666667","5.16781666666667","13186","","Plasmanyl-PS(O-16:0/20:1)+H",0,0,0,0,"4.86781666666667","5.16781666666667","13186","","Plasmanyl-PS(O-16:0/20:1)+H",0,0,0,0,"4.86781666666667","5.16781666666667","13186","","Plasmanyl-PS(O-16:0/20:1)+H",0,0,0,0,"4.86781666666667","5.16781666666667","13186","","Plasmanyl-PS(O-16:0/20:1)+H","776.58009","591.57114","299.29449","293.28395","4.86781666666667","5.16781666666667","13186"
"","Plasmanyl-PS(O-16:0/20:2)+H",1,0,0,0,"5.07425277777778","5.37425277777778","330","","Plasmanyl-PS(O-16:0/20:2)+H",5.172553,0,0,0,"5.07425277777778","5.37425277777778","330","","Plasmanyl-PS(O-16:0/20:2)+H",2,0,0,0,"5.07425277777778","5.37425277777778","330","","Plasmanyl-PS(O-16:0/20:2)+H",494380.4,0,0,0,"5.07425277777778","5.37425277777778","330","","Plasmanyl-PS(O-16:0/20:2)+H",774.5666,0,0,0,"5.07425277777778","5.37425277777778","330","","Plasmanyl-PS(O-16:0/20:2)+H","774.56439","589.55544","299.29449","291.26825","5.07425277777778","5.37425277777778","330"
"","Plasmanyl-PS(O-16:0/20:2)+H",0,0,0,0,"3.15768333333333","3.45768333333333","3664","","Plasmanyl-PS(O-16:0/20:2)+H",0,0,0,0,"3.15768333333333","3.45768333333333","3664","","Plasmanyl-PS(O-16:0/20:2)+H",0,0,0,0,"3.15768333333333","3.45768333333333","3664","","Plasmanyl-PS(O-16:0/20:2)+H",0,0,0,0,"3.15768333333333","3.45768333333333","3664","","Plasmanyl-PS(O-16:0/20:2)+H",0,0,0,0,"3.15768333333333","3.45768333333333","3664","","Plasmanyl-PS(O-16:0/20:2)+H","774.56439","589.55544","299.29449","291.26825","3.15768333333333","3.45768333333333","3664"
"","Plasmanyl-PS(O-16:0/20:2)+H",0,0,0,0,"2.97523055555556","3.27523055555556","11461","","Plasmanyl-PS(O-16:0/20:2)+H",0,0,0,0,"2.97523055555556","3.27523055555556","11461","","Plasmanyl-PS(O-16:0/20:2)+H",0,0,0,0,"2.97523055555556","3.27523055555556","11461","","Plasmanyl-PS(O-16:0/20:2)+H",0,0,0,0,"2.97523055555556","3.27523055555556","11461","","Plasmanyl-PS(O-16:0/20:2)+H",0,0,0,0,"2.97523055555556","3.27523055555556","11461","","Plasmanyl-PS(O-16:0/20:2)+H","774.56439","589.55544","299.29449","291.26825","2.97523055555556","3.27523055555556","11461"
"","Plasmanyl-PS(O-16:0/20:2)+H",0,0,0,0,"5.33678333333333","5.63678333333333","17206","","Plasmanyl-PS(O-16:0/20:2)+H",0,0,0,0,"5.33678333333333","5.63678333333333","17206","","Plasmanyl-PS(O-16:0/20:2)+H",0,0,0,0,"5.33678333333333","5.63678333333333","17206","","Plasmanyl-PS(O-16:0/20:2)+H",0,0,0,0,"5.33678333333333","5.63678333333333","17206","","Plasmanyl-PS(O-16:0/20:2)+H",0,0,0,0,"5.33678333333333","5.63678333333333","17206","","Plasmanyl-PS(O-16:0/20:2)+H","774.56439","589.55544","299.29449","291.26825","5.33678333333333","5.63678333333333","17206"
"","Plasmanyl-PS(O-16:0/20:3)+H",0,0,0,0,"4.90192222222222","5.20192222222222","778","","Plasmanyl-PS(O-16:0/20:3)+H",0,0,0,0,"4.90192222222222","5.20192222222222","778","","Plasmanyl-PS(O-16:0/20:3)+H",0,0,0,0,"4.90192222222222","5.20192222222222","778","","Plasmanyl-PS(O-16:0/20:3)+H",0,0,0,0,"4.90192222222222","5.20192222222222","778","","Plasmanyl-PS(O-16:0/20:3)+H",0,0,0,0,"4.90192222222222","5.20192222222222","778","","Plasmanyl-PS(O-16:0/20:3)+H","772.54879","587.53984","299.29449","289.25265","4.90192222222222","5.20192222222222","778"
"","Plasmanyl-PS(O-16:0/20:3)+H",0,0,0,0,"4.55881212121212","4.85881212121212","5700","","Plasmanyl-PS(O-16:0/20:3)+H",0,0,0,0,"4.55881212121212","4.85881212121212","5700","","Plasmanyl-PS(O-16:0/20:3)+H",0,0,0,0,"4.55881212121212","4.85881212121212","5700","","Plasmanyl-PS(O-16:0/20:3)+H",0,0,0,0,"4.55881212121212","4.85881212121212","5700","","Plasmanyl-PS(O-16:0/20:3)+H",0,0,0,0,"4.55881212121212","4.85881212121212","5700","","Plasmanyl-PS(O-16:0/20:3)+H","772.54879","587.53984","299.29449","289.25265","4.55881212121212","4.85881212121212","5700"
"","Plasmanyl-PS(O-16:0/20:3)+H",0,0,0,0,"4.11522916666667","4.41522916666667","8914","","Plasmanyl-PS(O-16:0/20:3)+H",0,0,0,0,"4.11522916666667","4.41522916666667","8914","","Plasmanyl-PS(O-16:0/20:3)+H",0,0,0,0,"4.11522916666667","4.41522916666667","8914","","Plasmanyl-PS(O-16:0/20:3)+H",0,0,0,0,"4.11522916666667","4.41522916666667","8914","","Plasmanyl-PS(O-16:0/20:3)+H",0,0,0,0,"4.11522916666667","4.41522916666667","8914","","Plasmanyl-PS(O-16:0/20:3)+H","772.54879","587.53984","299.29449","289.25265","4.11522916666667","4.41522916666667","8914"
"","Plasmanyl-PS(O-16:0/20:3)+H",0,0,0,0,"2.99686363636364","3.29686363636364","11064","","Plasmanyl-PS(O-16:0/20:3)+H",0,0,0,0,"2.99686363636364","3.29686363636364","11064","","Plasmanyl-PS(O-16:0/20:3)+H",0,0,0,0,"2.99686363636364","3.29686363636364","11064","","Plasmanyl-PS(O-16:0/20:3)+H",0,0,0,0,"2.99686363636364","3.29686363636364","11064","","Plasmanyl-PS(O-16:0/20:3)+H",0,0,0,0,"2.99686363636364","3.29686363636364","11064","","Plasmanyl-PS(O-16:0/20:3)+H","772.54879","587.53984","299.29449","289.25265","2.99686363636364","3.29686363636364","11064"
"","Plasmanyl-PS(O-16:0/20:3)+H",0,0,0,0,"4.55763333333333","4.85763333333333","13213","","Plasmanyl-PS(O-16:0/20:3)+H",0,0,0,0,"4.55763333333333","4.85763333333333","13213","","Plasmanyl-PS(O-16:0/20:3)+H",0,0,0,0,"4.55763333333333","4.85763333333333","13213","","Plasmanyl-PS(O-16:0/20:3)+H",0,0,0,0,"4.55763333333333","4.85763333333333","13213","","Plasmanyl-PS(O-16:0/20:3)+H",0,0,0,0,"4.55763333333333","4.85763333333333","13213","","Plasmanyl-PS(O-16:0/20:3)+H","772.54879","587.53984","299.29449","289.25265","4.55763333333333","4.85763333333333","13213"
"","Plasmanyl-PS(O-16:0/20:4)+H",0,0,0,0,"4.99114722222222","5.29114722222222","13206","","Plasmanyl-PS(O-16:0/20:4)+H",0,0,0,0,"4.99114722222222","5.29114722222222","13206","","Plasmanyl-PS(O-16:0/20:4)+H",0,0,0,0,"4.99114722222222","5.29114722222222","13206","","Plasmanyl-PS(O-16:0/20:4)+H",0,0,0,0,"4.99114722222222","5.29114722222222","13206","","Plasmanyl-PS(O-16:0/20:4)+H",0,0,0,0,"4.99114722222222","5.29114722222222","13206","","Plasmanyl-PS(O-16:0/20:4)+H","770.53309","585.52414","299.29449","287.23695","4.99114722222222","5.29114722222222","13206"
"","Plasmanyl-PS(O-16:0/22:1)+H",0,0,0,0,"7.25400972222222","7.55400972222222","2607","","Plasmanyl-PS(O-16:0/22:1)+H",0,0,0,0,"7.25400972222222","7.55400972222222","2607","","Plasmanyl-PS(O-16:0/22:1)+H",0,0,0,0,"7.25400972222222","7.55400972222222","2607","","Plasmanyl-PS(O-16:0/22:1)+H",0,0,0,0,"7.25400972222222","7.55400972222222","2607","","Plasmanyl-PS(O-16:0/22:1)+H",0,0,0,0,"7.25400972222222","7.55400972222222","2607","","Plasmanyl-PS(O-16:0/22:1)+H","804.61139","619.60244","299.29449","321.31525","7.25400972222222","7.55400972222222","2607"
"","Plasmanyl-PS(O-16:0/22:2)+H",0,0,0,0,"6.33237361111111","6.63237361111111","1954","","Plasmanyl-PS(O-16:0/22:2)+H",0,0,0,0,"6.33237361111111","6.63237361111111","1954","","Plasmanyl-PS(O-16:0/22:2)+H",0,0,0,0,"6.33237361111111","6.63237361111111","1954","","Plasmanyl-PS(O-16:0/22:2)+H",0,0,0,0,"6.33237361111111","6.63237361111111","1954","","Plasmanyl-PS(O-16:0/22:2)+H",0,0,0,0,"6.33237361111111","6.63237361111111","1954","","Plasmanyl-PS(O-16:0/22:2)+H","802.59569","617.58674","299.29449","319.29955","6.33237361111111","6.63237361111111","1954"
