"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment","RT at Max Intensity","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment","Number of Scans","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment","Max Intensity","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment","Average m/z","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment"
"","DGDG(12:0_16:0)+NH4",0,0,0,0,0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(12:0_16:0)+NH4",0,0,0,0,0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(12:0_16:0)+NH4",0,0,0,0,0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(12:0_16:0)+NH4",0,0,0,0,0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(12:0_16:0)+NH4",0,0,0,0,0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(12:0_16:0)+NH4","854.58392","513.45142","495.44085","313.2739","257.21134","183.17438","239.23694","0.539469444444444","0.839469444444444","4759"
"","DGDG(12:0_20:4)+NH4",0,0,0,0,0,0,0,"7.91595694444445","8.21595694444445","14544","","DGDG(12:0_20:4)+NH4",0,0,0,0,0,0,0,"7.91595694444445","8.21595694444445","14544","","DGDG(12:0_20:4)+NH4",0,0,0,0,0,0,0,"7.91595694444445","8.21595694444445","14544","","DGDG(12:0_20:4)+NH4",0,0,0,0,0,0,0,"7.91595694444445","8.21595694444445","14544","","DGDG(12:0_20:4)+NH4",0,0,0,0,0,0,0,"7.91595694444445","8.21595694444445","14544","","DGDG(12:0_20:4)+NH4","902.58392","561.45142","543.44085","361.2739","257.21134","183.17438","287.23694","7.91595694444445","8.21595694444445","14544"
"","DGDG(12:0_22:2)+NH4",0,0,0,0,0,0,0,"1.121775","1.421775","2851","","DGDG(12:0_22:2)+NH4",0,0,0,0,0,0,0,"1.121775","1.421775","2851","","DGDG(12:0_22:2)+NH4",0,0,0,0,0,0,0,"1.121775","1.421775","2851","","DGDG(12:0_22:2)+NH4",0,0,0,0,0,0,0,"1.121775","1.421775","2851","","DGDG(12:0_22:2)+NH4",0,0,0,0,0,0,0,"1.121775","1.421775","2851","","DGDG(12:0_22:2)+NH4","934.64652","593.51402","575.50345","393.3365","257.21138","183.17438","319.2995","1.121775","1.421775","2851"
"","DGDG(13:0_13:0)+NH4",0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","DGDG(13:0_13:0)+NH4",0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","DGDG(13:0_13:0)+NH4",0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","DGDG(13:0_13:0)+NH4",0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","DGDG(13:0_13:0)+NH4",0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","DGDG(13:0_13:0)+NH4","826.55262","485.42012","467.40955","271.22696","271.22696","197.19002","197.19002","1.55908055555556","1.85908055555556","18812"
"","DGDG(13:0_15:0)+NH4",0,0,0,0,0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(13:0_15:0)+NH4",0,0,0,0,0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(13:0_15:0)+NH4",0,0,0,0,0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(13:0_15:0)+NH4",0,0,0,0,0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(13:0_15:0)+NH4",0,0,0,0,0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(13:0_15:0)+NH4","854.58392","513.45142","495.44085","299.25826","271.22698","197.19002","225.2213","0.539469444444444","0.839469444444444","4759"
"","DGDG(14:0_14:0)+NH4",0,0,0,0,0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(14:0_14:0)+NH4",0,0,0,0,0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(14:0_14:0)+NH4",0,0,0,0,0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(14:0_14:0)+NH4",0,0,0,0,0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(14:0_14:0)+NH4",0,0,0,0,0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(14:0_14:0)+NH4","854.58392","513.45142","495.44085","285.24262","285.24262","211.20566","211.20566","0.539469444444444","0.839469444444444","4759"
"","DGDG(14:0_18:4)+NH4",0,0,0,0,0,0,0,"7.91595694444445","8.21595694444445","14544","","DGDG(14:0_18:4)+NH4",0,0,0,0,0,0,0,"7.91595694444445","8.21595694444445","14544","","DGDG(14:0_18:4)+NH4",0,0,0,0,0,0,0,"7.91595694444445","8.21595694444445","14544","","DGDG(14:0_18:4)+NH4",0,0,0,0,0,0,0,"7.91595694444445","8.21595694444445","14544","","DGDG(14:0_18:4)+NH4",0,0,0,0,0,0,0,"7.91595694444445","8.21595694444445","14544","","DGDG(14:0_18:4)+NH4","902.58392","561.45142","543.44085","333.24262","285.24262","211.20566","259.20566","7.91595694444445","8.21595694444445","14544"
"","DGDG(14:0_20:2)+NH4",0,0,0,0,0,0,0,"1.121775","1.421775","2851","","DGDG(14:0_20:2)+NH4",0,0,0,0,0,0,0,"1.121775","1.421775","2851","","DGDG(14:0_20:2)+NH4",0,0,0,0,0,0,0,"1.121775","1.421775","2851","","DGDG(14:0_20:2)+NH4",0,0,0,0,0,0,0,"1.121775","1.421775","2851","","DGDG(14:0_20:2)+NH4",0,0,0,0,0,0,0,"1.121775","1.421775","2851","","DGDG(14:0_20:2)+NH4","934.64652","593.51402","575.50345","365.30522","285.24266","211.20566","291.26822","1.121775","1.421775","2851"
"","DGDG(14:1_18:3)+NH4",0,0,0,0,0,0,0,"7.91595694444445","8.21595694444445","14544","","DGDG(14:1_18:3)+NH4",0,0,0,0,0,0,0,"7.91595694444445","8.21595694444445","14544","","DGDG(14:1_18:3)+NH4",0,0,0,0,0,0,0,"7.91595694444445","8.21595694444445","14544","","DGDG(14:1_18:3)+NH4",0,0,0,0,0,0,0,"7.91595694444445","8.21595694444445","14544","","DGDG(14:1_18:3)+NH4",0,0,0,0,0,0,0,"7.91595694444445","8.21595694444445","14544","","DGDG(14:1_18:3)+NH4","902.58392","561.45142","543.44085","335.25826","283.22698","209.19002","261.2213","7.91595694444445","8.21595694444445","14544"
"","DGDG(14:1_20:1)+NH4",0,0,0,0,0,0,0,"1.121775","1.421775","2851","","DGDG(14:1_20:1)+NH4",0,0,0,0,0,0,0,"1.121775","1.421775","2851","","DGDG(14:1_20:1)+NH4",0,0,0,0,0,0,0,"1.121775","1.421775","2851","","DGDG(14:1_20:1)+NH4",0,0,0,0,0,0,0,"1.121775","1.421775","2851","","DGDG(14:1_20:1)+NH4",0,0,0,0,0,0,0,"1.121775","1.421775","2851","","DGDG(14:1_20:1)+NH4","934.64652","593.51402","575.50345","367.32086","283.22702","209.19002","293.28386","1.121775","1.421775","2851"
"","DGDG(16:0_18:2)+NH4",0,0,0,0,0,0,0,"1.121775","1.421775","2851","","DGDG(16:0_18:2)+NH4",0,0,0,0,0,0,0,"1.121775","1.421775","2851","","DGDG(16:0_18:2)+NH4",0,0,0,0,0,0,0,"1.121775","1.421775","2851","","DGDG(16:0_18:2)+NH4",0,0,0,0,0,0,0,"1.121775","1.421775","2851","","DGDG(16:0_18:2)+NH4",0,0,0,0,0,0,0,"1.121775","1.421775","2851","","DGDG(16:0_18:2)+NH4","934.64652","593.51402","575.50345","337.27394","313.27394","239.23694","263.23694","1.121775","1.421775","2851"
"","DGDG(16:1_18:1)+NH4",0,0,0,0,0,0,0,"1.121775","1.421775","2851","","DGDG(16:1_18:1)+NH4",0,0,0,0,0,0,0,"1.121775","1.421775","2851","","DGDG(16:1_18:1)+NH4",0,0,0,0,0,0,0,"1.121775","1.421775","2851","","DGDG(16:1_18:1)+NH4",0,0,0,0,0,0,0,"1.121775","1.421775","2851","","DGDG(16:1_18:1)+NH4",0,0,0,0,0,0,0,"1.121775","1.421775","2851","","DGDG(16:1_18:1)+NH4","934.64652","593.51402","575.50345","339.28958","311.2583","237.2213","265.25258","1.121775","1.421775","2851"
"","DGDG(17:0_17:2)+NH4",0,0,0,0,0,0,0,"1.121775","1.421775","2851","","DGDG(17:0_17:2)+NH4",0,0,0,0,0,0,0,"1.121775","1.421775","2851","","DGDG(17:0_17:2)+NH4",0,0,0,0,0,0,0,"1.121775","1.421775","2851","","DGDG(17:0_17:2)+NH4",0,0,0,0,0,0,0,"1.121775","1.421775","2851","","DGDG(17:0_17:2)+NH4",0,0,0,0,0,0,0,"1.121775","1.421775","2851","","DGDG(17:0_17:2)+NH4","934.64652","593.51402","575.50345","323.2583","327.28958","253.25258","249.2213","1.121775","1.421775","2851"
"","DGDG(17:1_17:1)+NH4",0,0,0,0,0,0,0,"1.121775","1.421775","2851","","DGDG(17:1_17:1)+NH4",0,0,0,0,0,0,0,"1.121775","1.421775","2851","","DGDG(17:1_17:1)+NH4",0,0,0,0,0,0,0,"1.121775","1.421775","2851","","DGDG(17:1_17:1)+NH4",0,0,0,0,0,0,0,"1.121775","1.421775","2851","","DGDG(17:1_17:1)+NH4",0,0,0,0,0,0,0,"1.121775","1.421775","2851","","DGDG(17:1_17:1)+NH4","934.64652","593.51402","575.50345","325.27394","325.27394","251.23694","251.23694","1.121775","1.421775","2851"
"","DGDG(2:0_17:2)+NH4",0,0,0,0,0,0,0,"0.96205416666667","1.26205416666667","635","","DGDG(2:0_17:2)+NH4",0,0,0,0,0,0,0,"0.96205416666667","1.26205416666667","635","","DGDG(2:0_17:2)+NH4",0,0,0,0,0,0,0,"0.96205416666667","1.26205416666667","635","","DGDG(2:0_17:2)+NH4",0,0,0,0,0,0,0,"0.96205416666667","1.26205416666667","635","","DGDG(2:0_17:2)+NH4",0,0,0,0,0,0,0,"0.96205416666667","1.26205416666667","635","","DGDG(2:0_17:2)+NH4","724.41179","383.27929","365.26872","323.25817","117.05485","43.01798","249.2213","0.96205416666667","1.26205416666667","635"
"","DGDG(2:0_17:2)+NH4",0,0,0,0,0,0,0,"1.54891666666667","1.84891666666667","4067","","DGDG(2:0_17:2)+NH4",0,0,0,0,0,0,0,"1.54891666666667","1.84891666666667","4067","","DGDG(2:0_17:2)+NH4",0,0,0,0,0,0,0,"1.54891666666667","1.84891666666667","4067","","DGDG(2:0_17:2)+NH4",0,0,0,0,0,0,0,"1.54891666666667","1.84891666666667","4067","","DGDG(2:0_17:2)+NH4",0,0,0,0,0,0,0,"1.54891666666667","1.84891666666667","4067","","DGDG(2:0_17:2)+NH4","724.41179","383.27929","365.26872","323.25817","117.05485","43.01798","249.2213","1.54891666666667","1.84891666666667","4067"
"","DGDG(2:0_17:2)+NH4",0,0,0,0,0,0,0,"3.85230416666667","4.15230416666667","4482","","DGDG(2:0_17:2)+NH4",0,0,0,0,0,0,0,"3.85230416666667","4.15230416666667","4482","","DGDG(2:0_17:2)+NH4",0,0,0,0,0,0,0,"3.85230416666667","4.15230416666667","4482","","DGDG(2:0_17:2)+NH4",0,0,0,0,0,0,0,"3.85230416666667","4.15230416666667","4482","","DGDG(2:0_17:2)+NH4",0,0,0,0,0,0,0,"3.85230416666667","4.15230416666667","4482","","DGDG(2:0_17:2)+NH4","724.41179","383.27929","365.26872","323.25817","117.05485","43.01798","249.2213","3.85230416666667","4.15230416666667","4482"
"","DGDG(2:0_18:2)+NH4",0,0,0,0,0,0,0,"0.96245555555556","1.26245555555556","1029","","DGDG(2:0_18:2)+NH4",0,0,0,0,0,0,0,"0.96245555555556","1.26245555555556","1029","","DGDG(2:0_18:2)+NH4",0,0,0,0,0,0,0,"0.96245555555556","1.26245555555556","1029","","DGDG(2:0_18:2)+NH4",0,0,0,0,0,0,0,"0.96245555555556","1.26245555555556","1029","","DGDG(2:0_18:2)+NH4",0,0,0,0,0,0,0,"0.96245555555556","1.26245555555556","1029","","DGDG(2:0_18:2)+NH4","738.42742","397.29492","379.28435","337.2738","117.05484","43.01798","263.23694","0.96245555555556","1.26245555555556","1029"
"","DGDG(2:0_18:2)+NH4",0,0,0,0,0,0,0,"1.5597","1.8597","6228","","DGDG(2:0_18:2)+NH4",0,0,0,0,0,0,0,"1.5597","1.8597","6228","","DGDG(2:0_18:2)+NH4",0,0,0,0,0,0,0,"1.5597","1.8597","6228","","DGDG(2:0_18:2)+NH4",0,0,0,0,0,0,0,"1.5597","1.8597","6228","","DGDG(2:0_18:2)+NH4",0,0,0,0,0,0,0,"1.5597","1.8597","6228","","DGDG(2:0_18:2)+NH4","738.42742","397.29492","379.28435","337.2738","117.05484","43.01798","263.23694","1.5597","1.8597","6228"
