"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PG","[M+H]+","NL Head","FA1_NL_OH","FA2_NL_OH","exp_1","exp_2","exp_3","RT_min","RT_max","Comment","RT at Max Intensity","PG","[M+H]+","NL Head","FA1_NL_OH","FA2_NL_OH","exp_1","exp_2","exp_3","RT_min","RT_max","Comment","Number of Scans","PG","[M+H]+","NL Head","FA1_NL_OH","FA2_NL_OH","exp_1","exp_2","exp_3","RT_min","RT_max","Comment","Max Intensity","PG","[M+H]+","NL Head","FA1_NL_OH","FA2_NL_OH","exp_1","exp_2","exp_3","RT_min","RT_max","Comment","Average m/z","PG","[M+H]+","NL Head","FA1_NL_OH","FA2_NL_OH","exp_1","exp_2","exp_3","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PG","[M+H]+","NL Head","FA1_NL_OH","FA2_NL_OH","exp_1","exp_2","exp_3","RT_min","RT_max","Comment"
"","PG(10:0_18:0)+H",0,0,0,0,0,0,0,"4.91876833333333","5.21876833333333","17671","","PG(10:0_18:0)+H",0,0,0,0,0,0,0,"4.91876833333333","5.21876833333333","17671","","PG(10:0_18:0)+H",0,0,0,0,0,0,0,"4.91876833333333","5.21876833333333","17671","","PG(10:0_18:0)+H",0,0,0,0,0,0,0,"4.91876833333333","5.21876833333333","17671","","PG(10:0_18:0)+H",0,0,0,0,0,0,0,"4.91876833333333","5.21876833333333","17671","","PG(10:0_18:0)+H","667.45451","496.44861","229.1798","341.305","71.0856","95.0855","123.1168","4.91876833333333","5.21876833333333","17671"
"","PG(10:0_20:3)+H",1,0,0,0,0,0,0,"4.9153","5.2153","3576","","PG(10:0_20:3)+H",5.146398,0,0,0,0,0,0,"4.9153","5.2153","3576","","PG(10:0_20:3)+H",1,0,0,0,0,0,0,"4.9153","5.2153","3576","","PG(10:0_20:3)+H",11788.24,0,0,0,0,0,0,"4.9153","5.2153","3576","","PG(10:0_20:3)+H",689.4396,0,0,0,0,0,0,"4.9153","5.2153","3576","","PG(10:0_20:3)+H","689.43891","518.43301","229.1798","363.2894","71.0856","95.0855","123.1168","4.9153","5.2153","3576"
"","PG(10:0_24:0)+H",0,0,0,0,0,0,0,"7.82195138888889","8.12195138888889","9101","","PG(10:0_24:0)+H",0,0,0,0,0,0,0,"7.82195138888889","8.12195138888889","9101","","PG(10:0_24:0)+H",0,0,0,0,0,0,0,"7.82195138888889","8.12195138888889","9101","","PG(10:0_24:0)+H",0,0,0,0,0,0,0,"7.82195138888889","8.12195138888889","9101","","PG(10:0_24:0)+H",0,0,0,0,0,0,0,"7.82195138888889","8.12195138888889","9101","","PG(10:0_24:0)+H","751.54841","580.54251","229.1798","425.3989","71.0856","95.0855","123.1168","7.82195138888889","8.12195138888889","9101"
"","PG(10:0_24:0)+H",0,0,0,0,0,0,0,"7.39776388888889","7.69776388888889","17810","","PG(10:0_24:0)+H",0,0,0,0,0,0,0,"7.39776388888889","7.69776388888889","17810","","PG(10:0_24:0)+H",0,0,0,0,0,0,0,"7.39776388888889","7.69776388888889","17810","","PG(10:0_24:0)+H",0,0,0,0,0,0,0,"7.39776388888889","7.69776388888889","17810","","PG(10:0_24:0)+H",0,0,0,0,0,0,0,"7.39776388888889","7.69776388888889","17810","","PG(10:0_24:0)+H","751.54841","580.54251","229.1798","425.3989","71.0856","95.0855","123.1168","7.39776388888889","7.69776388888889","17810"
"","PG(10:0_24:1)+H",0,0,0,0,0,0,0,"6.12882638888889","6.42882638888889","17858","","PG(10:0_24:1)+H",0,0,0,0,0,0,0,"6.12882638888889","6.42882638888889","17858","","PG(10:0_24:1)+H",0,0,0,0,0,0,0,"6.12882638888889","6.42882638888889","17858","","PG(10:0_24:1)+H",0,0,0,0,0,0,0,"6.12882638888889","6.42882638888889","17858","","PG(10:0_24:1)+H",0,0,0,0,0,0,0,"6.12882638888889","6.42882638888889","17858","","PG(10:0_24:1)+H","749.53281","578.52691","229.1798","423.3833","71.0856","95.0855","123.1168","6.12882638888889","6.42882638888889","17858"
"","PG(10:0_25:0)+H",0,0,0,0,0,0,0,"5.769355","6.069355","15222","","PG(10:0_25:0)+H",0,0,0,0,0,0,0,"5.769355","6.069355","15222","","PG(10:0_25:0)+H",0,0,0,0,0,0,0,"5.769355","6.069355","15222","","PG(10:0_25:0)+H",0,0,0,0,0,0,0,"5.769355","6.069355","15222","","PG(10:0_25:0)+H",0,0,0,0,0,0,0,"5.769355","6.069355","15222","","PG(10:0_25:0)+H","765.56411","594.55821","229.1798","439.4146","71.0856","95.0855","123.1168","5.769355","6.069355","15222"
"","PG(10:0_25:0)+H",0,0,0,0,0,0,0,"5.30083181818182","5.60083181818182","18052","","PG(10:0_25:0)+H",0,0,0,0,0,0,0,"5.30083181818182","5.60083181818182","18052","","PG(10:0_25:0)+H",0,0,0,0,0,0,0,"5.30083181818182","5.60083181818182","18052","","PG(10:0_25:0)+H",0,0,0,0,0,0,0,"5.30083181818182","5.60083181818182","18052","","PG(10:0_25:0)+H",0,0,0,0,0,0,0,"5.30083181818182","5.60083181818182","18052","","PG(10:0_25:0)+H","765.56411","594.55821","229.1798","439.4146","71.0856","95.0855","123.1168","5.30083181818182","5.60083181818182","18052"
"","PG(10:0_25:0)+H",0,0,0,0,0,0,0,"5.0812375","5.3812375","18081","","PG(10:0_25:0)+H",0,0,0,0,0,0,0,"5.0812375","5.3812375","18081","","PG(10:0_25:0)+H",0,0,0,0,0,0,0,"5.0812375","5.3812375","18081","","PG(10:0_25:0)+H",0,0,0,0,0,0,0,"5.0812375","5.3812375","18081","","PG(10:0_25:0)+H",0,0,0,0,0,0,0,"5.0812375","5.3812375","18081","","PG(10:0_25:0)+H","765.56411","594.55821","229.1798","439.4146","71.0856","95.0855","123.1168","5.0812375","5.3812375","18081"
"","PG(10:0_26:0)+H",0,0,0,0,0,0,0,"8.55994305555556","8.85994305555556","17853","","PG(10:0_26:0)+H",0,0,0,0,0,0,0,"8.55994305555556","8.85994305555556","17853","","PG(10:0_26:0)+H",0,0,0,0,0,0,0,"8.55994305555556","8.85994305555556","17853","","PG(10:0_26:0)+H",0,0,0,0,0,0,0,"8.55994305555556","8.85994305555556","17853","","PG(10:0_26:0)+H",0,0,0,0,0,0,0,"8.55994305555556","8.85994305555556","17853","","PG(10:0_26:0)+H","779.57971","608.57381","229.1798","453.4302","71.0856","95.0855","123.1168","8.55994305555556","8.85994305555556","17853"
"","PG(12:0_16:0)+H",0,0,0,0,1,1,1,"4.09877222222222","4.39877222222222","816","","PG(12:0_16:0)+H",0,0,0,0,4.263561,4.263561,4.263561,"4.09877222222222","4.39877222222222","816","","PG(12:0_16:0)+H",0,0,0,0,1,1,1,"4.09877222222222","4.39877222222222","816","","PG(12:0_16:0)+H",0,0,0,0,46431.48,57082.63,25302.74,"4.09877222222222","4.39877222222222","816","","PG(12:0_16:0)+H",0,0,0,0,71.08571,95.08569,123.117,"4.09877222222222","4.39877222222222","816","","PG(12:0_16:0)+H","667.45451","496.44861","257.2111","313.2737","71.0856","95.0855","123.1168","4.09877222222222","4.39877222222222","816"
"","PG(12:0_16:0)+H",0,0,0,0,0,0,0,"4.89391212121212","5.19391212121212","7999","","PG(12:0_16:0)+H",0,0,0,0,0,0,0,"4.89391212121212","5.19391212121212","7999","","PG(12:0_16:0)+H",0,0,0,0,0,0,0,"4.89391212121212","5.19391212121212","7999","","PG(12:0_16:0)+H",0,0,0,0,0,0,0,"4.89391212121212","5.19391212121212","7999","","PG(12:0_16:0)+H",0,0,0,0,0,0,0,"4.89391212121212","5.19391212121212","7999","","PG(12:0_16:0)+H","667.45451","496.44861","257.2111","313.2737","71.0856","95.0855","123.1168","4.89391212121212","5.19391212121212","7999"
"","PG(12:0_16:0)+H",0,0,0,0,0,0,0,"0.212874242424242","0.512874242424242","9146","","PG(12:0_16:0)+H",0,0,0,0,0,0,0,"0.212874242424242","0.512874242424242","9146","","PG(12:0_16:0)+H",0,0,0,0,0,0,0,"0.212874242424242","0.512874242424242","9146","","PG(12:0_16:0)+H",0,0,0,0,0,0,0,"0.212874242424242","0.512874242424242","9146","","PG(12:0_16:0)+H",0,0,0,0,0,0,0,"0.212874242424242","0.512874242424242","9146","","PG(12:0_16:0)+H","667.45451","496.44861","257.2111","313.2737","71.0856","95.0855","123.1168","0.212874242424242","0.512874242424242","9146"
"","PG(12:0_16:0)+H",0,0,0,0,0,0,0,"4.91876833333333","5.21876833333333","17671","","PG(12:0_16:0)+H",0,0,0,0,0,0,0,"4.91876833333333","5.21876833333333","17671","","PG(12:0_16:0)+H",0,0,0,0,0,0,0,"4.91876833333333","5.21876833333333","17671","","PG(12:0_16:0)+H",0,0,0,0,0,0,0,"4.91876833333333","5.21876833333333","17671","","PG(12:0_16:0)+H",0,0,0,0,0,0,0,"4.91876833333333","5.21876833333333","17671","","PG(12:0_16:0)+H","667.45451","496.44861","257.2111","313.2737","71.0856","95.0855","123.1168","4.91876833333333","5.21876833333333","17671"
"","PG(12:0_18:3)+H",1,0,0,0,0,0,0,"4.9153","5.2153","3576","","PG(12:0_18:3)+H",5.146398,0,0,0,0,0,0,"4.9153","5.2153","3576","","PG(12:0_18:3)+H",1,0,0,0,0,0,0,"4.9153","5.2153","3576","","PG(12:0_18:3)+H",11788.24,0,0,0,0,0,0,"4.9153","5.2153","3576","","PG(12:0_18:3)+H",689.4396,0,0,0,0,0,0,"4.9153","5.2153","3576","","PG(12:0_18:3)+H","689.43891","518.43301","257.2111","335.2581","71.0856","95.0855","123.1168","4.9153","5.2153","3576"
"","PG(12:0_22:0)+H",0,0,0,0,0,0,0,"7.82195138888889","8.12195138888889","9101","","PG(12:0_22:0)+H",0,0,0,0,0,0,0,"7.82195138888889","8.12195138888889","9101","","PG(12:0_22:0)+H",0,0,0,0,0,0,0,"7.82195138888889","8.12195138888889","9101","","PG(12:0_22:0)+H",0,0,0,0,0,0,0,"7.82195138888889","8.12195138888889","9101","","PG(12:0_22:0)+H",0,0,0,0,0,0,0,"7.82195138888889","8.12195138888889","9101","","PG(12:0_22:0)+H","751.54841","580.54251","257.2111","397.3676","71.0856","95.0855","123.1168","7.82195138888889","8.12195138888889","9101"
"","PG(12:0_22:0)+H",0,0,0,0,0,0,0,"7.39776388888889","7.69776388888889","17810","","PG(12:0_22:0)+H",0,0,0,0,0,0,0,"7.39776388888889","7.69776388888889","17810","","PG(12:0_22:0)+H",0,0,0,0,0,0,0,"7.39776388888889","7.69776388888889","17810","","PG(12:0_22:0)+H",0,0,0,0,0,0,0,"7.39776388888889","7.69776388888889","17810","","PG(12:0_22:0)+H",0,0,0,0,0,0,0,"7.39776388888889","7.69776388888889","17810","","PG(12:0_22:0)+H","751.54841","580.54251","257.2111","397.3676","71.0856","95.0855","123.1168","7.39776388888889","7.69776388888889","17810"
"","PG(12:0_22:1)+H",0,0,0,0,0,0,0,"6.12882638888889","6.42882638888889","17858","","PG(12:0_22:1)+H",0,0,0,0,0,0,0,"6.12882638888889","6.42882638888889","17858","","PG(12:0_22:1)+H",0,0,0,0,0,0,0,"6.12882638888889","6.42882638888889","17858","","PG(12:0_22:1)+H",0,0,0,0,0,0,0,"6.12882638888889","6.42882638888889","17858","","PG(12:0_22:1)+H",0,0,0,0,0,0,0,"6.12882638888889","6.42882638888889","17858","","PG(12:0_22:1)+H","749.53281","578.52691","257.2111","395.352","71.0856","95.0855","123.1168","6.12882638888889","6.42882638888889","17858"
"","PG(12:0_23:0)+H",0,0,0,0,0,0,0,"5.769355","6.069355","15222","","PG(12:0_23:0)+H",0,0,0,0,0,0,0,"5.769355","6.069355","15222","","PG(12:0_23:0)+H",0,0,0,0,0,0,0,"5.769355","6.069355","15222","","PG(12:0_23:0)+H",0,0,0,0,0,0,0,"5.769355","6.069355","15222","","PG(12:0_23:0)+H",0,0,0,0,0,0,0,"5.769355","6.069355","15222","","PG(12:0_23:0)+H","765.56411","594.55821","257.2111","411.3833","71.0856","95.0855","123.1168","5.769355","6.069355","15222"
"","PG(12:0_23:0)+H",0,0,0,0,0,0,0,"5.30083181818182","5.60083181818182","18052","","PG(12:0_23:0)+H",0,0,0,0,0,0,0,"5.30083181818182","5.60083181818182","18052","","PG(12:0_23:0)+H",0,0,0,0,0,0,0,"5.30083181818182","5.60083181818182","18052","","PG(12:0_23:0)+H",0,0,0,0,0,0,0,"5.30083181818182","5.60083181818182","18052","","PG(12:0_23:0)+H",0,0,0,0,0,0,0,"5.30083181818182","5.60083181818182","18052","","PG(12:0_23:0)+H","765.56411","594.55821","257.2111","411.3833","71.0856","95.0855","123.1168","5.30083181818182","5.60083181818182","18052"
"","PG(12:0_23:0)+H",0,0,0,0,0,0,0,"5.0812375","5.3812375","18081","","PG(12:0_23:0)+H",0,0,0,0,0,0,0,"5.0812375","5.3812375","18081","","PG(12:0_23:0)+H",0,0,0,0,0,0,0,"5.0812375","5.3812375","18081","","PG(12:0_23:0)+H",0,0,0,0,0,0,0,"5.0812375","5.3812375","18081","","PG(12:0_23:0)+H",0,0,0,0,0,0,0,"5.0812375","5.3812375","18081","","PG(12:0_23:0)+H","765.56411","594.55821","257.2111","411.3833","71.0856","95.0855","123.1168","5.0812375","5.3812375","18081"
"","PG(12:0_24:0)+H",0,0,0,0,0,0,0,"8.55994305555556","8.85994305555556","17853","","PG(12:0_24:0)+H",0,0,0,0,0,0,0,"8.55994305555556","8.85994305555556","17853","","PG(12:0_24:0)+H",0,0,0,0,0,0,0,"8.55994305555556","8.85994305555556","17853","","PG(12:0_24:0)+H",0,0,0,0,0,0,0,"8.55994305555556","8.85994305555556","17853","","PG(12:0_24:0)+H",0,0,0,0,0,0,0,"8.55994305555556","8.85994305555556","17853","","PG(12:0_24:0)+H","779.57971","608.57381","257.2111","425.3989","71.0856","95.0855","123.1168","8.55994305555556","8.85994305555556","17853"
"","PG(12:0_24:1)+H",0,0,0,0,0,0,0,"5.3728196969697","5.6728196969697","18005","","PG(12:0_24:1)+H",0,0,0,0,0,0,0,"5.3728196969697","5.6728196969697","18005","","PG(12:0_24:1)+H",0,0,0,0,0,0,0,"5.3728196969697","5.6728196969697","18005","","PG(12:0_24:1)+H",0,0,0,0,0,0,0,"5.3728196969697","5.6728196969697","18005","","PG(12:0_24:1)+H",0,0,0,0,0,0,0,"5.3728196969697","5.6728196969697","18005","","PG(12:0_24:1)+H","777.56411","606.55821","257.2111","423.3833","71.0856","95.0855","123.1168","5.3728196969697","5.6728196969697","18005"
"","PG(13:0_15:0)+H",0,0,0,0,1,1,1,"4.09877222222222","4.39877222222222","816","","PG(13:0_15:0)+H",0,0,0,0,4.263561,4.263561,4.263561,"4.09877222222222","4.39877222222222","816","","PG(13:0_15:0)+H",0,0,0,0,1,1,1,"4.09877222222222","4.39877222222222","816","","PG(13:0_15:0)+H",0,0,0,0,46431.48,57082.63,25302.74,"4.09877222222222","4.39877222222222","816","","PG(13:0_15:0)+H",0,0,0,0,71.08571,95.08569,123.117,"4.09877222222222","4.39877222222222","816","","PG(13:0_15:0)+H","667.45461","496.44871","271.2268","299.2581","71.0856","95.0855","123.1168","4.09877222222222","4.39877222222222","816"
"","PG(13:0_15:0)+H",0,0,0,0,0,0,0,"4.89391212121212","5.19391212121212","7999","","PG(13:0_15:0)+H",0,0,0,0,0,0,0,"4.89391212121212","5.19391212121212","7999","","PG(13:0_15:0)+H",0,0,0,0,0,0,0,"4.89391212121212","5.19391212121212","7999","","PG(13:0_15:0)+H",0,0,0,0,0,0,0,"4.89391212121212","5.19391212121212","7999","","PG(13:0_15:0)+H",0,0,0,0,0,0,0,"4.89391212121212","5.19391212121212","7999","","PG(13:0_15:0)+H","667.45461","496.44871","271.2268","299.2581","71.0856","95.0855","123.1168","4.89391212121212","5.19391212121212","7999"
"","PG(13:0_15:0)+H",0,0,0,0,0,0,0,"0.212874242424242","0.512874242424242","9146","","PG(13:0_15:0)+H",0,0,0,0,0,0,0,"0.212874242424242","0.512874242424242","9146","","PG(13:0_15:0)+H",0,0,0,0,0,0,0,"0.212874242424242","0.512874242424242","9146","","PG(13:0_15:0)+H",0,0,0,0,0,0,0,"0.212874242424242","0.512874242424242","9146","","PG(13:0_15:0)+H",0,0,0,0,0,0,0,"0.212874242424242","0.512874242424242","9146","","PG(13:0_15:0)+H","667.45461","496.44871","271.2268","299.2581","71.0856","95.0855","123.1168","0.212874242424242","0.512874242424242","9146"
"","PG(13:0_15:0)+H",0,0,0,0,0,0,0,"4.91876833333333","5.21876833333333","17671","","PG(13:0_15:0)+H",0,0,0,0,0,0,0,"4.91876833333333","5.21876833333333","17671","","PG(13:0_15:0)+H",0,0,0,0,0,0,0,"4.91876833333333","5.21876833333333","17671","","PG(13:0_15:0)+H",0,0,0,0,0,0,0,"4.91876833333333","5.21876833333333","17671","","PG(13:0_15:0)+H",0,0,0,0,0,0,0,"4.91876833333333","5.21876833333333","17671","","PG(13:0_15:0)+H","667.45461","496.44871","271.2268","299.2581","71.0856","95.0855","123.1168","4.91876833333333","5.21876833333333","17671"
"","PG(13:0_21:0)+H",0,0,0,0,0,0,0,"7.82195138888889","8.12195138888889","9101","","PG(13:0_21:0)+H",0,0,0,0,0,0,0,"7.82195138888889","8.12195138888889","9101","","PG(13:0_21:0)+H",0,0,0,0,0,0,0,"7.82195138888889","8.12195138888889","9101","","PG(13:0_21:0)+H",0,0,0,0,0,0,0,"7.82195138888889","8.12195138888889","9101","","PG(13:0_21:0)+H",0,0,0,0,0,0,0,"7.82195138888889","8.12195138888889","9101","","PG(13:0_21:0)+H","751.54851","580.54261","271.2268","383.352","71.0856","95.0855","123.1168","7.82195138888889","8.12195138888889","9101"
"","PG(13:0_21:0)+H",0,0,0,0,0,0,0,"7.39776388888889","7.69776388888889","17810","","PG(13:0_21:0)+H",0,0,0,0,0,0,0,"7.39776388888889","7.69776388888889","17810","","PG(13:0_21:0)+H",0,0,0,0,0,0,0,"7.39776388888889","7.69776388888889","17810","","PG(13:0_21:0)+H",0,0,0,0,0,0,0,"7.39776388888889","7.69776388888889","17810","","PG(13:0_21:0)+H",0,0,0,0,0,0,0,"7.39776388888889","7.69776388888889","17810","","PG(13:0_21:0)+H","751.54851","580.54261","271.2268","383.352","71.0856","95.0855","123.1168","7.39776388888889","7.69776388888889","17810"
"","PG(13:0_22:0)+H",0,0,0,0,0,0,0,"5.769355","6.069355","15222","","PG(13:0_22:0)+H",0,0,0,0,0,0,0,"5.769355","6.069355","15222","","PG(13:0_22:0)+H",0,0,0,0,0,0,0,"5.769355","6.069355","15222","","PG(13:0_22:0)+H",0,0,0,0,0,0,0,"5.769355","6.069355","15222","","PG(13:0_22:0)+H",0,0,0,0,0,0,0,"5.769355","6.069355","15222","","PG(13:0_22:0)+H","765.56411","594.55821","271.2268","397.3676","71.0856","95.0855","123.1168","5.769355","6.069355","15222"
"","PG(13:0_22:0)+H",0,0,0,0,0,0,0,"5.30083181818182","5.60083181818182","18052","","PG(13:0_22:0)+H",0,0,0,0,0,0,0,"5.30083181818182","5.60083181818182","18052","","PG(13:0_22:0)+H",0,0,0,0,0,0,0,"5.30083181818182","5.60083181818182","18052","","PG(13:0_22:0)+H",0,0,0,0,0,0,0,"5.30083181818182","5.60083181818182","18052","","PG(13:0_22:0)+H",0,0,0,0,0,0,0,"5.30083181818182","5.60083181818182","18052","","PG(13:0_22:0)+H","765.56411","594.55821","271.2268","397.3676","71.0856","95.0855","123.1168","5.30083181818182","5.60083181818182","18052"
"","PG(13:0_22:0)+H",0,0,0,0,0,0,0,"5.0812375","5.3812375","18081","","PG(13:0_22:0)+H",0,0,0,0,0,0,0,"5.0812375","5.3812375","18081","","PG(13:0_22:0)+H",0,0,0,0,0,0,0,"5.0812375","5.3812375","18081","","PG(13:0_22:0)+H",0,0,0,0,0,0,0,"5.0812375","5.3812375","18081","","PG(13:0_22:0)+H",0,0,0,0,0,0,0,"5.0812375","5.3812375","18081","","PG(13:0_22:0)+H","765.56411","594.55821","271.2268","397.3676","71.0856","95.0855","123.1168","5.0812375","5.3812375","18081"
