"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MGDG","[M+NH4-CO]+","M-sn1","M-sn2","sn1","sn2","M-sn1-C6H12O6","M-sn2-C6H12O6","RT_min","RT_max","Comment","RT at Max Intensity","MGDG","[M+NH4-CO]+","M-sn1","M-sn2","sn1","sn2","M-sn1-C6H12O6","M-sn2-C6H12O6","RT_min","RT_max","Comment","Number of Scans","MGDG","[M+NH4-CO]+","M-sn1","M-sn2","sn1","sn2","M-sn1-C6H12O6","M-sn2-C6H12O6","RT_min","RT_max","Comment","Max Intensity","MGDG","[M+NH4-CO]+","M-sn1","M-sn2","sn1","sn2","M-sn1-C6H12O6","M-sn2-C6H12O6","RT_min","RT_max","Comment","Average m/z","MGDG","[M+NH4-CO]+","M-sn1","M-sn2","sn1","sn2","M-sn1-C6H12O6","M-sn2-C6H12O6","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MGDG","[M+NH4-CO]+","M-sn1","M-sn2","sn1","sn2","M-sn1-C6H12O6","M-sn2-C6H12O6","RT_min","RT_max","Comment"
"","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"0.612015277777778","0.912015277777778","1244","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"0.612015277777778","0.912015277777778","1244","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"0.612015277777778","0.912015277777778","1244","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"0.612015277777778","0.912015277777778","1244","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"0.612015277777778","0.912015277777778","1244","","MGDG(3:0_20:2)+NH4-CO","590.4262","516.38944","282.15484","73.02839","307.26299","336.32605","102.09145","0.612015277777778","0.912015277777778","1244"
"","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"15.3235791666667","15.6235791666667","8655","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"15.3235791666667","15.6235791666667","8655","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"15.3235791666667","15.6235791666667","8655","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"15.3235791666667","15.6235791666667","8655","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"15.3235791666667","15.6235791666667","8655","","MGDG(3:0_20:2)+NH4-CO","590.4262","516.38944","282.15484","73.02839","307.26299","336.32605","102.09145","15.3235791666667","15.6235791666667","8655"
"","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"14.9910458333333","15.2910458333333","12349","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"14.9910458333333","15.2910458333333","12349","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"14.9910458333333","15.2910458333333","12349","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"14.9910458333333","15.2910458333333","12349","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"14.9910458333333","15.2910458333333","12349","","MGDG(3:0_20:2)+NH4-CO","590.4262","516.38944","282.15484","73.02839","307.26299","336.32605","102.09145","14.9910458333333","15.2910458333333","12349"
"","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"12.6070472222222","12.9070472222222","12391","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"12.6070472222222","12.9070472222222","12391","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"12.6070472222222","12.9070472222222","12391","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"12.6070472222222","12.9070472222222","12391","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"12.6070472222222","12.9070472222222","12391","","MGDG(3:0_20:2)+NH4-CO","590.4262","516.38944","282.15484","73.02839","307.26299","336.32605","102.09145","12.6070472222222","12.9070472222222","12391"
"","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"14.6532722222222","14.9532722222222","12613","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"14.6532722222222","14.9532722222222","12613","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"14.6532722222222","14.9532722222222","12613","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"14.6532722222222","14.9532722222222","12613","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"14.6532722222222","14.9532722222222","12613","","MGDG(3:0_20:2)+NH4-CO","590.4262","516.38944","282.15484","73.02839","307.26299","336.32605","102.09145","14.6532722222222","14.9532722222222","12613"
"","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"0.192136363636364","0.492136363636364","15136","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"0.192136363636364","0.492136363636364","15136","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"0.192136363636364","0.492136363636364","15136","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"0.192136363636364","0.492136363636364","15136","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"0.192136363636364","0.492136363636364","15136","","MGDG(3:0_20:2)+NH4-CO","590.4262","516.38944","282.15484","73.02839","307.26299","336.32605","102.09145","0.192136363636364","0.492136363636364","15136"
"","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"14.6793111111111","14.9793111111111","15623","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"14.6793111111111","14.9793111111111","15623","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"14.6793111111111","14.9793111111111","15623","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"14.6793111111111","14.9793111111111","15623","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"14.6793111111111","14.9793111111111","15623","","MGDG(3:0_20:2)+NH4-CO","590.4262","516.38944","282.15484","73.02839","307.26299","336.32605","102.09145","14.6793111111111","14.9793111111111","15623"
"","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"12.0954472222222","12.3954472222222","18652","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"12.0954472222222","12.3954472222222","18652","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"12.0954472222222","12.3954472222222","18652","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"12.0954472222222","12.3954472222222","18652","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"12.0954472222222","12.3954472222222","18652","","MGDG(3:0_20:2)+NH4-CO","590.4262","516.38944","282.15484","73.02839","307.26299","336.32605","102.09145","12.0954472222222","12.3954472222222","18652"
"","MGDG(3:0_22:2)+NH4-CO",0,0,0,0,0,0,0,"0.371820833333333","0.671820833333333","3775","","MGDG(3:0_22:2)+NH4-CO",0,0,0,0,0,0,0,"0.371820833333333","0.671820833333333","3775","","MGDG(3:0_22:2)+NH4-CO",0,0,0,0,0,0,0,"0.371820833333333","0.671820833333333","3775","","MGDG(3:0_22:2)+NH4-CO",0,0,0,0,0,0,0,"0.371820833333333","0.671820833333333","3775","","MGDG(3:0_22:2)+NH4-CO",0,0,0,0,0,0,0,"0.371820833333333","0.671820833333333","3775","","MGDG(3:0_22:2)+NH4-CO","618.45754","544.42078","282.1549","73.02839","335.29427","364.35739","102.09151","0.371820833333333","0.671820833333333","3775"
"","MGDG(3:0_22:5)+NH4-CO",0,0,0,0,0,0,0,"0.464094444444444","0.764094444444444","10470","","MGDG(3:0_22:5)+NH4-CO",0,0,0,0,0,0,0,"0.464094444444444","0.764094444444444","10470","","MGDG(3:0_22:5)+NH4-CO",0,0,0,0,0,0,0,"0.464094444444444","0.764094444444444","10470","","MGDG(3:0_22:5)+NH4-CO",0,0,0,0,0,0,0,"0.464094444444444","0.764094444444444","10470","","MGDG(3:0_22:5)+NH4-CO",0,0,0,0,0,0,0,"0.464094444444444","0.764094444444444","10470","","MGDG(3:0_22:5)+NH4-CO","612.4106","538.37384","282.15488","73.02839","329.24735","358.31045","102.09149","0.464094444444444","0.764094444444444","10470"
