"MSDIAL_NAOrn","[M+H]+","1","2","3","4","5","6","7"
"MSDIAL_NAOrn 10:0/18:1;[M+H]+;CCCCCCCCCC(=O)OC(CCCCCCC(=O)NC(CCCN)C(O)=O)\C=C/CCCCCCCC;ZUNBJJVZRGLWJH-NKFKGCMQNA-N;C33H62N2O5","567.47315","115.0866","70.06513","377.3163","133.0972","395.3268","567.4731","263.2369"
"MSDIAL_NAOrn 10:0/18:2;[M+H]+;CCCCCCCCCC(=O)OC(CCCCCCC(=O)NC(CCCN)C(O)=O)\C=C/C\C=C/CCCCC;ULSGBMZXPRVUOI-ZXSNYBHRNA-N;C33H60N2O5","565.45750","115.0866","70.06513","375.3006","133.0972","393.3112","565.4575","261.2213"
"MSDIAL_NAOrn 10:0/18:3;[M+H]+;CCCCCCCCCC(=O)OC(CCCCCCC(=O)NC(CCCN)C(O)=O)\C=C/C\C=C/C\C=C/CC;ZWQQMTORLSHHKM-HIYZDCGBNA-N;C33H58N2O5","563.44185","115.0866","70.06513","373.2849","133.0972","391.2955","563.4418","259.2056"
"MSDIAL_NAOrn 10:0/19:0;[M+H]+;CCCCCCCCCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;LJWNTSHTSQHWON-UHFFFAOYNA-N;C34H66N2O5","583.50445","115.0866","70.06513","393.3476","133.0972","411.3581","583.5045","279.2682"
"MSDIAL_NAOrn 10:0/19:1;[M+H]+;CCCCCCCCC\C=C/C(CCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;CMCJTQUTROJAIL-CLCOLTQENA-N;C34H64N2O5","581.48880","115.0866","70.06513","391.3319","133.0972","409.3425","581.4888","277.2526"
"MSDIAL_NAOrn 10:0/19:2;[M+H]+;CCCCCCCCCC(=O)OC(CCCCCCC(=O)NC(CCCN)C(O)=O)\C=C/C\C=C/CCCCCC;VBGUIRXLMRTJKK-RBPBHENONA-N;C34H62N2O5","579.47315","115.0866","70.06513","389.3163","133.0972","407.3268","579.4731","275.2369"
"MSDIAL_NAOrn 10:0/20:0;[M+H]+;CCCCCCCCCCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;DFXKAVDQYTYXSX-UHFFFAOYNA-N;C35H68N2O5","597.52010","115.0866","70.06513","407.3632","133.0972","425.3738","597.5201","293.2839"
"MSDIAL_NAOrn 10:0/20:1;[M+H]+;CCCCCCCCCC(=O)OC(CCCCCCCCC(=O)NC(CCCN)C(O)=O)\C=C/CCCCCCCC;TVQNEYMLGWUEBH-QQTULTPQNA-N;C35H66N2O5","595.50445","115.0866","70.06513","405.3476","133.0972","423.3581","595.5045","291.2682"
"MSDIAL_NAOrn 10:0/20:2;[M+H]+;CCCCCCCCCC(=O)OC(CCCCCCCCC(=O)NC(CCCN)C(O)=O)\C=C/C\C=C/CCCCC;XBGKVFWPBVISIR-MGBWHIDYNA-N;C35H64N2O5","593.48880","115.0866","70.06513","403.3319","133.0972","421.3425","593.4888","289.2526"
"MSDIAL_NAOrn 10:0/20:3;[M+H]+;CCCCCCCCCC(=O)OC(CCCCCCCCC(=O)NC(CCCN)C(O)=O)\C=C/C\C=C/C\C=C/CC;DUKIKJIZODGYPA-LAPPMHEJNA-N;C35H62N2O5","591.47315","115.0866","70.06513","401.3163","133.0972","419.3268","591.4731","287.2369"
"MSDIAL_NAOrn 10:0/20:4;[M+H]+;CCCCCCCCCC(=O)OC(CCCCCC(=O)NC(CCCN)C(O)=O)\C=C/C\C=C/C\C=C/C\C=C/CC;DYCPONCPEIFPLN-USXQDUCLNA-N;C35H60N2O5","589.45750","115.0866","70.06513","399.3006","133.0972","417.3112","589.4575","285.2213"
"MSDIAL_NAOrn 10:0/21:0;[M+H]+;CCCCCCCCCCCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;LPKXOXQQSIEADE-UHFFFAOYNA-N;C36H70N2O5","611.53575","115.0866","70.06513","421.3788","133.0972","439.3894","611.5358","307.2995"
