"MSDIAL_SHex","[M+NH4]+","1","2","3","4","5","6"
"MSDIAL_ST 27:1;O;Hex;[M+NH4]+;CC(C)CCCC(C)C1CCC2C3CC=C4CC(CCC4(C)C3CCC12C)OC1OC(CO)C(O)C(O)C1O;FSMCJUNYLQOAIM-UHFFFAOYNA-N;C33H56O6","566.44152","369.3516","135.1174","147.1174","161.133","175.1487","566.4415"
"MSDIAL_ST 28:2;O;Hex;[M+NH4]+;CC(C)C(C)C=CC(C)C1CCC2C3CC=C4CC(CCC4(C)C3CCC12C)OC1OC(CO)C(O)C(O)C1O;ILUZPRRJJSFYEH-UHFFFAOYNA-N;C34H56O6","578.44152","381.3516","135.1174","147.1174","161.133","175.1487","578.4415"
"MSDIAL_ST 28:1;O;Hex;[M+NH4]+;CC(C)C(C)CCC(C)C1CCC2C3CC=C4CC(CCC4(C)C3CCC12C)OC1OC(CO)C(O)C(O)C1O;FWNZEKQVBDXWKA-UHFFFAOYNA-N;C34H58O6","580.45717","383.3672","135.1174","147.1174","161.133","175.1487","580.4572"
"MSDIAL_ST 29:1;O;Hex;[M+NH4]+;CCC(CCC(C)C1CCC2C3CC=C4CC(CCC4(C)C3CCC12C)OC1OC(CO)C(O)C(O)C1O)C(C)C;NPJICTMALKLTFW-UHFFFAOYNA-N;C35H60O6","594.47282","397.3829","135.1174","147.1174","161.133","175.1487","594.4728"
"MSDIAL_ST 29:2;O;Hex;[M+NH4]+;CCC(C=CC(C)C1CCC2C3CC=C4CC(CCC4(C)C3CCC12C)OC1OC(CO)C(O)C(O)C1O)C(C)C;VWDLOXMZIGUBKM-UHFFFAOYNA-N;C35H58O6","592.45717","395.3672","135.1174","147.1174","161.133","175.1487","592.4572"
