"MSDIAL_FAHFA","[M-H]-","1","2","3","4"
"MSDIAL_FAHFA 2:0/21:2;[M-H]-;CCCCCC\C=C/C\C=C/C(CCCCCCCCC(O)=O)OC(C)=O;CTDAFZLMAMVAJD-FVFMRWSDNA-N;C23H40O4","379.28538","59.01385","319.2643","379.2854","337.2748"
"MSDIAL_FAHFA 2:0/22:0;[M-H]-;CCCCCCCCCCCCCC(CCCCCCCC(O)=O)OC(C)=O;BLZLSFQVGZMIIQ-UHFFFAOYNA-N;C24H46O4","397.33233","59.01385","337.3112","397.3323","355.3218"
"MSDIAL_FAHFA 2:0/22:1;[M-H]-;CCCCCCCC\C=C/CCCC(CCCCCCCC(O)=O)OC(C)=O;RWOAHZHIQFHWQY-KHPPLWFENA-N;C24H44O4","395.31668","59.01385","335.2956","395.3167","353.3061"
"MSDIAL_FAHFA 2:0/22:2;[M-H]-;CCCCC\C=C/C\C=C/CCCC(CCCCCCCC(O)=O)OC(C)=O;NQZQDFLCBXVSLP-NQLNTKRDNA-N;C24H42O4","393.30103","59.01385","333.2799","393.301","351.2905"
"MSDIAL_FAHFA 2:0/22:3;[M-H]-;CCCCC\C=C/C\C=C/C\C=C/C(CCCCCCCC(O)=O)OC(C)=O;DPQDELJPKXRVKY-ODADLQAXNA-N;C24H40O4","391.28538","59.01385","331.2643","391.2854","349.2748"
"MSDIAL_FAHFA 2:0/22:4;[M-H]-;CC\C=C/C\C=C/C\C=C/C\C=C/C(CCCCCCCC(O)=O)OC(C)=O;VLENNRHWKHFFNS-MDOJQYIINA-N;C24H38O4","389.26973","59.01385","329.2486","389.2697","347.2592"
"MSDIAL_FAHFA 2:0/22:5;[M-H]-;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C(CCCCC(O)=O)OC(C)=O;GBEQUWUZHMJLLS-RGDBAETANA-N;C24H36O4","387.25408","59.01385","327.2329","387.2541","345.2435"
"MSDIAL_FAHFA 2:0/23:0;[M-H]-;CCCCCCCCCCCCCCC(CCCCCCCC(O)=O)OC(C)=O;KQQRBPCZTJSLSU-UHFFFAOYNA-N;C25H48O4","411.34798","59.01385","351.3268","411.348","369.3374"
"MSDIAL_FAHFA 2:0/24:0;[M-H]-;CCCCCCCCCCCCCCCC(CCCCCCCC(O)=O)OC(C)=O;MVPQZRUZSVRAFH-UHFFFAOYNA-N;C26H50O4","425.36363","59.01385","365.3425","425.3636","383.3531"
"MSDIAL_FAHFA 2:0/24:1;[M-H]-;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(O)=O)OC(C)=O;RQGVUGJGNVWAAW-SEYXRHQNNA-N;C26H48O4","423.34798","59.01385","363.3268","423.348","381.3374"
"MSDIAL_FAHFA 2:0/24:2;[M-H]-;CCCCCCC\C=C/C\C=C/CCCC(CCCCCCCC(O)=O)OC(C)=O;YGXRYVAWMLDUPX-UTJQPWESNA-N;C26H46O4","421.33233","59.01385","361.3112","421.3323","379.3218"
