"MSDIAL_OxPG","[M-H]-","1","2","3","4","5"
"MSDIAL_PG 16:0_20:4;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCC(O)\C=C\C=C\C\C=C\C\C=C\CCCCC;RBLAUZNRDDOVFE-NUEBGIOVNA-N;C42H75O11P","785.49742","255.2323","785.4974","301.2173","319.2279","1"
"MSDIAL_PG 16:0_20:5;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCC1OC1\C=C/C=C\C=C\C\C=C\CCCCC;WBNKTZDIGJVCMF-YLXZKDRHNA-N;C42H73O11P","783.48177","255.2323","783.4818","317.2122","1","1"
"MSDIAL_PG 16:0_20:4;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCC(O)\C=C\C=C\C=C\C(O)C\C=C\CCCCC;UKAUCGNEXMMSKS-WIPZEKEANA-N;C42H75O12P","801.49234","255.2323","317.2122","801.4923","299.2017","335.2228"
"MSDIAL_PG 16:0_20:4;3O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCC(O)C(O)\C=C/C=C\C=C\C=C/C(O)CCCCC;CLDPDGBSBOAEEE-KVBJYXNONA-N;C42H75O13P","817.48725","255.2323","817.4872","315.1966","333.2072","351.2177"
"MSDIAL_PG 16:0_20:4;3O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(O)CCCCC;MAJSADZJOVKWHA-RVKPKNHYNA-N;C42H75O13P","817.48725","255.2323","817.4872","333.2072","351.2177","1"
"MSDIAL_PG 16:0_20:4;4O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCC\C=C/CC1C(O)CC(O)OC1\C=C\C(O)C\C=C/CC;OSCBNFZMADSZIL-OKAHKNJDNA-N;C42H75O14P","833.48217","255.2323","833.4822","331.1915","349.2021","367.2126"
"MSDIAL_PG 16:0_20:4;4O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(CCCCC)OO;CYXLLCHWMBHDJM-RVKPKNHYNA-N;C42H75O14P","833.48217","255.2323","833.4822","349.2021","331.1915","367.2126"
"MSDIAL_PG 16:0_20:5;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCC(O)\C=C\C=C/C\C=C/C\C=C/C\C=C/CC;RWHURFWWGOPNBC-XAZUFWHMNA-N;C42H73O11P","783.48177","255.2323","783.4818","299.2017","317.2122","1"
"MSDIAL_PG 16:0_20:6;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCC1OC1\C=C\C=C\C=C/C\C=C/C\C=C/CC;OHWOFOVPJKAOKJ-BXUVIXESNA-N;C42H71O11P","781.46612","255.2323","781.4661","315.1966","1","1"
"MSDIAL_PG 16:0_20:5;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCC(O)\C=C\C=C/C=C/C(O)C\C=C/C\C=C/CC;ZOKUKCJGWFEVTN-SSKJHGEDNA-N;C42H73O12P","799.47669","255.2323","315.1966","799.4767","297.186","333.2071"
"MSDIAL_PG 16:0_20:5;3O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCC(O)\C=C\C=C/C=C/C(O)C\C=C/C=C/C(O)CC;PYSZOJMTUCXCBR-XMAGIFGMNA-N;C42H73O13P","815.47160","255.2323","815.4716","313.1809","331.1915","349.2021"
"MSDIAL_PG 16:0_20:5;3O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(O)C\C=C/CC;HDUUIXDXXXGDNI-OKAHKNJDNA-N;C42H73O13P","815.47160","255.2323","815.4716","331.1915","349.2021","1"
"MSDIAL_PG 16:0_20:5;4O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(C\C=C/CC)OO;MQVFDCYOVLRGQP-OKAHKNJDNA-N;C42H73O14P","831.46652","255.2323","831.4665","347.1864","329.1758","365.197"
"MSDIAL_PG 16:0_22:6;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\CC1OC1CC;GWOXSUABRPFTHX-PLHFMEFONA-N;C44H75O11P","809.49742","255.2323","809.4974","343.2279","1","1"
"MSDIAL_PG 16:0_22:5;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\CC(O)C(O)CC;VRBOMIAIYCOXDD-PLHFMEFONA-N;C44H77O12P","827.50799","255.2323","343.2279","827.508","325.2173","361.2384"
"MSDIAL_PG 16:0_22:6;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\C\C=C/C(C)O;UZZOUFBRNFYYIJ-KTBBSIJDNA-N;C44H75O11P","809.49742","255.2323","809.4974","325.2173","343.2279","1"
"MSDIAL_PG 16:0_22:6;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CC\C=C\C\C=C\C\C=C\C=C/C(O)C\C=C\C\C=C/C(C)O;IXSJZKLAKBCABA-YVUSFSRCNA-N;C44H75O12P","825.49234","255.2323","341.2122","825.4923","323.2017","359.2228"
"MSDIAL_PG 16:0_22:6;3O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CC\C=C\CC(O)\C=C\C=C\C=C/C=C/C(O)C(O)C\C=C/CC;JXHSCELXDBDDOF-ARSYHIGANA-N;C44H75O13P","841.48725","255.2323","841.4872","339.1966","357.2072","375.2177"
"MSDIAL_PG 16:0_22:6;4O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCC(O)\C=C\C(O)\C=C\C=C\C=C/C(O)C\C=C\C\C=C/C(C)O;PDOBTEXDCBLTKW-BREAOWQZNA-N;C44H75O14P","857.48217","255.2323","857.4822","355.1915","373.2021","391.2126"
"MSDIAL_PG 18:0_18:0;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCCCCCC(O)CCCCCC;HGEMEAPTFHAVCX-UHFFFAOYNA-N;C42H83O11P","793.56002","283.2635","793.56","281.2486","299.2592","1"
"MSDIAL_PG 18:0_18:1;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCCCCC1OC1CCCCCC;FCQHMCJCQXNHND-UHFFFAOYNA-N;C42H81O11P","791.54437","283.2635","791.5444","297.2435","1","1"
"MSDIAL_PG 18:0_18:0;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCCCCC(O)C(O)CCCCCC;OYKBYPUQBMJWKI-UHFFFAOYNA-N;C42H83O12P","809.55494","283.2635","297.2435","809.5549","279.233","315.2541"
"MSDIAL_PG 18:0_18:1;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCCCC(O)C\C=C\CCCCC;PEHNUNPUUASVCV-XTCLZLMSNA-N;C42H81O11P","791.54437","283.2635","791.5444","279.233","297.2435","1"
