"MSDIAL_HexCer_EOS","[M+H]+","1","2","3","4","5","6","7"
"MSDIAL_HexCer 14:1;2O/32:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;FTMIWCPPDNJIEU-XCWGLRIONA-N;C52H99NO10","898.73417","208.206","718.6708","736.6813","898.7342","700.6602","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/32:2;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCC\C=C/CCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;OOZURBBTOCYIMQ-CBFFDJGJNA-N;C52H97NO10","896.71852","208.206","716.6551","734.6657","896.7185","698.6445","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/32:3;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCC\C=C/C=C\CCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;RPGIEGXETRCBDV-YAMWHVKKNA-N;C52H95NO10","894.70287","208.206","714.6395","732.65","894.7029","696.6289","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/32:4;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCC\C=C/C=C\CCCCCOC(=O)CCCCCCC\C=C/CCCC;SDGSAZMBHBQFCB-RVTVXZSSNA-N;C52H93NO10","892.68722","208.206","712.6238","730.6344","892.6872","694.6132","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/32:5;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CC\C=C/C\C=C/CCCCCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCC;TWBTUKRLZGOPDA-SQLSZRFBNA-N;C52H91NO10","890.67157","208.206","710.6082","728.6187","890.6716","692.5976","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/33:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;SFRZDUVTIMKZAN-IGIMMJHKNA-N;C53H101NO10","912.74982","208.206","732.6864","750.697","912.7498","714.6758","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/33:2;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCC\C=C/CCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;UHPMJDDWRKBYIN-ISQPSYNYNA-N;C53H99NO10","910.73417","208.206","730.6708","748.6813","910.7342","712.6602","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/33:3;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;FBESRGAGERWZIM-VAFGMHMWNA-N;C53H97NO10","908.71852","208.206","728.6551","746.6657","908.7185","710.6445","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/33:4;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCC\C=C/C=C\CCCCCOC(=O)CCCCCCC\C=C/CCCCC;RGWMBFJSDPZYGO-WQTXUBGENA-N;C53H95NO10","906.70287","208.206","726.6395","744.65","906.7029","708.6289","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/33:5;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CC\C=C/C\C=C/CCCCCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCCC;YUHZNBPMLKQSCF-SHIUCTNCNA-N;C53H93NO10","904.68722","208.206","724.6238","742.6344","904.6872","706.6132","196.206","226.2166"
