"MSDIAL_OxPE","[M-H]-","1","2","3","4","5","6"
"MSDIAL_PE 16:0_20:4;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCC(O)\C=C\C=C\C\C=C\C\C=C\CCCCC;FYMGJQNGKRIYLG-NUEBGIOVNA-N;C41H74NO9P","754.50284","255.2323","754.5029","301.2173","196.038","319.2279","1"
"MSDIAL_PE 16:0_20:5;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCC1OC1\C=C/C=C\C=C\C\C=C\CCCCC;KOLULBCTMWTYNO-YLXZKDRHNA-N;C41H72NO9P","752.48719","255.2323","752.4872","317.2122","196.038","1","1"
"MSDIAL_PE 16:0_20:4;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCC(O)\C=C\C=C\C=C\C(O)C\C=C\CCCCC;VQRSYZKMDCPSTI-WIPZEKEANA-N;C41H74NO10P","770.49776","255.2323","317.2122","770.4977","299.2017","335.2228","196.038"
"MSDIAL_PE 16:0_20:4;3O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCC(O)C(O)\C=C/C=C\C=C\C=C/C(O)CCCCC;ZOAFMYGWXUFQLL-KVBJYXNONA-N;C41H74NO11P","786.49267","255.2323","786.4927","315.1966","333.2072","196.038","351.2177"
"MSDIAL_PE 16:0_20:4;3O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(O)CCCCC;NZUUBNYXMIGYFV-RVKPKNHYNA-N;C41H74NO11P","786.49267","255.2323","786.4927","196.038","333.2072","351.2177","1"
"MSDIAL_PE 16:0_20:4;4O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/CC1C(O)CC(O)OC1\C=C\C(O)C\C=C/CC;FQSCDYGFFRDRIT-OKAHKNJDNA-N;C41H74NO12P","802.48759","255.2323","802.4876","196.038","331.1915","349.2021","367.2126"
"MSDIAL_PE 16:0_20:4;4O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(CCCCC)OO;RQQQEKCRGTXAGL-RVKPKNHYNA-N;C41H74NO12P","802.48759","255.2323","802.4876","349.2021","331.1915","196.038","367.2126"
"MSDIAL_PE 16:0_20:5;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCC(O)\C=C\C=C/C\C=C/C\C=C/C\C=C/CC;RRDDZNXGHYMVSA-XAZUFWHMNA-N;C41H72NO9P","752.48719","255.2323","752.4872","299.2017","196.038","317.2122","1"
"MSDIAL_PE 16:0_20:6;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCC1OC1\C=C\C=C\C=C/C\C=C/C\C=C/CC;BRBRFSSCDNOGMW-BXUVIXESNA-N;C41H70NO9P","750.47154","255.2323","750.4716","315.1966","196.038","1","1"
"MSDIAL_PE 16:0_20:5;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCC(O)\C=C\C=C/C=C/C(O)C\C=C/C\C=C/CC;OOLZIAJYFCHBPV-SSKJHGEDNA-N;C41H72NO10P","768.48211","255.2323","315.1966","768.4821","297.186","333.2071","196.038"
