"MSDIAL_EtherLPE","[M+H]+","1","2","3"
"MSDIAL_LPE O-17:2;[M+H]+;CCCC\C=C/C\C=C/CCCCCCCCOCC(O)COP(O)(=O)OCCN;UDQPHQWIDUCTMG-AFJQJTPPNA-N;C22H44NO6P","450.29790","278.2604","296.271","450.2979"
"MSDIAL_LPE O-18:0;[M+H]+;CCCCCCCCCCCCCCCCCCOCC(O)COP(O)(=O)OCCN;JIJGULMDDZORPH-UHFFFAOYNA-N;C23H50NO6P","468.34485","296.3074","314.3179","468.3448"
"MSDIAL_LPE O-18:1;[M+H]+;CCCCCCCC\C=C/CCCCCCCCOCC(O)COP(O)(=O)OCCN;CDONWGCJDDHTLP-KTKRTIGZNA-N;C23H48NO6P","466.32920","294.2917","312.3023","466.3292"
"MSDIAL_LPE O-18:2;[M+H]+;CCCCC\C=C/C\C=C/CCCCCCCCOCC(O)COP(O)(=O)OCCN;DBVHWKABURKXNY-HZJYTTRNNA-N;C23H46NO6P","464.31355","292.2761","310.2866","464.3135"
"MSDIAL_LPE O-18:3;[M+H]+;CC\C=C/C\C=C/C\C=C/CCCCCCCCOCC(O)COP(O)(=O)OCCN;WGYJVKYUUAEBMJ-PDBXOOCHNA-N;C23H44NO6P","462.29790","290.2604","308.271","462.2979"
"MSDIAL_LPE O-18:4;[M+H]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCOCC(O)COP(O)(=O)OCCN;AKUSDEFSMZUJEM-LTKCOYKYNA-N;C23H42NO6P","460.28225","288.2448","306.2553","460.2823"
"MSDIAL_LPE O-18:5;[M+H]+;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCOCC(O)COP(O)(=O)OCCN;OASPYOIOZSXXSW-JLNKQSITNA-N;C23H40NO6P","458.26660","286.2291","304.2397","458.2666"
"MSDIAL_LPE O-19:0;[M+H]+;CCCCCCCCCCCCCCCCCCCOCC(O)COP(O)(=O)OCCN;JWIJSCTYKFOHIK-UHFFFAOYNA-N;C24H52NO6P","482.36050","310.323","328.3336","482.3605"
"MSDIAL_LPE O-19:1;[M+H]+;CCCCCCCCC\C=C/CCCCCCCCOCC(O)COP(O)(=O)OCCN;PRBDCEFQVCQKGS-KHPPLWFENA-N;C24H50NO6P","480.34485","308.3074","326.3179","480.3448"
"MSDIAL_LPE O-19:2;[M+H]+;CCCCCC\C=C/C\C=C/CCCCCCCCOCC(O)COP(O)(=O)OCCN;OQZLTUIMUOJFRT-NQLNTKRDNA-N;C24H48NO6P","478.32920","306.2917","324.3023","478.3292"
"MSDIAL_LPE O-20:0;[M+H]+;CCCCCCCCCCCCCCCCCCCCOCC(O)COP(O)(=O)OCCN;PKPGKYPSMJMPGS-UHFFFAOYNA-N;C25H54NO6P","496.37615","324.3387","342.3492","496.3762"
"MSDIAL_LPE O-20:1;[M+H]+;CCCCCCCC\C=C/CCCCCCCCCCOCC(O)COP(O)(=O)OCCN;AVEWHMSFODPPIG-KTKRTIGZNA-N;C25H52NO6P","494.36050","322.323","340.3336","494.3605"
"MSDIAL_LPE O-20:2;[M+H]+;CCCCC\C=C/C\C=C/CCCCCCCCCCOCC(O)COP(O)(=O)OCCN;OTJQGSOIXXCVNW-HZJYTTRNNA-N;C25H50NO6P","492.34485","320.3074","338.3179","492.3448"
"MSDIAL_LPE O-20:3;[M+H]+;CC\C=C/C\C=C/C\C=C/CCCCCCCCCCOCC(O)COP(O)(=O)OCCN;DABXRYLPSUBPAR-PDBXOOCHNA-N;C25H48NO6P","490.32920","318.2917","336.3023","490.3292"
"MSDIAL_LPE O-20:4;[M+H]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCCOCC(O)COP(O)(=O)OCCN;QQKNWLUCIGAVJO-LTKCOYKYNA-N;C25H46NO6P","488.31355","316.2761","334.2866","488.3135"
"MSDIAL_LPE O-20:5;[M+H]+;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCOCC(O)COP(O)(=O)OCCN;CPIMBPDFVOXGKK-JLNKQSITNA-N;C25H44NO6P","486.29790","314.2604","332.271","486.2979"
"MSDIAL_LPE O-21:0;[M+H]+;CCCCCCCCCCCCCCCCCCCCCOCC(O)COP(O)(=O)OCCN;TWGKDRISGGECRG-UHFFFAOYNA-N;C26H56NO6P","510.39180","338.3543","356.3649","510.3918"
"MSDIAL_LPE O-21:1;[M+H]+;CCCCCCCCC\C=C/CCCCCCCCCCOCC(O)COP(O)(=O)OCCN;AMIXEJIXAUSUDB-KHPPLWFENA-N;C26H54NO6P","508.37615","336.3387","354.3492","508.3762"
"MSDIAL_LPE O-21:2;[M+H]+;CCCCCC\C=C/C\C=C/CCCCCCCCCCOCC(O)COP(O)(=O)OCCN;RDCXHGDROWGEAF-NQLNTKRDNA-N;C26H52NO6P","506.36050","334.323","352.3336","506.3605"
"MSDIAL_LPE O-22:0;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCOCC(O)COP(O)(=O)OCCN;NEFWHSOGUHPSDT-UHFFFAOYNA-N;C27H58NO6P","524.40745","352.37","370.3805","524.4075"
"MSDIAL_LPE O-22:1;[M+H]+;CCCCCCCC\C=C/CCCCCCCCCCCCOCC(O)COP(O)(=O)OCCN;VETGTNFMJYPAKE-KTKRTIGZNA-N;C27H56NO6P","522.39180","350.3543","368.3649","522.3918"
"MSDIAL_LPE O-22:2;[M+H]+;CCCCC\C=C/C\C=C/CCCCCCCCCCCCOCC(O)COP(O)(=O)OCCN;UDKAKBIGYGBZEE-HZJYTTRNNA-N;C27H54NO6P","520.37615","348.3387","366.3492","520.3762"
"MSDIAL_LPE O-22:3;[M+H]+;CCCCC\C=C/C\C=C/C\C=C/CCCCCCCCCOCC(O)COP(O)(=O)OCCN;HXAMVKUAWIDJFN-QNEBEIHSNA-N;C27H52NO6P","518.36050","346.323","364.3336","518.3605"
"MSDIAL_LPE O-22:4;[M+H]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCCCCOCC(O)COP(O)(=O)OCCN;RKDWBDMWKAEZPB-LTKCOYKYNA-N;C27H50NO6P","516.34485","344.3074","362.3179","516.3448"
"MSDIAL_LPE O-22:5;[M+H]+;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCCCOCC(O)COP(O)(=O)OCCN;DQTOAMPLWVJBPL-JLNKQSITNA-N;C27H48NO6P","514.32920","342.2917","360.3023","514.3292"
"MSDIAL_LPE O-22:6;[M+H]+;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCOCC(O)COP(O)(=O)OCCN;AQONSCSEICWUPS-KUBAVDMBNA-N;C27H46NO6P","512.31355","340.2761","358.2866","512.3135"
"MSDIAL_LPE O-23:0;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCOCC(O)COP(O)(=O)OCCN;RYDXBMMQCQZZHV-UHFFFAOYNA-N;C28H60NO6P","538.42310","366.3856","384.3962","538.4231"
"MSDIAL_LPE O-24:0;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCOCC(O)COP(O)(=O)OCCN;BQOIPTDDOBGWQY-UHFFFAOYNA-N;C29H62NO6P","552.43875","380.4013","398.4118","552.4387"
"MSDIAL_LPE O-24:1;[M+H]+;CCCCCCCCCC\C=C/CCCCCCCCCCCCOCC(O)COP(O)(=O)OCCN;WOZJIHUFKXCXIO-QXMHVHEDNA-N;C29H60NO6P","550.42310","378.3856","396.3962","550.4231"
"MSDIAL_LPE O-24:2;[M+H]+;CCCCCCC\C=C/C\C=C/CCCCCCCCCCCCOCC(O)COP(O)(=O)OCCN;CHXDJKXLZZUGCS-MURFETPANA-N;C29H58NO6P","548.40745","376.37","394.3805","548.4075"
"MSDIAL_LPE O-24:4;[M+H]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCCCCCCOCC(O)COP(O)(=O)OCCN;BWKNWGGCIODJIK-LTKCOYKYNA-N;C29H54NO6P","544.37615","372.3387","390.3492","544.3762"
"MSDIAL_LPE O-25:0;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCOCC(O)COP(O)(=O)OCCN;GQGJQANLRANBDN-UHFFFAOYNA-N;C30H64NO6P","566.45440","394.4169","412.4275","566.4544"
"MSDIAL_LPE O-26:0;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCCOCC(O)COP(O)(=O)OCCN;ROLLPNCEOSGUJG-UHFFFAOYNA-N;C31H66NO6P","580.47005","408.4326","426.4431","580.47"
"MSDIAL_LPE O-26:1;[M+H]+;CCCCCCCCCC\C=C/CCCCCCCCCCCCCCOCC(O)COP(O)(=O)OCCN;CIAPKRFUCQIWIE-QXMHVHEDNA-N;C31H64NO6P","578.45440","406.4169","424.4275","578.4544"
"MSDIAL_LPE O-26:2;[M+H]+;CCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCOCC(O)COP(O)(=O)OCCN;OBCGCYQCIIUTBX-MURFETPANA-N;C31H62NO6P","576.43875","404.4013","422.4118","576.4387"
"MSDIAL_LPE O-26:4;[M+H]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCCCCCCCCOCC(O)COP(O)(=O)OCCN;GSYIVTLDVFZWAZ-LTKCOYKYNA-N;C31H58NO6P","572.40745","400.37","418.3805","572.4075"
"MSDIAL_LPE O-27:0;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCCCOCC(O)COP(O)(=O)OCCN;CIRBISIGIHVYNV-UHFFFAOYNA-N;C32H68NO6P","594.48570","422.4482","440.4588","594.4857"
