"MSDIAL_Cer_EOS","[M+H]+","1","2","3","4","5","6"
"MSDIAL_Cer 14:1;2O/30:3;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCC\C=C/C\C=C/CCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;SUJUAOLUPLQNQU-DUWNXGSONA-N;C44H81NO5","704.61875","208.206","686.6082","668.5976","704.6188","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/30:4;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(CO)NC(=O)CC\C=C/C\C=C/CCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;IWTIGNHZYRMEBN-GVHVZFAQNA-N;C44H79NO5","702.60310","208.206","684.5925","666.582","702.6031","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/31:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;MCWXAZQIHAAACD-LAWMERGMNA-N;C45H87NO5","722.66570","208.206","704.6552","686.6445","722.6657","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/31:2;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(CO)NC(=O)CCCCCCCCCCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;JJEVVKVMRQEDMZ-PMBNLPPMNA-N;C45H85NO5","720.65005","208.206","702.6395","684.6289","720.65","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/31:3;2O;[M+H]+;CCCCCCCCCCCCCCC(=O)OCCCCCCCC\C=C/C\C=C/CCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;RGLAEOGGYSCDGQ-UVRZDGOPNA-N;C45H83NO5","718.63440","208.206","700.6238","682.6133","718.6344","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/31:4;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(CO)NC(=O)CC\C=C/C\C=C/CCCCCCCCOC(=O)CCCCCCC\C=C/CCCCC;CTIYBQSQEAPQIY-NRYUMCNRNA-N;C45H81NO5","716.61875","208.206","698.6082","680.5976","716.6188","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/32:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;GYUWUGJORRERRI-XCWGLRIONA-N;C46H89NO5","736.68135","208.206","718.6708","700.6602","736.6813","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/32:2;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCC\C=C/CCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;OXXUGHBTNPNDMN-CBFFDJGJNA-N;C46H87NO5","734.66570","208.206","716.6552","698.6445","734.6657","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/32:3;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCC\C=C/C=C\CCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;CJFSSBFRTXAJTB-YAMWHVKKNA-N;C46H85NO5","732.65005","208.206","714.6395","696.6289","732.65","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/32:4;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(CO)NC(=O)CCCCCCCC\C=C/C=C\CCCCCOC(=O)CCCCCCC\C=C/CCCC;PUZGGBVBYXXUHG-RVTVXZSSNA-N;C46H83NO5","730.63440","208.206","712.6238","694.6133","730.6344","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/32:5;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(CO)NC(=O)CC\C=C/C\C=C/CCCCCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCC;CJEAMPPLBOPAAS-SQLSZRFBNA-N;C46H81NO5","728.61875","208.206","710.6082","692.5976","728.6188","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/33:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;YVWUOYPAGJTCKD-IGIMMJHKNA-N;C47H91NO5","750.69700","208.206","732.6864","714.6758","750.697","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/33:2;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCC\C=C/CCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;QWERILLRGNWQSS-ISQPSYNYNA-N;C47H89NO5","748.68135","208.206","730.6708","712.6602","748.6813","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/33:3;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(CO)NC(=O)CCCCCCC\C=C/CCCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;LKIXNERBRCBVQJ-VAFGMHMWNA-N;C47H87NO5","746.66570","208.206","728.6552","710.6445","746.6657","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/33:4;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(CO)NC(=O)CCCCCCCC\C=C/C=C\CCCCCOC(=O)CCCCCCC\C=C/CCCCC;VDLQHPZUZIMDSZ-WQTXUBGENA-N;C47H85NO5","744.65005","208.206","726.6395","708.6289","744.65","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/33:5;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(CO)NC(=O)CC\C=C/C\C=C/CCCCCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCCC;PTJXPNYBLWMBIM-SHIUCTNCNA-N;C47H83NO5","742.63440","208.206","724.6238","706.6133","742.6344","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/34:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;GVZRPAXBGFWZRH-CHJNDSEFNA-N;C48H93NO5","764.71265","208.206","746.7021","728.6915","764.7126","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/34:2;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;KFQGWEXYPZALCT-BSLWDKKXNA-N;C48H91NO5","762.69700","208.206","744.6864","726.6758","762.697","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/34:3;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCC\C=C/C\C=C/CCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;QPYUDNBNRZCUPV-FXTOMTBJNA-N;C48H89NO5","760.68135","208.206","742.6708","724.6602","760.6813","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/34:4;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(CO)NC(=O)CCCCCCCCC\C=C/C\C=C/CCCCCOC(=O)CCCCCCC\C=C/CCCC;WDUJVLFKKODPOT-HNCQQJTCNA-N;C48H87NO5","758.66570","208.206","740.6552","722.6445","758.6657","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/34:5;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(CO)NC(=O)CCCCCCCC\C=C/C=C\CCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCC;LJHYNDLGLFWNDX-ZRGLFPTKNA-N;C48H85NO5","756.65005","208.206","738.6395","720.6289","756.65","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/35:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;JFXGTIXYMVXCLV-SWNXMFJWNA-N;C49H95NO5","778.72830","208.206","760.7177","742.7072","778.7283","196.206","226.2166"
