Cholesterol,[M+H-H2O]+,Cholesterol,Exper_CholFrag1,CholFrag2,CholFrag3,C13H19,C12H17,C11H15,C10H15
Cholesterol-H2O,369.3511,404.3887,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
SPLASH_Cholesterol(d7)-H2O,376.39499,411.43259,266.2855,294.317,215.1798,175.1485,161.1329,147.1173,135.1172
