OxTG,[M+NH4]+,[M+H-nH2O]+,[M+H-nH2O2]+,[M+H-nH2O-R1COOH]+,[M+H-nH2O-R2COOH]+,[M+H-nH2O-R3COOH]+,[M+H-nH2O2-R1COOH]+,[M+H-nH2O2-R2COOH]+,[M+H-nH2O2-R3COOH]+
OxTG(14:1_18:2_20:4(OOH))+NH4,898.7131104,845.6654204,847.6810704,637.4826604,583.4357604,545.4564704,621.4877504,567.4408504,545.4564704
OxTG(14:1_18:2_18:2(OOH))+NH4,874.7131104,821.6654204,823.6810704,613.4826604,559.4357604,545.4564704,597.4877504,543.4408504,545.4564704
OxTG(14:1_18:3_20:4(OOH))+NH4,896.6975104,843.6498204,845.6654704,635.4670604,583.4357604,543.4408704,619.4721504,567.4408504,543.4408704
OxTG(14:1_18:3_18:2(OOH))+NH4,872.6975104,819.6498204,821.6654704,611.4670604,559.4357604,543.4408704,595.4721504,543.4408504,543.4408704
OxTG(14:1_18:4_20:4(OOH))+NH4,894.6818104,841.6341204,843.6497704,633.4513604,583.4357604,541.4251704,617.4564504,567.4408504,541.4251704
OxTG(14:1_18:4_18:2(OOH))+NH4,870.6818104,817.6341204,819.6497704,609.4513604,559.4357604,541.4251704,593.4564504,543.4408504,541.4251704
OxTG(14:1_20:4_20:4(OOH))+NH4,922.7131104,869.6654204,871.6810704,661.4826604,583.4357604,569.4564704,645.4877504,567.4408504,569.4564704
OxTG(14:1_20:4_18:2(OOH))+NH4,898.7131104,845.6654204,847.6810704,637.4826604,559.4357604,569.4564704,621.4877504,543.4408504,569.4564704
OxTG(14:1_20:5_20:4(OOH))+NH4,920.6975104,867.6498204,869.6654704,659.4670604,583.4357604,567.4408704,643.4721504,567.4408504,567.4408704
OxTG(14:1_20:5_18:2(OOH))+NH4,896.6975104,843.6498204,845.6654704,635.4670604,559.4357604,567.4408704,619.4721504,543.4408504,567.4408704
OxTG(14:1_22:5_20:4(OOH))+NH4,948.7288104,895.6811204,897.6967704,687.4983604,583.4357604,595.4721704,671.5034504,567.4408504,595.4721704
OxTG(14:1_22:5_18:2(OOH))+NH4,924.7288104,871.6811204,873.6967704,663.4983604,559.4357604,595.4721704,647.5034504,543.4408504,595.4721704
OxTG(14:1_22:6_20:4(OOH))+NH4,946.7131104,893.6654204,895.6810704,685.4826604,583.4357604,593.4564704,669.4877504,567.4408504,593.4564704
OxTG(14:1_22:6_18:2(OOH))+NH4,922.7131104,869.6654204,871.6810704,661.4826604,559.4357604,593.4564704,645.4877504,543.4408504,593.4564704
OxTG(16:0_16:0_20:4(OOH))+NH4,904.7600104,851.7123204,853.7279704,613.4826604,613.4826604,551.5033704,597.4877504,597.4877504,551.5033704
OxTG(16:0_16:0_18:2(OOH))+NH4,880.7600104,827.7123204,829.7279704,589.4826604,589.4826604,551.5033704,573.4877504,573.4877504,551.5033704
OxTG(16:0_16:1_20:4(OOH))+NH4,902.7444104,849.6967204,851.7123704,611.4670604,613.4826604,549.4877704,595.4721504,597.4877504,549.4877704
OxTG(16:0_16:1_18:2(OOH))+NH4,878.7444104,825.6967204,827.7123704,587.4670604,589.4826604,549.4877704,571.4721504,573.4877504,549.4877704
OxTG(16:0_18:0_20:4(OOH))+NH4,932.7913104,879.7436204,881.7592704,641.5139604,613.4826604,579.5346704,625.5190504,597.4877504,579.5346704
OxTG(16:0_18:0_18:2(OOH))+NH4,908.7913104,855.7436204,857.7592704,617.5139604,589.4826604,579.5346704,601.5190504,573.4877504,579.5346704
OxTG(16:0_18:1_20:4(OOH))+NH4,930.7757104,877.7280204,879.7436704,639.4983604,613.4826604,577.5190704,623.5034504,597.4877504,577.5190704
OxTG(16:0_18:1_18:2(OOH))+NH4,906.7757104,853.7280204,855.7436704,615.4983604,589.4826604,577.5190704,599.5034504,573.4877504,577.5190704
OxTG(16:0_18:2_20:4(OOH))+NH4,928.7600104,875.7123204,877.7279704,637.4826604,613.4826604,575.5033704,621.4877504,597.4877504,575.5033704
OxTG(16:0_18:2_18:2(OOH))+NH4,904.7600104,851.7123204,853.7279704,613.4826604,589.4826604,575.5033704,597.4877504,573.4877504,575.5033704
OxTG(16:0_18:3_20:4(OOH))+NH4,926.7444104,873.6967204,875.7123704,635.4670604,613.4826604,573.4877704,619.4721504,597.4877504,573.4877704
OxTG(16:0_18:3_18:2(OOH))+NH4,902.7444104,849.6967204,851.7123704,611.4670604,589.4826604,573.4877704,595.4721504,573.4877504,573.4877704
OxTG(16:0_18:4_20:4(OOH))+NH4,924.7287104,871.6810204,873.6966704,633.4513604,613.4826604,571.4720704,617.4564504,597.4877504,571.4720704
OxTG(16:0_18:4_18:2(OOH))+NH4,900.7287104,847.6810204,849.6966704,609.4513604,589.4826604,571.4720704,593.4564504,573.4877504,571.4720704
OxTG(16:0_20:4_20:4(OOH))+NH4,952.7600104,899.7123204,901.7279704,661.4826604,613.4826604,599.5033704,645.4877504,597.4877504,599.5033704
OxTG(16:0_20:4_18:2(OOH))+NH4,928.7600104,875.7123204,877.7279704,637.4826604,589.4826604,599.5033704,621.4877504,573.4877504,599.5033704
OxTG(16:0_20:5_20:4(OOH))+NH4,950.7444104,897.6967204,899.7123704,659.4670604,613.4826604,597.4877704,643.4721504,597.4877504,597.4877704
OxTG(16:0_20:5_18:2(OOH))+NH4,926.7444104,873.6967204,875.7123704,635.4670604,589.4826604,597.4877704,619.4721504,573.4877504,597.4877704
OxTG(16:0_22:5_20:4(OOH))+NH4,978.7757104,925.7280204,927.7436704,687.4983604,613.4826604,625.5190704,671.5034504,597.4877504,625.5190704
OxTG(16:0_22:5_18:2(OOH))+NH4,954.7757104,901.7280204,903.7436704,663.4983604,589.4826604,625.5190704,647.5034504,573.4877504,625.5190704
OxTG(16:0_22:6_20:4(OOH))+NH4,976.7600104,923.7123204,925.7279704,685.4826604,613.4826604,623.5033704,669.4877504,597.4877504,623.5033704
OxTG(16:0_22:6_18:2(OOH))+NH4,952.7600104,899.7123204,901.7279704,661.4826604,589.4826604,623.5033704,645.4877504,573.4877504,623.5033704
OxTG(16:1_16:1_20:4(OOH))+NH4,900.7288104,847.6811204,849.6967704,611.4670604,611.4670604,547.4721704,595.4721504,595.4721504,547.4721704
OxTG(16:1_16:1_18:2(OOH))+NH4,876.7288104,823.6811204,825.6967704,587.4670604,587.4670604,547.4721704,571.4721504,571.4721504,547.4721704
OxTG(16:1_18:0_20:4(OOH))+NH4,930.7757104,877.7280204,879.7436704,641.5139604,611.4670604,577.5190704,625.5190504,595.4721504,577.5190704
OxTG(16:1_18:0_18:2(OOH))+NH4,906.7757104,853.7280204,855.7436704,617.5139604,587.4670604,577.5190704,601.5190504,571.4721504,577.5190704
OxTG(16:1_18:1_20:4(OOH))+NH4,928.7601104,875.7124204,877.7280704,639.4983604,611.4670604,575.5034704,623.5034504,595.4721504,575.5034704
OxTG(16:1_18:1_18:2(OOH))+NH4,904.7601104,851.7124204,853.7280704,615.4983604,587.4670604,575.5034704,599.5034504,571.4721504,575.5034704
OxTG(16:1_18:2_20:4(OOH))+NH4,926.7444104,873.6967204,875.7123704,637.4826604,611.4670604,573.4877704,621.4877504,595.4721504,573.4877704
OxTG(16:1_18:2_18:2(OOH))+NH4,902.7444104,849.6967204,851.7123704,613.4826604,587.4670604,573.4877704,597.4877504,571.4721504,573.4877704
OxTG(16:1_18:3_20:4(OOH))+NH4,924.7288104,871.6811204,873.6967704,635.4670604,611.4670604,571.4721704,619.4721504,595.4721504,571.4721704
