OxTG,[M+NH4]+,[M+H-nH2O]+,[M+H-nH2O2]+,[M+H-nH2O-R1COOH]+,[M+H-nH2O-R2COOH]+,[M+H-nH2O-R3COOH]+,[M+H-nH2O2-R1COOH]+,[M+H-nH2O2-R2COOH]+,[M+H-nH2O2-R3COOH]+
OxTG(14:0_18:0_20:5(OOH))+NH4,902.7443504,849.6966604,851.7123104,639.4983004,583.4357004,551.5033704,623.5033904,567.4407904,551.5033704
OxTG(14:0_18:0_22:1(OOH))+NH4,938.8382504,885.7905604,887.8062104,675.5922004,619.5296004,551.5033704,659.5972904,603.5346904,551.5033704
OxTG(14:0_18:0_22:2(OOH))+NH4,936.8225504,883.7748604,885.7905104,673.5765004,617.5139004,551.5033704,657.5815904,601.5189904,551.5033704
OxTG(14:0_18:0_22:3(OOH))+NH4,934.8069504,881.7592604,883.7749104,671.5609004,615.4983004,551.5033704,655.5659904,599.5033904,551.5033704
OxTG(14:0_18:0_22:4(OOH))+NH4,932.7912504,879.7435604,881.7592104,669.5452004,613.4826004,551.5033704,653.5502904,597.4876904,551.5033704
OxTG(14:0_18:0_22:5(OOH))+NH4,930.7756504,877.7279604,879.7436104,667.5296004,611.4670004,551.5033704,651.5346904,595.4720904,551.5033704
OxTG(14:0_18:0_22:6(OOH))+NH4,928.7599504,875.7122604,877.7279104,665.5139004,609.4513004,551.5033704,649.5189904,593.4563904,551.5033704
OxTG(14:0_18:0_24:1(OOH))+NH4,966.8695504,913.8218604,915.8375104,703.6235004,647.5609004,551.5033704,687.6285904,631.5659904,551.5033704
OxTG(14:0_18:0_14:1(OOHOOH))+NH4,858.7029504,769.6341204,773.6654204,577.4463304,521.3837304,551.5033704,545.4565104,489.3939104,551.5033704
OxTG(14:0_18:0_15:1(OOHOOH))+NH4,872.7185504,783.6497204,787.6810204,591.4619304,535.3993304,551.5033704,559.4721104,503.4095104,551.5033704
OxTG(14:0_18:0_16:1(OOHOOH))+NH4,886.7342504,797.6654204,801.6967204,605.4776304,549.4150304,551.5033704,573.4878104,517.4252104,551.5033704
OxTG(14:0_18:0_17:1(OOHOOH))+NH4,900.7498504,811.6810204,815.7123204,619.4932304,563.4306304,551.5033704,587.5034104,531.4408104,551.5033704
OxTG(14:0_18:0_17:2(OOHOOH))+NH4,898.7342504,809.6654204,813.6967204,617.4776304,561.4150304,551.5033704,585.4878104,529.4252104,551.5033704
OxTG(14:0_18:0_18:1(OOHOOH))+NH4,914.7655504,825.6967204,829.7280204,633.5089304,577.4463304,551.5033704,601.5191104,545.4565104,551.5033704
OxTG(14:0_18:0_18:2(OOHOOH))+NH4,912.7498504,823.6810204,827.7123204,631.4932304,575.4306304,551.5033704,599.5034104,543.4408104,551.5033704
OxTG(14:0_18:0_18:3(OOHOOH))+NH4,910.7342504,821.6654204,825.6967204,629.4776304,573.4150304,551.5033704,597.4878104,541.4252104,551.5033704
OxTG(14:0_18:0_18:4(OOHOOH))+NH4,908.7185504,819.6497204,823.6810204,627.4619304,571.3993304,551.5033704,595.4721104,539.4095104,551.5033704
OxTG(14:0_18:0_20:1(OOHOOH))+NH4,942.7968504,853.7280204,857.7593204,661.5402304,605.4776304,551.5033704,629.5504104,573.4878104,551.5033704
OxTG(14:0_18:0_20:2(OOHOOH))+NH4,940.7811504,851.7123204,855.7436204,659.5245304,603.4619304,551.5033704,627.5347104,571.4721104,551.5033704
OxTG(14:0_18:0_20:3(OOHOOH))+NH4,938.7655504,849.6967204,853.7280204,657.5089304,601.4463304,551.5033704,625.5191104,569.4565104,551.5033704
OxTG(14:0_18:0_20:4(OOHOOH))+NH4,936.7498504,847.6810204,851.7123204,655.4932304,599.4306304,551.5033704,623.5034104,567.4408104,551.5033704
OxTG(14:0_18:0_20:5(OOHOOH))+NH4,934.7342504,845.6654204,849.6967204,653.4776304,597.4150304,551.5033704,621.4878104,565.4252104,551.5033704
OxTG(14:0_18:0_22:1(OOHOOH))+NH4,970.8281504,881.7593204,885.7906204,689.5715304,633.5089304,551.5033704,657.5817104,601.5191104,551.5033704
OxTG(14:0_18:0_22:2(OOHOOH))+NH4,968.8124504,879.7436204,883.7749204,687.5558304,631.4932304,551.5033704,655.5660104,599.5034104,551.5033704
OxTG(14:0_18:0_22:3(OOHOOH))+NH4,966.7968504,877.7280204,881.7593204,685.5402304,629.4776304,551.5033704,653.5504104,597.4878104,551.5033704
OxTG(14:0_18:0_22:4(OOHOOH))+NH4,964.7811504,875.7123204,879.7436204,683.5245304,627.4619304,551.5033704,651.5347104,595.4721104,551.5033704
OxTG(14:0_18:0_22:5(OOHOOH))+NH4,962.7655504,873.6967204,877.7280204,681.5089304,625.4463304,551.5033704,649.5191104,593.4565104,551.5033704
OxTG(14:0_18:0_22:6(OOHOOH))+NH4,960.7498504,871.6810204,875.7123204,679.4932304,623.4306304,551.5033704,647.5034104,591.4408104,551.5033704
OxTG(14:0_18:0_24:1(OOHOOH))+NH4,998.8594504,909.7906204,913.8219204,717.6028304,661.5402304,551.5033704,685.6130104,629.5504104,551.5033704
OxTG(14:0_18:1_14:1(OOH))+NH4,824.6974504,771.6497604,773.6654104,561.4514004,507.4044004,549.4877704,545.4564904,491.4094904,549.4877704
OxTG(14:0_18:1_15:1(OOH))+NH4,838.7130504,785.6653604,787.6810104,575.4670004,521.4200004,549.4877704,559.4720904,505.4250904,549.4877704
OxTG(14:0_18:1_16:1(OOH))+NH4,852.7287504,799.6810604,801.6967104,589.4827004,535.4357004,549.4877704,573.4877904,519.4407904,549.4877704
OxTG(14:0_18:1_17:1(OOH))+NH4,866.7443504,813.6966604,815.7123104,603.4983004,549.4513004,549.4877704,587.5033904,533.4563904,549.4877704
OxTG(14:0_18:1_17:2(OOH))+NH4,864.7287504,811.6810604,813.6967104,601.4827004,547.4357004,549.4877704,585.4877904,531.4407904,549.4877704
OxTG(14:0_18:1_18:1(OOH))+NH4,880.7600504,827.7123604,829.7280104,617.5140004,563.4670004,549.4877704,601.5190904,547.4720904,549.4877704
OxTG(14:0_18:1_18:3(OOH))+NH4,876.7287504,823.6810604,825.6967104,613.4827004,559.4357004,549.4877704,597.4877904,543.4407904,549.4877704
OxTG(14:0_18:1_18:4(OOH))+NH4,874.7130504,821.6653604,823.6810104,611.4670004,557.4200004,549.4877704,595.4720904,541.4250904,549.4877704
OxTG(14:0_18:1_20:1(OOH))+NH4,908.7913504,855.7436604,857.7593104,645.5453004,591.4983004,549.4877704,629.5503904,575.5033904,549.4877704
OxTG(14:0_18:1_20:2(OOH))+NH4,906.7756504,853.7279604,855.7436104,643.5296004,589.4826004,549.4877704,627.5346904,573.4876904,549.4877704
OxTG(14:0_18:1_20:3(OOH))+NH4,904.7600504,851.7123604,853.7280104,641.5140004,587.4670004,549.4877704,625.5190904,571.4720904,549.4877704
OxTG(14:0_18:1_20:5(OOH))+NH4,900.7287504,847.6810604,849.6967104,637.4827004,583.4357004,549.4877704,621.4877904,567.4407904,549.4877704
OxTG(14:0_18:1_22:1(OOH))+NH4,936.8226504,883.7749604,885.7906104,673.5766004,619.5296004,549.4877704,657.5816904,603.5346904,549.4877704
OxTG(14:0_18:1_22:2(OOH))+NH4,934.8069504,881.7592604,883.7749104,671.5609004,617.5139004,549.4877704,655.5659904,601.5189904,549.4877704
OxTG(14:0_18:1_22:3(OOH))+NH4,932.7913504,879.7436604,881.7593104,669.5453004,615.4983004,549.4877704,653.5503904,599.5033904,549.4877704
OxTG(14:0_18:1_22:4(OOH))+NH4,930.7756504,877.7279604,879.7436104,667.5296004,613.4826004,549.4877704,651.5346904,597.4876904,549.4877704
OxTG(14:0_18:1_22:5(OOH))+NH4,928.7600504,875.7123604,877.7280104,665.5140004,611.4670004,549.4877704,649.5190904,595.4720904,549.4877704
OxTG(14:0_18:1_22:6(OOH))+NH4,926.7443504,873.6966604,875.7123104,663.4983004,609.4513004,549.4877704,647.5033904,593.4563904,549.4877704
OxTG(14:0_18:1_24:1(OOH))+NH4,964.8539504,911.8062604,913.8219104,701.6079004,647.5609004,549.4877704,685.6129904,631.5659904,549.4877704
OxTG(14:0_18:1_14:1(OOHOOH))+NH4,856.6873504,767.6185204,771.6498204,575.4307304,521.3837304,549.4877704,543.4409104,489.3939104,549.4877704
OxTG(14:0_18:1_15:1(OOHOOH))+NH4,870.7029504,781.6341204,785.6654204,589.4463304,535.3993304,549.4877704,557.4565104,503.4095104,549.4877704
OxTG(14:0_18:1_16:1(OOHOOH))+NH4,884.7186504,795.6498204,799.6811204,603.4620304,549.4150304,549.4877704,571.4722104,517.4252104,549.4877704
OxTG(14:0_18:1_17:1(OOHOOH))+NH4,898.7342504,809.6654204,813.6967204,617.4776304,563.4306304,549.4877704,585.4878104,531.4408104,549.4877704
OxTG(14:0_18:1_17:2(OOHOOH))+NH4,896.7186504,807.6498204,811.6811204,615.4620304,561.4150304,549.4877704,583.4722104,529.4252104,549.4877704
OxTG(14:0_18:1_18:1(OOHOOH))+NH4,912.7499504,823.6811204,827.7124204,631.4933304,577.4463304,549.4877704,599.5035104,545.4565104,549.4877704
OxTG(14:0_18:1_18:2(OOHOOH))+NH4,910.7342504,821.6654204,825.6967204,629.4776304,575.4306304,549.4877704,597.4878104,543.4408104,549.4877704
OxTG(14:0_18:1_18:3(OOHOOH))+NH4,908.7186504,819.6498204,823.6811204,627.4620304,573.4150304,549.4877704,595.4722104,541.4252104,549.4877704
OxTG(14:0_18:1_18:4(OOHOOH))+NH4,906.7029504,817.6341204,821.6654204,625.4463304,571.3993304,549.4877704,593.4565104,539.4095104,549.4877704
OxTG(14:0_18:1_20:1(OOHOOH))+NH4,940.7812504,851.7124204,855.7437204,659.5246304,605.4776304,549.4877704,627.5348104,573.4878104,549.4877704
OxTG(14:0_18:1_20:2(OOHOOH))+NH4,938.7655504,849.6967204,853.7280204,657.5089304,603.4619304,549.4877704,625.5191104,571.4721104,549.4877704
OxTG(14:0_18:1_20:3(OOHOOH))+NH4,936.7499504,847.6811204,851.7124204,655.4933304,601.4463304,549.4877704,623.5035104,569.4565104,549.4877704
OxTG(14:0_18:1_20:4(OOHOOH))+NH4,934.7342504,845.6654204,849.6967204,653.4776304,599.4306304,549.4877704,621.4878104,567.4408104,549.4877704
OxTG(14:0_18:1_20:5(OOHOOH))+NH4,932.7186504,843.6498204,847.6811204,651.4620304,597.4150304,549.4877704,619.4722104,565.4252104,549.4877704
OxTG(14:0_18:1_22:1(OOHOOH))+NH4,968.8125504,879.7437204,883.7750204,687.5559304,633.5089304,549.4877704,655.5661104,601.5191104,549.4877704
OxTG(14:0_18:1_22:2(OOHOOH))+NH4,966.7968504,877.7280204,881.7593204,685.5402304,631.4932304,549.4877704,653.5504104,599.5034104,549.4877704
OxTG(14:0_18:1_22:3(OOHOOH))+NH4,964.7812504,875.7124204,879.7437204,683.5246304,629.4776304,549.4877704,651.5348104,597.4878104,549.4877704
OxTG(14:0_18:1_22:4(OOHOOH))+NH4,962.7655504,873.6967204,877.7280204,681.5089304,627.4619304,549.4877704,649.5191104,595.4721104,549.4877704
OxTG(14:0_18:1_22:5(OOHOOH))+NH4,960.7499504,871.6811204,875.7124204,679.4933304,625.4463304,549.4877704,647.5035104,593.4565104,549.4877704
OxTG(14:0_18:1_22:6(OOHOOH))+NH4,958.7342504,869.6654204,873.6967204,677.4776304,623.4306304,549.4877704,645.4878104,591.4408104,549.4877704
OxTG(14:0_18:1_24:1(OOHOOH))+NH4,996.8438504,907.7750204,911.8063204,715.5872304,661.5402304,549.4877704,683.5974104,629.5504104,549.4877704
OxTG(14:0_18:2_14:1(OOH))+NH4,822.6817504,769.6340604,771.6497104,559.4357004,507.4044004,547.4720704,543.4407904,491.4094904,547.4720704
OxTG(14:0_18:2_15:1(OOH))+NH4,836.6973504,783.6496604,785.6653104,573.4513004,521.4200004,547.4720704,557.4563904,505.4250904,547.4720704
OxTG(14:0_18:2_16:1(OOH))+NH4,850.7130504,797.6653604,799.6810104,587.4670004,535.4357004,547.4720704,571.4720904,519.4407904,547.4720704
OxTG(14:0_18:2_17:1(OOH))+NH4,864.7286504,811.6809604,813.6966104,601.4826004,549.4513004,547.4720704,585.4876904,533.4563904,547.4720704
OxTG(14:0_18:2_17:2(OOH))+NH4,862.7130504,809.6653604,811.6810104,599.4670004,547.4357004,547.4720704,583.4720904,531.4407904,547.4720704
OxTG(14:0_18:2_18:1(OOH))+NH4,878.7443504,825.6966604,827.7123104,615.4983004,563.4670004,547.4720704,599.5033904,547.4720904,547.4720704
OxTG(14:0_18:2_18:3(OOH))+NH4,874.7130504,821.6653604,823.6810104,611.4670004,559.4357004,547.4720704,595.4720904,543.4407904,547.4720704
OxTG(14:0_18:2_18:4(OOH))+NH4,872.6973504,819.6496604,821.6653104,609.4513004,557.4200004,547.4720704,593.4563904,541.4250904,547.4720704
OxTG(14:0_18:2_20:1(OOH))+NH4,906.7756504,853.7279604,855.7436104,643.5296004,591.4983004,547.4720704,627.5346904,575.5033904,547.4720704
OxTG(14:0_18:2_20:2(OOH))+NH4,904.7599504,851.7122604,853.7279104,641.5139004,589.4826004,547.4720704,625.5189904,573.4876904,547.4720704
OxTG(14:0_18:2_20:3(OOH))+NH4,902.7443504,849.6966604,851.7123104,639.4983004,587.4670004,547.4720704,623.5033904,571.4720904,547.4720704
OxTG(14:0_18:2_20:5(OOH))+NH4,898.7130504,845.6653604,847.6810104,635.4670004,583.4357004,547.4720704,619.4720904,567.4407904,547.4720704
OxTG(14:0_18:2_22:1(OOH))+NH4,934.8069504,881.7592604,883.7749104,671.5609004,619.5296004,547.4720704,655.5659904,603.5346904,547.4720704
OxTG(14:0_18:2_22:2(OOH))+NH4,932.7912504,879.7435604,881.7592104,669.5452004,617.5139004,547.4720704,653.5502904,601.5189904,547.4720704
OxTG(14:0_18:2_22:3(OOH))+NH4,930.7756504,877.7279604,879.7436104,667.5296004,615.4983004,547.4720704,651.5346904,599.5033904,547.4720704
OxTG(14:0_18:2_22:4(OOH))+NH4,928.7599504,875.7122604,877.7279104,665.5139004,613.4826004,547.4720704,649.5189904,597.4876904,547.4720704
OxTG(14:0_18:2_22:5(OOH))+NH4,926.7443504,873.6966604,875.7123104,663.4983004,611.4670004,547.4720704,647.5033904,595.4720904,547.4720704
OxTG(14:0_18:2_22:6(OOH))+NH4,924.7286504,871.6809604,873.6966104,661.4826004,609.4513004,547.4720704,645.4876904,593.4563904,547.4720704
OxTG(14:0_18:2_24:1(OOH))+NH4,962.8382504,909.7905604,911.8062104,699.5922004,647.5609004,547.4720704,683.5972904,631.5659904,547.4720704
OxTG(14:0_18:2_14:1(OOHOOH))+NH4,854.6716504,765.6028204,769.6341204,573.4150304,521.3837304,547.4720704,541.4252104,489.3939104,547.4720704
OxTG(14:0_18:2_15:1(OOHOOH))+NH4,868.6872504,779.6184204,783.6497204,587.4306304,535.3993304,547.4720704,555.4408104,503.4095104,547.4720704
OxTG(14:0_18:2_16:1(OOHOOH))+NH4,882.7029504,793.6341204,797.6654204,601.4463304,549.4150304,547.4720704,569.4565104,517.4252104,547.4720704
OxTG(14:0_18:2_17:1(OOHOOH))+NH4,896.7185504,807.6497204,811.6810204,615.4619304,563.4306304,547.4720704,583.4721104,531.4408104,547.4720704
OxTG(14:0_18:2_17:2(OOHOOH))+NH4,894.7029504,805.6341204,809.6654204,613.4463304,561.4150304,547.4720704,581.4565104,529.4252104,547.4720704
OxTG(14:0_18:2_18:1(OOHOOH))+NH4,910.7342504,821.6654204,825.6967204,629.4776304,577.4463304,547.4720704,597.4878104,545.4565104,547.4720704
OxTG(14:0_18:2_18:2(OOHOOH))+NH4,908.7185504,819.6497204,823.6810204,627.4619304,575.4306304,547.4720704,595.4721104,543.4408104,547.4720704
OxTG(14:0_18:2_18:3(OOHOOH))+NH4,906.7029504,817.6341204,821.6654204,625.4463304,573.4150304,547.4720704,593.4565104,541.4252104,547.4720704
OxTG(14:0_18:2_18:4(OOHOOH))+NH4,904.6872504,815.6184204,819.6497204,623.4306304,571.3993304,547.4720704,591.4408104,539.4095104,547.4720704
OxTG(14:0_18:2_20:1(OOHOOH))+NH4,938.7655504,849.6967204,853.7280204,657.5089304,605.4776304,547.4720704,625.5191104,573.4878104,547.4720704
OxTG(14:0_18:2_20:2(OOHOOH))+NH4,936.7498504,847.6810204,851.7123204,655.4932304,603.4619304,547.4720704,623.5034104,571.4721104,547.4720704
OxTG(14:0_18:2_20:3(OOHOOH))+NH4,934.7342504,845.6654204,849.6967204,653.4776304,601.4463304,547.4720704,621.4878104,569.4565104,547.4720704
OxTG(14:0_18:2_20:4(OOHOOH))+NH4,932.7185504,843.6497204,847.6810204,651.4619304,599.4306304,547.4720704,619.4721104,567.4408104,547.4720704
OxTG(14:0_18:2_20:5(OOHOOH))+NH4,930.7029504,841.6341204,845.6654204,649.4463304,597.4150304,547.4720704,617.4565104,565.4252104,547.4720704
OxTG(14:0_18:2_22:1(OOHOOH))+NH4,966.7968504,877.7280204,881.7593204,685.5402304,633.5089304,547.4720704,653.5504104,601.5191104,547.4720704
OxTG(14:0_18:2_22:2(OOHOOH))+NH4,964.7811504,875.7123204,879.7436204,683.5245304,631.4932304,547.4720704,651.5347104,599.5034104,547.4720704
OxTG(14:0_18:2_22:3(OOHOOH))+NH4,962.7655504,873.6967204,877.7280204,681.5089304,629.4776304,547.4720704,649.5191104,597.4878104,547.4720704
OxTG(14:0_18:2_22:4(OOHOOH))+NH4,960.7498504,871.6810204,875.7123204,679.4932304,627.4619304,547.4720704,647.5034104,595.4721104,547.4720704
OxTG(14:0_18:2_22:5(OOHOOH))+NH4,958.7342504,869.6654204,873.6967204,677.4776304,625.4463304,547.4720704,645.4878104,593.4565104,547.4720704
OxTG(14:0_18:2_22:6(OOHOOH))+NH4,956.7185504,867.6497204,871.6810204,675.4619304,623.4306304,547.4720704,643.4721104,591.4408104,547.4720704
OxTG(14:0_18:2_24:1(OOHOOH))+NH4,994.8281504,905.7593204,909.7906204,713.5715304,661.5402304,547.4720704,681.5817104,629.5504104,547.4720704
OxTG(14:0_18:3_14:1(OOH))+NH4,820.6661504,767.6184604,769.6341104,557.4201004,507.4044004,545.4564704,541.4251904,491.4094904,545.4564704
OxTG(14:0_18:3_15:1(OOH))+NH4,834.6817504,781.6340604,783.6497104,571.4357004,521.4200004,545.4564704,555.4407904,505.4250904,545.4564704
OxTG(14:0_18:3_16:1(OOH))+NH4,848.6974504,795.6497604,797.6654104,585.4514004,535.4357004,545.4564704,569.4564904,519.4407904,545.4564704
OxTG(14:0_18:3_17:1(OOH))+NH4,862.7130504,809.6653604,811.6810104,599.4670004,549.4513004,545.4564704,583.4720904,533.4563904,545.4564704
OxTG(14:0_18:3_17:2(OOH))+NH4,860.6974504,807.6497604,809.6654104,597.4514004,547.4357004,545.4564704,581.4564904,531.4407904,545.4564704
OxTG(14:0_18:3_18:1(OOH))+NH4,876.7287504,823.6810604,825.6967104,613.4827004,563.4670004,545.4564704,597.4877904,547.4720904,545.4564704
OxTG(14:0_18:3_18:3(OOH))+NH4,872.6974504,819.6497604,821.6654104,609.4514004,559.4357004,545.4564704,593.4564904,543.4407904,545.4564704
OxTG(14:0_18:3_18:4(OOH))+NH4,870.6817504,817.6340604,819.6497104,607.4357004,557.4200004,545.4564704,591.4407904,541.4250904,545.4564704
OxTG(14:0_18:3_20:1(OOH))+NH4,904.7600504,851.7123604,853.7280104,641.5140004,591.4983004,545.4564704,625.5190904,575.5033904,545.4564704
OxTG(14:0_18:3_20:2(OOH))+NH4,902.7443504,849.6966604,851.7123104,639.4983004,589.4826004,545.4564704,623.5033904,573.4876904,545.4564704
OxTG(14:0_18:3_20:3(OOH))+NH4,900.7287504,847.6810604,849.6967104,637.4827004,587.4670004,545.4564704,621.4877904,571.4720904,545.4564704
OxTG(14:0_18:3_20:5(OOH))+NH4,896.6974504,843.6497604,845.6654104,633.4514004,583.4357004,545.4564704,617.4564904,567.4407904,545.4564704
OxTG(14:0_18:3_22:1(OOH))+NH4,932.7913504,879.7436604,881.7593104,669.5453004,619.5296004,545.4564704,653.5503904,603.5346904,545.4564704
OxTG(14:0_18:3_22:2(OOH))+NH4,930.7756504,877.7279604,879.7436104,667.5296004,617.5139004,545.4564704,651.5346904,601.5189904,545.4564704
OxTG(14:0_18:3_22:3(OOH))+NH4,928.7600504,875.7123604,877.7280104,665.5140004,615.4983004,545.4564704,649.5190904,599.5033904,545.4564704
OxTG(14:0_18:3_22:4(OOH))+NH4,926.7443504,873.6966604,875.7123104,663.4983004,613.4826004,545.4564704,647.5033904,597.4876904,545.4564704
OxTG(14:0_18:3_22:5(OOH))+NH4,924.7287504,871.6810604,873.6967104,661.4827004,611.4670004,545.4564704,645.4877904,595.4720904,545.4564704
OxTG(14:0_18:3_22:6(OOH))+NH4,922.7130504,869.6653604,871.6810104,659.4670004,609.4513004,545.4564704,643.4720904,593.4563904,545.4564704
OxTG(14:0_18:3_24:1(OOH))+NH4,960.8226504,907.7749604,909.7906104,697.5766004,647.5609004,545.4564704,681.5816904,631.5659904,545.4564704
OxTG(14:0_18:3_14:1(OOHOOH))+NH4,852.6560504,763.5872204,767.6185204,571.3994304,521.3837304,545.4564704,539.4096104,489.3939104,545.4564704
OxTG(14:0_18:3_15:1(OOHOOH))+NH4,866.6716504,777.6028204,781.6341204,585.4150304,535.3993304,545.4564704,553.4252104,503.4095104,545.4564704
OxTG(14:0_18:3_16:1(OOHOOH))+NH4,880.6873504,791.6185204,795.6498204,599.4307304,549.4150304,545.4564704,567.4409104,517.4252104,545.4564704
OxTG(14:0_18:3_17:1(OOHOOH))+NH4,894.7029504,805.6341204,809.6654204,613.4463304,563.4306304,545.4564704,581.4565104,531.4408104,545.4564704
OxTG(14:0_18:3_17:2(OOHOOH))+NH4,892.6873504,803.6185204,807.6498204,611.4307304,561.4150304,545.4564704,579.4409104,529.4252104,545.4564704
OxTG(14:0_18:3_18:1(OOHOOH))+NH4,908.7186504,819.6498204,823.6811204,627.4620304,577.4463304,545.4564704,595.4722104,545.4565104,545.4564704
OxTG(14:0_18:3_18:2(OOHOOH))+NH4,906.7029504,817.6341204,821.6654204,625.4463304,575.4306304,545.4564704,593.4565104,543.4408104,545.4564704
OxTG(14:0_18:3_18:3(OOHOOH))+NH4,904.6873504,815.6185204,819.6498204,623.4307304,573.4150304,545.4564704,591.4409104,541.4252104,545.4564704
OxTG(14:0_18:3_18:4(OOHOOH))+NH4,902.6716504,813.6028204,817.6341204,621.4150304,571.3993304,545.4564704,589.4252104,539.4095104,545.4564704
OxTG(14:0_18:3_20:1(OOHOOH))+NH4,936.7499504,847.6811204,851.7124204,655.4933304,605.4776304,545.4564704,623.5035104,573.4878104,545.4564704
OxTG(14:0_18:3_20:2(OOHOOH))+NH4,934.7342504,845.6654204,849.6967204,653.4776304,603.4619304,545.4564704,621.4878104,571.4721104,545.4564704
OxTG(14:0_18:3_20:3(OOHOOH))+NH4,932.7186504,843.6498204,847.6811204,651.4620304,601.4463304,545.4564704,619.4722104,569.4565104,545.4564704
OxTG(14:0_18:3_20:4(OOHOOH))+NH4,930.7029504,841.6341204,845.6654204,649.4463304,599.4306304,545.4564704,617.4565104,567.4408104,545.4564704
OxTG(14:0_18:3_20:5(OOHOOH))+NH4,928.6873504,839.6185204,843.6498204,647.4307304,597.4150304,545.4564704,615.4409104,565.4252104,545.4564704
OxTG(14:0_18:3_22:1(OOHOOH))+NH4,964.7812504,875.7124204,879.7437204,683.5246304,633.5089304,545.4564704,651.5348104,601.5191104,545.4564704
OxTG(14:0_18:3_22:2(OOHOOH))+NH4,962.7655504,873.6967204,877.7280204,681.5089304,631.4932304,545.4564704,649.5191104,599.5034104,545.4564704
OxTG(14:0_18:3_22:3(OOHOOH))+NH4,960.7499504,871.6811204,875.7124204,679.4933304,629.4776304,545.4564704,647.5035104,597.4878104,545.4564704
OxTG(14:0_18:3_22:4(OOHOOH))+NH4,958.7342504,869.6654204,873.6967204,677.4776304,627.4619304,545.4564704,645.4878104,595.4721104,545.4564704
OxTG(14:0_18:3_22:5(OOHOOH))+NH4,956.7186504,867.6498204,871.6811204,675.4620304,625.4463304,545.4564704,643.4722104,593.4565104,545.4564704
OxTG(14:0_18:3_22:6(OOHOOH))+NH4,954.7029504,865.6341204,869.6654204,673.4463304,623.4306304,545.4564704,641.4565104,591.4408104,545.4564704
OxTG(14:0_18:3_24:1(OOHOOH))+NH4,992.8125504,903.7437204,907.7750204,711.5559304,661.5402304,545.4564704,679.5661104,629.5504104,545.4564704
OxTG(14:0_18:4_14:1(OOH))+NH4,818.6504504,765.6027604,767.6184104,555.4044004,507.4044004,543.4407704,539.4094904,491.4094904,543.4407704
OxTG(14:0_18:4_15:1(OOH))+NH4,832.6660504,779.6183604,781.6340104,569.4200004,521.4200004,543.4407704,553.4250904,505.4250904,543.4407704
OxTG(14:0_18:4_16:1(OOH))+NH4,846.6817504,793.6340604,795.6497104,583.4357004,535.4357004,543.4407704,567.4407904,519.4407904,543.4407704
OxTG(14:0_18:4_17:1(OOH))+NH4,860.6973504,807.6496604,809.6653104,597.4513004,549.4513004,543.4407704,581.4563904,533.4563904,543.4407704
OxTG(14:0_18:4_17:2(OOH))+NH4,858.6817504,805.6340604,807.6497104,595.4357004,547.4357004,543.4407704,579.4407904,531.4407904,543.4407704
OxTG(14:0_18:4_18:1(OOH))+NH4,874.7130504,821.6653604,823.6810104,611.4670004,563.4670004,543.4407704,595.4720904,547.4720904,543.4407704
OxTG(14:0_18:4_18:3(OOH))+NH4,870.6817504,817.6340604,819.6497104,607.4357004,559.4357004,543.4407704,591.4407904,543.4407904,543.4407704
OxTG(14:0_18:4_18:4(OOH))+NH4,868.6660504,815.6183604,817.6340104,605.4200004,557.4200004,543.4407704,589.4250904,541.4250904,543.4407704
OxTG(14:0_18:4_20:1(OOH))+NH4,902.7443504,849.6966604,851.7123104,639.4983004,591.4983004,543.4407704,623.5033904,575.5033904,543.4407704
OxTG(14:0_18:4_20:2(OOH))+NH4,900.7286504,847.6809604,849.6966104,637.4826004,589.4826004,543.4407704,621.4876904,573.4876904,543.4407704
OxTG(14:0_18:4_20:3(OOH))+NH4,898.7130504,845.6653604,847.6810104,635.4670004,587.4670004,543.4407704,619.4720904,571.4720904,543.4407704
OxTG(14:0_18:4_20:5(OOH))+NH4,894.6817504,841.6340604,843.6497104,631.4357004,583.4357004,543.4407704,615.4407904,567.4407904,543.4407704
OxTG(14:0_18:4_22:1(OOH))+NH4,930.7756504,877.7279604,879.7436104,667.5296004,619.5296004,543.4407704,651.5346904,603.5346904,543.4407704
OxTG(14:0_18:4_22:2(OOH))+NH4,928.7599504,875.7122604,877.7279104,665.5139004,617.5139004,543.4407704,649.5189904,601.5189904,543.4407704
OxTG(14:0_18:4_22:3(OOH))+NH4,926.7443504,873.6966604,875.7123104,663.4983004,615.4983004,543.4407704,647.5033904,599.5033904,543.4407704
OxTG(14:0_18:4_22:4(OOH))+NH4,924.7286504,871.6809604,873.6966104,661.4826004,613.4826004,543.4407704,645.4876904,597.4876904,543.4407704
OxTG(14:0_18:4_22:5(OOH))+NH4,922.7130504,869.6653604,871.6810104,659.4670004,611.4670004,543.4407704,643.4720904,595.4720904,543.4407704
OxTG(14:0_18:4_22:6(OOH))+NH4,920.6973504,867.6496604,869.6653104,657.4513004,609.4513004,543.4407704,641.4563904,593.4563904,543.4407704
OxTG(14:0_18:4_24:1(OOH))+NH4,958.8069504,905.7592604,907.7749104,695.5609004,647.5609004,543.4407704,679.5659904,631.5659904,543.4407704
OxTG(14:0_18:4_14:1(OOHOOH))+NH4,850.6403504,761.5715204,765.6028204,569.3837304,521.3837304,543.4407704,537.3939104,489.3939104,543.4407704
