"MSDIAL_OxPC","[M+CH3COO]-","1","2","3","4","5","6","7"
"MSDIAL_PC 16:0_20:3;O;[M+CH3COO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C=C\C(O)CCCCCCCC;REZDVJZZVDNTBB-HHZFRUDZNA-N;C44H82NO9P","858.58657","784.5493","255.2323","303.233","858.5865","224.0693","321.2435","1"
"MSDIAL_PC 16:0_20:4;O;[M+CH3COO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/CC1OC1C\C=C\CCCCC;CDBZOUAKOSUWCH-ILTQFSIENA-N;C44H80NO9P","856.57092","782.5336","255.2323","319.2279","856.5709","224.0693","1","1"
"MSDIAL_PC 16:0_20:3;2O;[M+CH3COO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/CC(O)C(O)C\C=C\CCCCC;MOSZZXDRHPKAAX-ILTQFSIENA-N;C44H82NO10P","874.58149","319.2279","800.5442","255.2323","301.2173","337.2384","874.5815","224.0693"
"MSDIAL_PC 16:0_20:4;2O;[M+CH3COO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C\CC(O)\C=C/C1OC1C\C=C\CCCCC;CIGYOGGWJLGBCC-CVTIFTAMNA-N;C44H80NO10P","872.56584","798.5285","255.2323","317.2122","872.5659","224.0693","335.2228","1"
"MSDIAL_PC 16:0_20:3;3O;[M+CH3COO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C(O)CC(O)C1\C=C\C(O)CCCCC;NJHGFFOICHJLQM-OHXZNRDZNA-N;C44H82NO11P","890.57640","816.5391","255.2323","317.2122","335.2228","890.5764","224.0693","353.2333"
"MSDIAL_PC 16:0_20:3;4O;[M+CH3COO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C(O)CC(O)OC1\C=C\C(O)CCCCC;ZCBZROAATVFHPH-OHXZNRDZNA-N;C44H82NO12P","906.57132","832.534","255.2323","906.5714","224.0693","333.2072","351.2177","369.2283"
"MSDIAL_PC 16:0_20:4;O;[M+CH3COO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)\C=C\C=C\C\C=C\C\C=C\CCCCC;IVTVKFZMSCWBFZ-HDODKALONA-N;C44H80NO9P","856.57092","782.5336","255.2323","301.2173","856.5709","224.0693","319.2279","1"
"MSDIAL_PC 16:0_20:5;O;[M+CH3COO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC1OC1\C=C/C=C\C=C\C\C=C\CCCCC;SZDKBZLOHMRZNB-YHCDNZRJNA-N;C44H78NO9P","854.55527","780.5179","255.2323","317.2122","854.5553","224.0693","1","1"
"MSDIAL_PC 16:0_20:4;2O;[M+CH3COO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)\C=C\C=C\C=C\C(O)C\C=C\CCCCC;ISVVFRURFMPILX-NZCHXKNONA-N;C44H80NO10P","872.56584","317.2122","798.5285","255.2323","299.2017","335.2228","872.5659","224.0693"
"MSDIAL_PC 16:0_20:4;3O;[M+CH3COO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)C(O)\C=C/C=C\C=C\C=C/C(O)CCCCC;SXJADPAIOAYMOE-FRKKBADQNA-N;C44H80NO11P","888.56075","814.5234","255.2323","315.1966","333.2072","888.5607","224.0693","351.2177"
