"MSDIAL_EtherOxPE","[M-H]-","1","2","3","4","5"
"MSDIAL_PE O-16:0_20:4;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCC(O)\C=C\C=C\C\C=C\C\C=C\CCCCC;XJDOLHFEKCZRSN-SDNVBPAWNA-N;C41H76NO8P","740.52358","319.2279","740.5236","301.2173","438.2985","1"
"MSDIAL_PE O-16:0_20:5;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCC1OC1\C=C/C=C\C=C\C\C=C\CCCCC;TXBKUIWWXSVPFN-QUIAOFBHNA-N;C41H74NO8P","738.50793","317.2122","738.5079","438.2985","1","1"
"MSDIAL_PE O-16:0_20:4;2O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCC(O)\C=C\C=C\C=C\C(O)C\C=C\CCCCC;RJVQTYUZKTWEBV-FLPCIBFSNA-N;C41H76NO9P","756.51849","335.2228","756.5185","299.2017","317.2122","438.2985"
"MSDIAL_PE O-16:0_20:4;3O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCC(O)C(O)\C=C/C=C\C=C\C=C/C(O)CCCCC;RAOBKBKILBPEQY-DWGMZDRMNA-N;C41H76NO10P","772.51341","351.2177","772.5134","315.1966","333.2072","438.2985"
"MSDIAL_PE O-16:0_20:4;3O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(O)CCCCC;KLXCORNZBLMRKJ-DVOXDFKNNA-N;C41H76NO10P","772.51341","351.2177","772.5134","333.2072","438.2985","1"
"MSDIAL_PE O-16:0_20:4;4O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/CC1C(O)CC(O)OC1\C=C\C(O)C\C=C/CC;CPPMMOVYYRILKR-VTUWHINXNA-N;C41H76NO11P","788.50832","367.2126","788.5083","331.1915","349.2021","438.2985"
"MSDIAL_PE O-16:0_20:4;4O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(CCCCC)OO;YJRYMJOQEYXMRM-DVOXDFKNNA-N;C41H76NO11P","788.50832","367.2126","788.5083","331.1915","349.2021","438.2985"
"MSDIAL_PE O-16:0_20:5;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCC(O)\C=C\C=C/C\C=C/C\C=C/C\C=C/CC;QTZGWCVMBUZSHU-XVASMXRCNA-N;C41H74NO8P","738.50793","317.2122","738.5079","299.2017","438.2985","1"
"MSDIAL_PE O-16:0_20:6;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCC1OC1\C=C\C=C\C=C/C\C=C/C\C=C/CC;SNEOCYQZWZTNMX-DLUNXUQSNA-N;C41H72NO8P","736.49228","315.1966","736.4923","438.2985","1","1"
"MSDIAL_PE O-16:0_20:5;2O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCC(O)\C=C\C=C/C=C/C(O)C\C=C/C\C=C/CC;CGLMAKSCDTZTJX-NPMXPGNXNA-N;C41H74NO9P","754.50284","333.2071","754.5029","297.186","315.1966","438.2985"
"MSDIAL_PE O-16:0_20:5;3O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCC(O)\C=C\C=C/C=C/C(O)C\C=C/C=C/C(O)CC;SRSFDWRMUKRBBP-OCLNZONYNA-N;C41H74NO10P","770.49776","349.2021","770.4977","313.1809","331.1915","438.2985"
"MSDIAL_PE O-16:0_20:5;3O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(O)C\C=C/CC;GZAAZBRFJOEHJS-VTUWHINXNA-N;C41H74NO10P","770.49776","349.2021","770.4977","331.1915","438.2985","1"
"MSDIAL_PE O-16:0_20:5;4O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(C\C=C/CC)OO;YURIGQKWXXVWSB-VTUWHINXNA-N;C41H74NO11P","786.49267","365.197","786.4927","329.1758","347.1864","438.2985"
