"MSDIAL_EtherTG","[M+Na]+","1","2","3"
"MSDIAL_TG O-8:0_8:0_20:3;[M+Na]+;CCCCCCCCOCC(COC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCC;DOCATDWNFZLJKP-JUOVZTPBNA-N;C39H70O5","641.51155","641.5115","335.2564","497.3971"
"MSDIAL_TG O-8:0_8:0_20:4;[M+Na]+;CCCCCCCCOCC(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCC;LDNDMSLAAWDSEI-AMMHHEAINA-N;C39H68O5","639.49590","639.4959","335.2564","495.3815"
"MSDIAL_TG O-8:0_8:0_20:5;[M+Na]+;CCCCCCCCOCC(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCC;NNNVHHLZUKRNQQ-XVDJSSOFNA-N;C39H66O5","637.48025","637.4802","335.2563","493.3658"
"MSDIAL_TG O-8:0_8:0_22:0;[M+Na]+;CCCCCCCCCCCCCCCCCCCCCC(=O)OCC(COCCCCCCCC)OC(=O)CCCCCCC;KANBXIAPKJILQH-UHFFFAOYNA-N;C41H80O5","675.58980","675.5898","335.2564","531.4754"
"MSDIAL_TG O-8:0_8:0_22:1;[M+Na]+;CCCCCCCCOCC(COC(=O)CCCCCCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCC;NQVQZIABSVDTPS-HNENSFHCNA-N;C41H78O5","673.57415","673.5742","335.2564","529.4597"
"MSDIAL_TG O-8:0_8:0_22:2;[M+Na]+;CCCCCCCCOCC(COC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCC;LMFGMPDHHOOFDB-GJLVVWLQNA-N;C41H76O5","671.55850","671.5585","335.2564","527.4441"
"MSDIAL_TG O-8:0_8:0_22:3;[M+Na]+;CCCCCCCCOCC(COC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCC;YPFUQFDOHMKTPD-WZUSAPNINA-N;C41H74O5","669.54285","669.5428","335.2564","525.4285"
"MSDIAL_TG O-8:0_8:0_22:4;[M+Na]+;CCCCCCCCOCC(COC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCC;KEBLYHUYIBHAPI-AMMHHEAINA-N;C41H72O5","667.52720","667.5272","335.2564","523.4128"
"MSDIAL_TG O-8:0_8:0_22:5;[M+Na]+;CCCCCCCCOCC(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCC;XKVQJVGTUCMQFE-XVDJSSOFNA-N;C41H70O5","665.51155","665.5115","335.2564","521.3972"
"MSDIAL_TG O-8:0_8:0_22:6;[M+Na]+;CCCCCCCCOCC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCC;VBAOIAQHEZADHF-DYHZSEDRNA-N;C41H68O5","663.49590","663.4959","335.2564","519.3815"
"MSDIAL_TG O-8:0_10:0_10:0;[M+Na]+;CCCCCCCCCC(=O)OCC(COCCCCCCCC)OC(=O)CCCCCCCCC;MYOOLKBNUNSOHA-UHFFFAOYNA-N;C31H60O5","535.43330","535.4333","363.2876","1"
"MSDIAL_TG O-8:0_10:0_12:0;[M+Na]+;CCCCCCCCCCCC(=O)OCC(COCCCCCCCC)OC(=O)CCCCCCCCC;HTNYZZVFWAFPIJ-UHFFFAOYNA-N;C33H64O5","563.46460","563.4646","363.2876","391.3189"
"MSDIAL_TG O-8:0_10:0_14:0;[M+Na]+;CCCCCCCCCCCCCC(=O)OCC(COCCCCCCCC)OC(=O)CCCCCCCCC;SCEKIUFFUMVXOL-UHFFFAOYNA-N;C35H68O5","591.49590","591.4959","363.2877","419.3502"
"MSDIAL_TG O-8:0_10:0_14:1;[M+Na]+;CCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CCCCCCC\C=C/CCCC;XDJSSNAXXZJWQR-SSZFMOIBNA-N;C35H66O5","589.48025","589.4802","363.2876","417.3346"
"MSDIAL_TG O-8:0_10:0_16:0;[M+Na]+;CCCCCCCCCCCCCCCC(=O)OCC(COCCCCCCCC)OC(=O)CCCCCCCCC;YGSIMYAXKPKRTC-UHFFFAOYNA-N;C37H72O5","619.52720","619.5272","363.2877","447.3815"
"MSDIAL_TG O-8:0_10:0_16:1;[M+Na]+;CCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CCCCCCC\C=C/CCCCCC;DOFTYSVACLSXJA-ZCXUNETKNA-N;C37H70O5","617.51155","617.5115","363.2877","445.3659"
"MSDIAL_TG O-8:0_10:0_16:2;[M+Na]+;CCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CCCCCCC\C=C/C\C=C/CCC;CBQLUDIRSAXAHY-FGVJJGLWNA-N;C37H68O5","615.49590","615.4959","363.2877","443.3502"
"MSDIAL_TG O-8:0_10:0_16:3;[M+Na]+;CCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CCCCC\C=C/C\C=C/C\C=C/CC;GGRNGZUFILJWON-NIFPDXOQNA-N;C37H66O5","613.48025","613.4802","363.2876","441.3346"
"MSDIAL_TG O-8:0_10:0_16:4;[M+Na]+;CCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC;SDYZXSWBWGPZPU-IGEMOTEXNA-N;C37H64O5","611.46460","611.4646","363.2876","439.3189"
"MSDIAL_TG O-8:0_10:0_18:0;[M+Na]+;CCCCCCCCCCCCCCCCCC(=O)OCC(COCCCCCCCC)OC(=O)CCCCCCCCC;DFTPDWJEIWNSEO-UHFFFAOYNA-N;C39H76O5","647.55850","647.5585","363.2877","475.4128"
"MSDIAL_TG O-8:0_10:0_18:1;[M+Na]+;CCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CCCCCCC\C=C/CCCCCCCC;GMOVQHYWDKDXBB-VXPUYCOJNA-N;C39H74O5","645.54285","645.5428","363.2877","473.3972"
"MSDIAL_TG O-8:0_10:0_18:2;[M+Na]+;CCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CCCCCCC\C=C/C\C=C/CCCCC;OXVCTXBLBJEDGQ-LTXDKZCQNA-N;C39H72O5","643.52720","643.5272","363.2877","471.3815"
"MSDIAL_TG O-8:0_10:0_18:3;[M+Na]+;CCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC;MGSAPQGFITTXLB-NIFPDXOQNA-N;C39H70O5","641.51155","641.5115","363.2877","469.3659"
"MSDIAL_TG O-8:0_10:0_18:4;[M+Na]+;CCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC;YVENZQBJFGHRFI-AGOUUPKPNA-N;C39H68O5","639.49590","639.4959","363.2877","467.3502"
"MSDIAL_TG O-8:0_10:0_18:5;[M+Na]+;CCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;KPUDAFHPARGKNZ-BWRMFZGRNA-N;C39H66O5","637.48025","637.4802","363.2876","465.3346"
"MSDIAL_TG O-8:0_10:0_20:0;[M+Na]+;CCCCCCCCCCCCCCCCCCCC(=O)OCC(COCCCCCCCC)OC(=O)CCCCCCCCC;YFWNWBGPVBNGBS-UHFFFAOYNA-N;C41H80O5","675.58980","675.5898","363.2877","503.4441"
"MSDIAL_TG O-8:0_10:0_20:1;[M+Na]+;CCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CCCCCCCCC\C=C/CCCCCCCC;HHMMEABWOGXRNO-VXPUYCOJNA-N;C41H78O5","673.57415","673.5742","363.2877","501.4285"
"MSDIAL_TG O-8:0_10:0_20:2;[M+Na]+;CCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC;FCAJDZMMOUKCAX-LTXDKZCQNA-N;C41H76O5","671.55850","671.5585","363.2877","499.4128"
"MSDIAL_TG O-8:0_10:0_20:3;[M+Na]+;CCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC;VTIWHASEKNPIJN-NIFPDXOQNA-N;C41H74O5","669.54285","669.5428","363.2877","497.3972"
"MSDIAL_TG O-8:0_10:0_20:4;[M+Na]+;CCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;LUWIJXBGZFWVJT-AGOUUPKPNA-N;C41H72O5","667.52720","667.5272","363.2877","495.3815"
"MSDIAL_TG O-8:0_10:0_20:5;[M+Na]+;CCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;XFUPQVFNJUXSFO-VAQTURLQNA-N;C41H70O5","665.51155","665.5115","363.2877","493.3659"
"MSDIAL_TG O-8:0_10:0_22:0;[M+Na]+;CCCCCCCCCCCCCCCCCCCCCC(=O)OCC(COCCCCCCCC)OC(=O)CCCCCCCCC;ATODGGIJOHCMJA-UHFFFAOYNA-N;C43H84O5","703.62110","703.6211","363.2877","531.4754"
"MSDIAL_TG O-8:0_10:0_22:1;[M+Na]+;CCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CCCCCCCCCCC\C=C/CCCCCCCC;YWLYNLGLTXPYCO-VXPUYCOJNA-N;C43H82O5","701.60545","701.6055","363.2877","529.4598"
"MSDIAL_TG O-8:0_10:0_22:2;[M+Na]+;CCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC;LCZNHEROEWTZAG-LTXDKZCQNA-N;C43H80O5","699.58980","699.5898","363.2877","527.4441"
"MSDIAL_TG O-8:0_10:0_22:3;[M+Na]+;CCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC;XPXUUMZGFNBKTR-JRQMLGJJNA-N;C43H78O5","697.57415","697.5742","363.2877","525.4285"
"MSDIAL_TG O-8:0_10:0_22:4;[M+Na]+;CCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;QFDCAFOSNMOUNW-AGOUUPKPNA-N;C43H76O5","695.55850","695.5585","363.2877","523.4128"
"MSDIAL_TG O-8:0_10:0_22:5;[M+Na]+;CCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;ANVBTHMBUMEELP-XMNJDFOWNA-N;C43H74O5","693.54285","693.5428","363.2877","521.3972"
"MSDIAL_TG O-8:0_10:0_22:6;[M+Na]+;CCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;NQEYXZSBCMRFLA-ZWRINVRVNA-N;C43H72O5","691.52720","691.5272","363.2877","519.3815"
"MSDIAL_TG O-8:0_12:0_12:0;[M+Na]+;CCCCCCCCCCCC(=O)OCC(COCCCCCCCC)OC(=O)CCCCCCCCCCC;XRKBDBXAXPSFLU-UHFFFAOYNA-N;C35H68O5","591.49590","591.4959","391.3189","1"
"MSDIAL_TG O-8:0_12:0_14:0;[M+Na]+;CCCCCCCCCCCCCC(=O)OCC(COCCCCCCCC)OC(=O)CCCCCCCCCCC;NIFSREDUAACVDO-UHFFFAOYNA-N;C37H72O5","619.52720","619.5272","391.3189","419.3502"
"MSDIAL_TG O-8:0_12:0_14:1;[M+Na]+;CCCCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CCCCCCC\C=C/CCCC;SPOAKFLRYIBFAX-SSZFMOIBNA-N;C37H70O5","617.51155","617.5115","391.3189","417.3346"
"MSDIAL_TG O-8:0_12:0_16:0;[M+Na]+;CCCCCCCCCCCCCCCC(=O)OCC(COCCCCCCCC)OC(=O)CCCCCCCCCCC;IAUPLKFPXGPLAZ-UHFFFAOYNA-N;C39H76O5","647.55850","647.5585","391.319","447.3815"
"MSDIAL_TG O-8:0_12:0_16:1;[M+Na]+;CCCCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CCCCCCC\C=C/CCCCCC;OEILAVXRZSSHFG-HNENSFHCNA-N;C39H74O5","645.54285","645.5428","391.319","445.3659"
"MSDIAL_TG O-8:0_12:0_16:2;[M+Na]+;CCCCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CCCCCCC\C=C/C\C=C/CCC;MXEUMCUKKZDQLR-RLNPRUNZNA-N;C39H72O5","643.52720","643.5272","391.3189","443.3502"
"MSDIAL_TG O-8:0_12:0_16:3;[M+Na]+;CCCCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CCCCC\C=C/C\C=C/C\C=C/CC;SHJIJIXWOLHYFM-GQFZIJORNA-N;C39H70O5","641.51155","641.5115","391.3189","441.3346"
"MSDIAL_TG O-8:0_12:0_16:4;[M+Na]+;CCCCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC;ZARBEDNYNVSDJK-BUHDBMEPNA-N;C39H68O5","639.49590","639.4959","391.3189","439.3189"
"MSDIAL_TG O-8:0_12:0_18:0;[M+Na]+;CCCCCCCCCCCCCCCCCC(=O)OCC(COCCCCCCCC)OC(=O)CCCCCCCCCCC;OSZZAGQKIAPWPR-UHFFFAOYNA-N;C41H80O5","675.58980","675.5898","391.319","475.4128"
"MSDIAL_TG O-8:0_12:0_18:1;[M+Na]+;CCCCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CCCCCCC\C=C/CCCCCCCC;AFFJMVJKTOVFEQ-MRCUWXFGNA-N;C41H78O5","673.57415","673.5742","391.319","473.3972"
"MSDIAL_TG O-8:0_12:0_18:2;[M+Na]+;CCCCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CCCCCCC\C=C/C\C=C/CCCCC;AHUUPSOHRXFDTG-YJMJMZFLNA-N;C41H76O5","671.55850","671.5585","391.319","471.3815"
"MSDIAL_TG O-8:0_12:0_18:3;[M+Na]+;CCCCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC;RPZYLNVVJDAHFW-GQFZIJORNA-N;C41H74O5","669.54285","669.5428","391.319","469.3659"
"MSDIAL_TG O-8:0_12:0_18:4;[M+Na]+;CCCCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC;RKMWJIMGXMEYMP-RFYQERRCNA-N;C41H72O5","667.52720","667.5272","391.3189","467.3502"
"MSDIAL_TG O-8:0_12:0_18:5;[M+Na]+;CCCCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;UDUSTUQUMLGHQZ-ODKMGIKKNA-N;C41H70O5","665.51155","665.5115","391.3189","465.3346"
"MSDIAL_TG O-8:0_12:0_20:0;[M+Na]+;CCCCCCCCCCCCCCCCCCCC(=O)OCC(COCCCCCCCC)OC(=O)CCCCCCCCCCC;HCOOGIMSEWAVMB-UHFFFAOYNA-N;C43H84O5","703.62110","703.6211","391.319","503.4441"
"MSDIAL_TG O-8:0_12:0_20:1;[M+Na]+;CCCCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CCCCCCCCC\C=C/CCCCCCCC;AJYMAOCUDBHZTC-MRCUWXFGNA-N;C43H82O5","701.60545","701.6055","391.319","501.4285"
"MSDIAL_TG O-8:0_12:0_20:2;[M+Na]+;CCCCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC;JSLOUBDTYBPTKY-YJMJMZFLNA-N;C43H80O5","699.58980","699.5898","391.319","499.4128"
"MSDIAL_TG O-8:0_12:0_20:3;[M+Na]+;CCCCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC;OXPKXBJLFLBWDF-GQFZIJORNA-N;C43H78O5","697.57415","697.5742","391.319","497.3972"
"MSDIAL_TG O-8:0_12:0_20:4;[M+Na]+;CCCCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;QXSIABKAAQOXJX-FKEBBBJFNA-N;C43H76O5","695.55850","695.5585","391.319","495.3815"
"MSDIAL_TG O-8:0_12:0_20:5;[M+Na]+;CCCCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;XEQSLIIRNCZILR-BSYVRZKCNA-N;C43H74O5","693.54285","693.5428","391.319","493.3659"
"MSDIAL_TG O-8:0_12:0_22:0;[M+Na]+;CCCCCCCCCCCCCCCCCCCCCC(=O)OCC(COCCCCCCCC)OC(=O)CCCCCCCCCCC;ICBMVZTVVHTXDR-UHFFFAOYNA-N;C45H88O5","731.65240","731.6524","391.319","531.4754"
"MSDIAL_TG O-8:0_12:0_22:1;[M+Na]+;CCCCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CCCCCCCCCCC\C=C/CCCCCCCC;ITZRRRLDYVQLBN-MRCUWXFGNA-N;C45H86O5","729.63675","729.6368","391.319","529.4598"
