OxTG,[M+NH4]+,NL_R1COOH,NL_R2COOH,NL_R3COOH
OxTG(14:0_14:0_10:1(COOH))+NH4,712.5722104,467.3367364,467.3367364,495.4407764
OxTG(14:0_14:0_10:2(COOH))+NH4,710.5565604,465.3210864,465.3210864,495.4407764
OxTG(14:0_14:0_11:1(COOH))+NH4,726.5878604,481.3523864,481.3523864,495.4407764
OxTG(14:0_14:0_11:2(COOH))+NH4,724.5722104,479.3367364,479.3367364,495.4407764
OxTG(14:0_14:0_12:1(COOH))+NH4,740.6035104,495.3680364,495.3680364,495.4407764
OxTG(14:0_14:0_12:2(COOH))+NH4,738.5878604,493.3523864,493.3523864,495.4407764
OxTG(14:0_14:0_12:3(COOH))+NH4,736.5722104,491.3367364,491.3367364,495.4407764
OxTG(14:0_14:0_13:1(COOH))+NH4,754.6191604,509.3836864,509.3836864,495.4407764
OxTG(14:0_14:0_13:2(COOH))+NH4,752.6035104,507.3680364,507.3680364,495.4407764
OxTG(14:0_14:0_13:3(COOH))+NH4,750.5878604,505.3523864,505.3523864,495.4407764
OxTG(14:0_14:0_14:1(COOH))+NH4,768.6348104,523.3993364,523.3993364,495.4407764
OxTG(14:0_14:0_14:2(COOH))+NH4,766.6191604,521.3836864,521.3836864,495.4407764
OxTG(14:0_14:0_14:3(COOH))+NH4,764.6035104,519.3680364,519.3680364,495.4407764
OxTG(14:0_14:0_15:1(COOH))+NH4,782.6504604,537.4149864,537.4149864,495.4407764
OxTG(14:0_14:0_15:2(COOH))+NH4,780.6348104,535.3993364,535.3993364,495.4407764
OxTG(14:0_14:0_15:3(COOH))+NH4,778.6191604,533.3836864,533.3836864,495.4407764
OxTG(14:0_14:0_15:4(COOH))+NH4,776.6035104,531.3680364,531.3680364,495.4407764
OxTG(14:0_14:0_16:1(COOH))+NH4,796.6661104,551.4306364,551.4306364,495.4407764
OxTG(14:0_14:0_16:2(COOH))+NH4,794.6504604,549.4149864,549.4149864,495.4407764
OxTG(14:0_14:0_16:3(COOH))+NH4,792.6348104,547.3993364,547.3993364,495.4407764
OxTG(14:0_14:0_16:4(COOH))+NH4,790.6191604,545.3836864,545.3836864,495.4407764
OxTG(14:0_14:0_17:4(COOH))+NH4,804.6348104,559.3993364,559.3993364,495.4407764
OxTG(14:0_14:0_18:4(COOH))+NH4,818.6504604,573.4149864,573.4149864,495.4407764
OxTG(14:0_14:0_18:5(COOH))+NH4,816.6348104,571.3993364,571.3993364,495.4407764
OxTG(14:0_14:0_19:4(COOH))+NH4,832.6661104,587.4306364,587.4306364,495.4407764
OxTG(14:0_14:0_19:5(COOH))+NH4,830.6504604,585.4149864,585.4149864,495.4407764
OxTG(14:0_14:1_3:0(COOH))+NH4,614.4627004,369.2272264,371.2428264,493.4251764
OxTG(14:0_14:1_4:0(COOH))+NH4,628.4783504,383.2428764,385.2584764,493.4251764
OxTG(14:0_14:1_5:0(COOH))+NH4,642.4940004,397.2585264,399.2741264,493.4251764
OxTG(14:0_14:1_6:0(COOH))+NH4,656.5096504,411.2741764,413.2897764,493.4251764
OxTG(14:0_14:1_7:0(COOH))+NH4,670.5253004,425.2898264,427.3054264,493.4251764
OxTG(14:0_14:1_8:0(COOH))+NH4,684.5409504,439.3054764,441.3210764,493.4251764
OxTG(14:0_14:1_9:0(COOH))+NH4,698.5566004,453.3211264,455.3367264,493.4251764
OxTG(14:0_14:1_10:0(COOH))+NH4,712.5722504,467.3367764,469.3523764,493.4251764
OxTG(14:0_14:1_11:0(COOH))+NH4,726.5879004,481.3524264,483.3680264,493.4251764
OxTG(14:0_14:1_12:0(COOH))+NH4,740.6035504,495.3680764,497.3836764,493.4251764
OxTG(14:0_14:1_13:0(COOH))+NH4,754.6192004,509.3837264,511.3993264,493.4251764
OxTG(14:0_14:1_14:0(COOH))+NH4,768.6348504,523.3993764,525.4149764,493.4251764
OxTG(14:0_14:1_15:0(COOH))+NH4,782.6505004,537.4150264,539.4306264,493.4251764
OxTG(14:0_14:1_6:1(COOH))+NH4,654.4940104,409.2585364,411.2741364,493.4251764
OxTG(14:0_14:1_7:1(COOH))+NH4,668.5096604,423.2741864,425.2897864,493.4251764
OxTG(14:0_14:1_8:1(COOH))+NH4,682.5253104,437.2898364,439.3054364,493.4251764
OxTG(14:0_14:1_9:1(COOH))+NH4,696.5409604,451.3054864,453.3210864,493.4251764
OxTG(14:0_14:1_9:2(COOH))+NH4,694.5253104,449.2898364,451.3054364,493.4251764
OxTG(14:0_14:1_10:1(COOH))+NH4,710.5566104,465.3211364,467.3367364,493.4251764
OxTG(14:0_14:1_10:2(COOH))+NH4,708.5409604,463.3054864,465.3210864,493.4251764
OxTG(14:0_14:1_11:1(COOH))+NH4,724.5722604,479.3367864,481.3523864,493.4251764
