"MSDIAL_EtherLPC","[M+HCOO]-","1","2","3","4"
"MSDIAL_LPC O-16:3;[M+HCOO]-;CC\C=C/C\C=C/C\C=C/CCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;RVERNDUNLIDEIZ-QNEBEIHSNA-N;C24H46NO6P","520.30448","460.2828","371.1993","78.95906","168.0431"
"MSDIAL_LPC O-16:4;[M+HCOO]-;CC\C=C/C\C=C/C\C=C/C\C=C/CCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;NMMCJAOUKORQEV-DOFZRALJNA-N;C24H44NO6P","518.28883","458.2672","369.1836","78.95906","168.0431"
"MSDIAL_LPC O-17:0;[M+HCOO]-;CCCCCCCCCCCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;HQRBTQCLRRUGMR-UHFFFAOYNA-N;C25H54NO6P","540.36708","480.3454","391.2619","78.95906","168.0431"
"MSDIAL_LPC O-17:1;[M+HCOO]-;CCCCCCC\C=C/CCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;AIQKMAPJIWWYJU-QXMHVHEDNA-N;C25H52NO6P","538.35143","478.3297","389.2462","78.95906","168.0431"
"MSDIAL_LPC O-17:2;[M+HCOO]-;CCCC\C=C/C\C=C/CCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;BLXWEWWMBOBOBD-MURFETPANA-N;C25H50NO6P","536.33578","476.3141","387.2306","78.95906","168.0431"
"MSDIAL_LPC O-18:0;[M+HCOO]-;CCCCCCCCCCCCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;XKBJVQHMEXMFDZ-UHFFFAOYNA-N;C26H56NO6P","554.38273","494.3611","405.2775","78.95906","168.0431"
"MSDIAL_LPC O-18:1;[M+HCOO]-;CCCCCCCC\C=C/CCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;XWYSLMAMRKYUFH-SEYXRHQNNA-N;C26H54NO6P","552.36708","492.3454","403.2619","78.95906","168.0431"
"MSDIAL_LPC O-18:2;[M+HCOO]-;CCCCC\C=C/C\C=C/CCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;VUODGUFFBSVRDR-UTJQPWESNA-N;C26H52NO6P","550.35143","490.3297","401.2462","78.95906","168.0431"
"MSDIAL_LPC O-18:3;[M+HCOO]-;CC\C=C/C\C=C/C\C=C/CCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;LUCVKWZRSAKNBV-QNEBEIHSNA-N;C26H50NO6P","548.33578","488.3141","399.2306","78.95906","168.0431"
"MSDIAL_LPC O-18:4;[M+HCOO]-;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;DRYGTPZUDVGRHS-DOFZRALJNA-N;C26H48NO6P","546.32013","486.2985","397.2149","78.95906","168.0431"
"MSDIAL_LPC O-18:5;[M+HCOO]-;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;BAAQMDVCICBIFI-WMPRHZDHNA-N;C26H46NO6P","544.30448","484.2828","395.1993","78.95906","168.0431"
"MSDIAL_LPC O-19:0;[M+HCOO]-;CCCCCCCCCCCCCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;XPESREFDQRQDRB-UHFFFAOYNA-N;C27H58NO6P","568.39838","508.3767","419.2932","78.95906","168.0431"
"MSDIAL_LPC O-19:1;[M+HCOO]-;CCCCCCCCC\C=C/CCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;GIHUINYOAININA-YPKPFQOONA-N;C27H56NO6P","566.38273","506.3611","417.2775","78.95906","168.0431"
"MSDIAL_LPC O-19:2;[M+HCOO]-;CCCCCC\C=C/C\C=C/CCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;HFBNOMICPHIRHP-XVTLYKPTNA-N;C27H54NO6P","564.36708","504.3454","415.2619","78.95906","168.0431"
"MSDIAL_LPC O-20:0;[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;GZGHIJOEOOMFMM-UHFFFAOYNA-N;C28H60NO6P","582.41403","522.3923","433.3088","78.95906","168.0431"
"MSDIAL_LPC O-20:1;[M+HCOO]-;CCCCCCCC\C=C/CCCCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;COFYPCHRMVFZHB-SEYXRHQNNA-N;C28H58NO6P","580.39838","520.3767","431.2932","78.95906","168.0431"
"MSDIAL_LPC O-20:2;[M+HCOO]-;CCCCC\C=C/C\C=C/CCCCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;ZYUSQIZOBGSNEP-UTJQPWESNA-N;C28H56NO6P","578.38273","518.361","429.2775","78.95906","168.0431"
"MSDIAL_LPC O-20:3;[M+HCOO]-;CC\C=C/C\C=C/C\C=C/CCCCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;SOHQAVWHDKNCBT-QNEBEIHSNA-N;C28H54NO6P","576.36708","516.3454","427.2619","78.95906","168.0431"
"MSDIAL_LPC O-20:4;[M+HCOO]-;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;OSEQVDRUIKKGKD-DOFZRALJNA-N;C28H52NO6P","574.35143","514.3298","425.2462","78.95906","168.0431"
"MSDIAL_LPC O-20:5;[M+HCOO]-;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;KGYGCSNPKDYFID-WMPRHZDHNA-N;C28H50NO6P","572.33578","512.3141","423.2306","78.95906","168.0431"
"MSDIAL_LPC O-21:0;[M+HCOO]-;CCCCCCCCCCCCCCCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;PXSKGSCFCGUXDQ-UHFFFAOYNA-N;C29H62NO6P","596.42968","536.408","447.3245","78.95906","168.0431"
