"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PG","[M+NH4]+","NL Head","NL_head&H2O","RT_min","RT_max","Comment","RT at Max Intensity","PG","[M+NH4]+","NL Head","NL_head&H2O","RT_min","RT_max","Comment","Number of Scans","PG","[M+NH4]+","NL Head","NL_head&H2O","RT_min","RT_max","Comment","Max Intensity","PG","[M+NH4]+","NL Head","NL_head&H2O","RT_min","RT_max","Comment","Average m/z","PG","[M+NH4]+","NL Head","NL_head&H2O","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PG","[M+NH4]+","NL Head","NL_head&H2O","RT_min","RT_max","Comment"
"","PG(28:2)+NH4",1,0,0,"3.85645138888889","4.15645138888889","12646","","PG(28:2)+NH4",4.028213,0,0,"3.85645138888889","4.15645138888889","12646","","PG(28:2)+NH4",1,0,0,"3.85645138888889","4.15645138888889","12646","","PG(28:2)+NH4",3461.459,0,0,"3.85645138888889","4.15645138888889","12646","","PG(28:2)+NH4",680.4498,0,0,"3.85645138888889","4.15645138888889","12646","","PG(28:2)+NH4","680.44976","509.44386","491.409527","3.85645138888889","4.15645138888889","12646"
"","PG(28:2)+NH4",0,0,0,"4.91009027777778","5.21009027777778","12764","","PG(28:2)+NH4",0,0,0,"4.91009027777778","5.21009027777778","12764","","PG(28:2)+NH4",0,0,0,"4.91009027777778","5.21009027777778","12764","","PG(28:2)+NH4",0,0,0,"4.91009027777778","5.21009027777778","12764","","PG(28:2)+NH4",0,0,0,"4.91009027777778","5.21009027777778","12764","","PG(28:2)+NH4","680.44976","509.44386","491.409527","4.91009027777778","5.21009027777778","12764"
"","PG(28:3)+NH4",0,0,0,"1.40908333333333","1.70908333333333","10447","","PG(28:3)+NH4",0,0,0,"1.40908333333333","1.70908333333333","10447","","PG(28:3)+NH4",0,0,0,"1.40908333333333","1.70908333333333","10447","","PG(28:3)+NH4",0,0,0,"1.40908333333333","1.70908333333333","10447","","PG(28:3)+NH4",0,0,0,"1.40908333333333","1.70908333333333","10447","","PG(28:3)+NH4","678.43416","507.42826","489.393927","1.40908333333333","1.70908333333333","10447"
"","PG(28:4)+NH4",0,0,0,"1.04389166666667","1.34389166666667","10733","","PG(28:4)+NH4",0,0,0,"1.04389166666667","1.34389166666667","10733","","PG(28:4)+NH4",0,0,0,"1.04389166666667","1.34389166666667","10733","","PG(28:4)+NH4",0,0,0,"1.04389166666667","1.34389166666667","10733","","PG(28:4)+NH4",0,0,0,"1.04389166666667","1.34389166666667","10733","","PG(28:4)+NH4","676.41846","505.41256","487.378227","1.04389166666667","1.34389166666667","10733"
"","PG(29:0)+NH4",0,0,0,"4.48690972222222","4.78690972222222","4828","","PG(29:0)+NH4",0,0,0,"4.48690972222222","4.78690972222222","4828","","PG(29:0)+NH4",0,0,0,"4.48690972222222","4.78690972222222","4828","","PG(29:0)+NH4",0,0,0,"4.48690972222222","4.78690972222222","4828","","PG(29:0)+NH4",0,0,0,"4.48690972222222","4.78690972222222","4828","","PG(29:0)+NH4","698.49676","527.49086","509.456527","4.48690972222222","4.78690972222222","4828"
"","PG(29:2)+NH4",0,0,0,"5.00976527777778","5.30976527777778","981","","PG(29:2)+NH4",0,0,0,"5.00976527777778","5.30976527777778","981","","PG(29:2)+NH4",0,0,0,"5.00976527777778","5.30976527777778","981","","PG(29:2)+NH4",0,0,0,"5.00976527777778","5.30976527777778","981","","PG(29:2)+NH4",0,0,0,"5.00976527777778","5.30976527777778","981","","PG(29:2)+NH4","694.46546","523.45956","505.425227","5.00976527777778","5.30976527777778","981"
"","PG(29:2)+NH4",0,0,0,"1.50699722222222","1.80699722222222","14667","","PG(29:2)+NH4",0,0,0,"1.50699722222222","1.80699722222222","14667","","PG(29:2)+NH4",0,0,0,"1.50699722222222","1.80699722222222","14667","","PG(29:2)+NH4",0,0,0,"1.50699722222222","1.80699722222222","14667","","PG(29:2)+NH4",0,0,0,"1.50699722222222","1.80699722222222","14667","","PG(29:2)+NH4","694.46546","523.45956","505.425227","1.50699722222222","1.80699722222222","14667"
"","PG(30:0)+NH4",0,0,0,"4.09877222222222","4.39877222222222","2115","","PG(30:0)+NH4",0,0,0,"4.09877222222222","4.39877222222222","2115","","PG(30:0)+NH4",0,0,0,"4.09877222222222","4.39877222222222","2115","","PG(30:0)+NH4",0,0,0,"4.09877222222222","4.39877222222222","2115","","PG(30:0)+NH4",0,0,0,"4.09877222222222","4.39877222222222","2115","","PG(30:0)+NH4","712.51236","541.50646","523.472127","4.09877222222222","4.39877222222222","2115"
"","PG(30:0)+NH4",0,0,0,"3.20013888888889","3.50013888888889","4290","","PG(30:0)+NH4",0,0,0,"3.20013888888889","3.50013888888889","4290","","PG(30:0)+NH4",0,0,0,"3.20013888888889","3.50013888888889","4290","","PG(30:0)+NH4",0,0,0,"3.20013888888889","3.50013888888889","4290","","PG(30:0)+NH4",0,0,0,"3.20013888888889","3.50013888888889","4290","","PG(30:0)+NH4","712.51236","541.50646","523.472127","3.20013888888889","3.50013888888889","4290"
"","PG(30:0)+NH4",0,0,0,"4.9523","5.2523","5349","","PG(30:0)+NH4",0,0,0,"4.9523","5.2523","5349","","PG(30:0)+NH4",0,0,0,"4.9523","5.2523","5349","","PG(30:0)+NH4",0,0,0,"4.9523","5.2523","5349","","PG(30:0)+NH4",0,0,0,"4.9523","5.2523","5349","","PG(30:0)+NH4","712.51236","541.50646","523.472127","4.9523","5.2523","5349"
"","PG(30:3)+NH4",0,0,0,"1.34317916666667","1.64317916666667","6183","","PG(30:3)+NH4",0,0,0,"1.34317916666667","1.64317916666667","6183","","PG(30:3)+NH4",0,0,0,"1.34317916666667","1.64317916666667","6183","","PG(30:3)+NH4",0,0,0,"1.34317916666667","1.64317916666667","6183","","PG(30:3)+NH4",0,0,0,"1.34317916666667","1.64317916666667","6183","","PG(30:3)+NH4","706.46546","535.45956","517.425227","1.34317916666667","1.64317916666667","6183"
"","PG(30:4)+NH4",0,0,0,"1.05886111111111","1.35886111111111","7726","","PG(30:4)+NH4",0,0,0,"1.05886111111111","1.35886111111111","7726","","PG(30:4)+NH4",0,0,0,"1.05886111111111","1.35886111111111","7726","","PG(30:4)+NH4",0,0,0,"1.05886111111111","1.35886111111111","7726","","PG(30:4)+NH4",0,0,0,"1.05886111111111","1.35886111111111","7726","","PG(30:4)+NH4","704.44976","533.44386","515.409527","1.05886111111111","1.35886111111111","7726"
"","PG(31:0)+NH4",0,0,0,"3.20013888888889","3.50013888888889","7940","","PG(31:0)+NH4",0,0,0,"3.20013888888889","3.50013888888889","7940","","PG(31:0)+NH4",0,0,0,"3.20013888888889","3.50013888888889","7940","","PG(31:0)+NH4",0,0,0,"3.20013888888889","3.50013888888889","7940","","PG(31:0)+NH4",0,0,0,"3.20013888888889","3.50013888888889","7940","","PG(31:0)+NH4","726.52806","555.52216","537.487827","3.20013888888889","3.50013888888889","7940"
"","PG(31:2)+NH4",0,0,0,"5.71002361111111","6.01002361111111","952","","PG(31:2)+NH4",0,0,0,"5.71002361111111","6.01002361111111","952","","PG(31:2)+NH4",0,0,0,"5.71002361111111","6.01002361111111","952","","PG(31:2)+NH4",0,0,0,"5.71002361111111","6.01002361111111","952","","PG(31:2)+NH4",0,0,0,"5.71002361111111","6.01002361111111","952","","PG(31:2)+NH4","722.49676","551.49086","533.456527","5.71002361111111","6.01002361111111","952"
"","PG(31:4)+NH4",0,0,0,"1.74011944444444","2.04011944444444","8846","","PG(31:4)+NH4",0,0,0,"1.74011944444444","2.04011944444444","8846","","PG(31:4)+NH4",0,0,0,"1.74011944444444","2.04011944444444","8846","","PG(31:4)+NH4",0,0,0,"1.74011944444444","2.04011944444444","8846","","PG(31:4)+NH4",0,0,0,"1.74011944444444","2.04011944444444","8846","","PG(31:4)+NH4","718.46546","547.45956","529.425227","1.74011944444444","2.04011944444444","8846"
"","PG(32:3)+NH4",0,0,0,"1.86179583333333","2.16179583333333","9016","","PG(32:3)+NH4",0,0,0,"1.86179583333333","2.16179583333333","9016","","PG(32:3)+NH4",0,0,0,"1.86179583333333","2.16179583333333","9016","","PG(32:3)+NH4",0,0,0,"1.86179583333333","2.16179583333333","9016","","PG(32:3)+NH4",0,0,0,"1.86179583333333","2.16179583333333","9016","","PG(32:3)+NH4","734.49676","563.49086","545.456527","1.86179583333333","2.16179583333333","9016"
"","PG(32:4)+NH4",0,0,0,"1.54857083333333","1.84857083333333","12234","","PG(32:4)+NH4",0,0,0,"1.54857083333333","1.84857083333333","12234","","PG(32:4)+NH4",0,0,0,"1.54857083333333","1.84857083333333","12234","","PG(32:4)+NH4",0,0,0,"1.54857083333333","1.84857083333333","12234","","PG(32:4)+NH4",0,0,0,"1.54857083333333","1.84857083333333","12234","","PG(32:4)+NH4","732.48106","561.47516","543.440827","1.54857083333333","1.84857083333333","12234"
