"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PG","[M+NH4]+","NL Head","NL_head&H2O","RT_min","RT_max","Comment","RT at Max Intensity","PG","[M+NH4]+","NL Head","NL_head&H2O","RT_min","RT_max","Comment","Number of Scans","PG","[M+NH4]+","NL Head","NL_head&H2O","RT_min","RT_max","Comment","Max Intensity","PG","[M+NH4]+","NL Head","NL_head&H2O","RT_min","RT_max","Comment","Average m/z","PG","[M+NH4]+","NL Head","NL_head&H2O","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PG","[M+NH4]+","NL Head","NL_head&H2O","RT_min","RT_max","Comment"
"","PG(40:5)+NH4",0,0,0,"4.97432083333333","5.27432083333333","9287","","PG(40:5)+NH4",0,0,0,"4.97432083333333","5.27432083333333","9287","","PG(40:5)+NH4",0,0,0,"4.97432083333333","5.27432083333333","9287","","PG(40:5)+NH4",0,0,0,"4.97432083333333","5.27432083333333","9287","","PG(40:5)+NH4",0,0,0,"4.97432083333333","5.27432083333333","9287","","PG(40:5)+NH4","842.59066","671.58476","653.550427","4.97432083333333","5.27432083333333","9287"
"","PG(40:5)+NH4",0,0,0,"5.68667916666667","5.98667916666667","10954","","PG(40:5)+NH4",0,0,0,"5.68667916666667","5.98667916666667","10954","","PG(40:5)+NH4",0,0,0,"5.68667916666667","5.98667916666667","10954","","PG(40:5)+NH4",0,0,0,"5.68667916666667","5.98667916666667","10954","","PG(40:5)+NH4",0,0,0,"5.68667916666667","5.98667916666667","10954","","PG(40:5)+NH4","842.59066","671.58476","653.550427","5.68667916666667","5.98667916666667","10954"
"","PG(40:5)+NH4",0,0,0,"4.98549305555556","5.28549305555556","12814","","PG(40:5)+NH4",0,0,0,"4.98549305555556","5.28549305555556","12814","","PG(40:5)+NH4",0,0,0,"4.98549305555556","5.28549305555556","12814","","PG(40:5)+NH4",0,0,0,"4.98549305555556","5.28549305555556","12814","","PG(40:5)+NH4",0,0,0,"4.98549305555556","5.28549305555556","12814","","PG(40:5)+NH4","842.59066","671.58476","653.550427","4.98549305555556","5.28549305555556","12814"
"","PG(40:5)+NH4",0,0,0,"4.71984242424242","5.01984242424242","13153","","PG(40:5)+NH4",0,0,0,"4.71984242424242","5.01984242424242","13153","","PG(40:5)+NH4",0,0,0,"4.71984242424242","5.01984242424242","13153","","PG(40:5)+NH4",0,0,0,"4.71984242424242","5.01984242424242","13153","","PG(40:5)+NH4",0,0,0,"4.71984242424242","5.01984242424242","13153","","PG(40:5)+NH4","842.59066","671.58476","653.550427","4.71984242424242","5.01984242424242","13153"
"","PG(40:5)+NH4",0,0,0,"5.70359444444444","6.00359444444444","13926","","PG(40:5)+NH4",0,0,0,"5.70359444444444","6.00359444444444","13926","","PG(40:5)+NH4",0,0,0,"5.70359444444444","6.00359444444444","13926","","PG(40:5)+NH4",0,0,0,"5.70359444444444","6.00359444444444","13926","","PG(40:5)+NH4",0,0,0,"5.70359444444444","6.00359444444444","13926","","PG(40:5)+NH4","842.59066","671.58476","653.550427","5.70359444444444","6.00359444444444","13926"
"","PG(40:6)+NH4",0,0,0,"4.10132083333333","4.40132083333333","8692","","PG(40:6)+NH4",0,0,0,"4.10132083333333","4.40132083333333","8692","","PG(40:6)+NH4",0,0,0,"4.10132083333333","4.40132083333333","8692","","PG(40:6)+NH4",0,0,0,"4.10132083333333","4.40132083333333","8692","","PG(40:6)+NH4",0,0,0,"4.10132083333333","4.40132083333333","8692","","PG(40:6)+NH4","840.57496","669.56906","651.534727","4.10132083333333","4.40132083333333","8692"
"","PG(46:0)+NH4",0,0,0,"12.18105","12.48105","2679","","PG(46:0)+NH4",0,0,0,"12.18105","12.48105","2679","","PG(46:0)+NH4",0,0,0,"12.18105","12.48105","2679","","PG(46:0)+NH4",0,0,0,"12.18105","12.48105","2679","","PG(46:0)+NH4",0,0,0,"12.18105","12.48105","2679","","PG(46:0)+NH4","936.76276","765.75686","747.722527","12.18105","12.48105","2679"
"","PG(46:0)+NH4",0,0,0,"11.6674041666667","11.9674041666667","8982","","PG(46:0)+NH4",0,0,0,"11.6674041666667","11.9674041666667","8982","","PG(46:0)+NH4",0,0,0,"11.6674041666667","11.9674041666667","8982","","PG(46:0)+NH4",0,0,0,"11.6674041666667","11.9674041666667","8982","","PG(46:0)+NH4",0,0,0,"11.6674041666667","11.9674041666667","8982","","PG(46:0)+NH4","936.76276","765.75686","747.722527","11.6674041666667","11.9674041666667","8982"
"","PG(46:1)+NH4",0,0,0,"11.6027458333333","11.9027458333333","4033","","PG(46:1)+NH4",0,0,0,"11.6027458333333","11.9027458333333","4033","","PG(46:1)+NH4",0,0,0,"11.6027458333333","11.9027458333333","4033","","PG(46:1)+NH4",0,0,0,"11.6027458333333","11.9027458333333","4033","","PG(46:1)+NH4",0,0,0,"11.6027458333333","11.9027458333333","4033","","PG(46:1)+NH4","934.74716","763.74126","745.706927","11.6027458333333","11.9027458333333","4033"
"","PG(46:1)+NH4",0,0,0,"11.9451611111111","12.2451611111111","8287","","PG(46:1)+NH4",0,0,0,"11.9451611111111","12.2451611111111","8287","","PG(46:1)+NH4",0,0,0,"11.9451611111111","12.2451611111111","8287","","PG(46:1)+NH4",0,0,0,"11.9451611111111","12.2451611111111","8287","","PG(46:1)+NH4",0,0,0,"11.9451611111111","12.2451611111111","8287","","PG(46:1)+NH4","934.74716","763.74126","745.706927","11.9451611111111","12.2451611111111","8287"
"","PG(48:0)+NH4",0,0,0,"11.2335733333333","11.5335733333333","16534","","PG(48:0)+NH4",0,0,0,"11.2335733333333","11.5335733333333","16534","","PG(48:0)+NH4",0,0,0,"11.2335733333333","11.5335733333333","16534","","PG(48:0)+NH4",0,0,0,"11.2335733333333","11.5335733333333","16534","","PG(48:0)+NH4",0,0,0,"11.2335733333333","11.5335733333333","16534","","PG(48:0)+NH4","964.79406","793.78816","775.753827","11.2335733333333","11.5335733333333","16534"
"","PG(48:2)+NH4",0,0,0,"11.9290652777778","12.2290652777778","7216","","PG(48:2)+NH4",0,0,0,"11.9290652777778","12.2290652777778","7216","","PG(48:2)+NH4",0,0,0,"11.9290652777778","12.2290652777778","7216","","PG(48:2)+NH4",0,0,0,"11.9290652777778","12.2290652777778","7216","","PG(48:2)+NH4",0,0,0,"11.9290652777778","12.2290652777778","7216","","PG(48:2)+NH4","960.76276","789.75686","771.722527","11.9290652777778","12.2290652777778","7216"
