"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_NAGly","[M+NH4]+","1","2","3","4","5","6","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_NAGly","[M+NH4]+","1","2","3","4","5","6","RT_min","RT_max","Comment","Number of Scans","MSDIAL_NAGly","[M+NH4]+","1","2","3","4","5","6","RT_min","RT_max","Comment","Max Intensity","MSDIAL_NAGly","[M+NH4]+","1","2","3","4","5","6","RT_min","RT_max","Comment","Average m/z","MSDIAL_NAGly","[M+NH4]+","1","2","3","4","5","6","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_NAGly","[M+NH4]+","1","2","3","4","5","6","RT_min","RT_max","Comment"
"","MSDIAL_NAGly 10:0/14:0;[M+NH4]+;OC(=O)CN%20.CCCCCCC%10CCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;FUOIGYNCABLXRK-UHFFFAOYNA-N;C26H49NO5",0,0,0,0,0,0,0,"1.441425","1.741425","7685","","MSDIAL_NAGly 10:0/14:0;[M+NH4]+;OC(=O)CN%20.CCCCCCC%10CCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;FUOIGYNCABLXRK-UHFFFAOYNA-N;C26H49NO5",0,0,0,0,0,0,0,"1.441425","1.741425","7685","","MSDIAL_NAGly 10:0/14:0;[M+NH4]+;OC(=O)CN%20.CCCCCCC%10CCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;FUOIGYNCABLXRK-UHFFFAOYNA-N;C26H49NO5",0,0,0,0,0,0,0,"1.441425","1.741425","7685","","MSDIAL_NAGly 10:0/14:0;[M+NH4]+;OC(=O)CN%20.CCCCCCC%10CCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;FUOIGYNCABLXRK-UHFFFAOYNA-N;C26H49NO5",0,0,0,0,0,0,0,"1.441425","1.741425","7685","","MSDIAL_NAGly 10:0/14:0;[M+NH4]+;OC(=O)CN%20.CCCCCCC%10CCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;FUOIGYNCABLXRK-UHFFFAOYNA-N;C26H49NO5",0,0,0,0,0,0,0,"1.441425","1.741425","7685","","MSDIAL_NAGly 10:0/14:0;[M+NH4]+;OC(=O)CN%20.CCCCCCC%10CCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;FUOIGYNCABLXRK-UHFFFAOYNA-N;C26H49NO5","473.39490","284.2220","76.03931","191.1794","209.1900","456.3683","473.3949","1.441425","1.741425","7685"
"","MSDIAL_NAGly 10:0/21:1;[M+NH4]+;OC(=O)CN%20.CCCCCCCCC/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;DJSZCMYZJNHALK-DAFNUICNNA-N;C33H61NO5",0,0,0,0,0,0,0,"10.5227466666667","10.8227466666667","8713","","MSDIAL_NAGly 10:0/21:1;[M+NH4]+;OC(=O)CN%20.CCCCCCCCC/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;DJSZCMYZJNHALK-DAFNUICNNA-N;C33H61NO5",0,0,0,0,0,0,0,"10.5227466666667","10.8227466666667","8713","","MSDIAL_NAGly 10:0/21:1;[M+NH4]+;OC(=O)CN%20.CCCCCCCCC/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;DJSZCMYZJNHALK-DAFNUICNNA-N;C33H61NO5",0,0,0,0,0,0,0,"10.5227466666667","10.8227466666667","8713","","MSDIAL_NAGly 10:0/21:1;[M+NH4]+;OC(=O)CN%20.CCCCCCCCC/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;DJSZCMYZJNHALK-DAFNUICNNA-N;C33H61NO5",0,0,0,0,0,0,0,"10.5227466666667","10.8227466666667","8713","","MSDIAL_NAGly 10:0/21:1;[M+NH4]+;OC(=O)CN%20.CCCCCCCCC/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;DJSZCMYZJNHALK-DAFNUICNNA-N;C33H61NO5",0,0,0,0,0,0,0,"10.5227466666667","10.8227466666667","8713","","MSDIAL_NAGly 10:0/21:1;[M+NH4]+;OC(=O)CN%20.CCCCCCCCC/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;DJSZCMYZJNHALK-DAFNUICNNA-N;C33H61NO5","569.48880","380.3159","76.03931","287.2733","305.2839","552.4623","569.4888","10.5227466666667","10.8227466666667","8713"
"","MSDIAL_NAGly 10:0/21:2;[M+NH4]+;OC(=O)CN%20.CCCCCC/C=C\C/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;QYNKECJFGDSFGH-PWRIJSCFNA-N;C33H59NO5",0,0,0,0,0,0,0,"9.58410972222222","9.88410972222222","6366","","MSDIAL_NAGly 10:0/21:2;[M+NH4]+;OC(=O)CN%20.CCCCCC/C=C\C/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;QYNKECJFGDSFGH-PWRIJSCFNA-N;C33H59NO5",0,0,0,0,0,0,0,"9.58410972222222","9.88410972222222","6366","","MSDIAL_NAGly 10:0/21:2;[M+NH4]+;OC(=O)CN%20.CCCCCC/C=C\C/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;QYNKECJFGDSFGH-PWRIJSCFNA-N;C33H59NO5",0,0,0,0,0,0,0,"9.58410972222222","9.88410972222222","6366","","MSDIAL_NAGly 10:0/21:2;[M+NH4]+;OC(=O)CN%20.CCCCCC/C=C\C/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;QYNKECJFGDSFGH-PWRIJSCFNA-N;C33H59NO5",0,0,0,0,0,0,0,"9.58410972222222","9.88410972222222","6366","","MSDIAL_NAGly 10:0/21:2;[M+NH4]+;OC(=O)CN%20.CCCCCC/C=C\C/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;QYNKECJFGDSFGH-PWRIJSCFNA-N;C33H59NO5",0,0,0,0,0,0,0,"9.58410972222222","9.88410972222222","6366","","MSDIAL_NAGly 10:0/21:2;[M+NH4]+;OC(=O)CN%20.CCCCCC/C=C\C/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCC(=O)O%10;QYNKECJFGDSFGH-PWRIJSCFNA-N;C33H59NO5","567.47315","378.3003","76.03931","285.2577","303.2682","550.4466","567.4731","9.58410972222222","9.88410972222222","6366"
"","MSDIAL_NAGly 11:0/13:0;[M+NH4]+;OC(=O)CN%20.CCCCCCC%10CCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;LJNXTJGFXZPWAU-UHFFFAOYNA-N;C26H49NO5",0,0,0,0,0,0,0,"1.441425","1.741425","7685","","MSDIAL_NAGly 11:0/13:0;[M+NH4]+;OC(=O)CN%20.CCCCCCC%10CCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;LJNXTJGFXZPWAU-UHFFFAOYNA-N;C26H49NO5",0,0,0,0,0,0,0,"1.441425","1.741425","7685","","MSDIAL_NAGly 11:0/13:0;[M+NH4]+;OC(=O)CN%20.CCCCCCC%10CCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;LJNXTJGFXZPWAU-UHFFFAOYNA-N;C26H49NO5",0,0,0,0,0,0,0,"1.441425","1.741425","7685","","MSDIAL_NAGly 11:0/13:0;[M+NH4]+;OC(=O)CN%20.CCCCCCC%10CCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;LJNXTJGFXZPWAU-UHFFFAOYNA-N;C26H49NO5",0,0,0,0,0,0,0,"1.441425","1.741425","7685","","MSDIAL_NAGly 11:0/13:0;[M+NH4]+;OC(=O)CN%20.CCCCCCC%10CCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;LJNXTJGFXZPWAU-UHFFFAOYNA-N;C26H49NO5",0,0,0,0,0,0,0,"1.441425","1.741425","7685","","MSDIAL_NAGly 11:0/13:0;[M+NH4]+;OC(=O)CN%20.CCCCCCC%10CCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;LJNXTJGFXZPWAU-UHFFFAOYNA-N;C26H49NO5","473.39490","270.2064","76.03931","177.1638","195.1743","456.3683","473.3949","1.441425","1.741425","7685"
"","MSDIAL_NAGly 11:0/20:1;[M+NH4]+;OC(=O)CN%20.CCCCCCCC/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;KNJXHOYMHVWMGX-DAFNUICNNA-N;C33H61NO5",0,0,0,0,0,0,0,"10.5227466666667","10.8227466666667","8713","","MSDIAL_NAGly 11:0/20:1;[M+NH4]+;OC(=O)CN%20.CCCCCCCC/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;KNJXHOYMHVWMGX-DAFNUICNNA-N;C33H61NO5",0,0,0,0,0,0,0,"10.5227466666667","10.8227466666667","8713","","MSDIAL_NAGly 11:0/20:1;[M+NH4]+;OC(=O)CN%20.CCCCCCCC/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;KNJXHOYMHVWMGX-DAFNUICNNA-N;C33H61NO5",0,0,0,0,0,0,0,"10.5227466666667","10.8227466666667","8713","","MSDIAL_NAGly 11:0/20:1;[M+NH4]+;OC(=O)CN%20.CCCCCCCC/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;KNJXHOYMHVWMGX-DAFNUICNNA-N;C33H61NO5",0,0,0,0,0,0,0,"10.5227466666667","10.8227466666667","8713","","MSDIAL_NAGly 11:0/20:1;[M+NH4]+;OC(=O)CN%20.CCCCCCCC/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;KNJXHOYMHVWMGX-DAFNUICNNA-N;C33H61NO5",0,0,0,0,0,0,0,"10.5227466666667","10.8227466666667","8713","","MSDIAL_NAGly 11:0/20:1;[M+NH4]+;OC(=O)CN%20.CCCCCCCC/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;KNJXHOYMHVWMGX-DAFNUICNNA-N;C33H61NO5","569.48880","366.3003","76.03931","273.2577","291.2682","552.4623","569.4888","10.5227466666667","10.8227466666667","8713"
"","MSDIAL_NAGly 11:0/20:2;[M+NH4]+;OC(=O)CN%20.CCCCC/C=C\C/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;NMLSCBICIKUPQC-VWAGERAONA-N;C33H59NO5",0,0,0,0,0,0,0,"9.58410972222222","9.88410972222222","6366","","MSDIAL_NAGly 11:0/20:2;[M+NH4]+;OC(=O)CN%20.CCCCC/C=C\C/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;NMLSCBICIKUPQC-VWAGERAONA-N;C33H59NO5",0,0,0,0,0,0,0,"9.58410972222222","9.88410972222222","6366","","MSDIAL_NAGly 11:0/20:2;[M+NH4]+;OC(=O)CN%20.CCCCC/C=C\C/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;NMLSCBICIKUPQC-VWAGERAONA-N;C33H59NO5",0,0,0,0,0,0,0,"9.58410972222222","9.88410972222222","6366","","MSDIAL_NAGly 11:0/20:2;[M+NH4]+;OC(=O)CN%20.CCCCC/C=C\C/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;NMLSCBICIKUPQC-VWAGERAONA-N;C33H59NO5",0,0,0,0,0,0,0,"9.58410972222222","9.88410972222222","6366","","MSDIAL_NAGly 11:0/20:2;[M+NH4]+;OC(=O)CN%20.CCCCC/C=C\C/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;NMLSCBICIKUPQC-VWAGERAONA-N;C33H59NO5",0,0,0,0,0,0,0,"9.58410972222222","9.88410972222222","6366","","MSDIAL_NAGly 11:0/20:2;[M+NH4]+;OC(=O)CN%20.CCCCC/C=C\C/C=C\C%10CCCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;NMLSCBICIKUPQC-VWAGERAONA-N;C33H59NO5","567.47315","364.2846","76.03931","271.2420","289.2526","550.4466","567.4731","9.58410972222222","9.88410972222222","6366"
"","MSDIAL_NAGly 11:0/24:1;[M+NH4]+;OC(=O)CN%20.CCCCCCCCCC/C=C\CCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;UKYCNSBNODDUSA-ZCXUNETKNA-N;C37H69NO5",0,0,0,0,0,0,0,"5.68210277777778","5.98210277777778","8861","","MSDIAL_NAGly 11:0/24:1;[M+NH4]+;OC(=O)CN%20.CCCCCCCCCC/C=C\CCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;UKYCNSBNODDUSA-ZCXUNETKNA-N;C37H69NO5",0,0,0,0,0,0,0,"5.68210277777778","5.98210277777778","8861","","MSDIAL_NAGly 11:0/24:1;[M+NH4]+;OC(=O)CN%20.CCCCCCCCCC/C=C\CCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;UKYCNSBNODDUSA-ZCXUNETKNA-N;C37H69NO5",0,0,0,0,0,0,0,"5.68210277777778","5.98210277777778","8861","","MSDIAL_NAGly 11:0/24:1;[M+NH4]+;OC(=O)CN%20.CCCCCCCCCC/C=C\CCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;UKYCNSBNODDUSA-ZCXUNETKNA-N;C37H69NO5",0,0,0,0,0,0,0,"5.68210277777778","5.98210277777778","8861","","MSDIAL_NAGly 11:0/24:1;[M+NH4]+;OC(=O)CN%20.CCCCCCCCCC/C=C\CCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;UKYCNSBNODDUSA-ZCXUNETKNA-N;C37H69NO5",0,0,0,0,0,0,0,"5.68210277777778","5.98210277777778","8861","","MSDIAL_NAGly 11:0/24:1;[M+NH4]+;OC(=O)CN%20.CCCCCCCCCC/C=C\CCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;UKYCNSBNODDUSA-ZCXUNETKNA-N;C37H69NO5","625.55140","422.3629","76.03931","329.3203","347.3308","608.5248","625.5514","5.68210277777778","5.98210277777778","8861"
"","MSDIAL_NAGly 11:0/24:2;[M+NH4]+;OC(=O)CN%20.CCCCCCC/C=C\C/C=C\CCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;FZTFVDSCULBKAA-NFYLBXPENA-N;C37H67NO5",0,0,0,0,0,0,0,"5.17191111111111","5.47191111111111","8988","","MSDIAL_NAGly 11:0/24:2;[M+NH4]+;OC(=O)CN%20.CCCCCCC/C=C\C/C=C\CCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;FZTFVDSCULBKAA-NFYLBXPENA-N;C37H67NO5",0,0,0,0,0,0,0,"5.17191111111111","5.47191111111111","8988","","MSDIAL_NAGly 11:0/24:2;[M+NH4]+;OC(=O)CN%20.CCCCCCC/C=C\C/C=C\CCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;FZTFVDSCULBKAA-NFYLBXPENA-N;C37H67NO5",0,0,0,0,0,0,0,"5.17191111111111","5.47191111111111","8988","","MSDIAL_NAGly 11:0/24:2;[M+NH4]+;OC(=O)CN%20.CCCCCCC/C=C\C/C=C\CCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;FZTFVDSCULBKAA-NFYLBXPENA-N;C37H67NO5",0,0,0,0,0,0,0,"5.17191111111111","5.47191111111111","8988","","MSDIAL_NAGly 11:0/24:2;[M+NH4]+;OC(=O)CN%20.CCCCCCC/C=C\C/C=C\CCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;FZTFVDSCULBKAA-NFYLBXPENA-N;C37H67NO5",0,0,0,0,0,0,0,"5.17191111111111","5.47191111111111","8988","","MSDIAL_NAGly 11:0/24:2;[M+NH4]+;OC(=O)CN%20.CCCCCCC/C=C\C/C=C\CCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;FZTFVDSCULBKAA-NFYLBXPENA-N;C37H67NO5","623.53575","420.3472","76.03931","327.3046","345.3152","606.5092","623.5358","5.17191111111111","5.47191111111111","8988"
"","MSDIAL_NAGly 11:0/26:2;[M+NH4]+;OC(=O)CN%20.CCCCCCC/C=C\C/C=C\CCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;QTDHEPDVNOKSEM-NFYLBXPENA-N;C39H71NO5",0,0,0,0,0,0,0,"6.53134027777778","6.83134027777778","4518","","MSDIAL_NAGly 11:0/26:2;[M+NH4]+;OC(=O)CN%20.CCCCCCC/C=C\C/C=C\CCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;QTDHEPDVNOKSEM-NFYLBXPENA-N;C39H71NO5",0,0,0,0,0,0,0,"6.53134027777778","6.83134027777778","4518","","MSDIAL_NAGly 11:0/26:2;[M+NH4]+;OC(=O)CN%20.CCCCCCC/C=C\C/C=C\CCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;QTDHEPDVNOKSEM-NFYLBXPENA-N;C39H71NO5",0,0,0,0,0,0,0,"6.53134027777778","6.83134027777778","4518","","MSDIAL_NAGly 11:0/26:2;[M+NH4]+;OC(=O)CN%20.CCCCCCC/C=C\C/C=C\CCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;QTDHEPDVNOKSEM-NFYLBXPENA-N;C39H71NO5",0,0,0,0,0,0,0,"6.53134027777778","6.83134027777778","4518","","MSDIAL_NAGly 11:0/26:2;[M+NH4]+;OC(=O)CN%20.CCCCCCC/C=C\C/C=C\CCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;QTDHEPDVNOKSEM-NFYLBXPENA-N;C39H71NO5",0,0,0,0,0,0,0,"6.53134027777778","6.83134027777778","4518","","MSDIAL_NAGly 11:0/26:2;[M+NH4]+;OC(=O)CN%20.CCCCCCC/C=C\C/C=C\CCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;QTDHEPDVNOKSEM-NFYLBXPENA-N;C39H71NO5","651.56705","448.3785","76.03931","355.3359","373.3465","634.5405","651.5671","6.53134027777778","6.83134027777778","4518"
"","MSDIAL_NAGly 11:0/26:2;[M+NH4]+;OC(=O)CN%20.CCCCCCC/C=C\C/C=C\CCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;QTDHEPDVNOKSEM-NFYLBXPENA-N;C39H71NO5",0,0,0,0,0,0,0,"5.7432303030303","6.0432303030303","5163","","MSDIAL_NAGly 11:0/26:2;[M+NH4]+;OC(=O)CN%20.CCCCCCC/C=C\C/C=C\CCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;QTDHEPDVNOKSEM-NFYLBXPENA-N;C39H71NO5",0,0,0,0,0,0,0,"5.7432303030303","6.0432303030303","5163","","MSDIAL_NAGly 11:0/26:2;[M+NH4]+;OC(=O)CN%20.CCCCCCC/C=C\C/C=C\CCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;QTDHEPDVNOKSEM-NFYLBXPENA-N;C39H71NO5",0,0,0,0,0,0,0,"5.7432303030303","6.0432303030303","5163","","MSDIAL_NAGly 11:0/26:2;[M+NH4]+;OC(=O)CN%20.CCCCCCC/C=C\C/C=C\CCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;QTDHEPDVNOKSEM-NFYLBXPENA-N;C39H71NO5",0,0,0,0,0,0,0,"5.7432303030303","6.0432303030303","5163","","MSDIAL_NAGly 11:0/26:2;[M+NH4]+;OC(=O)CN%20.CCCCCCC/C=C\C/C=C\CCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;QTDHEPDVNOKSEM-NFYLBXPENA-N;C39H71NO5",0,0,0,0,0,0,0,"5.7432303030303","6.0432303030303","5163","","MSDIAL_NAGly 11:0/26:2;[M+NH4]+;OC(=O)CN%20.CCCCCCC/C=C\C/C=C\CCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;QTDHEPDVNOKSEM-NFYLBXPENA-N;C39H71NO5","651.56705","448.3785","76.03931","355.3359","373.3465","634.5405","651.5671","5.7432303030303","6.0432303030303","5163"
"","MSDIAL_NAGly 11:0/26:2;[M+NH4]+;OC(=O)CN%20.CCCCCCC/C=C\C/C=C\CCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;QTDHEPDVNOKSEM-NFYLBXPENA-N;C39H71NO5",0,0,0,0,0,0,0,"8.2415625","8.5415625","6452","","MSDIAL_NAGly 11:0/26:2;[M+NH4]+;OC(=O)CN%20.CCCCCCC/C=C\C/C=C\CCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;QTDHEPDVNOKSEM-NFYLBXPENA-N;C39H71NO5",0,0,0,0,0,0,0,"8.2415625","8.5415625","6452","","MSDIAL_NAGly 11:0/26:2;[M+NH4]+;OC(=O)CN%20.CCCCCCC/C=C\C/C=C\CCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;QTDHEPDVNOKSEM-NFYLBXPENA-N;C39H71NO5",0,0,0,0,0,0,0,"8.2415625","8.5415625","6452","","MSDIAL_NAGly 11:0/26:2;[M+NH4]+;OC(=O)CN%20.CCCCCCC/C=C\C/C=C\CCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;QTDHEPDVNOKSEM-NFYLBXPENA-N;C39H71NO5",0,0,0,0,0,0,0,"8.2415625","8.5415625","6452","","MSDIAL_NAGly 11:0/26:2;[M+NH4]+;OC(=O)CN%20.CCCCCCC/C=C\C/C=C\CCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;QTDHEPDVNOKSEM-NFYLBXPENA-N;C39H71NO5",0,0,0,0,0,0,0,"8.2415625","8.5415625","6452","","MSDIAL_NAGly 11:0/26:2;[M+NH4]+;OC(=O)CN%20.CCCCCCC/C=C\C/C=C\CCCCCC%10CCCCCCCC(=O)%20.CCCCCCCCCCC(=O)O%10;QTDHEPDVNOKSEM-NFYLBXPENA-N;C39H71NO5","651.56705","448.3785","76.03931","355.3359","373.3465","634.5405","651.5671","8.2415625","8.5415625","6452"
