"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","ether-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment","RT at Max Intensity","ether-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment","Number of Scans","ether-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment","Max Intensity","ether-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment","Average m/z","ether-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","ether-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment"
"","Plasmanyl-PS(36:1)+H",0,0,"4.86781666666667","5.16781666666667","13186","","Plasmanyl-PS(36:1)+H",0,0,"4.86781666666667","5.16781666666667","13186","","Plasmanyl-PS(36:1)+H",0,0,"4.86781666666667","5.16781666666667","13186","","Plasmanyl-PS(36:1)+H",0,0,"4.86781666666667","5.16781666666667","13186","","Plasmanyl-PS(36:1)+H",0,0,"4.86781666666667","5.16781666666667","13186","","Plasmanyl-PS(36:1)+H","776.58012","591.57117","4.86781666666667","5.16781666666667","13186"
"","Plasmanyl-PS(36:2)+H",1,0,"5.07425277777778","5.37425277777778","330","","Plasmanyl-PS(36:2)+H",5.172553,0,"5.07425277777778","5.37425277777778","330","","Plasmanyl-PS(36:2)+H",2,0,"5.07425277777778","5.37425277777778","330","","Plasmanyl-PS(36:2)+H",494380.4,0,"5.07425277777778","5.37425277777778","330","","Plasmanyl-PS(36:2)+H",774.5666,0,"5.07425277777778","5.37425277777778","330","","Plasmanyl-PS(36:2)+H","774.56442","589.55547","5.07425277777778","5.37425277777778","330"
"","Plasmanyl-PS(36:2)+H",0,0,"3.15768333333333","3.45768333333333","3664","","Plasmanyl-PS(36:2)+H",0,0,"3.15768333333333","3.45768333333333","3664","","Plasmanyl-PS(36:2)+H",0,0,"3.15768333333333","3.45768333333333","3664","","Plasmanyl-PS(36:2)+H",0,0,"3.15768333333333","3.45768333333333","3664","","Plasmanyl-PS(36:2)+H",0,0,"3.15768333333333","3.45768333333333","3664","","Plasmanyl-PS(36:2)+H","774.56442","589.55547","3.15768333333333","3.45768333333333","3664"
"","Plasmanyl-PS(36:2)+H",0,0,"2.97523055555556","3.27523055555556","11461","","Plasmanyl-PS(36:2)+H",0,0,"2.97523055555556","3.27523055555556","11461","","Plasmanyl-PS(36:2)+H",0,0,"2.97523055555556","3.27523055555556","11461","","Plasmanyl-PS(36:2)+H",0,0,"2.97523055555556","3.27523055555556","11461","","Plasmanyl-PS(36:2)+H",0,0,"2.97523055555556","3.27523055555556","11461","","Plasmanyl-PS(36:2)+H","774.56442","589.55547","2.97523055555556","3.27523055555556","11461"
"","Plasmanyl-PS(36:2)+H",0,0,"5.33678333333333","5.63678333333333","17206","","Plasmanyl-PS(36:2)+H",0,0,"5.33678333333333","5.63678333333333","17206","","Plasmanyl-PS(36:2)+H",0,0,"5.33678333333333","5.63678333333333","17206","","Plasmanyl-PS(36:2)+H",0,0,"5.33678333333333","5.63678333333333","17206","","Plasmanyl-PS(36:2)+H",0,0,"5.33678333333333","5.63678333333333","17206","","Plasmanyl-PS(36:2)+H","774.56442","589.55547","5.33678333333333","5.63678333333333","17206"
"","Plasmanyl-PS(36:3)+H",0,0,"4.90192222222222","5.20192222222222","778","","Plasmanyl-PS(36:3)+H",0,0,"4.90192222222222","5.20192222222222","778","","Plasmanyl-PS(36:3)+H",0,0,"4.90192222222222","5.20192222222222","778","","Plasmanyl-PS(36:3)+H",0,0,"4.90192222222222","5.20192222222222","778","","Plasmanyl-PS(36:3)+H",0,0,"4.90192222222222","5.20192222222222","778","","Plasmanyl-PS(36:3)+H","772.54882","587.53987","4.90192222222222","5.20192222222222","778"
"","Plasmanyl-PS(36:3)+H",0,0,"4.55881212121212","4.85881212121212","5700","","Plasmanyl-PS(36:3)+H",0,0,"4.55881212121212","4.85881212121212","5700","","Plasmanyl-PS(36:3)+H",0,0,"4.55881212121212","4.85881212121212","5700","","Plasmanyl-PS(36:3)+H",0,0,"4.55881212121212","4.85881212121212","5700","","Plasmanyl-PS(36:3)+H",0,0,"4.55881212121212","4.85881212121212","5700","","Plasmanyl-PS(36:3)+H","772.54882","587.53987","4.55881212121212","4.85881212121212","5700"
"","Plasmanyl-PS(36:3)+H",0,0,"4.11522916666667","4.41522916666667","8914","","Plasmanyl-PS(36:3)+H",0,0,"4.11522916666667","4.41522916666667","8914","","Plasmanyl-PS(36:3)+H",0,0,"4.11522916666667","4.41522916666667","8914","","Plasmanyl-PS(36:3)+H",0,0,"4.11522916666667","4.41522916666667","8914","","Plasmanyl-PS(36:3)+H",0,0,"4.11522916666667","4.41522916666667","8914","","Plasmanyl-PS(36:3)+H","772.54882","587.53987","4.11522916666667","4.41522916666667","8914"
"","Plasmanyl-PS(36:3)+H",0,0,"2.99686363636364","3.29686363636364","11064","","Plasmanyl-PS(36:3)+H",0,0,"2.99686363636364","3.29686363636364","11064","","Plasmanyl-PS(36:3)+H",0,0,"2.99686363636364","3.29686363636364","11064","","Plasmanyl-PS(36:3)+H",0,0,"2.99686363636364","3.29686363636364","11064","","Plasmanyl-PS(36:3)+H",0,0,"2.99686363636364","3.29686363636364","11064","","Plasmanyl-PS(36:3)+H","772.54882","587.53987","2.99686363636364","3.29686363636364","11064"
"","Plasmanyl-PS(36:3)+H",0,0,"4.55763333333333","4.85763333333333","13213","","Plasmanyl-PS(36:3)+H",0,0,"4.55763333333333","4.85763333333333","13213","","Plasmanyl-PS(36:3)+H",0,0,"4.55763333333333","4.85763333333333","13213","","Plasmanyl-PS(36:3)+H",0,0,"4.55763333333333","4.85763333333333","13213","","Plasmanyl-PS(36:3)+H",0,0,"4.55763333333333","4.85763333333333","13213","","Plasmanyl-PS(36:3)+H","772.54882","587.53987","4.55763333333333","4.85763333333333","13213"
"","Plasmanyl-PS(36:4)+H",0,0,"4.99114722222222","5.29114722222222","13206","","Plasmanyl-PS(36:4)+H",0,0,"4.99114722222222","5.29114722222222","13206","","Plasmanyl-PS(36:4)+H",0,0,"4.99114722222222","5.29114722222222","13206","","Plasmanyl-PS(36:4)+H",0,0,"4.99114722222222","5.29114722222222","13206","","Plasmanyl-PS(36:4)+H",0,0,"4.99114722222222","5.29114722222222","13206","","Plasmanyl-PS(36:4)+H","770.53312","585.52417","4.99114722222222","5.29114722222222","13206"
"","Plasmanyl-PS(38:1)+H",0,0,"7.25400972222222","7.55400972222222","2607","","Plasmanyl-PS(38:1)+H",0,0,"7.25400972222222","7.55400972222222","2607","","Plasmanyl-PS(38:1)+H",0,0,"7.25400972222222","7.55400972222222","2607","","Plasmanyl-PS(38:1)+H",0,0,"7.25400972222222","7.55400972222222","2607","","Plasmanyl-PS(38:1)+H",0,0,"7.25400972222222","7.55400972222222","2607","","Plasmanyl-PS(38:1)+H","804.61142","619.60247","7.25400972222222","7.55400972222222","2607"
"","Plasmanyl-PS(38:2)+H",0,0,"6.33237361111111","6.63237361111111","1954","","Plasmanyl-PS(38:2)+H",0,0,"6.33237361111111","6.63237361111111","1954","","Plasmanyl-PS(38:2)+H",0,0,"6.33237361111111","6.63237361111111","1954","","Plasmanyl-PS(38:2)+H",0,0,"6.33237361111111","6.63237361111111","1954","","Plasmanyl-PS(38:2)+H",0,0,"6.33237361111111","6.63237361111111","1954","","Plasmanyl-PS(38:2)+H","802.59572","617.58677","6.33237361111111","6.63237361111111","1954"
"","Plasmanyl-PS(38:2)+H",0,0,"4.12052916666667","4.42052916666667","3104","","Plasmanyl-PS(38:2)+H",0,0,"4.12052916666667","4.42052916666667","3104","","Plasmanyl-PS(38:2)+H",0,0,"4.12052916666667","4.42052916666667","3104","","Plasmanyl-PS(38:2)+H",0,0,"4.12052916666667","4.42052916666667","3104","","Plasmanyl-PS(38:2)+H",0,0,"4.12052916666667","4.42052916666667","3104","","Plasmanyl-PS(38:2)+H","802.59572","617.58677","4.12052916666667","4.42052916666667","3104"
"","Plasmanyl-PS(38:2)+H",0,0,"4.40779305555556","4.70779305555556","4948","","Plasmanyl-PS(38:2)+H",0,0,"4.40779305555556","4.70779305555556","4948","","Plasmanyl-PS(38:2)+H",0,0,"4.40779305555556","4.70779305555556","4948","","Plasmanyl-PS(38:2)+H",0,0,"4.40779305555556","4.70779305555556","4948","","Plasmanyl-PS(38:2)+H",0,0,"4.40779305555556","4.70779305555556","4948","","Plasmanyl-PS(38:2)+H","802.59572","617.58677","4.40779305555556","4.70779305555556","4948"
"","Plasmanyl-PS(38:2)+H",0,0,"4.12585277777778","4.42585277777778","12860","","Plasmanyl-PS(38:2)+H",0,0,"4.12585277777778","4.42585277777778","12860","","Plasmanyl-PS(38:2)+H",0,0,"4.12585277777778","4.42585277777778","12860","","Plasmanyl-PS(38:2)+H",0,0,"4.12585277777778","4.42585277777778","12860","","Plasmanyl-PS(38:2)+H",0,0,"4.12585277777778","4.42585277777778","12860","","Plasmanyl-PS(38:2)+H","802.59572","617.58677","4.12585277777778","4.42585277777778","12860"
"","Plasmanyl-PS(38:3)+H",0,0,"5.43967777777778","5.73967777777778","3279","","Plasmanyl-PS(38:3)+H",0,0,"5.43967777777778","5.73967777777778","3279","","Plasmanyl-PS(38:3)+H",0,0,"5.43967777777778","5.73967777777778","3279","","Plasmanyl-PS(38:3)+H",0,0,"5.43967777777778","5.73967777777778","3279","","Plasmanyl-PS(38:3)+H",0,0,"5.43967777777778","5.73967777777778","3279","","Plasmanyl-PS(38:3)+H","800.58012","615.57117","5.43967777777778","5.73967777777778","3279"
"","Plasmanyl-PS(38:3)+H",0,0,"3.63204027777778","3.93204027777778","7037","","Plasmanyl-PS(38:3)+H",0,0,"3.63204027777778","3.93204027777778","7037","","Plasmanyl-PS(38:3)+H",0,0,"3.63204027777778","3.93204027777778","7037","","Plasmanyl-PS(38:3)+H",0,0,"3.63204027777778","3.93204027777778","7037","","Plasmanyl-PS(38:3)+H",0,0,"3.63204027777778","3.93204027777778","7037","","Plasmanyl-PS(38:3)+H","800.58012","615.57117","3.63204027777778","3.93204027777778","7037"
"","Plasmanyl-PS(38:3)+H",0,0,"4.10396527777778","4.40396527777778","7410","","Plasmanyl-PS(38:3)+H",0,0,"4.10396527777778","4.40396527777778","7410","","Plasmanyl-PS(38:3)+H",0,0,"4.10396527777778","4.40396527777778","7410","","Plasmanyl-PS(38:3)+H",0,0,"4.10396527777778","4.40396527777778","7410","","Plasmanyl-PS(38:3)+H",0,0,"4.10396527777778","4.40396527777778","7410","","Plasmanyl-PS(38:3)+H","800.58012","615.57117","4.10396527777778","4.40396527777778","7410"
"","Plasmanyl-PS(38:3)+H",0,0,"3.32310972222222","3.62310972222222","14702","","Plasmanyl-PS(38:3)+H",0,0,"3.32310972222222","3.62310972222222","14702","","Plasmanyl-PS(38:3)+H",0,0,"3.32310972222222","3.62310972222222","14702","","Plasmanyl-PS(38:3)+H",0,0,"3.32310972222222","3.62310972222222","14702","","Plasmanyl-PS(38:3)+H",0,0,"3.32310972222222","3.62310972222222","14702","","Plasmanyl-PS(38:3)+H","800.58012","615.57117","3.32310972222222","3.62310972222222","14702"
"","Plasmanyl-PS(38:4)+H",1,0,"4.89671944444444","5.19671944444444","424","","Plasmanyl-PS(38:4)+H",5.006868,0,"4.89671944444444","5.19671944444444","424","","Plasmanyl-PS(38:4)+H",2,0,"4.89671944444444","5.19671944444444","424","","Plasmanyl-PS(38:4)+H",355770,0,"4.89671944444444","5.19671944444444","424","","Plasmanyl-PS(38:4)+H",798.566,0,"4.89671944444444","5.19671944444444","424","","Plasmanyl-PS(38:4)+H","798.56442","613.55547","4.89671944444444","5.19671944444444","424"
"","Plasmanyl-PS(38:4)+H",0,0,"3.84327222222222","4.14327222222222","3759","","Plasmanyl-PS(38:4)+H",0,0,"3.84327222222222","4.14327222222222","3759","","Plasmanyl-PS(38:4)+H",0,0,"3.84327222222222","4.14327222222222","3759","","Plasmanyl-PS(38:4)+H",0,0,"3.84327222222222","4.14327222222222","3759","","Plasmanyl-PS(38:4)+H",0,0,"3.84327222222222","4.14327222222222","3759","","Plasmanyl-PS(38:4)+H","798.56442","613.55547","3.84327222222222","4.14327222222222","3759"
"","Plasmanyl-PS(38:4)+H",0,0,"3.42625277777778","3.72625277777778","4937","","Plasmanyl-PS(38:4)+H",0,0,"3.42625277777778","3.72625277777778","4937","","Plasmanyl-PS(38:4)+H",0,0,"3.42625277777778","3.72625277777778","4937","","Plasmanyl-PS(38:4)+H",0,0,"3.42625277777778","3.72625277777778","4937","","Plasmanyl-PS(38:4)+H",0,0,"3.42625277777778","3.72625277777778","4937","","Plasmanyl-PS(38:4)+H","798.56442","613.55547","3.42625277777778","3.72625277777778","4937"
"","Plasmanyl-PS(38:4)+H",0,0,"3.09943333333333","3.39943333333333","5420","","Plasmanyl-PS(38:4)+H",0,0,"3.09943333333333","3.39943333333333","5420","","Plasmanyl-PS(38:4)+H",0,0,"3.09943333333333","3.39943333333333","5420","","Plasmanyl-PS(38:4)+H",0,0,"3.09943333333333","3.39943333333333","5420","","Plasmanyl-PS(38:4)+H",0,0,"3.09943333333333","3.39943333333333","5420","","Plasmanyl-PS(38:4)+H","798.56442","613.55547","3.09943333333333","3.39943333333333","5420"
"","Plasmanyl-PS(38:4)+H",0,0,"4.28418333333333","4.58418333333333","5760","","Plasmanyl-PS(38:4)+H",0,0,"4.28418333333333","4.58418333333333","5760","","Plasmanyl-PS(38:4)+H",0,0,"4.28418333333333","4.58418333333333","5760","","Plasmanyl-PS(38:4)+H",0,0,"4.28418333333333","4.58418333333333","5760","","Plasmanyl-PS(38:4)+H",0,0,"4.28418333333333","4.58418333333333","5760","","Plasmanyl-PS(38:4)+H","798.56442","613.55547","4.28418333333333","4.58418333333333","5760"
"","Plasmanyl-PS(38:5)+H",0,0,"2.63831944444444","2.93831944444444","6882","","Plasmanyl-PS(38:5)+H",0,0,"2.63831944444444","2.93831944444444","6882","","Plasmanyl-PS(38:5)+H",0,0,"2.63831944444444","2.93831944444444","6882","","Plasmanyl-PS(38:5)+H",0,0,"2.63831944444444","2.93831944444444","6882","","Plasmanyl-PS(38:5)+H",0,0,"2.63831944444444","2.93831944444444","6882","","Plasmanyl-PS(38:5)+H","796.54882","611.53987","2.63831944444444","2.93831944444444","6882"
