"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_AHexBRS","[M+NH4]+","1","2","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_AHexBRS","[M+NH4]+","1","2","RT_min","RT_max","Comment","Number of Scans","MSDIAL_AHexBRS","[M+NH4]+","1","2","RT_min","RT_max","Comment","Max Intensity","MSDIAL_AHexBRS","[M+NH4]+","1","2","RT_min","RT_max","Comment","Average m/z","MSDIAL_AHexBRS","[M+NH4]+","1","2","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_AHexBRS","[M+NH4]+","1","2","RT_min","RT_max","Comment"
"","MSDIAL_ST 28:2;O;Hex;FA 8:0;[M+NH4]+;CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;WSVYCKAYKFRIMW-UHFFFAOYNA-N;C42H70O7",0,0,0,"14.748925","15.048925","10583","","MSDIAL_ST 28:2;O;Hex;FA 8:0;[M+NH4]+;CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;WSVYCKAYKFRIMW-UHFFFAOYNA-N;C42H70O7",0,0,0,"14.748925","15.048925","10583","","MSDIAL_ST 28:2;O;Hex;FA 8:0;[M+NH4]+;CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;WSVYCKAYKFRIMW-UHFFFAOYNA-N;C42H70O7",0,0,0,"14.748925","15.048925","10583","","MSDIAL_ST 28:2;O;Hex;FA 8:0;[M+NH4]+;CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;WSVYCKAYKFRIMW-UHFFFAOYNA-N;C42H70O7",0,0,0,"14.748925","15.048925","10583","","MSDIAL_ST 28:2;O;Hex;FA 8:0;[M+NH4]+;CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;WSVYCKAYKFRIMW-UHFFFAOYNA-N;C42H70O7",0,0,0,"14.748925","15.048925","10583","","MSDIAL_ST 28:2;O;Hex;FA 8:0;[M+NH4]+;CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;WSVYCKAYKFRIMW-UHFFFAOYNA-N;C42H70O7","704.54598","381.3516","704.5460","14.748925","15.048925","10583"
"","MSDIAL_ST 28:2;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;IMXIRBOBICAXCC-UHFFFAOYNA-N;C52H90O7",0,0,0,"11.7387333333333","12.0387333333333","11197","","MSDIAL_ST 28:2;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;IMXIRBOBICAXCC-UHFFFAOYNA-N;C52H90O7",0,0,0,"11.7387333333333","12.0387333333333","11197","","MSDIAL_ST 28:2;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;IMXIRBOBICAXCC-UHFFFAOYNA-N;C52H90O7",0,0,0,"11.7387333333333","12.0387333333333","11197","","MSDIAL_ST 28:2;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;IMXIRBOBICAXCC-UHFFFAOYNA-N;C52H90O7",0,0,0,"11.7387333333333","12.0387333333333","11197","","MSDIAL_ST 28:2;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;IMXIRBOBICAXCC-UHFFFAOYNA-N;C52H90O7",0,0,0,"11.7387333333333","12.0387333333333","11197","","MSDIAL_ST 28:2;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;IMXIRBOBICAXCC-UHFFFAOYNA-N;C52H90O7","844.70248","381.3516","844.7025","11.7387333333333","12.0387333333333","11197"
"","MSDIAL_ST 28:2;O;Hex;FA 19:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;FCVUBQSZDBJYNW-UHFFFAOYNA-N;C53H92O7",0,0,0,"11.7445388888889","12.0445388888889","2951","","MSDIAL_ST 28:2;O;Hex;FA 19:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;FCVUBQSZDBJYNW-UHFFFAOYNA-N;C53H92O7",0,0,0,"11.7445388888889","12.0445388888889","2951","","MSDIAL_ST 28:2;O;Hex;FA 19:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;FCVUBQSZDBJYNW-UHFFFAOYNA-N;C53H92O7",0,0,0,"11.7445388888889","12.0445388888889","2951","","MSDIAL_ST 28:2;O;Hex;FA 19:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;FCVUBQSZDBJYNW-UHFFFAOYNA-N;C53H92O7",0,0,0,"11.7445388888889","12.0445388888889","2951","","MSDIAL_ST 28:2;O;Hex;FA 19:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;FCVUBQSZDBJYNW-UHFFFAOYNA-N;C53H92O7",0,0,0,"11.7445388888889","12.0445388888889","2951","","MSDIAL_ST 28:2;O;Hex;FA 19:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;FCVUBQSZDBJYNW-UHFFFAOYNA-N;C53H92O7","858.71813","381.3516","858.7181","11.7445388888889","12.0445388888889","2951"
"","MSDIAL_ST 28:2;O;Hex;FA 19:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;FCVUBQSZDBJYNW-UHFFFAOYNA-N;C53H92O7",0,0,0,"10.2360212121212","10.5360212121212","8349","","MSDIAL_ST 28:2;O;Hex;FA 19:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;FCVUBQSZDBJYNW-UHFFFAOYNA-N;C53H92O7",0,0,0,"10.2360212121212","10.5360212121212","8349","","MSDIAL_ST 28:2;O;Hex;FA 19:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;FCVUBQSZDBJYNW-UHFFFAOYNA-N;C53H92O7",0,0,0,"10.2360212121212","10.5360212121212","8349","","MSDIAL_ST 28:2;O;Hex;FA 19:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;FCVUBQSZDBJYNW-UHFFFAOYNA-N;C53H92O7",0,0,0,"10.2360212121212","10.5360212121212","8349","","MSDIAL_ST 28:2;O;Hex;FA 19:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;FCVUBQSZDBJYNW-UHFFFAOYNA-N;C53H92O7",0,0,0,"10.2360212121212","10.5360212121212","8349","","MSDIAL_ST 28:2;O;Hex;FA 19:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;FCVUBQSZDBJYNW-UHFFFAOYNA-N;C53H92O7","858.71813","381.3516","858.7181","10.2360212121212","10.5360212121212","8349"
"","MSDIAL_ST 28:2;O;Hex;FA 19:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;FCVUBQSZDBJYNW-UHFFFAOYNA-N;C53H92O7",0,0,0,"10.1947680555556","10.4947680555556","14847","","MSDIAL_ST 28:2;O;Hex;FA 19:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;FCVUBQSZDBJYNW-UHFFFAOYNA-N;C53H92O7",0,0,0,"10.1947680555556","10.4947680555556","14847","","MSDIAL_ST 28:2;O;Hex;FA 19:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;FCVUBQSZDBJYNW-UHFFFAOYNA-N;C53H92O7",0,0,0,"10.1947680555556","10.4947680555556","14847","","MSDIAL_ST 28:2;O;Hex;FA 19:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;FCVUBQSZDBJYNW-UHFFFAOYNA-N;C53H92O7",0,0,0,"10.1947680555556","10.4947680555556","14847","","MSDIAL_ST 28:2;O;Hex;FA 19:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;FCVUBQSZDBJYNW-UHFFFAOYNA-N;C53H92O7",0,0,0,"10.1947680555556","10.4947680555556","14847","","MSDIAL_ST 28:2;O;Hex;FA 19:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;FCVUBQSZDBJYNW-UHFFFAOYNA-N;C53H92O7","858.71813","381.3516","858.7181","10.1947680555556","10.4947680555556","14847"
"","MSDIAL_ST 28:2;O;Hex;FA 19:1;[M+NH4]+;CCCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;WCFPKRXBSJDTMS-LWQRDWCBNA-N;C53H90O7",0,0,0,"10.4318303030303","10.7318303030303","9836","","MSDIAL_ST 28:2;O;Hex;FA 19:1;[M+NH4]+;CCCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;WCFPKRXBSJDTMS-LWQRDWCBNA-N;C53H90O7",0,0,0,"10.4318303030303","10.7318303030303","9836","","MSDIAL_ST 28:2;O;Hex;FA 19:1;[M+NH4]+;CCCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;WCFPKRXBSJDTMS-LWQRDWCBNA-N;C53H90O7",0,0,0,"10.4318303030303","10.7318303030303","9836","","MSDIAL_ST 28:2;O;Hex;FA 19:1;[M+NH4]+;CCCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;WCFPKRXBSJDTMS-LWQRDWCBNA-N;C53H90O7",0,0,0,"10.4318303030303","10.7318303030303","9836","","MSDIAL_ST 28:2;O;Hex;FA 19:1;[M+NH4]+;CCCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;WCFPKRXBSJDTMS-LWQRDWCBNA-N;C53H90O7",0,0,0,"10.4318303030303","10.7318303030303","9836","","MSDIAL_ST 28:2;O;Hex;FA 19:1;[M+NH4]+;CCCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;WCFPKRXBSJDTMS-LWQRDWCBNA-N;C53H90O7","856.70248","381.3516","856.7025","10.4318303030303","10.7318303030303","9836"
"","MSDIAL_ST 28:2;O;Hex;FA 19:1;[M+NH4]+;CCCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;WCFPKRXBSJDTMS-LWQRDWCBNA-N;C53H90O7",0,0,0,"10.4407930555556","10.7407930555556","17317","","MSDIAL_ST 28:2;O;Hex;FA 19:1;[M+NH4]+;CCCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;WCFPKRXBSJDTMS-LWQRDWCBNA-N;C53H90O7",0,0,0,"10.4407930555556","10.7407930555556","17317","","MSDIAL_ST 28:2;O;Hex;FA 19:1;[M+NH4]+;CCCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;WCFPKRXBSJDTMS-LWQRDWCBNA-N;C53H90O7",0,0,0,"10.4407930555556","10.7407930555556","17317","","MSDIAL_ST 28:2;O;Hex;FA 19:1;[M+NH4]+;CCCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;WCFPKRXBSJDTMS-LWQRDWCBNA-N;C53H90O7",0,0,0,"10.4407930555556","10.7407930555556","17317","","MSDIAL_ST 28:2;O;Hex;FA 19:1;[M+NH4]+;CCCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;WCFPKRXBSJDTMS-LWQRDWCBNA-N;C53H90O7",0,0,0,"10.4407930555556","10.7407930555556","17317","","MSDIAL_ST 28:2;O;Hex;FA 19:1;[M+NH4]+;CCCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;WCFPKRXBSJDTMS-LWQRDWCBNA-N;C53H90O7","856.70248","381.3516","856.7025","10.4407930555556","10.7407930555556","17317"
"","MSDIAL_ST 28:2;O;Hex;FA 20:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;GZFXLYDPZPPMJH-UHFFFAOYNA-N;C54H94O7",0,0,0,"12.0691569444444","12.3691569444444","7283","","MSDIAL_ST 28:2;O;Hex;FA 20:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;GZFXLYDPZPPMJH-UHFFFAOYNA-N;C54H94O7",0,0,0,"12.0691569444444","12.3691569444444","7283","","MSDIAL_ST 28:2;O;Hex;FA 20:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;GZFXLYDPZPPMJH-UHFFFAOYNA-N;C54H94O7",0,0,0,"12.0691569444444","12.3691569444444","7283","","MSDIAL_ST 28:2;O;Hex;FA 20:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;GZFXLYDPZPPMJH-UHFFFAOYNA-N;C54H94O7",0,0,0,"12.0691569444444","12.3691569444444","7283","","MSDIAL_ST 28:2;O;Hex;FA 20:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;GZFXLYDPZPPMJH-UHFFFAOYNA-N;C54H94O7",0,0,0,"12.0691569444444","12.3691569444444","7283","","MSDIAL_ST 28:2;O;Hex;FA 20:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;GZFXLYDPZPPMJH-UHFFFAOYNA-N;C54H94O7","872.73378","381.3516","872.7338","12.0691569444444","12.3691569444444","7283"
"","MSDIAL_ST 28:2;O;Hex;FA 20:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;GZFXLYDPZPPMJH-UHFFFAOYNA-N;C54H94O7",0,0,0,"12.0874944444444","12.3874944444444","15470","","MSDIAL_ST 28:2;O;Hex;FA 20:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;GZFXLYDPZPPMJH-UHFFFAOYNA-N;C54H94O7",0,0,0,"12.0874944444444","12.3874944444444","15470","","MSDIAL_ST 28:2;O;Hex;FA 20:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;GZFXLYDPZPPMJH-UHFFFAOYNA-N;C54H94O7",0,0,0,"12.0874944444444","12.3874944444444","15470","","MSDIAL_ST 28:2;O;Hex;FA 20:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;GZFXLYDPZPPMJH-UHFFFAOYNA-N;C54H94O7",0,0,0,"12.0874944444444","12.3874944444444","15470","","MSDIAL_ST 28:2;O;Hex;FA 20:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;GZFXLYDPZPPMJH-UHFFFAOYNA-N;C54H94O7",0,0,0,"12.0874944444444","12.3874944444444","15470","","MSDIAL_ST 28:2;O;Hex;FA 20:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;GZFXLYDPZPPMJH-UHFFFAOYNA-N;C54H94O7","872.73378","381.3516","872.7338","12.0874944444444","12.3874944444444","15470"
"","MSDIAL_ST 28:2;O;Hex;FA 20:2;[M+NH4]+;CCCCC\C=C/C\C=C/CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;MZDQNBMRIBWDRZ-FDTDVOFINA-N;C54H90O7",0,0,0,"10.4943513888889","10.7943513888889","11140","","MSDIAL_ST 28:2;O;Hex;FA 20:2;[M+NH4]+;CCCCC\C=C/C\C=C/CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;MZDQNBMRIBWDRZ-FDTDVOFINA-N;C54H90O7",0,0,0,"10.4943513888889","10.7943513888889","11140","","MSDIAL_ST 28:2;O;Hex;FA 20:2;[M+NH4]+;CCCCC\C=C/C\C=C/CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;MZDQNBMRIBWDRZ-FDTDVOFINA-N;C54H90O7",0,0,0,"10.4943513888889","10.7943513888889","11140","","MSDIAL_ST 28:2;O;Hex;FA 20:2;[M+NH4]+;CCCCC\C=C/C\C=C/CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;MZDQNBMRIBWDRZ-FDTDVOFINA-N;C54H90O7",0,0,0,"10.4943513888889","10.7943513888889","11140","","MSDIAL_ST 28:2;O;Hex;FA 20:2;[M+NH4]+;CCCCC\C=C/C\C=C/CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;MZDQNBMRIBWDRZ-FDTDVOFINA-N;C54H90O7",0,0,0,"10.4943513888889","10.7943513888889","11140","","MSDIAL_ST 28:2;O;Hex;FA 20:2;[M+NH4]+;CCCCC\C=C/C\C=C/CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;MZDQNBMRIBWDRZ-FDTDVOFINA-N;C54H90O7","868.70248","381.3516","868.7025","10.4943513888889","10.7943513888889","11140"
"","MSDIAL_ST 28:2;O;Hex;FA 21:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;GLIFFCMPKHWBQR-UHFFFAOYNA-N;C55H96O7",0,0,0,"12.3846930555556","12.6846930555556","818","","MSDIAL_ST 28:2;O;Hex;FA 21:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;GLIFFCMPKHWBQR-UHFFFAOYNA-N;C55H96O7",0,0,0,"12.3846930555556","12.6846930555556","818","","MSDIAL_ST 28:2;O;Hex;FA 21:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;GLIFFCMPKHWBQR-UHFFFAOYNA-N;C55H96O7",0,0,0,"12.3846930555556","12.6846930555556","818","","MSDIAL_ST 28:2;O;Hex;FA 21:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;GLIFFCMPKHWBQR-UHFFFAOYNA-N;C55H96O7",0,0,0,"12.3846930555556","12.6846930555556","818","","MSDIAL_ST 28:2;O;Hex;FA 21:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;GLIFFCMPKHWBQR-UHFFFAOYNA-N;C55H96O7",0,0,0,"12.3846930555556","12.6846930555556","818","","MSDIAL_ST 28:2;O;Hex;FA 21:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(C)C(C)C)C(O)C(O)C1O;GLIFFCMPKHWBQR-UHFFFAOYNA-N;C55H96O7","886.74943","381.3516","886.7495","12.3846930555556","12.6846930555556","818"
