"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PEtOH","[M+NH4]+","[M-C2H7O4P+H]+","[C5H11O5P+H]+","RT_min","RT_max","Comment","RT at Max Intensity","PEtOH","[M+NH4]+","[M-C2H7O4P+H]+","[C5H11O5P+H]+","RT_min","RT_max","Comment","Number of Scans","PEtOH","[M+NH4]+","[M-C2H7O4P+H]+","[C5H11O5P+H]+","RT_min","RT_max","Comment","Max Intensity","PEtOH","[M+NH4]+","[M-C2H7O4P+H]+","[C5H11O5P+H]+","RT_min","RT_max","Comment","Average m/z","PEtOH","[M+NH4]+","[M-C2H7O4P+H]+","[C5H11O5P+H]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PEtOH","[M+NH4]+","[M-C2H7O4P+H]+","[C5H11O5P+H]+","RT_min","RT_max","Comment"
"","PEtOH(32:3)+NH4",0,0,0,"11.5169424242424","11.8169424242424","12384","","PEtOH(32:3)+NH4",0,0,0,"11.5169424242424","11.8169424242424","12384","","PEtOH(32:3)+NH4",0,0,0,"11.5169424242424","11.8169424242424","12384","","PEtOH(32:3)+NH4",0,0,0,"11.5169424242424","11.8169424242424","12384","","PEtOH(32:3)+NH4",0,0,0,"11.5169424242424","11.8169424242424","12384","","PEtOH(32:3)+NH4","688.49117","545.4564","183.0417","11.5169424242424","11.8169424242424","12384"
"","PEtOH(33:1)+NH4",1,0,0,"6.02765","6.32765","188","","PEtOH(33:1)+NH4",6.168828,0,0,"6.02765","6.32765","188","","PEtOH(33:1)+NH4",3,0,0,"6.02765","6.32765","188","","PEtOH(33:1)+NH4",1563772,0,0,"6.02765","6.32765","188","","PEtOH(33:1)+NH4",706.538766666667,0,0,"6.02765","6.32765","188","","PEtOH(33:1)+NH4","706.53817","563.5034","183.0417","6.02765","6.32765","188"
"","PEtOH(33:2)+NH4",1,0,0,"4.889025","5.189025","340","","PEtOH(33:2)+NH4",5.068664,0,0,"4.889025","5.189025","340","","PEtOH(33:2)+NH4",2,0,0,"4.889025","5.189025","340","","PEtOH(33:2)+NH4",570787,0,0,"4.889025","5.189025","340","","PEtOH(33:2)+NH4",704.5241,0,0,"4.889025","5.189025","340","","PEtOH(33:2)+NH4","704.52247","561.4877","183.0417","4.889025","5.189025","340"
"","PEtOH(33:2)+NH4",0,0,0,"5.52259444444444","5.82259444444444","9928","","PEtOH(33:2)+NH4",0,0,0,"5.52259444444444","5.82259444444444","9928","","PEtOH(33:2)+NH4",0,0,0,"5.52259444444444","5.82259444444444","9928","","PEtOH(33:2)+NH4",0,0,0,"5.52259444444444","5.82259444444444","9928","","PEtOH(33:2)+NH4",0,0,0,"5.52259444444444","5.82259444444444","9928","","PEtOH(33:2)+NH4","704.52247","561.4877","183.0417","5.52259444444444","5.82259444444444","9928"
"","PEtOH(33:2)+NH4",0,0,0,"7.02406805555556","7.32406805555556","16090","","PEtOH(33:2)+NH4",0,0,0,"7.02406805555556","7.32406805555556","16090","","PEtOH(33:2)+NH4",0,0,0,"7.02406805555556","7.32406805555556","16090","","PEtOH(33:2)+NH4",0,0,0,"7.02406805555556","7.32406805555556","16090","","PEtOH(33:2)+NH4",0,0,0,"7.02406805555556","7.32406805555556","16090","","PEtOH(33:2)+NH4","704.52247","561.4877","183.0417","7.02406805555556","7.32406805555556","16090"
"","PEtOH(33:2)+NH4",0,0,0,"6.90816111111111","7.20816111111111","18891","","PEtOH(33:2)+NH4",0,0,0,"6.90816111111111","7.20816111111111","18891","","PEtOH(33:2)+NH4",0,0,0,"6.90816111111111","7.20816111111111","18891","","PEtOH(33:2)+NH4",0,0,0,"6.90816111111111","7.20816111111111","18891","","PEtOH(33:2)+NH4",0,0,0,"6.90816111111111","7.20816111111111","18891","","PEtOH(33:2)+NH4","704.52247","561.4877","183.0417","6.90816111111111","7.20816111111111","18891"
"","PEtOH(33:3)+NH4",0,0,0,"3.73294305555556","4.03294305555556","4431","","PEtOH(33:3)+NH4",0,0,0,"3.73294305555556","4.03294305555556","4431","","PEtOH(33:3)+NH4",0,0,0,"3.73294305555556","4.03294305555556","4431","","PEtOH(33:3)+NH4",0,0,0,"3.73294305555556","4.03294305555556","4431","","PEtOH(33:3)+NH4",0,0,0,"3.73294305555556","4.03294305555556","4431","","PEtOH(33:3)+NH4","702.50687","559.4721","183.0417","3.73294305555556","4.03294305555556","4431"
"","PEtOH(34:1)+NH4",1,0,0,"8.64666527777777","8.94666527777777","95","","PEtOH(34:1)+NH4",8.815608,0,0,"8.64666527777777","8.94666527777777","95","","PEtOH(34:1)+NH4",2,0,0,"8.64666527777777","8.94666527777777","95","","PEtOH(34:1)+NH4",73318.2,0,0,"8.64666527777777","8.94666527777777","95","","PEtOH(34:1)+NH4",720.5545,0,0,"8.64666527777777","8.94666527777777","95","","PEtOH(34:1)+NH4","720.55387","577.5191","183.0417","8.64666527777777","8.94666527777777","95"
"","PEtOH(34:1)+NH4",1,0,0,"6.63066666666667","6.93066666666667","518","","PEtOH(34:1)+NH4",6.821414,0,0,"6.63066666666667","6.93066666666667","518","","PEtOH(34:1)+NH4",1,0,0,"6.63066666666667","6.93066666666667","518","","PEtOH(34:1)+NH4",360136.4,0,0,"6.63066666666667","6.93066666666667","518","","PEtOH(34:1)+NH4",720.5547,0,0,"6.63066666666667","6.93066666666667","518","","PEtOH(34:1)+NH4","720.55387","577.5191","183.0417","6.63066666666667","6.93066666666667","518"
"","PEtOH(34:1)+NH4",1,0,0,"6.43381527777778","6.73381527777778","1486","","PEtOH(34:1)+NH4",6.58182,0,0,"6.43381527777778","6.73381527777778","1486","","PEtOH(34:1)+NH4",1,0,0,"6.43381527777778","6.73381527777778","1486","","PEtOH(34:1)+NH4",89414.06,0,0,"6.43381527777778","6.73381527777778","1486","","PEtOH(34:1)+NH4",720.5549,0,0,"6.43381527777778","6.73381527777778","1486","","PEtOH(34:1)+NH4","720.55387","577.5191","183.0417","6.43381527777778","6.73381527777778","1486"
"","PEtOH(34:2)+NH4",1,0,0,"5.51697222222222","5.81697222222222","1575","","PEtOH(34:2)+NH4",5.717829,0,0,"5.51697222222222","5.81697222222222","1575","","PEtOH(34:2)+NH4",1,0,0,"5.51697222222222","5.81697222222222","1575","","PEtOH(34:2)+NH4",54893.42,0,0,"5.51697222222222","5.81697222222222","1575","","PEtOH(34:2)+NH4",718.5396,0,0,"5.51697222222222","5.81697222222222","1575","","PEtOH(34:2)+NH4","718.53817","575.5034","183.0417","5.51697222222222","5.81697222222222","1575"
"","PEtOH(34:2)+NH4",0,0,0,"5.99224242424243","6.29224242424243","5695","","PEtOH(34:2)+NH4",0,0,0,"5.99224242424243","6.29224242424243","5695","","PEtOH(34:2)+NH4",0,0,0,"5.99224242424243","6.29224242424243","5695","","PEtOH(34:2)+NH4",0,0,0,"5.99224242424243","6.29224242424243","5695","","PEtOH(34:2)+NH4",0,0,0,"5.99224242424243","6.29224242424243","5695","","PEtOH(34:2)+NH4","718.53817","575.5034","183.0417","5.99224242424243","6.29224242424243","5695"
"","PEtOH(34:2)+NH4",0,0,0,"5.78686818181818","6.08686818181818","15153","","PEtOH(34:2)+NH4",0,0,0,"5.78686818181818","6.08686818181818","15153","","PEtOH(34:2)+NH4",0,0,0,"5.78686818181818","6.08686818181818","15153","","PEtOH(34:2)+NH4",0,0,0,"5.78686818181818","6.08686818181818","15153","","PEtOH(34:2)+NH4",0,0,0,"5.78686818181818","6.08686818181818","15153","","PEtOH(34:2)+NH4","718.53817","575.5034","183.0417","5.78686818181818","6.08686818181818","15153"
"","PEtOH(34:3)+NH4",1,0,0,"6.68251805555556","6.98251805555556","422","","PEtOH(34:3)+NH4",6.856732,0,0,"6.68251805555556","6.98251805555556","422","","PEtOH(34:3)+NH4",1,0,0,"6.68251805555556","6.98251805555556","422","","PEtOH(34:3)+NH4",20486.5,0,0,"6.68251805555556","6.98251805555556","422","","PEtOH(34:3)+NH4",716.5242,0,0,"6.68251805555556","6.98251805555556","422","","PEtOH(34:3)+NH4","716.52247","573.4877","183.0417","6.68251805555556","6.98251805555556","422"
"","PEtOH(34:3)+NH4",0,0,0,"12.2190791666667","12.5190791666667","1321","","PEtOH(34:3)+NH4",0,0,0,"12.2190791666667","12.5190791666667","1321","","PEtOH(34:3)+NH4",0,0,0,"12.2190791666667","12.5190791666667","1321","","PEtOH(34:3)+NH4",0,0,0,"12.2190791666667","12.5190791666667","1321","","PEtOH(34:3)+NH4",0,0,0,"12.2190791666667","12.5190791666667","1321","","PEtOH(34:3)+NH4","716.52247","573.4877","183.0417","12.2190791666667","12.5190791666667","1321"
"","PEtOH(34:3)+NH4",0,0,0,"4.85825416666667","5.15825416666667","1348","","PEtOH(34:3)+NH4",0,0,0,"4.85825416666667","5.15825416666667","1348","","PEtOH(34:3)+NH4",0,0,0,"4.85825416666667","5.15825416666667","1348","","PEtOH(34:3)+NH4",0,0,0,"4.85825416666667","5.15825416666667","1348","","PEtOH(34:3)+NH4",0,0,0,"4.85825416666667","5.15825416666667","1348","","PEtOH(34:3)+NH4","716.52247","573.4877","183.0417","4.85825416666667","5.15825416666667","1348"
"","PEtOH(34:3)+NH4",0,0,0,"11.5475638888889","11.8475638888889","2103","","PEtOH(34:3)+NH4",0,0,0,"11.5475638888889","11.8475638888889","2103","","PEtOH(34:3)+NH4",0,0,0,"11.5475638888889","11.8475638888889","2103","","PEtOH(34:3)+NH4",0,0,0,"11.5475638888889","11.8475638888889","2103","","PEtOH(34:3)+NH4",0,0,0,"11.5475638888889","11.8475638888889","2103","","PEtOH(34:3)+NH4","716.52247","573.4877","183.0417","11.5475638888889","11.8475638888889","2103"
"","PEtOH(34:4)+NH4",0,0,0,"5.54374861111111","5.84374861111111","6823","","PEtOH(34:4)+NH4",0,0,0,"5.54374861111111","5.84374861111111","6823","","PEtOH(34:4)+NH4",0,0,0,"5.54374861111111","5.84374861111111","6823","","PEtOH(34:4)+NH4",0,0,0,"5.54374861111111","5.84374861111111","6823","","PEtOH(34:4)+NH4",0,0,0,"5.54374861111111","5.84374861111111","6823","","PEtOH(34:4)+NH4","714.50687","571.4721","183.0417","5.54374861111111","5.84374861111111","6823"
"","PEtOH(34:4)+NH4",0,0,0,"11.6431458333333","11.9431458333333","8174","","PEtOH(34:4)+NH4",0,0,0,"11.6431458333333","11.9431458333333","8174","","PEtOH(34:4)+NH4",0,0,0,"11.6431458333333","11.9431458333333","8174","","PEtOH(34:4)+NH4",0,0,0,"11.6431458333333","11.9431458333333","8174","","PEtOH(34:4)+NH4",0,0,0,"11.6431458333333","11.9431458333333","8174","","PEtOH(34:4)+NH4","714.50687","571.4721","183.0417","11.6431458333333","11.9431458333333","8174"
"","PEtOH(34:4)+NH4",0,0,0,"5.81705138888889","6.11705138888889","9458","","PEtOH(34:4)+NH4",0,0,0,"5.81705138888889","6.11705138888889","9458","","PEtOH(34:4)+NH4",0,0,0,"5.81705138888889","6.11705138888889","9458","","PEtOH(34:4)+NH4",0,0,0,"5.81705138888889","6.11705138888889","9458","","PEtOH(34:4)+NH4",0,0,0,"5.81705138888889","6.11705138888889","9458","","PEtOH(34:4)+NH4","714.50687","571.4721","183.0417","5.81705138888889","6.11705138888889","9458"
"","PEtOH(34:5)+NH4",0,0,0,"11.34785","11.64785","4546","","PEtOH(34:5)+NH4",0,0,0,"11.34785","11.64785","4546","","PEtOH(34:5)+NH4",0,0,0,"11.34785","11.64785","4546","","PEtOH(34:5)+NH4",0,0,0,"11.34785","11.64785","4546","","PEtOH(34:5)+NH4",0,0,0,"11.34785","11.64785","4546","","PEtOH(34:5)+NH4","712.49117","569.4564","183.0417","11.34785","11.64785","4546"
"","PEtOH(34:5)+NH4",0,0,0,"10.6121015151515","10.9121015151515","7992","","PEtOH(34:5)+NH4",0,0,0,"10.6121015151515","10.9121015151515","7992","","PEtOH(34:5)+NH4",0,0,0,"10.6121015151515","10.9121015151515","7992","","PEtOH(34:5)+NH4",0,0,0,"10.6121015151515","10.9121015151515","7992","","PEtOH(34:5)+NH4",0,0,0,"10.6121015151515","10.9121015151515","7992","","PEtOH(34:5)+NH4","712.49117","569.4564","183.0417","10.6121015151515","10.9121015151515","7992"
"","PEtOH(34:6)+NH4",0,0,0,"4.09470606060606","4.39470606060606","12595","","PEtOH(34:6)+NH4",0,0,0,"4.09470606060606","4.39470606060606","12595","","PEtOH(34:6)+NH4",0,0,0,"4.09470606060606","4.39470606060606","12595","","PEtOH(34:6)+NH4",0,0,0,"4.09470606060606","4.39470606060606","12595","","PEtOH(34:6)+NH4",0,0,0,"4.09470606060606","4.39470606060606","12595","","PEtOH(34:6)+NH4","710.47557","567.4408","183.0417","4.09470606060606","4.39470606060606","12595"
"","PEtOH(35:1)+NH4",1,0,0,"7.24374583333333","7.54374583333333","75","","PEtOH(35:1)+NH4",7.444524,0,0,"7.24374583333333","7.54374583333333","75","","PEtOH(35:1)+NH4",2,0,0,"7.24374583333333","7.54374583333333","75","","PEtOH(35:1)+NH4",3586960,0,0,"7.24374583333333","7.54374583333333","75","","PEtOH(35:1)+NH4",734.5693,0,0,"7.24374583333333","7.54374583333333","75","","PEtOH(35:1)+NH4","734.56947","591.5347","183.0417","7.24374583333333","7.54374583333333","75"
"","PEtOH(35:1)+NH4",0,0,0,"9.16413611111111","9.46413611111111","5965","","PEtOH(35:1)+NH4",0,0,0,"9.16413611111111","9.46413611111111","5965","","PEtOH(35:1)+NH4",0,0,0,"9.16413611111111","9.46413611111111","5965","","PEtOH(35:1)+NH4",0,0,0,"9.16413611111111","9.46413611111111","5965","","PEtOH(35:1)+NH4",0,0,0,"9.16413611111111","9.46413611111111","5965","","PEtOH(35:1)+NH4","734.56947","591.5347","183.0417","9.16413611111111","9.46413611111111","5965"
"","PEtOH(35:1)+NH4",1,0,0,"7.05414444444444","7.35414444444444","9118","","PEtOH(35:1)+NH4",7.332081,0,0,"7.05414444444444","7.35414444444444","9118","","PEtOH(35:1)+NH4",1,0,0,"7.05414444444444","7.35414444444444","9118","","PEtOH(35:1)+NH4",1701472,0,0,"7.05414444444444","7.35414444444444","9118","","PEtOH(35:1)+NH4",734.5693,0,0,"7.05414444444444","7.35414444444444","9118","","PEtOH(35:1)+NH4","734.56947","591.5347","183.0417","7.05414444444444","7.35414444444444","9118"
"","PEtOH(35:1)+NH4",1,0,0,"7.05408472222222","7.35408472222222","12681","","PEtOH(35:1)+NH4",7.332081,0,0,"7.05408472222222","7.35408472222222","12681","","PEtOH(35:1)+NH4",1,0,0,"7.05408472222222","7.35408472222222","12681","","PEtOH(35:1)+NH4",1701472,0,0,"7.05408472222222","7.35408472222222","12681","","PEtOH(35:1)+NH4",734.5693,0,0,"7.05408472222222","7.35408472222222","12681","","PEtOH(35:1)+NH4","734.56947","591.5347","183.0417","7.05408472222222","7.35408472222222","12681"
"","PEtOH(35:1)+NH4",0,0,0,"6.77939583333333","7.07939583333333","18813","","PEtOH(35:1)+NH4",0,0,0,"6.77939583333333","7.07939583333333","18813","","PEtOH(35:1)+NH4",0,0,0,"6.77939583333333","7.07939583333333","18813","","PEtOH(35:1)+NH4",0,0,0,"6.77939583333333","7.07939583333333","18813","","PEtOH(35:1)+NH4",0,0,0,"6.77939583333333","7.07939583333333","18813","","PEtOH(35:1)+NH4","734.56947","591.5347","183.0417","6.77939583333333","7.07939583333333","18813"
"","PEtOH(35:2)+NH4",1,0,0,"6.12905972222222","6.42905972222222","86","","PEtOH(35:2)+NH4",6.312529,0,0,"6.12905972222222","6.42905972222222","86","","PEtOH(35:2)+NH4",2,0,0,"6.12905972222222","6.42905972222222","86","","PEtOH(35:2)+NH4",3831567,0,0,"6.12905972222222","6.42905972222222","86","","PEtOH(35:2)+NH4",732.5542,0,0,"6.12905972222222","6.42905972222222","86","","PEtOH(35:2)+NH4","732.55387","589.5191","183.0417","6.12905972222222","6.42905972222222","86"
"","PEtOH(35:2)+NH4",1,0,0,"6.504625","6.804625","1076","","PEtOH(35:2)+NH4",6.566255,0,0,"6.504625","6.804625","1076","","PEtOH(35:2)+NH4",2,0,0,"6.504625","6.804625","1076","","PEtOH(35:2)+NH4",130463.9,0,0,"6.504625","6.804625","1076","","PEtOH(35:2)+NH4",732.55515,0,0,"6.504625","6.804625","1076","","PEtOH(35:2)+NH4","732.55387","589.5191","183.0417","6.504625","6.804625","1076"
"","PEtOH(35:2)+NH4",1,0,0,"6.50722222222222","6.80722222222222","17141","","PEtOH(35:2)+NH4",6.566255,0,0,"6.50722222222222","6.80722222222222","17141","","PEtOH(35:2)+NH4",2,0,0,"6.50722222222222","6.80722222222222","17141","","PEtOH(35:2)+NH4",130463.9,0,0,"6.50722222222222","6.80722222222222","17141","","PEtOH(35:2)+NH4",732.55515,0,0,"6.50722222222222","6.80722222222222","17141","","PEtOH(35:2)+NH4","732.55387","589.5191","183.0417","6.50722222222222","6.80722222222222","17141"
