"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PI","[M+NH4]+","NL_Head","RT_min","RT_max","Comment","RT at Max Intensity","PI","[M+NH4]+","NL_Head","RT_min","RT_max","Comment","Number of Scans","PI","[M+NH4]+","NL_Head","RT_min","RT_max","Comment","Max Intensity","PI","[M+NH4]+","NL_Head","RT_min","RT_max","Comment","Average m/z","PI","[M+NH4]+","NL_Head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PI","[M+NH4]+","NL_Head","RT_min","RT_max","Comment"
"","PI(36:4)+NH4",0,1,"5.40977777777778","5.70977777777778","592","","PI(36:4)+NH4",0,5.503373,"5.40977777777778","5.70977777777778","592","","PI(36:4)+NH4",0,2,"5.40977777777778","5.70977777777778","592","","PI(36:4)+NH4",0,790471.4,"5.40977777777778","5.70977777777778","592","","PI(36:4)+NH4",0,599.50455,"5.40977777777778","5.70977777777778","592","","PI(36:4)+NH4","876.5597","599.5035","5.40977777777778","5.70977777777778","592"
"","PI(36:4)+NH4",0,0,"4.90494444444445","5.20494444444445","4412","","PI(36:4)+NH4",0,0,"4.90494444444445","5.20494444444445","4412","","PI(36:4)+NH4",0,0,"4.90494444444445","5.20494444444445","4412","","PI(36:4)+NH4",0,0,"4.90494444444445","5.20494444444445","4412","","PI(36:4)+NH4",0,0,"4.90494444444445","5.20494444444445","4412","","PI(36:4)+NH4","876.5597","599.5035","4.90494444444445","5.20494444444445","4412"
"","PI(37:4)+NH4",0,0,"6.02765","6.32765","3045","","PI(37:4)+NH4",0,0,"6.02765","6.32765","3045","","PI(37:4)+NH4",0,0,"6.02765","6.32765","3045","","PI(37:4)+NH4",0,0,"6.02765","6.32765","3045","","PI(37:4)+NH4",0,0,"6.02765","6.32765","3045","","PI(37:4)+NH4","890.5754","613.5192","6.02765","6.32765","3045"
"","PI(38:2)+NH4",0,0,"7.79029027777778","8.09029027777778","2915","","PI(38:2)+NH4",0,0,"7.79029027777778","8.09029027777778","2915","","PI(38:2)+NH4",0,0,"7.79029027777778","8.09029027777778","2915","","PI(38:2)+NH4",0,0,"7.79029027777778","8.09029027777778","2915","","PI(38:2)+NH4",0,0,"7.79029027777778","8.09029027777778","2915","","PI(38:2)+NH4","908.6224","631.5662","7.79029027777778","8.09029027777778","2915"
"","PI(38:3)+NH4",0,0,"7.08514444444444","7.38514444444444","403","","PI(38:3)+NH4",0,0,"7.08514444444444","7.38514444444444","403","","PI(38:3)+NH4",0,0,"7.08514444444444","7.38514444444444","403","","PI(38:3)+NH4",0,0,"7.08514444444444","7.38514444444444","403","","PI(38:3)+NH4",0,0,"7.08514444444444","7.38514444444444","403","","PI(38:3)+NH4","906.6067","629.5505","7.08514444444444","7.38514444444444","403"
"","PI(38:3)+NH4",0,0,"7.46541805555555","7.76541805555555","1763","","PI(38:3)+NH4",0,0,"7.46541805555555","7.76541805555555","1763","","PI(38:3)+NH4",0,0,"7.46541805555555","7.76541805555555","1763","","PI(38:3)+NH4",0,0,"7.46541805555555","7.76541805555555","1763","","PI(38:3)+NH4",0,0,"7.46541805555555","7.76541805555555","1763","","PI(38:3)+NH4","906.6067","629.5505","7.46541805555555","7.76541805555555","1763"
"","PI(38:4)+NH4",0,1,"6.61006388888889","6.91006388888889","123","","PI(38:4)+NH4",0,6.79098,"6.61006388888889","6.91006388888889","123","","PI(38:4)+NH4",0,1,"6.61006388888889","6.91006388888889","123","","PI(38:4)+NH4",0,12124060,"6.61006388888889","6.91006388888889","123","","PI(38:4)+NH4",0,627.5349,"6.61006388888889","6.91006388888889","123","","PI(38:4)+NH4","904.591","627.5348","6.61006388888889","6.91006388888889","123"
"","PI(38:5)+NH4",0,1,"5.66719861111111","5.96719861111111","1072","","PI(38:5)+NH4",0,5.681646,"5.66719861111111","5.96719861111111","1072","","PI(38:5)+NH4",0,1,"5.66719861111111","5.96719861111111","1072","","PI(38:5)+NH4",0,537383,"5.66719861111111","5.96719861111111","1072","","PI(38:5)+NH4",0,625.5199,"5.66719861111111","5.96719861111111","1072","","PI(38:5)+NH4","902.5754","625.5192","5.66719861111111","5.96719861111111","1072"
"","PI(38:5)+NH4",0,1,"5.50178194444444","5.80178194444444","11283","","PI(38:5)+NH4",0,5.681646,"5.50178194444444","5.80178194444444","11283","","PI(38:5)+NH4",0,1,"5.50178194444444","5.80178194444444","11283","","PI(38:5)+NH4",0,537383,"5.50178194444444","5.80178194444444","11283","","PI(38:5)+NH4",0,625.5199,"5.50178194444444","5.80178194444444","11283","","PI(38:5)+NH4","902.5754","625.5192","5.50178194444444","5.80178194444444","11283"
"","PI(38:6)+NH4",0,1,"5.05591944444444","5.35591944444444","1159","","PI(38:6)+NH4",0,5.241697,"5.05591944444444","5.35591944444444","1159","","PI(38:6)+NH4",0,1,"5.05591944444444","5.35591944444444","1159","","PI(38:6)+NH4",0,859802.4,"5.05591944444444","5.35591944444444","1159","","PI(38:6)+NH4",0,623.5051,"5.05591944444444","5.35591944444444","1159","","PI(38:6)+NH4","900.5597","623.5035","5.05591944444444","5.35591944444444","1159"
"","PI(40:5)+NH4",0,0,"6.6383375","6.9383375","1521","","PI(40:5)+NH4",0,0,"6.6383375","6.9383375","1521","","PI(40:5)+NH4",0,0,"6.6383375","6.9383375","1521","","PI(40:5)+NH4",0,0,"6.6383375","6.9383375","1521","","PI(40:5)+NH4",0,0,"6.6383375","6.9383375","1521","","PI(40:5)+NH4","930.6067","653.5505","6.6383375","6.9383375","1521"
"","PI(40:5)+NH4",0,0,"7.08509305555555","7.38509305555555","2671","","PI(40:5)+NH4",0,0,"7.08509305555555","7.38509305555555","2671","","PI(40:5)+NH4",0,0,"7.08509305555555","7.38509305555555","2671","","PI(40:5)+NH4",0,0,"7.08509305555555","7.38509305555555","2671","","PI(40:5)+NH4",0,0,"7.08509305555555","7.38509305555555","2671","","PI(40:5)+NH4","930.6067","653.5505","7.08509305555555","7.38509305555555","2671"
"","PI(40:6)+NH4",0,0,"6.29671527777778","6.59671527777778","1381","","PI(40:6)+NH4",0,0,"6.29671527777778","6.59671527777778","1381","","PI(40:6)+NH4",0,0,"6.29671527777778","6.59671527777778","1381","","PI(40:6)+NH4",0,0,"6.29671527777778","6.59671527777778","1381","","PI(40:6)+NH4",0,0,"6.29671527777778","6.59671527777778","1381","","PI(40:6)+NH4","928.591","651.5348","6.29671527777778","6.59671527777778","1381"
"","PI(40:6)+NH4",0,0,"5.68146805555555","5.98146805555555","8083","","PI(40:6)+NH4",0,0,"5.68146805555555","5.98146805555555","8083","","PI(40:6)+NH4",0,0,"5.68146805555555","5.98146805555555","8083","","PI(40:6)+NH4",0,0,"5.68146805555555","5.98146805555555","8083","","PI(40:6)+NH4",0,0,"5.68146805555555","5.98146805555555","8083","","PI(40:6)+NH4","928.591","651.5348","5.68146805555555","5.98146805555555","8083"
"","PI(40:7)+NH4",0,0,"5.355","5.655","8197","","PI(40:7)+NH4",0,0,"5.355","5.655","8197","","PI(40:7)+NH4",0,0,"5.355","5.655","8197","","PI(40:7)+NH4",0,0,"5.355","5.655","8197","","PI(40:7)+NH4",0,0,"5.355","5.655","8197","","PI(40:7)+NH4","926.5754","649.5192","5.355","5.655","8197"
"","PI(40:7)+NH4",0,0,"5.1633","5.4633","13584","","PI(40:7)+NH4",0,0,"5.1633","5.4633","13584","","PI(40:7)+NH4",0,0,"5.1633","5.4633","13584","","PI(40:7)+NH4",0,0,"5.1633","5.4633","13584","","PI(40:7)+NH4",0,0,"5.1633","5.4633","13584","","PI(40:7)+NH4","926.5754","649.5192","5.1633","5.4633","13584"
"","PI(42:0)+NH4",0,0,"13.0255666666667","13.3255666666667","9721","","PI(42:0)+NH4",0,0,"13.0255666666667","13.3255666666667","9721","","PI(42:0)+NH4",0,0,"13.0255666666667","13.3255666666667","9721","","PI(42:0)+NH4",0,0,"13.0255666666667","13.3255666666667","9721","","PI(42:0)+NH4",0,0,"13.0255666666667","13.3255666666667","9721","","PI(42:0)+NH4","968.7162","691.66","13.0255666666667","13.3255666666667","9721"
"","PI(44:0)+NH4",0,0,"9.26521666666667","9.56521666666667","8140","","PI(44:0)+NH4",0,0,"9.26521666666667","9.56521666666667","8140","","PI(44:0)+NH4",0,0,"9.26521666666667","9.56521666666667","8140","","PI(44:0)+NH4",0,0,"9.26521666666667","9.56521666666667","8140","","PI(44:0)+NH4",0,0,"9.26521666666667","9.56521666666667","8140","","PI(44:0)+NH4","996.7475","719.6913","9.26521666666667","9.56521666666667","8140"
"","PI(46:3)+NH4",0,0,"1.03820972222222","1.33820972222222","9473","","PI(46:3)+NH4",0,0,"1.03820972222222","1.33820972222222","9473","","PI(46:3)+NH4",0,0,"1.03820972222222","1.33820972222222","9473","","PI(46:3)+NH4",0,0,"1.03820972222222","1.33820972222222","9473","","PI(46:3)+NH4",0,0,"1.03820972222222","1.33820972222222","9473","","PI(46:3)+NH4","1018.7319","741.6757","1.03820972222222","1.33820972222222","9473"
"","PI(48:3)+NH4",0,0,"14.8953763888889","15.1953763888889","13120","","PI(48:3)+NH4",0,0,"14.8953763888889","15.1953763888889","13120","","PI(48:3)+NH4",0,0,"14.8953763888889","15.1953763888889","13120","","PI(48:3)+NH4",0,0,"14.8953763888889","15.1953763888889","13120","","PI(48:3)+NH4",0,0,"14.8953763888889","15.1953763888889","13120","","PI(48:3)+NH4","1046.7632","769.707","14.8953763888889","15.1953763888889","13120"
