"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","DGTS","[M+H]+","C10H21NO5H","C7H14NO2","RT_min","RT_max","Comment","RT at Max Intensity","DGTS","[M+H]+","C10H21NO5H","C7H14NO2","RT_min","RT_max","Comment","Number of Scans","DGTS","[M+H]+","C10H21NO5H","C7H14NO2","RT_min","RT_max","Comment","Max Intensity","DGTS","[M+H]+","C10H21NO5H","C7H14NO2","RT_min","RT_max","Comment","Average m/z","DGTS","[M+H]+","C10H21NO5H","C7H14NO2","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","DGTS","[M+H]+","C10H21NO5H","C7H14NO2","RT_min","RT_max","Comment"
"","DGTS(17:0)+H",0,0,0,"12.4612763888889","12.7612763888889","16334","","DGTS(17:0)+H",0,0,0,"12.4612763888889","12.7612763888889","16334","","DGTS(17:0)+H",0,0,0,"12.4612763888889","12.7612763888889","16334","","DGTS(17:0)+H",0,0,0,"12.4612763888889","12.7612763888889","16334","","DGTS(17:0)+H",0,0,0,"12.4612763888889","12.7612763888889","16334","","DGTS(17:0)+H","502.3738","236.1492","144.1019","12.4612763888889","12.7612763888889","16334"
"","DGTS(17:0)+H",0,0,0,"14.7013597222222","15.0013597222222","17698","","DGTS(17:0)+H",0,0,0,"14.7013597222222","15.0013597222222","17698","","DGTS(17:0)+H",0,0,0,"14.7013597222222","15.0013597222222","17698","","DGTS(17:0)+H",0,0,0,"14.7013597222222","15.0013597222222","17698","","DGTS(17:0)+H",0,0,0,"14.7013597222222","15.0013597222222","17698","","DGTS(17:0)+H","502.3738","236.1492","144.1019","14.7013597222222","15.0013597222222","17698"
"","DGTS(22:4)+H",0,0,0,"6.78462083333333","7.08462083333333","3794","","DGTS(22:4)+H",0,0,0,"6.78462083333333","7.08462083333333","3794","","DGTS(22:4)+H",0,0,0,"6.78462083333333","7.08462083333333","3794","","DGTS(22:4)+H",0,0,0,"6.78462083333333","7.08462083333333","3794","","DGTS(22:4)+H",0,0,0,"6.78462083333333","7.08462083333333","3794","","DGTS(22:4)+H","564.3895","236.1492","144.1019","6.78462083333333","7.08462083333333","3794"
"","DGTS(23:0)+H",0,0,0,"4.90239305555556","5.20239305555556","1884","","DGTS(23:0)+H",0,0,0,"4.90239305555556","5.20239305555556","1884","","DGTS(23:0)+H",0,0,0,"4.90239305555556","5.20239305555556","1884","","DGTS(23:0)+H",0,0,0,"4.90239305555556","5.20239305555556","1884","","DGTS(23:0)+H",0,0,0,"4.90239305555556","5.20239305555556","1884","","DGTS(23:0)+H","586.4677","236.1492","144.1019","4.90239305555556","5.20239305555556","1884"
"","DGTS(24:1)+H",0,0,0,"4.54611805555556","4.84611805555556","6403","","DGTS(24:1)+H",0,0,0,"4.54611805555556","4.84611805555556","6403","","DGTS(24:1)+H",0,0,0,"4.54611805555556","4.84611805555556","6403","","DGTS(24:1)+H",0,0,0,"4.54611805555556","4.84611805555556","6403","","DGTS(24:1)+H",0,0,0,"4.54611805555556","4.84611805555556","6403","","DGTS(24:1)+H","598.4677","236.1492","144.1019","4.54611805555556","4.84611805555556","6403"
"","DGTS(26:0)+H",0,0,0,"1.78905138888889","2.08905138888889","7554","","DGTS(26:0)+H",0,0,0,"1.78905138888889","2.08905138888889","7554","","DGTS(26:0)+H",0,0,0,"1.78905138888889","2.08905138888889","7554","","DGTS(26:0)+H",0,0,0,"1.78905138888889","2.08905138888889","7554","","DGTS(26:0)+H",0,0,0,"1.78905138888889","2.08905138888889","7554","","DGTS(26:0)+H","628.5147","236.1492","144.1019","1.78905138888889","2.08905138888889","7554"
"","DGTS(26:1)+H",0,0,0,"3.98269166666667","4.28269166666667","7545","","DGTS(26:1)+H",0,0,0,"3.98269166666667","4.28269166666667","7545","","DGTS(26:1)+H",0,0,0,"3.98269166666667","4.28269166666667","7545","","DGTS(26:1)+H",0,0,0,"3.98269166666667","4.28269166666667","7545","","DGTS(26:1)+H",0,0,0,"3.98269166666667","4.28269166666667","7545","","DGTS(26:1)+H","626.499","236.1492","144.1019","3.98269166666667","4.28269166666667","7545"
"","DGTS(31:0)+H",0,0,0,"9.158175","9.458175","12004","","DGTS(31:0)+H",0,0,0,"9.158175","9.458175","12004","","DGTS(31:0)+H",0,0,0,"9.158175","9.458175","12004","","DGTS(31:0)+H",0,0,0,"9.158175","9.458175","12004","","DGTS(31:0)+H",0,0,0,"9.158175","9.458175","12004","","DGTS(31:0)+H","698.593","236.1492","144.1019","9.158175","9.458175","12004"
"","DGTS(31:0)+H",0,0,0,"9.15824666666667","9.45824666666667","18058","","DGTS(31:0)+H",0,0,0,"9.15824666666667","9.45824666666667","18058","","DGTS(31:0)+H",0,0,0,"9.15824666666667","9.45824666666667","18058","","DGTS(31:0)+H",0,0,0,"9.15824666666667","9.45824666666667","18058","","DGTS(31:0)+H",0,0,0,"9.15824666666667","9.45824666666667","18058","","DGTS(31:0)+H","698.593","236.1492","144.1019","9.15824666666667","9.45824666666667","18058"
"","DGTS(31:0)+H",0,0,0,"8.63880138888889","8.93880138888889","18630","","DGTS(31:0)+H",0,0,0,"8.63880138888889","8.93880138888889","18630","","DGTS(31:0)+H",0,0,0,"8.63880138888889","8.93880138888889","18630","","DGTS(31:0)+H",0,0,0,"8.63880138888889","8.93880138888889","18630","","DGTS(31:0)+H",0,0,0,"8.63880138888889","8.93880138888889","18630","","DGTS(31:0)+H","698.593","236.1492","144.1019","8.63880138888889","8.93880138888889","18630"
