"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_Sph","[M+H]+","1","2","3","4","5","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_Sph","[M+H]+","1","2","3","4","5","RT_min","RT_max","Comment","Number of Scans","MSDIAL_Sph","[M+H]+","1","2","3","4","5","RT_min","RT_max","Comment","Max Intensity","MSDIAL_Sph","[M+H]+","1","2","3","4","5","RT_min","RT_max","Comment","Average m/z","MSDIAL_Sph","[M+H]+","1","2","3","4","5","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_Sph","[M+H]+","1","2","3","4","5","RT_min","RT_max","Comment"
"","MSDIAL_SPB 14:1;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(N)CO;VDRZDTXJMRRVMF-ZHACJKMWNA-N;C14H29NO2",0,0,0,0,0,0,"0.439566666666667","0.739566666666667","13949","","MSDIAL_SPB 14:1;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(N)CO;VDRZDTXJMRRVMF-ZHACJKMWNA-N;C14H29NO2",0,0,0,0,0,0,"0.439566666666667","0.739566666666667","13949","","MSDIAL_SPB 14:1;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(N)CO;VDRZDTXJMRRVMF-ZHACJKMWNA-N;C14H29NO2",0,0,0,0,0,0,"0.439566666666667","0.739566666666667","13949","","MSDIAL_SPB 14:1;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(N)CO;VDRZDTXJMRRVMF-ZHACJKMWNA-N;C14H29NO2",0,0,0,0,0,0,"0.439566666666667","0.739566666666667","13949","","MSDIAL_SPB 14:1;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(N)CO;VDRZDTXJMRRVMF-ZHACJKMWNA-N;C14H29NO2",0,0,0,0,0,0,"0.439566666666667","0.739566666666667","13949","","MSDIAL_SPB 14:1;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(N)CO;VDRZDTXJMRRVMF-ZHACJKMWNA-N;C14H29NO2","244.22711","226.2165","79.05423","196.2060","208.2060","93.06988","0.439566666666667","0.739566666666667","13949"
"","MSDIAL_SPB 16:1;2O;[M+H]+;CCCCCCCCCCC\C=C\C(O)C(N)CO;BTUSGZZCQZACPT-OUKQBFOZNA-N;C16H33NO2",0,0,0,0,0,0,"0.380963888888889","0.680963888888889","10626","","MSDIAL_SPB 16:1;2O;[M+H]+;CCCCCCCCCCC\C=C\C(O)C(N)CO;BTUSGZZCQZACPT-OUKQBFOZNA-N;C16H33NO2",0,0,0,0,0,0,"0.380963888888889","0.680963888888889","10626","","MSDIAL_SPB 16:1;2O;[M+H]+;CCCCCCCCCCC\C=C\C(O)C(N)CO;BTUSGZZCQZACPT-OUKQBFOZNA-N;C16H33NO2",0,0,0,0,0,0,"0.380963888888889","0.680963888888889","10626","","MSDIAL_SPB 16:1;2O;[M+H]+;CCCCCCCCCCC\C=C\C(O)C(N)CO;BTUSGZZCQZACPT-OUKQBFOZNA-N;C16H33NO2",0,0,0,0,0,0,"0.380963888888889","0.680963888888889","10626","","MSDIAL_SPB 16:1;2O;[M+H]+;CCCCCCCCCCC\C=C\C(O)C(N)CO;BTUSGZZCQZACPT-OUKQBFOZNA-N;C16H33NO2",0,0,0,0,0,0,"0.380963888888889","0.680963888888889","10626","","MSDIAL_SPB 16:1;2O;[M+H]+;CCCCCCCCCCC\C=C\C(O)C(N)CO;BTUSGZZCQZACPT-OUKQBFOZNA-N;C16H33NO2","272.25841","254.2478","79.05423","224.2373","236.2373","93.06988","0.380963888888889","0.680963888888889","10626"
"","MSDIAL_SPB 17:1;2O;[M+H]+;CCCCCCCCCCCC\C=C\C(O)C(N)CO;RBEJCQPPFCKTRZ-BUHFOSPRNA-N;C17H35NO2",0,1,0,0,0,0,"0.424584722222222","0.724584722222222","4788","","MSDIAL_SPB 17:1;2O;[M+H]+;CCCCCCCCCCCC\C=C\C(O)C(N)CO;RBEJCQPPFCKTRZ-BUHFOSPRNA-N;C17H35NO2",0,0.4511071,0,0,0,0,"0.424584722222222","0.724584722222222","4788","","MSDIAL_SPB 17:1;2O;[M+H]+;CCCCCCCCCCCC\C=C\C(O)C(N)CO;RBEJCQPPFCKTRZ-BUHFOSPRNA-N;C17H35NO2",0,1,0,0,0,0,"0.424584722222222","0.724584722222222","4788","","MSDIAL_SPB 17:1;2O;[M+H]+;CCCCCCCCCCCC\C=C\C(O)C(N)CO;RBEJCQPPFCKTRZ-BUHFOSPRNA-N;C17H35NO2",0,2915.593,0,0,0,0,"0.424584722222222","0.724584722222222","4788","","MSDIAL_SPB 17:1;2O;[M+H]+;CCCCCCCCCCCC\C=C\C(O)C(N)CO;RBEJCQPPFCKTRZ-BUHFOSPRNA-N;C17H35NO2",0,268.2643,0,0,0,0,"0.424584722222222","0.724584722222222","4788","","MSDIAL_SPB 17:1;2O;[M+H]+;CCCCCCCCCCCC\C=C\C(O)C(N)CO;RBEJCQPPFCKTRZ-BUHFOSPRNA-N;C17H35NO2","286.27406","268.2635","79.05423","238.2529","250.2529","93.06988","0.424584722222222","0.724584722222222","4788"
"","MSDIAL_SPB 18:1;2O;[M+H]+;CCCCCCCCCCCCC\C=C\C(O)C(N)CO;WWUZIQQURGPMPG-CCEZHUSRNA-N;C18H37NO2",0,0,0,0,0,0,"1.1221625","1.4221625","4563","","MSDIAL_SPB 18:1;2O;[M+H]+;CCCCCCCCCCCCC\C=C\C(O)C(N)CO;WWUZIQQURGPMPG-CCEZHUSRNA-N;C18H37NO2",0,0,0,0,0,0,"1.1221625","1.4221625","4563","","MSDIAL_SPB 18:1;2O;[M+H]+;CCCCCCCCCCCCC\C=C\C(O)C(N)CO;WWUZIQQURGPMPG-CCEZHUSRNA-N;C18H37NO2",0,0,0,0,0,0,"1.1221625","1.4221625","4563","","MSDIAL_SPB 18:1;2O;[M+H]+;CCCCCCCCCCCCC\C=C\C(O)C(N)CO;WWUZIQQURGPMPG-CCEZHUSRNA-N;C18H37NO2",0,0,0,0,0,0,"1.1221625","1.4221625","4563","","MSDIAL_SPB 18:1;2O;[M+H]+;CCCCCCCCCCCCC\C=C\C(O)C(N)CO;WWUZIQQURGPMPG-CCEZHUSRNA-N;C18H37NO2",0,0,0,0,0,0,"1.1221625","1.4221625","4563","","MSDIAL_SPB 18:1;2O;[M+H]+;CCCCCCCCCCCCC\C=C\C(O)C(N)CO;WWUZIQQURGPMPG-CCEZHUSRNA-N;C18H37NO2","300.28971","282.2791","79.05423","252.2686","264.2686","93.06988","1.1221625","1.4221625","4563"
"","MSDIAL_SPB 18:1;2O;[M+H]+;CCCCCCCCCCCCC\C=C\C(O)C(N)CO;WWUZIQQURGPMPG-CCEZHUSRNA-N;C18H37NO2",0,0,0,0,0,0,"0.593506944444444","0.893506944444444","9440","","MSDIAL_SPB 18:1;2O;[M+H]+;CCCCCCCCCCCCC\C=C\C(O)C(N)CO;WWUZIQQURGPMPG-CCEZHUSRNA-N;C18H37NO2",0,0,0,0,0,0,"0.593506944444444","0.893506944444444","9440","","MSDIAL_SPB 18:1;2O;[M+H]+;CCCCCCCCCCCCC\C=C\C(O)C(N)CO;WWUZIQQURGPMPG-CCEZHUSRNA-N;C18H37NO2",0,0,0,0,0,0,"0.593506944444444","0.893506944444444","9440","","MSDIAL_SPB 18:1;2O;[M+H]+;CCCCCCCCCCCCC\C=C\C(O)C(N)CO;WWUZIQQURGPMPG-CCEZHUSRNA-N;C18H37NO2",0,0,0,0,0,0,"0.593506944444444","0.893506944444444","9440","","MSDIAL_SPB 18:1;2O;[M+H]+;CCCCCCCCCCCCC\C=C\C(O)C(N)CO;WWUZIQQURGPMPG-CCEZHUSRNA-N;C18H37NO2",0,0,0,0,0,0,"0.593506944444444","0.893506944444444","9440","","MSDIAL_SPB 18:1;2O;[M+H]+;CCCCCCCCCCCCC\C=C\C(O)C(N)CO;WWUZIQQURGPMPG-CCEZHUSRNA-N;C18H37NO2","300.28971","282.2791","79.05423","252.2686","264.2686","93.06988","0.593506944444444","0.893506944444444","9440"
"","MSDIAL_SPB 19:1;2O;[M+H]+;CCCCCCCCCCCCCC\C=C\C(O)C(N)CO;RYLBRSKITMRIJM-FOCLMDBBNA-N;C19H39NO2",0,0,0,0,0,0,"0.429795833333333","0.729795833333333","5227","","MSDIAL_SPB 19:1;2O;[M+H]+;CCCCCCCCCCCCCC\C=C\C(O)C(N)CO;RYLBRSKITMRIJM-FOCLMDBBNA-N;C19H39NO2",0,0,0,0,0,0,"0.429795833333333","0.729795833333333","5227","","MSDIAL_SPB 19:1;2O;[M+H]+;CCCCCCCCCCCCCC\C=C\C(O)C(N)CO;RYLBRSKITMRIJM-FOCLMDBBNA-N;C19H39NO2",0,0,0,0,0,0,"0.429795833333333","0.729795833333333","5227","","MSDIAL_SPB 19:1;2O;[M+H]+;CCCCCCCCCCCCCC\C=C\C(O)C(N)CO;RYLBRSKITMRIJM-FOCLMDBBNA-N;C19H39NO2",0,0,0,0,0,0,"0.429795833333333","0.729795833333333","5227","","MSDIAL_SPB 19:1;2O;[M+H]+;CCCCCCCCCCCCCC\C=C\C(O)C(N)CO;RYLBRSKITMRIJM-FOCLMDBBNA-N;C19H39NO2",0,0,0,0,0,0,"0.429795833333333","0.729795833333333","5227","","MSDIAL_SPB 19:1;2O;[M+H]+;CCCCCCCCCCCCCC\C=C\C(O)C(N)CO;RYLBRSKITMRIJM-FOCLMDBBNA-N;C19H39NO2","314.30536","296.2948","79.05423","266.2842","278.2842","93.06988","0.429795833333333","0.729795833333333","5227"
"","MSDIAL_SPB 19:1;2O;[M+H]+;CCCCCCCCCCCCCC\C=C\C(O)C(N)CO;RYLBRSKITMRIJM-FOCLMDBBNA-N;C19H39NO2",0,0,0,0,0,0,"1.37455694444444","1.67455694444444","5774","","MSDIAL_SPB 19:1;2O;[M+H]+;CCCCCCCCCCCCCC\C=C\C(O)C(N)CO;RYLBRSKITMRIJM-FOCLMDBBNA-N;C19H39NO2",0,0,0,0,0,0,"1.37455694444444","1.67455694444444","5774","","MSDIAL_SPB 19:1;2O;[M+H]+;CCCCCCCCCCCCCC\C=C\C(O)C(N)CO;RYLBRSKITMRIJM-FOCLMDBBNA-N;C19H39NO2",0,0,0,0,0,0,"1.37455694444444","1.67455694444444","5774","","MSDIAL_SPB 19:1;2O;[M+H]+;CCCCCCCCCCCCCC\C=C\C(O)C(N)CO;RYLBRSKITMRIJM-FOCLMDBBNA-N;C19H39NO2",0,0,0,0,0,0,"1.37455694444444","1.67455694444444","5774","","MSDIAL_SPB 19:1;2O;[M+H]+;CCCCCCCCCCCCCC\C=C\C(O)C(N)CO;RYLBRSKITMRIJM-FOCLMDBBNA-N;C19H39NO2",0,0,0,0,0,0,"1.37455694444444","1.67455694444444","5774","","MSDIAL_SPB 19:1;2O;[M+H]+;CCCCCCCCCCCCCC\C=C\C(O)C(N)CO;RYLBRSKITMRIJM-FOCLMDBBNA-N;C19H39NO2","314.30536","296.2948","79.05423","266.2842","278.2842","93.06988","1.37455694444444","1.67455694444444","5774"
"","MSDIAL_SPB 19:1;2O;[M+H]+;CCCCCCCCCCCCCC\C=C\C(O)C(N)CO;RYLBRSKITMRIJM-FOCLMDBBNA-N;C19H39NO2",0,0,0,0,0,0,"4.95160555555556","5.25160555555556","7670","","MSDIAL_SPB 19:1;2O;[M+H]+;CCCCCCCCCCCCCC\C=C\C(O)C(N)CO;RYLBRSKITMRIJM-FOCLMDBBNA-N;C19H39NO2",0,0,0,0,0,0,"4.95160555555556","5.25160555555556","7670","","MSDIAL_SPB 19:1;2O;[M+H]+;CCCCCCCCCCCCCC\C=C\C(O)C(N)CO;RYLBRSKITMRIJM-FOCLMDBBNA-N;C19H39NO2",0,0,0,0,0,0,"4.95160555555556","5.25160555555556","7670","","MSDIAL_SPB 19:1;2O;[M+H]+;CCCCCCCCCCCCCC\C=C\C(O)C(N)CO;RYLBRSKITMRIJM-FOCLMDBBNA-N;C19H39NO2",0,0,0,0,0,0,"4.95160555555556","5.25160555555556","7670","","MSDIAL_SPB 19:1;2O;[M+H]+;CCCCCCCCCCCCCC\C=C\C(O)C(N)CO;RYLBRSKITMRIJM-FOCLMDBBNA-N;C19H39NO2",0,0,0,0,0,0,"4.95160555555556","5.25160555555556","7670","","MSDIAL_SPB 19:1;2O;[M+H]+;CCCCCCCCCCCCCC\C=C\C(O)C(N)CO;RYLBRSKITMRIJM-FOCLMDBBNA-N;C19H39NO2","314.30536","296.2948","79.05423","266.2842","278.2842","93.06988","4.95160555555556","5.25160555555556","7670"
"","MSDIAL_SPB 19:1;2O;[M+H]+;CCCCCCCCCCCCCC\C=C\C(O)C(N)CO;RYLBRSKITMRIJM-FOCLMDBBNA-N;C19H39NO2",0,0,0,0,0,0,"1.1448","1.4448","7701","","MSDIAL_SPB 19:1;2O;[M+H]+;CCCCCCCCCCCCCC\C=C\C(O)C(N)CO;RYLBRSKITMRIJM-FOCLMDBBNA-N;C19H39NO2",0,0,0,0,0,0,"1.1448","1.4448","7701","","MSDIAL_SPB 19:1;2O;[M+H]+;CCCCCCCCCCCCCC\C=C\C(O)C(N)CO;RYLBRSKITMRIJM-FOCLMDBBNA-N;C19H39NO2",0,0,0,0,0,0,"1.1448","1.4448","7701","","MSDIAL_SPB 19:1;2O;[M+H]+;CCCCCCCCCCCCCC\C=C\C(O)C(N)CO;RYLBRSKITMRIJM-FOCLMDBBNA-N;C19H39NO2",0,0,0,0,0,0,"1.1448","1.4448","7701","","MSDIAL_SPB 19:1;2O;[M+H]+;CCCCCCCCCCCCCC\C=C\C(O)C(N)CO;RYLBRSKITMRIJM-FOCLMDBBNA-N;C19H39NO2",0,0,0,0,0,0,"1.1448","1.4448","7701","","MSDIAL_SPB 19:1;2O;[M+H]+;CCCCCCCCCCCCCC\C=C\C(O)C(N)CO;RYLBRSKITMRIJM-FOCLMDBBNA-N;C19H39NO2","314.30536","296.2948","79.05423","266.2842","278.2842","93.06988","1.1448","1.4448","7701"
"","MSDIAL_SPB 19:1;2O;[M+H]+;CCCCCCCCCCCCCC\C=C\C(O)C(N)CO;RYLBRSKITMRIJM-FOCLMDBBNA-N;C19H39NO2",0,0,0,0,0,0,"1.8170625","2.1170625","8297","","MSDIAL_SPB 19:1;2O;[M+H]+;CCCCCCCCCCCCCC\C=C\C(O)C(N)CO;RYLBRSKITMRIJM-FOCLMDBBNA-N;C19H39NO2",0,0,0,0,0,0,"1.8170625","2.1170625","8297","","MSDIAL_SPB 19:1;2O;[M+H]+;CCCCCCCCCCCCCC\C=C\C(O)C(N)CO;RYLBRSKITMRIJM-FOCLMDBBNA-N;C19H39NO2",0,0,0,0,0,0,"1.8170625","2.1170625","8297","","MSDIAL_SPB 19:1;2O;[M+H]+;CCCCCCCCCCCCCC\C=C\C(O)C(N)CO;RYLBRSKITMRIJM-FOCLMDBBNA-N;C19H39NO2",0,0,0,0,0,0,"1.8170625","2.1170625","8297","","MSDIAL_SPB 19:1;2O;[M+H]+;CCCCCCCCCCCCCC\C=C\C(O)C(N)CO;RYLBRSKITMRIJM-FOCLMDBBNA-N;C19H39NO2",0,0,0,0,0,0,"1.8170625","2.1170625","8297","","MSDIAL_SPB 19:1;2O;[M+H]+;CCCCCCCCCCCCCC\C=C\C(O)C(N)CO;RYLBRSKITMRIJM-FOCLMDBBNA-N;C19H39NO2","314.30536","296.2948","79.05423","266.2842","278.2842","93.06988","1.8170625","2.1170625","8297"
"","MSDIAL_SPB 19:1;2O;[M+H]+;CCCCCCCCCCCCCC\C=C\C(O)C(N)CO;RYLBRSKITMRIJM-FOCLMDBBNA-N;C19H39NO2",0,0,0,0,0,0,"2.66904722222222","2.96904722222222","8447","","MSDIAL_SPB 19:1;2O;[M+H]+;CCCCCCCCCCCCCC\C=C\C(O)C(N)CO;RYLBRSKITMRIJM-FOCLMDBBNA-N;C19H39NO2",0,0,0,0,0,0,"2.66904722222222","2.96904722222222","8447","","MSDIAL_SPB 19:1;2O;[M+H]+;CCCCCCCCCCCCCC\C=C\C(O)C(N)CO;RYLBRSKITMRIJM-FOCLMDBBNA-N;C19H39NO2",0,0,0,0,0,0,"2.66904722222222","2.96904722222222","8447","","MSDIAL_SPB 19:1;2O;[M+H]+;CCCCCCCCCCCCCC\C=C\C(O)C(N)CO;RYLBRSKITMRIJM-FOCLMDBBNA-N;C19H39NO2",0,0,0,0,0,0,"2.66904722222222","2.96904722222222","8447","","MSDIAL_SPB 19:1;2O;[M+H]+;CCCCCCCCCCCCCC\C=C\C(O)C(N)CO;RYLBRSKITMRIJM-FOCLMDBBNA-N;C19H39NO2",0,0,0,0,0,0,"2.66904722222222","2.96904722222222","8447","","MSDIAL_SPB 19:1;2O;[M+H]+;CCCCCCCCCCCCCC\C=C\C(O)C(N)CO;RYLBRSKITMRIJM-FOCLMDBBNA-N;C19H39NO2","314.30536","296.2948","79.05423","266.2842","278.2842","93.06988","2.66904722222222","2.96904722222222","8447"
