"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxTG","[M+NH4]+","NL_R1COOH","NL_R2COOH","NL_R3COOH","RT_min","RT_max","Comment","RT at Max Intensity","OxTG","[M+NH4]+","NL_R1COOH","NL_R2COOH","NL_R3COOH","RT_min","RT_max","Comment","Number of Scans","OxTG","[M+NH4]+","NL_R1COOH","NL_R2COOH","NL_R3COOH","RT_min","RT_max","Comment","Max Intensity","OxTG","[M+NH4]+","NL_R1COOH","NL_R2COOH","NL_R3COOH","RT_min","RT_max","Comment","Average m/z","OxTG","[M+NH4]+","NL_R1COOH","NL_R2COOH","NL_R3COOH","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxTG","[M+NH4]+","NL_R1COOH","NL_R2COOH","NL_R3COOH","RT_min","RT_max","Comment"
"","OxTG(18:1_18:1_14:0(CHO))+NH4","0","1","1","1","12.7495875","13.0495875","15937","","OxTG(18:1_18:1_14:0(CHO))+NH4"," 0.000000","12.795100","12.795100","12.795100","12.7495875","13.0495875","15937","","OxTG(18:1_18:1_14:0(CHO))+NH4","0","2","2","2","12.7495875","13.0495875","15937","","OxTG(18:1_18:1_14:0(CHO))+NH4","     0.000"," 5726.2610"," 5726.2610"," 93736.020","12.7495875","13.0495875","15937","","OxTG(18:1_18:1_14:0(CHO))+NH4","  0.0000","563.4686","563.4686","603.5369","12.7495875","13.0495875","15937","","OxTG(18:1_18:1_14:0(CHO))+NH4","862.7495304","563.4670564","563.4670564","603.5347764","12.7495875","13.0495875","15937"
"","OxTG(18:1_18:1_18:2(OH))+NH4","0","1","1","1","11.7097694444444","12.0097694444444","9205","","OxTG(18:1_18:1_18:2(OH))+NH4"," 0.000000","11.818810","11.818810","11.818810","11.7097694444444","12.0097694444444","9205","","OxTG(18:1_18:1_18:2(OH))+NH4","0","1","1","1","11.7097694444444","12.0097694444444","9205","","OxTG(18:1_18:1_18:2(OH))+NH4","     0.000","12389.7400","12389.7400"," 37244.760","11.7097694444444","12.0097694444444","9205","","OxTG(18:1_18:1_18:2(OH))+NH4","  0.0000","617.5154","617.5154","603.5369","11.7097694444444","12.0097694444444","9205","","OxTG(18:1_18:1_18:2(OH))+NH4","916.7964904","617.5140164","617.5140164","603.5347764","11.7097694444444","12.0097694444444","9205"
"","OxTG(18:1_18:2_18:2(OH))+NH4","0","1","1","1","12.9613541666667","13.2613541666667","881","","OxTG(18:1_18:2_18:2(OH))+NH4"," 0.000000","13.025200","13.025200","13.025200","12.9613541666667","13.2613541666667","881","","OxTG(18:1_18:2_18:2(OH))+NH4","0","1","1","1","12.9613541666667","13.2613541666667","881","","OxTG(18:1_18:2_18:2(OH))+NH4","     0.000"," 5017.7840"," 4163.9160","122151.700","12.9613541666667","13.2613541666667","881","","OxTG(18:1_18:2_18:2(OH))+NH4","  0.0000","615.4996","617.5138","601.5201","12.9613541666667","13.2613541666667","881","","OxTG(18:1_18:2_18:2(OH))+NH4","914.7807904","615.4983164","617.5140164","601.5190764","12.9613541666667","13.2613541666667","881"
"","OxTG(14:0_18:1_18:1(Ke))+NH4","0","1","1","1","12.7495875","13.0495875","15937","","OxTG(14:0_18:1_18:1(Ke))+NH4"," 0.000000","12.912660","12.795100","12.912660","12.7495875","13.0495875","15937","","OxTG(14:0_18:1_18:1(Ke))+NH4","0","1","2","1","12.7495875","13.0495875","15937","","OxTG(14:0_18:1_18:1(Ke))+NH4","     0.000"," 1014.9700"," 5726.2610"," 25206.860","12.7495875","13.0495875","15937","","OxTG(14:0_18:1_18:1(Ke))+NH4","  0.0000","617.5144","563.4686","549.4900","12.7495875","13.0495875","15937","","OxTG(14:0_18:1_18:1(Ke))+NH4","862.7495504","617.5140764","563.4670764","549.4877764","12.7495875","13.0495875","15937"
"","OxTG(14:0_18:2_16:1(OH))+NH4","0","1","1","1","10.5693","10.8693","7124","","OxTG(14:0_18:2_16:1(OH))+NH4"," 0.000000","10.848150","10.848150","10.848150","10.5693","10.8693","7124","","OxTG(14:0_18:2_16:1(OH))+NH4","0","1","1","1","10.5693","10.8693","7124","","OxTG(14:0_18:2_16:1(OH))+NH4","     0.000"," 1031.9360"," 4252.1490","  1127.503","10.5693","10.8693","7124","","OxTG(14:0_18:2_16:1(OH))+NH4","  0.0000","589.4840","537.4529","547.4736","10.5693","10.8693","7124","","OxTG(14:0_18:2_16:1(OH))+NH4","834.7181504","589.4826764","537.4513764","547.4720764","10.5693","10.8693","7124"
"","OxTG(16:0_16:0_18:3(OH))+NH4","0","1","1","1","12.7495875","13.0495875","15937","","OxTG(16:0_16:0_18:3(OH))+NH4"," 0.000000","12.912660","12.912660","12.795100","12.7495875","13.0495875","15937","","OxTG(16:0_16:0_18:3(OH))+NH4","0","2","2","1","12.7495875","13.0495875","15937","","OxTG(16:0_16:0_18:3(OH))+NH4","     0.000"," 5332.6070"," 5332.6070","  1208.032","12.7495875","13.0495875","15937","","OxTG(16:0_16:0_18:3(OH))+NH4","  0.0000","589.4851","589.4851","551.5060","12.7495875","13.0495875","15937","","OxTG(16:0_16:0_18:3(OH))+NH4","862.7494504","589.4826764","589.4826764","551.5033764","12.7495875","13.0495875","15937"
"","OxTG(16:0_16:0_16:1(Ke))+NH4","0","1","1","1","12.647975","12.947975","2259","","OxTG(16:0_16:0_16:1(Ke))+NH4"," 0.000000","12.737800","12.737800","12.737800","12.647975","12.947975","2259","","OxTG(16:0_16:0_16:1(Ke))+NH4","0","1","1","1","12.647975","12.947975","2259","","OxTG(16:0_16:0_16:1(Ke))+NH4","     0.000"," 1309.6150"," 1309.6150","  1018.690","12.647975","12.947975","2259","","OxTG(16:0_16:0_16:1(Ke))+NH4","  0.0000","563.4692","563.4692","551.5057","12.647975","12.947975","2259","","OxTG(16:0_16:0_16:1(Ke))+NH4","836.7338504","563.4670764","563.4670764","551.5033764","12.647975","12.947975","2259"
"","OxTG(16:0_16:0_18:2(Ke))+NH4","0","1","1","1","12.7495875","13.0495875","15937","","OxTG(16:0_16:0_18:2(Ke))+NH4"," 0.000000","12.912660","12.912660","12.795100","12.7495875","13.0495875","15937","","OxTG(16:0_16:0_18:2(Ke))+NH4","0","2","2","1","12.7495875","13.0495875","15937","","OxTG(16:0_16:0_18:2(Ke))+NH4","     0.000"," 5332.6070"," 5332.6070","  1208.032","12.7495875","13.0495875","15937","","OxTG(16:0_16:0_18:2(Ke))+NH4","  0.0000","589.4851","589.4851","551.5060","12.7495875","13.0495875","15937","","OxTG(16:0_16:0_18:2(Ke))+NH4","862.7494504","589.4826764","589.4826764","551.5033764","12.7495875","13.0495875","15937"
"","OxTG(16:0_16:1_18:1(Ke))+NH4","0","1","1","1","12.7495875","13.0495875","15937","","OxTG(16:0_16:1_18:1(Ke))+NH4"," 0.000000","12.912660","12.912660","12.912660","12.7495875","13.0495875","15937","","OxTG(16:0_16:1_18:1(Ke))+NH4","0","2","1","1","12.7495875","13.0495875","15937","","OxTG(16:0_16:1_18:1(Ke))+NH4","     0.000"," 5332.6070"," 1041.2340"," 25206.860","12.7495875","13.0495875","15937","","OxTG(16:0_16:1_18:1(Ke))+NH4","  0.0000","589.4851","591.5004","549.4900","12.7495875","13.0495875","15937","","OxTG(16:0_16:1_18:1(Ke))+NH4","862.7495504","589.4827764","591.4983764","549.4877764","12.7495875","13.0495875","15937"
"","OxTG(16:0_18:1_14:1(OH))+NH4","0","1","1","1","12.647975","12.947975","2259","","OxTG(16:0_18:1_14:1(OH))+NH4"," 0.000000","12.737800","12.737800","12.737800","12.647975","12.947975","2259","","OxTG(16:0_18:1_14:1(OH))+NH4","0","1","1","1","12.647975","12.947975","2259","","OxTG(16:0_18:1_14:1(OH))+NH4","     0.000"," 1309.6150"," 1047.0070"," 53139.560","12.647975","12.947975","2259","","OxTG(16:0_18:1_14:1(OH))+NH4","  0.0000","563.4692","537.4528","577.5206","12.647975","12.947975","2259","","OxTG(16:0_18:1_14:1(OH))+NH4","836.7338504","563.4670764","537.4513764","577.5190764","12.647975","12.947975","2259"
"","OxTG(16:0_18:1_16:1(Ke))+NH4","0","1","1","1","12.7495875","13.0495875","15937","","OxTG(16:0_18:1_16:1(Ke))+NH4"," 0.000000","12.912660","12.795100","12.912660","12.7495875","13.0495875","15937","","OxTG(16:0_18:1_16:1(Ke))+NH4","0","2","2","2","12.7495875","13.0495875","15937","","OxTG(16:0_18:1_16:1(Ke))+NH4","     0.000"," 5332.6070"," 5726.2610"," 18117.910","12.7495875","13.0495875","15937","","OxTG(16:0_18:1_16:1(Ke))+NH4","  0.0000","589.4851","563.4686","577.5213","12.7495875","13.0495875","15937","","OxTG(16:0_18:1_16:1(Ke))+NH4","862.7495504","589.4827764","563.4670764","577.5190764","12.7495875","13.0495875","15937"
"","OxTG(16:0_18:1_18:1(Ke))+NH4","1","1","1","1","11.6719305555556","11.9719305555556","1419","","OxTG(16:0_18:1_18:1(Ke))+NH4","11.824000","11.824000","11.824000","11.824000","11.6719305555556","11.9719305555556","1419","","OxTG(16:0_18:1_18:1(Ke))+NH4","1","1","1","1","11.6719305555556","11.9719305555556","1419","","OxTG(16:0_18:1_18:1(Ke))+NH4","  2363.071","12025.2200","15574.6100"," 89051.770","11.6719305555556","11.9719305555556","1419","","OxTG(16:0_18:1_18:1(Ke))+NH4","890.7828","617.5165","591.5010","577.5210","11.6719305555556","11.9719305555556","1419","","OxTG(16:0_18:1_18:1(Ke))+NH4","890.7808504","617.5140764","591.4983764","577.5190764","11.6719305555556","11.9719305555556","1419"
"","OxTG(16:0_18:1_18:1(Ke))+NH4","0","1","1","1","13.3667013888889","13.6667013888889","2095","","OxTG(16:0_18:1_18:1(Ke))+NH4"," 0.000000","13.450280","13.450280","13.450280","13.3667013888889","13.6667013888889","2095","","OxTG(16:0_18:1_18:1(Ke))+NH4","0","1","1","1","13.3667013888889","13.6667013888889","2095","","OxTG(16:0_18:1_18:1(Ke))+NH4","     0.000"," 3654.4700"," 7051.8270"," 15438.800","13.3667013888889","13.6667013888889","2095","","OxTG(16:0_18:1_18:1(Ke))+NH4","  0.0000","617.5144","591.4992","577.5204","13.3667013888889","13.6667013888889","2095","","OxTG(16:0_18:1_18:1(Ke))+NH4","890.7808504","617.5140764","591.4983764","577.5190764","13.3667013888889","13.6667013888889","2095"
"","OxTG(16:0_18:2_14:1(OH))+NH4","0","1","1","1","10.5693","10.8693","7124","","OxTG(16:0_18:2_14:1(OH))+NH4"," 0.000000","10.848150","10.848150","10.848150","10.5693","10.8693","7124","","OxTG(16:0_18:2_14:1(OH))+NH4","0","1","1","1","10.5693","10.8693","7124","","OxTG(16:0_18:2_14:1(OH))+NH4","     0.000"," 3932.9280"," 4252.1490","  1181.400","10.5693","10.8693","7124","","OxTG(16:0_18:2_14:1(OH))+NH4","  0.0000","561.4532","537.4529","575.5043","10.5693","10.8693","7124","","OxTG(16:0_18:2_14:1(OH))+NH4","834.7181504","561.4513764","537.4513764","575.5033764","10.5693","10.8693","7124"
"","OxTG(16:0_18:2_18:1(OH))+NH4","0","1","1","1","13.3667013888889","13.6667013888889","2095","","OxTG(16:0_18:2_18:1(OH))+NH4"," 0.000000","13.450280","13.450280","13.450280","13.3667013888889","13.6667013888889","2095","","OxTG(16:0_18:2_18:1(OH))+NH4","0","1","1","1","13.3667013888889","13.6667013888889","2095","","OxTG(16:0_18:2_18:1(OH))+NH4","     0.000"," 3654.4700"," 1119.6430"," 27769.580","13.3667013888889","13.6667013888889","2095","","OxTG(16:0_18:2_18:1(OH))+NH4","  0.0000","617.5144","593.5154","575.5043","13.3667013888889","13.6667013888889","2095","","OxTG(16:0_18:2_18:1(OH))+NH4","890.7807504","617.5139764","593.5139764","575.5033764","13.3667013888889","13.6667013888889","2095"
"","OxTG(16:1_16:1_18:1(OH))+NH4","0","1","1","1","12.7495875","13.0495875","15937","","OxTG(16:1_16:1_18:1(OH))+NH4"," 0.000000","12.912660","12.912660","12.912660","12.7495875","13.0495875","15937","","OxTG(16:1_16:1_18:1(OH))+NH4","0","1","1","2","12.7495875","13.0495875","15937","","OxTG(16:1_16:1_18:1(OH))+NH4","     0.000"," 1041.2340"," 1041.2340","  6250.901","12.7495875","13.0495875","15937","","OxTG(16:1_16:1_18:1(OH))+NH4","  0.0000","591.5004","591.5004","547.4739","12.7495875","13.0495875","15937","","OxTG(16:1_16:1_18:1(OH))+NH4","862.7495504","591.4983764","591.4983764","547.4721764","12.7495875","13.0495875","15937"
"","OxTG(16:1_18:0_18:1(Ke))+NH4","1","1","1","1","11.6719305555556","11.9719305555556","1419","","OxTG(16:1_18:0_18:1(Ke))+NH4","11.824000","11.824000","11.824000","11.824000","11.6719305555556","11.9719305555556","1419","","OxTG(16:1_18:0_18:1(Ke))+NH4","1","1","1","1","11.6719305555556","11.9719305555556","1419","","OxTG(16:1_18:0_18:1(Ke))+NH4","  2363.071"," 1463.0670"," 2495.6280"," 89051.770","11.6719305555556","11.9719305555556","1419","","OxTG(16:1_18:0_18:1(Ke))+NH4","890.7828","619.5306","589.4838","577.5210","11.6719305555556","11.9719305555556","1419","","OxTG(16:1_18:0_18:1(Ke))+NH4","890.7808504","619.5296764","589.4827764","577.5190764","11.6719305555556","11.9719305555556","1419"
"","OxTG(16:1_18:1_16:1(OH))+NH4","0","1","1","1","12.7495875","13.0495875","15937","","OxTG(16:1_18:1_16:1(OH))+NH4"," 0.000000","12.912660","12.795100","12.912660","12.7495875","13.0495875","15937","","OxTG(16:1_18:1_16:1(OH))+NH4","0","1","2","2","12.7495875","13.0495875","15937","","OxTG(16:1_18:1_16:1(OH))+NH4","     0.000"," 1041.2340"," 5726.2610","151248.800","12.7495875","13.0495875","15937","","OxTG(16:1_18:1_16:1(OH))+NH4","  0.0000","591.5004","563.4686","575.5054","12.7495875","13.0495875","15937","","OxTG(16:1_18:1_16:1(OH))+NH4","862.7495504","591.4983764","563.4670764","575.5034764","12.7495875","13.0495875","15937"
"","OxTG(16:1_18:1_18:1(OH))+NH4","1","1","1","1","11.6719305555556","11.9719305555556","1419","","OxTG(16:1_18:1_18:1(OH))+NH4","11.824000","11.824000","11.824000","11.824000","11.6719305555556","11.9719305555556","1419","","OxTG(16:1_18:1_18:1(OH))+NH4","1","1","1","1","11.6719305555556","11.9719305555556","1419","","OxTG(16:1_18:1_18:1(OH))+NH4","  2363.071"," 1463.0670","15574.6100"," 44125.820","11.6719305555556","11.9719305555556","1419","","OxTG(16:1_18:1_18:1(OH))+NH4","890.7828","619.5306","591.5010","575.5052","11.6719305555556","11.9719305555556","1419","","OxTG(16:1_18:1_18:1(OH))+NH4","890.7808504","619.5296764","591.4983764","575.5034764","11.6719305555556","11.9719305555556","1419"
"","OxTG(18:0_18:2_18:1(Ke))+NH4","0","1","1","1","11.7097694444444","12.0097694444444","9205","","OxTG(18:0_18:2_18:1(Ke))+NH4"," 0.000000","11.818810","11.818810","11.818810","11.7097694444444","12.0097694444444","9205","","OxTG(18:0_18:2_18:1(Ke))+NH4","0","1","1","1","11.7097694444444","12.0097694444444","9205","","OxTG(18:0_18:2_18:1(Ke))+NH4","     0.000"," 3669.0030"," 7129.6810"," 37244.760","11.7097694444444","12.0097694444444","9205","","OxTG(18:0_18:2_18:1(Ke))+NH4","  0.0000","615.4994","619.5291","603.5369","11.7097694444444","12.0097694444444","9205","","OxTG(18:0_18:2_18:1(Ke))+NH4","916.7964504","615.4983764","619.5296764","603.5346764","11.7097694444444","12.0097694444444","9205"
"","OxTG(18:1_18:1_14:1(OH))+NH4","0","1","1","1","12.7495875","13.0495875","15937","","OxTG(18:1_18:1_14:1(OH))+NH4"," 0.000000","12.795100","12.795100","12.795100","12.7495875","13.0495875","15937","","OxTG(18:1_18:1_14:1(OH))+NH4","0","2","2","2","12.7495875","13.0495875","15937","","OxTG(18:1_18:1_14:1(OH))+NH4","     0.000"," 5726.2610"," 5726.2610"," 93736.020","12.7495875","13.0495875","15937","","OxTG(18:1_18:1_14:1(OH))+NH4","  0.0000","563.4686","563.4686","603.5369","12.7495875","13.0495875","15937","","OxTG(18:1_18:1_14:1(OH))+NH4","862.7495504","563.4670764","563.4670764","603.5347764","12.7495875","13.0495875","15937"
"","OxTG(18:1_18:1_16:1(OH))+NH4","1","1","1","1","11.6719305555556","11.9719305555556","1419","","OxTG(18:1_18:1_16:1(OH))+NH4","11.824000","11.824000","11.824000","11.824000","11.6719305555556","11.9719305555556","1419","","OxTG(18:1_18:1_16:1(OH))+NH4","1","1","1","1","11.6719305555556","11.9719305555556","1419","","OxTG(18:1_18:1_16:1(OH))+NH4","  2363.071","15574.6100","15574.6100"," 10986.950","11.6719305555556","11.9719305555556","1419","","OxTG(18:1_18:1_16:1(OH))+NH4","890.7828","591.5010","591.5010","603.5361","11.6719305555556","11.9719305555556","1419","","OxTG(18:1_18:1_16:1(OH))+NH4","890.7808504","591.4983764","591.4983764","603.5347764","11.6719305555556","11.9719305555556","1419"
"","OxTG(18:1_18:1_16:1(OH))+NH4","0","1","1","1","13.3667013888889","13.6667013888889","2095","","OxTG(18:1_18:1_16:1(OH))+NH4"," 0.000000","13.450280","13.450280","13.450280","13.3667013888889","13.6667013888889","2095","","OxTG(18:1_18:1_16:1(OH))+NH4","0","1","1","1","13.3667013888889","13.6667013888889","2095","","OxTG(18:1_18:1_16:1(OH))+NH4","     0.000"," 7051.8270"," 7051.8270","139117.500","13.3667013888889","13.6667013888889","2095","","OxTG(18:1_18:1_16:1(OH))+NH4","  0.0000","591.4992","591.4992","603.5357","13.3667013888889","13.6667013888889","2095","","OxTG(18:1_18:1_16:1(OH))+NH4","890.7808504","591.4983764","591.4983764","603.5347764","13.3667013888889","13.6667013888889","2095"
"","OxTG(18:1_18:1_18:3(OH))+NH4","0","1","1","1","12.9613541666667","13.2613541666667","881","","OxTG(18:1_18:1_18:3(OH))+NH4"," 0.000000","13.025200","13.025200","13.025200","12.9613541666667","13.2613541666667","881","","OxTG(18:1_18:1_18:3(OH))+NH4","0","1","1","1","12.9613541666667","13.2613541666667","881","","OxTG(18:1_18:1_18:3(OH))+NH4","     0.000"," 5017.7840"," 5017.7840"," 96565.950","12.9613541666667","13.2613541666667","881","","OxTG(18:1_18:1_18:3(OH))+NH4","  0.0000","615.4996","615.4996","603.5358","12.9613541666667","13.2613541666667","881","","OxTG(18:1_18:1_18:3(OH))+NH4","914.7808504","615.4983764","615.4983764","603.5347764","12.9613541666667","13.2613541666667","881"
"","OxTG(18:1_18:1_18:1(Ke))+NH4","0","1","1","1","11.7097694444444","12.0097694444444","9205","","OxTG(18:1_18:1_18:1(Ke))+NH4"," 0.000000","11.818810","11.818810","11.818810","11.7097694444444","12.0097694444444","9205","","OxTG(18:1_18:1_18:1(Ke))+NH4","0","1","1","1","11.7097694444444","12.0097694444444","9205","","OxTG(18:1_18:1_18:1(Ke))+NH4","     0.000","12389.7400","12389.7400"," 37244.760","11.7097694444444","12.0097694444444","9205","","OxTG(18:1_18:1_18:1(Ke))+NH4","  0.0000","617.5154","617.5154","603.5369","11.7097694444444","12.0097694444444","9205","","OxTG(18:1_18:1_18:1(Ke))+NH4","916.7965504","617.5140764","617.5140764","603.5347764","11.7097694444444","12.0097694444444","9205"
