"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer-NS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","RT at Max Intensity","Cer-NS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Number of Scans","Cer-NS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Max Intensity","Cer-NS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Average m/z","Cer-NS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer-NS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment"
"","Cer-NS(d18:1/22:0)+H","0","1","1","1","1","1","1","10.4325819444444","10.7325819444444","365","","Cer-NS(d18:1/22:0)+H","10.61602","10.616020","10.616020","10.616020","10.616020","10.616020","10.616020","10.4325819444444","10.7325819444444","365","","Cer-NS(d18:1/22:0)+H","1","1","1","1","1","1","1","10.4325819444444","10.7325819444444","365","","Cer-NS(d18:1/22:0)+H","    743.6637"," 724078.8000","166113.50"," 219439.1000","1.576193e+06"," 33532.5400","127138.4000","10.4325819444444","10.7325819444444","365","","Cer-NS(d18:1/22:0)+H","622.6155","604.6035","586.5930","282.2794","264.2688","340.3577","252.2688","10.4325819444444","10.7325819444444","365","","Cer-NS(d18:1/22:0)+H","622.6133","604.6027","586.5921","282.2791","264.2686","340.3574","252.2686","10.4325819444444","10.7325819444444","365"
"","Cer-NS(d18:1/22:1)+H","0","1","1","1","1","0","1","9.54950555555556","9.84950555555556","1092","","Cer-NS(d18:1/22:1)+H"," 0.00000"," 9.723732"," 9.723732"," 9.723732"," 9.723732"," 0.000000"," 9.723732","9.54950555555556","9.84950555555556","1092","","Cer-NS(d18:1/22:1)+H","0","1","1","1","1","0","1","9.54950555555556","9.84950555555556","1092","","Cer-NS(d18:1/22:1)+H","      0.0000"," 145523.6000"," 35235.78","   3532.6110","2.686528e+04","     0.0000","  2096.1310","9.54950555555556","9.84950555555556","1092","","Cer-NS(d18:1/22:1)+H","  0.0000","602.5880","584.5775","282.2792","264.2689","  0.0000","252.2687","9.54950555555556","9.84950555555556","1092","","Cer-NS(d18:1/22:1)+H","620.5976","602.587","584.5765","282.2791","264.2686","338.3417","252.2686","9.54950555555556","9.84950555555556","1092"
"","Cer-NS(d18:1/23:0)+H","1","1","1","1","1","1","1","10.8764486111111","11.1764486111111","438","","Cer-NS(d18:1/23:0)+H","10.98649","10.986490","10.986490","10.986490","10.986490","10.986490","10.986490","10.8764486111111","11.1764486111111","438","","Cer-NS(d18:1/23:0)+H","1","2","2","2","2","2","2","10.8764486111111","11.1764486111111","438","","Cer-NS(d18:1/23:0)+H","   2483.6190"," 413020.9000"," 93169.66"," 138723.9000","9.682023e+05"," 22472.7400"," 81668.1600","10.8764486111111","11.1764486111111","438","","Cer-NS(d18:1/23:0)+H","636.6304","618.6199","600.6092","282.2797","264.2690","354.3737","252.2690","10.8764486111111","11.1764486111111","438","","Cer-NS(d18:1/23:0)+H","636.6289","618.6183","600.6078","282.2791","264.2686","354.373","252.2686","10.8764486111111","11.1764486111111","438"
"","Cer-NS(d18:1/23:1)+H","0","1","1","1","1","0","1","10.0310402777778","10.3310402777778","1142","","Cer-NS(d18:1/23:1)+H"," 0.00000","10.200270","10.200270","10.200270","10.200270"," 0.000000","10.200270","10.0310402777778","10.3310402777778","1142","","Cer-NS(d18:1/23:1)+H","0","1","1","1","1","0","1","10.0310402777778","10.3310402777778","1142","","Cer-NS(d18:1/23:1)+H","      0.0000"," 170842.6000"," 38676.83","   1955.7100","1.429344e+04","     0.0000","  1646.1630","10.0310402777778","10.3310402777778","1142","","Cer-NS(d18:1/23:1)+H","  0.0000","616.6035","598.5928","282.2797","264.2687","  0.0000","252.2686","10.0310402777778","10.3310402777778","1142","","Cer-NS(d18:1/23:1)+H","634.6133","616.6027","598.5921","282.2791","264.2686","352.3574","252.2686","10.0310402777778","10.3310402777778","1142"
"","Cer-NS(d18:1/24:0)+H","1","1","1","1","1","1","1","11.3082560606061","11.6082560606061","148","","Cer-NS(d18:1/24:0)+H","11.44406","11.444060","11.444060","11.444060","11.444060","11.444060","11.444060","11.3082560606061","11.6082560606061","148","","Cer-NS(d18:1/24:0)+H","3","3","3","3","3","3","3","11.3082560606061","11.6082560606061","148","","Cer-NS(d18:1/24:0)+H","  15923.2200","2796524.0000","620834.20","1510326.0000","1.032787e+07","193110.1000","917189.8000","11.3082560606061","11.6082560606061","148","","Cer-NS(d18:1/24:0)+H","650.6451","632.6350","614.6246","282.2794","264.2689","368.3893","252.2689","11.3082560606061","11.6082560606061","148","","Cer-NS(d18:1/24:0)+H","650.6446","632.634","614.6234","282.2791","264.2686","368.3887","252.2686","11.3082560606061","11.6082560606061","148"
"","Cer-NS(d18:1/24:0)+H","0","1","1","1","1","1","1","11.140325","11.440325","1404","","Cer-NS(d18:1/24:0)+H","11.31532","11.315320","11.315320","11.315320","11.315320","11.315320","11.315320","11.140325","11.440325","1404","","Cer-NS(d18:1/24:0)+H","1","1","1","1","1","1","1","11.140325","11.440325","1404","","Cer-NS(d18:1/24:0)+H","    734.6305"," 227217.7000"," 49396.18","  61433.3100","4.320394e+05","  8962.2290"," 31911.0300","11.140325","11.440325","1404","","Cer-NS(d18:1/24:0)+H","650.6444","632.6354","614.6249","282.2796","264.2690","368.3895","252.2690","11.140325","11.440325","1404","","Cer-NS(d18:1/24:0)+H","650.6446","632.634","614.6234","282.2791","264.2686","368.3887","252.2686","11.140325","11.440325","1404"
"","Cer-NS(d18:1/24:1)+H","0","1","1","1","1","1","1","10.3596444444444","10.6596444444444","494","","Cer-NS(d18:1/24:1)+H"," 0.00000","10.460250","10.460250","10.460250","10.460250","10.460250","10.460250","10.3596444444444","10.6596444444444","494","","Cer-NS(d18:1/24:1)+H","0","2","2","2","2","2","2","10.3596444444444","10.6596444444444","494","","Cer-NS(d18:1/24:1)+H","      0.0000"," 334557.6000"," 90379.96"," 128877.1000","9.347331e+05","  7925.9210"," 73819.1100","10.3596444444444","10.6596444444444","494","","Cer-NS(d18:1/24:1)+H","  0.0000","630.6192","612.6087","282.2794","264.2688","366.3736","252.2688","10.3596444444444","10.6596444444444","494","","Cer-NS(d18:1/24:1)+H","648.6289","630.6183","612.6078","282.2791","264.2686","366.373","252.2686","10.3596444444444","10.6596444444444","494"
"","Cer-NS(d18:1/24:1)+H","0","1","1","1","1","1","1","10.2047847222222","10.5047847222222","4758","","Cer-NS(d18:1/24:1)+H"," 0.00000","10.460250","10.460250","10.460250","10.460250","10.460250","10.460250","10.2047847222222","10.5047847222222","4758","","Cer-NS(d18:1/24:1)+H","0","1","1","1","1","1","1","10.2047847222222","10.5047847222222","4758","","Cer-NS(d18:1/24:1)+H","      0.0000"," 334557.6000"," 90379.96"," 128877.1000","9.347331e+05","  7925.9210"," 73819.1100","10.2047847222222","10.5047847222222","4758","","Cer-NS(d18:1/24:1)+H","  0.0000","630.6191","612.6087","282.2794","264.2688","366.3735","252.2688","10.2047847222222","10.5047847222222","4758","","Cer-NS(d18:1/24:1)+H","648.6289","630.6183","612.6078","282.2791","264.2686","366.373","252.2686","10.2047847222222","10.5047847222222","4758"
"","Cer-NS(d18:1/24:1)+H","1","1","1","1","1","1","1","10.4972958333333","10.7972958333333","9098","","Cer-NS(d18:1/24:1)+H","10.70582","10.705820","10.705820","10.579110","10.579110","10.579110","10.579110","10.4972958333333","10.7972958333333","9098","","Cer-NS(d18:1/24:1)+H","1","2","2","2","2","2","2","10.4972958333333","10.7972958333333","9098","","Cer-NS(d18:1/24:1)+H","   1106.1670"," 394643.0000"," 84226.80","  59220.7800","4.379805e+05","  3576.9990"," 35616.1600","10.4972958333333","10.7972958333333","9098","","Cer-NS(d18:1/24:1)+H","648.6307","630.6197","612.6091","282.2795","264.2690","366.3741","252.2690","10.4972958333333","10.7972958333333","9098","","Cer-NS(d18:1/24:1)+H","648.6289","630.6183","612.6078","282.2791","264.2686","366.373","252.2686","10.4972958333333","10.7972958333333","9098"
"","Cer-NS(d18:1/24:2)+H","0","1","1","1","1","0","1","9.4889875","9.7889875","1340","","Cer-NS(d18:1/24:2)+H"," 0.00000"," 9.655471"," 9.655471"," 9.655471"," 9.655471"," 0.000000"," 9.655471","9.4889875","9.7889875","1340","","Cer-NS(d18:1/24:2)+H","0","1","1","1","1","0","1","9.4889875","9.7889875","1340","","Cer-NS(d18:1/24:2)+H","      0.0000"," 136597.3000"," 35508.75","  17368.9100","1.255879e+05","     0.0000","  8181.0700","9.4889875","9.7889875","1340","","Cer-NS(d18:1/24:2)+H","  0.0000","628.6038","610.5933","282.2794","264.2689","  0.0000","252.2689","9.4889875","9.7889875","1340","","Cer-NS(d18:1/24:2)+H","646.6133","628.6027","610.5921","282.2791","264.2686","364.3574","252.2686","9.4889875","9.7889875","1340"
