"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PEG","[M+?]+","fragment 1","fragment 2","RT_min","RT_max","Comment","RT at Max Intensity","PEG","[M+?]+","fragment 1","fragment 2","RT_min","RT_max","Comment","Number of Scans","PEG","[M+?]+","fragment 1","fragment 2","RT_min","RT_max","Comment","Max Intensity","PEG","[M+?]+","fragment 1","fragment 2","RT_min","RT_max","Comment","Average m/z","PEG","[M+?]+","fragment 1","fragment 2","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PEG","[M+?]+","fragment 1","fragment 2","RT_min","RT_max","Comment"
"","PEG(n=3_NH4+_CH2=4_DBE=6_(1-NH3))","0","1","1","0.17195","0.47195","2119","","PEG(n=3_NH4+_CH2=4_DBE=6_(1-NH3))"," 0.0000000"," 0.3172959"," 0.3172959","0.17195","0.47195","2119","","PEG(n=3_NH4+_CH2=4_DBE=6_(1-NH3))","0","2","2","0.17195","0.47195","2119","","PEG(n=3_NH4+_CH2=4_DBE=6_(1-NH3))","0.000000e+00","131315.0000","93028.3200","0.17195","0.47195","2119","","PEG(n=3_NH4+_CH2=4_DBE=6_(1-NH3))","   0.0000","89.05980","133.0861","0.17195","0.47195","2119","","PEG(n=3_NH4+_CH2=4_DBE=6_(1-NH3))","212.116","89.0602","133.0859","0.17195","0.47195","2119"
"","PEG(n=3_NH4+_CH2=4_DBE=6_(1-NH3))","0","1","1","0.083066666666667","0.383066666666667","4591","","PEG(n=3_NH4+_CH2=4_DBE=6_(1-NH3))"," 0.0000000"," 0.3172959"," 0.3172959","0.083066666666667","0.383066666666667","4591","","PEG(n=3_NH4+_CH2=4_DBE=6_(1-NH3))","0","2","2","0.083066666666667","0.383066666666667","4591","","PEG(n=3_NH4+_CH2=4_DBE=6_(1-NH3))","0.000000e+00","131315.0000","93028.3200","0.083066666666667","0.383066666666667","4591","","PEG(n=3_NH4+_CH2=4_DBE=6_(1-NH3))","   0.0000","89.05980","133.0861","0.083066666666667","0.383066666666667","4591","","PEG(n=3_NH4+_CH2=4_DBE=6_(1-NH3))","212.116","89.0602","133.0859","0.083066666666667","0.383066666666667","4591"
"","PEG(n=3_NH4+_CH2=4_DBE=6_(1-NH3))","0","1","1","-0.045166666666667","0.254833333333333","14426","","PEG(n=3_NH4+_CH2=4_DBE=6_(1-NH3))"," 0.0000000"," 0.1774910"," 0.1774910","-0.045166666666667","0.254833333333333","14426","","PEG(n=3_NH4+_CH2=4_DBE=6_(1-NH3))","0","1","1","-0.045166666666667","0.254833333333333","14426","","PEG(n=3_NH4+_CH2=4_DBE=6_(1-NH3))","0.000000e+00"," 16079.1700","10936.8700","-0.045166666666667","0.254833333333333","14426","","PEG(n=3_NH4+_CH2=4_DBE=6_(1-NH3))","   0.0000","89.05980","133.0861","-0.045166666666667","0.254833333333333","14426","","PEG(n=3_NH4+_CH2=4_DBE=6_(1-NH3))","212.116","89.0602","133.0859","-0.045166666666667","0.254833333333333","14426"
"","PEG(n=3_NH4+_CH2=6_DBE=0_(3-OH))","0","1","1","0.3690875","0.6690875","7273","","PEG(n=3_NH4+_CH2=6_DBE=0_(3-OH))"," 0.0000000"," 0.5112822"," 0.3759503","0.3690875","0.6690875","7273","","PEG(n=3_NH4+_CH2=6_DBE=0_(3-OH))","0","1","2","0.3690875","0.6690875","7273","","PEG(n=3_NH4+_CH2=6_DBE=0_(3-OH))","0.000000e+00","  5511.8060","25090.8400","0.3690875","0.6690875","7273","","PEG(n=3_NH4+_CH2=6_DBE=0_(3-OH))","   0.0000","89.05977","133.0860","0.3690875","0.6690875","7273","","PEG(n=3_NH4+_CH2=6_DBE=0_(3-OH))","300.202","89.0602","133.0859","0.3690875","0.6690875","7273"
"","PEG(n=3_NH4+_CH2=10_DBE=4_)","1","1","1","0.322535","0.622535","16055","","PEG(n=3_NH4+_CH2=10_DBE=4_)"," 0.3759503"," 0.5112822"," 0.3759503","0.322535","0.622535","16055","","PEG(n=3_NH4+_CH2=10_DBE=4_)","2","1","2","0.322535","0.622535","16055","","PEG(n=3_NH4+_CH2=10_DBE=4_)","1.325338e+04","  5511.8060","25090.8400","0.322535","0.622535","16055","","PEG(n=3_NH4+_CH2=10_DBE=4_)"," 300.2170","89.05977","133.0860","0.322535","0.622535","16055","","PEG(n=3_NH4+_CH2=10_DBE=4_)","300.217","89.0602","133.0859","0.322535","0.622535","16055"
"","PEG(n=3_Na+_CH2=9_DBE=0_(2=O))","1","1","1","0.240601515151515","0.540601515151515","9361","","PEG(n=3_Na+_CH2=9_DBE=0_(2=O))"," 0.3121561"," 0.3121561"," 0.3121561","0.240601515151515","0.540601515151515","9361","","PEG(n=3_Na+_CH2=9_DBE=0_(2=O))","1","1","1","0.240601515151515","0.540601515151515","9361","","PEG(n=3_Na+_CH2=9_DBE=0_(2=O))","4.241893e+04"," 43592.8400","42843.5200","0.240601515151515","0.540601515151515","9361","","PEG(n=3_Na+_CH2=9_DBE=0_(2=O))"," 327.1781","89.05981","133.0861","0.240601515151515","0.540601515151515","9361","","PEG(n=3_Na+_CH2=9_DBE=0_(2=O))","327.178","89.0602","133.0859","0.240601515151515","0.540601515151515","9361"
"","PEG(n=3_H+_CH2=11_DBE=3_(2=O))","0","1","1","0.240601515151515","0.540601515151515","9361","","PEG(n=3_H+_CH2=11_DBE=3_(2=O))"," 0.0000000"," 0.3121561"," 0.3121561","0.240601515151515","0.540601515151515","9361","","PEG(n=3_H+_CH2=11_DBE=3_(2=O))","0","1","1","0.240601515151515","0.540601515151515","9361","","PEG(n=3_H+_CH2=11_DBE=3_(2=O))","0.000000e+00"," 43592.8400","42843.5200","0.240601515151515","0.540601515151515","9361","","PEG(n=3_H+_CH2=11_DBE=3_(2=O))","   0.0000","89.05981","133.0861","0.240601515151515","0.540601515151515","9361","","PEG(n=3_H+_CH2=11_DBE=3_(2=O))","327.180","89.0602","133.0859","0.240601515151515","0.540601515151515","9361"
"","PEG(n=3_Na+_CH2=10_DBE=0_(1=O))","0","1","1","0.299993939393939","0.599993939393939","10193","","PEG(n=3_Na+_CH2=10_DBE=0_(1=O))"," 0.0000000"," 0.3121561"," 0.3121561","0.299993939393939","0.599993939393939","10193","","PEG(n=3_Na+_CH2=10_DBE=0_(1=O))","0","1","1","0.299993939393939","0.599993939393939","10193","","PEG(n=3_Na+_CH2=10_DBE=0_(1=O))","0.000000e+00"," 43592.8400","42843.5200","0.299993939393939","0.599993939393939","10193","","PEG(n=3_Na+_CH2=10_DBE=0_(1=O))","   0.0000","89.05981","133.0861","0.299993939393939","0.599993939393939","10193","","PEG(n=3_Na+_CH2=10_DBE=0_(1=O))","327.214","89.0602","133.0859","0.299993939393939","0.599993939393939","10193"
"","PEG(n=4_H+_CH2=10_DBE=4_)","0","1","1","0.299993939393939","0.599993939393939","10193","","PEG(n=4_H+_CH2=10_DBE=4_)"," 0.0000000"," 0.3121561"," 0.3121561","0.299993939393939","0.599993939393939","10193","","PEG(n=4_H+_CH2=10_DBE=4_)","0","1","1","0.299993939393939","0.599993939393939","10193","","PEG(n=4_H+_CH2=10_DBE=4_)","0.000000e+00"," 43592.8400","42843.5200","0.299993939393939","0.599993939393939","10193","","PEG(n=4_H+_CH2=10_DBE=4_)","   0.0000","89.05981","133.0861","0.299993939393939","0.599993939393939","10193","","PEG(n=4_H+_CH2=10_DBE=4_)","327.216","89.0602","133.0859","0.299993939393939","0.599993939393939","10193"
"","PEG(n=3_Na+_CH2=9_DBE=1_(2-OH))","1","1","1","0.208216666666667","0.508216666666667","11314","","PEG(n=3_Na+_CH2=9_DBE=1_(2-OH))"," 0.3017390"," 0.3017390"," 0.3017390","0.208216666666667","0.508216666666667","11314","","PEG(n=3_Na+_CH2=9_DBE=1_(2-OH))","1","1","1","0.208216666666667","0.508216666666667","11314","","PEG(n=3_Na+_CH2=9_DBE=1_(2-OH))","3.416652e+03","  8284.2890"," 4697.1620","0.208216666666667","0.508216666666667","11314","","PEG(n=3_Na+_CH2=9_DBE=1_(2-OH))"," 329.1942","89.05998","133.0863","0.208216666666667","0.508216666666667","11314","","PEG(n=3_Na+_CH2=9_DBE=1_(2-OH))","329.194","89.0602","133.0859","0.208216666666667","0.508216666666667","11314"
"","PEG(n=5_NH4+_CH2=7_DBE=2_(3-OH))","0","1","1","0.2108","0.5108","11260","","PEG(n=5_NH4+_CH2=7_DBE=2_(3-OH))"," 0.0000000"," 0.4763662"," 0.4763662","0.2108","0.5108","11260","","PEG(n=5_NH4+_CH2=7_DBE=2_(3-OH))","0","1","1","0.2108","0.5108","11260","","PEG(n=5_NH4+_CH2=7_DBE=2_(3-OH))","0.000000e+00","  2634.8700"," 2867.0480","0.2108","0.5108","11260","","PEG(n=5_NH4+_CH2=7_DBE=2_(3-OH))","   0.0000","89.05979","133.0860","0.2108","0.5108","11260","","PEG(n=5_NH4+_CH2=7_DBE=2_(3-OH))","398.239","89.0602","133.0859","0.2108","0.5108","11260"
