"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxCL","[M-2H]2-","Prec-SN1_monolyso2-","Prec-SN1+SN2_dilyso2-","Prec-SN3_monolyso2-","Prec-SN3+SN4_dilyso2-","SN1+C3H6PO4","SN2+C3H6PO4","SN3+C3H6PO4","SN4+C3H6PO4","SN1_FA","SN2_FA","SN3_FA","SN4_FA","RT_min","RT_max","Comment","RT at Max Intensity","OxCL","[M-2H]2-","Prec-SN1_monolyso2-","Prec-SN1+SN2_dilyso2-","Prec-SN3_monolyso2-","Prec-SN3+SN4_dilyso2-","SN1+C3H6PO4","SN2+C3H6PO4","SN3+C3H6PO4","SN4+C3H6PO4","SN1_FA","SN2_FA","SN3_FA","SN4_FA","RT_min","RT_max","Comment","Number of Scans","OxCL","[M-2H]2-","Prec-SN1_monolyso2-","Prec-SN1+SN2_dilyso2-","Prec-SN3_monolyso2-","Prec-SN3+SN4_dilyso2-","SN1+C3H6PO4","SN2+C3H6PO4","SN3+C3H6PO4","SN4+C3H6PO4","SN1_FA","SN2_FA","SN3_FA","SN4_FA","RT_min","RT_max","Comment","Max Intensity","OxCL","[M-2H]2-","Prec-SN1_monolyso2-","Prec-SN1+SN2_dilyso2-","Prec-SN3_monolyso2-","Prec-SN3+SN4_dilyso2-","SN1+C3H6PO4","SN2+C3H6PO4","SN3+C3H6PO4","SN4+C3H6PO4","SN1_FA","SN2_FA","SN3_FA","SN4_FA","RT_min","RT_max","Comment","Average m/z","OxCL","[M-2H]2-","Prec-SN1_monolyso2-","Prec-SN1+SN2_dilyso2-","Prec-SN3_monolyso2-","Prec-SN3+SN4_dilyso2-","SN1+C3H6PO4","SN2+C3H6PO4","SN3+C3H6PO4","SN4+C3H6PO4","SN1_FA","SN2_FA","SN3_FA","SN4_FA","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxCL","[M-2H]2-","Prec-SN1_monolyso2-","Prec-SN1+SN2_dilyso2-","Prec-SN3_monolyso2-","Prec-SN3+SN4_dilyso2-","SN1+C3H6PO4","SN2+C3H6PO4","SN3+C3H6PO4","SN4+C3H6PO4","SN1_FA","SN2_FA","SN3_FA","SN4_FA","RT_min","RT_max","Comment"
"","OxCL(16:0_16:1_16:1_22:3(OH))-2H",1,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:1_16:1_22:3(OH))-2H",5.740896,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:1_16:1_22:3(OH))-2H",1,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:1_16:1_22:3(OH))-2H",182553.7,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:1_16:1_22:3(OH))-2H",720.4832,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:1_16:1_22:3(OH))-2H","720.4841","601.369925","483.262995","602.377755","436.242045","391.2254","389.20974","389.20974","485.2673","255.23281","253.21715","253.21715","349.27471","5.56829242424242","5.86829242424242","190"
"","OxCL(16:0_16:1_16:1(OH)_22:5(OOH)2)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.23709393939394","4.53709393939394","1287","","OxCL(16:0_16:1_16:1(OH)_22:5(OOH)2)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.23709393939394","4.53709393939394","1287","","OxCL(16:0_16:1_16:1(OH)_22:5(OOH)2)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.23709393939394","4.53709393939394","1287","","OxCL(16:0_16:1_16:1(OH)_22:5(OOH)2)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.23709393939394","4.53709393939394","1287","","OxCL(16:0_16:1_16:1(OH)_22:5(OOH)2)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.23709393939394","4.53709393939394","1287","","OxCL(16:0_16:1_16:1(OH)_22:5(OOH)2)-2H","750.45828","631.344105","513.237175","624.354475","436.242045","391.2254","389.20974","405.20466","493.1996","255.23281","253.21715","269.21207","357.20701","4.23709393939394","4.53709393939394","1287"
"","OxCL(16:0_16:1_18:1_20:3(OH))-2H",1,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:1_18:1_20:3(OH))-2H",5.740896,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:1_18:1_20:3(OH))-2H",1,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:1_18:1_20:3(OH))-2H",182553.7,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:1_18:1_20:3(OH))-2H",720.4832,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:1_18:1_20:3(OH))-2H","720.4841","601.369925","483.262995","588.362095","436.242045","391.2254","389.20974","417.24106","457.23598","255.23281","253.21715","281.24847","321.24339","5.56829242424242","5.86829242424242","190"
"","OxCL(16:0_16:1_18:1(OH)_20:1)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.52922272727273","4.82922272727273","1173","","OxCL(16:0_16:1_18:1(OH)_20:1)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.52922272727273","4.82922272727273","1173","","OxCL(16:0_16:1_18:1(OH)_20:1)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.52922272727273","4.82922272727273","1173","","OxCL(16:0_16:1_18:1(OH)_20:1)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.52922272727273","4.82922272727273","1173","","OxCL(16:0_16:1_18:1(OH)_20:1)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.52922272727273","4.82922272727273","1173","","OxCL(16:0_16:1_18:1(OH)_20:1)-2H","722.49976","603.385585","485.278655","582.380295","436.242045","391.2254","389.20974","433.23598","445.27238","255.23281","253.21715","297.24339","309.27979","4.52922272727273","4.82922272727273","1173"
"","OxCL(16:0_16:1_18:1(OH)_20:3)-2H",1,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:1_18:1(OH)_20:3)-2H",5.740896,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:1_18:1(OH)_20:3)-2H",1,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:1_18:1(OH)_20:3)-2H",182553.7,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:1_18:1(OH)_20:3)-2H",720.4832,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:1_18:1(OH)_20:3)-2H","720.4841","601.369925","483.262995","580.364635","436.242045","391.2254","389.20974","433.23598","441.24106","255.23281","253.21715","297.24339","305.24847","5.56829242424242","5.86829242424242","190"
"","OxCL(16:0_16:1_18:2(OH)_20:4(OOH)2)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.23709393939394","4.53709393939394","1287","","OxCL(16:0_16:1_18:2(OH)_20:4(OOH)2)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.23709393939394","4.53709393939394","1287","","OxCL(16:0_16:1_18:2(OH)_20:4(OOH)2)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.23709393939394","4.53709393939394","1287","","OxCL(16:0_16:1_18:2(OH)_20:4(OOH)2)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.23709393939394","4.53709393939394","1287","","OxCL(16:0_16:1_18:2(OH)_20:4(OOH)2)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.23709393939394","4.53709393939394","1287","","OxCL(16:0_16:1_18:2(OH)_20:4(OOH)2)-2H","750.45828","631.344105","513.237175","611.346645","436.242045","391.2254","389.20974","431.22032","467.18394","255.23281","253.21715","295.22773","331.19135","4.23709393939394","4.53709393939394","1287"
"","OxCL(16:0_16:1_18:2(OOH)2_20:4(OH))-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.23709393939394","4.53709393939394","1287","","OxCL(16:0_16:1_18:2(OOH)2_20:4(OH))-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.23709393939394","4.53709393939394","1287","","OxCL(16:0_16:1_18:2(OOH)2_20:4(OH))-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.23709393939394","4.53709393939394","1287","","OxCL(16:0_16:1_18:2(OOH)2_20:4(OH))-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.23709393939394","4.53709393939394","1287","","OxCL(16:0_16:1_18:2(OOH)2_20:4(OH))-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.23709393939394","4.53709393939394","1287","","OxCL(16:0_16:1_18:2(OOH)2_20:4(OH))-2H","750.45828","631.344105","513.237175","587.354265","436.242045","391.2254","389.20974","443.18394","455.22032","255.23281","253.21715","307.19135","319.22773","4.23709393939394","4.53709393939394","1287"
"","OxCL(16:0_16:1_18:3(OH)_18:3(OOH)2)-2H",1,0,0,0,0,0,0,0,0,0,0,0,0,"3.77912272727273","4.07912272727273","310","","OxCL(16:0_16:1_18:3(OH)_18:3(OOH)2)-2H",3.969057,0,0,0,0,0,0,0,0,0,0,0,0,"3.77912272727273","4.07912272727273","310","","OxCL(16:0_16:1_18:3(OH)_18:3(OOH)2)-2H",1,0,0,0,0,0,0,0,0,0,0,0,0,"3.77912272727273","4.07912272727273","310","","OxCL(16:0_16:1_18:3(OH)_18:3(OOH)2)-2H",11127.61,0,0,0,0,0,0,0,0,0,0,0,0,"3.77912272727273","4.07912272727273","310","","OxCL(16:0_16:1_18:3(OH)_18:3(OOH)2)-2H",736.4424,0,0,0,0,0,0,0,0,0,0,0,0,"3.77912272727273","4.07912272727273","310","","OxCL(16:0_16:1_18:3(OH)_18:3(OOH)2)-2H","736.44262","617.328445","499.221515","598.338815","436.242045","391.2254","389.20974","429.20466","441.16828","255.23281","253.21715","293.21207","305.17569","3.77912272727273","4.07912272727273","310"
"","OxCL(16:0_16:1_18:3(OH)_20:1)-2H",1,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:1_18:3(OH)_20:1)-2H",5.740896,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:1_18:3(OH)_20:1)-2H",1,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:1_18:3(OH)_20:1)-2H",182553.7,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:1_18:3(OH)_20:1)-2H",720.4832,0,0,0,0,0,0,0,0,0,0,0,0,"5.56829242424242","5.86829242424242","190","","OxCL(16:0_16:1_18:3(OH)_20:1)-2H","720.4841","601.369925","483.262995","582.380295","436.242045","391.2254","389.20974","429.20466","445.27238","255.23281","253.21715","293.21207","309.27979","5.56829242424242","5.86829242424242","190"
"","OxCL(16:0_16:1_18:3(OH)_20:3(OOH)2)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.23709393939394","4.53709393939394","1287","","OxCL(16:0_16:1_18:3(OH)_20:3(OOH)2)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.23709393939394","4.53709393939394","1287","","OxCL(16:0_16:1_18:3(OH)_20:3(OOH)2)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.23709393939394","4.53709393939394","1287","","OxCL(16:0_16:1_18:3(OH)_20:3(OOH)2)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.23709393939394","4.53709393939394","1287","","OxCL(16:0_16:1_18:3(OH)_20:3(OOH)2)-2H",0,0,0,0,0,0,0,0,0,0,0,0,0,"4.23709393939394","4.53709393939394","1287","","OxCL(16:0_16:1_18:3(OH)_20:3(OOH)2)-2H","750.45828","631.344105","513.237175","612.354475","436.242045","391.2254","389.20974","429.20466","469.1996","255.23281","253.21715","293.21207","333.20701","4.23709393939394","4.53709393939394","1287"
