"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer-ADS","[M-H]-","[M-O-H]-","[M-CO-H]-","[M-CO-O-H]-","[Sph-H]-","[Sph+C=O-3H]-","[Sph-O-H]-","[Sph+C=O-O-3H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer-ADS","[M-H]-","[M-O-H]-","[M-CO-H]-","[M-CO-O-H]-","[Sph-H]-","[Sph+C=O-3H]-","[Sph-O-H]-","[Sph+C=O-O-3H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Number of Scans","Cer-ADS","[M-H]-","[M-O-H]-","[M-CO-H]-","[M-CO-O-H]-","[Sph-H]-","[Sph+C=O-3H]-","[Sph-O-H]-","[Sph+C=O-O-3H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Max Intensity","Cer-ADS","[M-H]-","[M-O-H]-","[M-CO-H]-","[M-CO-O-H]-","[Sph-H]-","[Sph+C=O-3H]-","[Sph-O-H]-","[Sph+C=O-O-3H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Average m/z","Cer-ADS","[M-H]-","[M-O-H]-","[M-CO-H]-","[M-CO-O-H]-","[Sph-H]-","[Sph+C=O-3H]-","[Sph-O-H]-","[Sph+C=O-O-3H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer-ADS","[M-H]-","[M-O-H]-","[M-CO-H]-","[M-CO-O-H]-","[Sph-H]-","[Sph+C=O-3H]-","[Sph-O-H]-","[Sph+C=O-O-3H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment"
"","Cer-ADS(d19:0/24:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d19:0/24:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d19:0/24:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d19:0/24:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d19:0/24:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d19:0/24:0)-H","680.6557","662.6451","648.6295","632.6345","314.3065","408.3842","296.2959","390.3736","282.2802","365.3425","253.2537","337.3476","11.7277909090909","12.0277909090909","1062"
"","Cer-ADS(d19:0/24:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d19:0/24:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d19:0/24:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d19:0/24:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d19:0/24:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d19:0/24:1)-H","678.64","660.6295","646.6138","630.6189","314.3065","406.3685","296.2959","388.3579","282.2802","363.3269","253.2537","335.3319","10.9600636363636","11.2600636363636","1038"
"","Cer-ADS(d20:0/23:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d20:0/23:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d20:0/23:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d20:0/23:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d20:0/23:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d20:0/23:0)-H","680.6557","662.6451","648.6295","632.6345","328.3221","394.3685","310.3116","376.3579","296.2959","351.3269","267.2693","323.3319","11.7277909090909","12.0277909090909","1062"
"","Cer-ADS(d20:0/23:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d20:0/23:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d20:0/23:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d20:0/23:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d20:0/23:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d20:0/23:1)-H","678.64","660.6295","646.6138","630.6189","328.3221","392.3529","310.3116","374.3423","296.2959","349.3112","267.2693","321.3163","10.9600636363636","11.2600636363636","1038"
"","Cer-ADS(d21:0/22:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d21:0/22:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d21:0/22:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d21:0/22:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d21:0/22:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d21:0/22:0)-H","680.6557","662.6451","648.6295","632.6345","342.3378","380.3529","324.3272","362.3423","310.3116","337.3112","281.285","309.3163","11.7277909090909","12.0277909090909","1062"
"","Cer-ADS(d21:0/22:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d21:0/22:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d21:0/22:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d21:0/22:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d21:0/22:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d21:0/22:1)-H","678.64","660.6295","646.6138","630.6189","342.3378","378.3372","324.3272","360.3267","310.3116","335.2956","281.285","307.3006","10.9600636363636","11.2600636363636","1038"
"","Cer-ADS(d22:0/21:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d22:0/21:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d22:0/21:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d22:0/21:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d22:0/21:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d22:0/21:0)-H","680.6557","662.6451","648.6295","632.6345","356.3534","366.3372","338.3428","348.3267","324.3272","323.2956","295.3006","295.3006","11.7277909090909","12.0277909090909","1062"
"","Cer-ADS(d22:0/21:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d22:0/21:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d22:0/21:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d22:0/21:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d22:0/21:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d22:0/21:1)-H","678.64","660.6295","646.6138","630.6189","356.3534","364.3216","338.3428","346.311","324.3272","321.2799","295.3006","293.285","10.9600636363636","11.2600636363636","1038"
"","Cer-ADS(d23:0/20:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d23:0/20:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d23:0/20:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d23:0/20:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d23:0/20:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d23:0/20:0)-H","680.6557","662.6451","648.6295","632.6345","370.369","352.3216","352.3585","334.311","338.3428","309.2799","309.3163","281.285","11.7277909090909","12.0277909090909","1062"
"","Cer-ADS(d23:0/20:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d23:0/20:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d23:0/20:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d23:0/20:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d23:0/20:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d23:0/20:1)-H","678.64","660.6295","646.6138","630.6189","370.369","350.3059","352.3585","332.2953","338.3428","307.2643","309.3163","279.2693","10.9600636363636","11.2600636363636","1038"
