"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer-ADS","[M-H]-","[M-O-H]-","[M-CO-H]-","[M-CO-O-H]-","[Sph-H]-","[Sph+C=O-3H]-","[Sph-O-H]-","[Sph+C=O-O-3H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer-ADS","[M-H]-","[M-O-H]-","[M-CO-H]-","[M-CO-O-H]-","[Sph-H]-","[Sph+C=O-3H]-","[Sph-O-H]-","[Sph+C=O-O-3H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Number of Scans","Cer-ADS","[M-H]-","[M-O-H]-","[M-CO-H]-","[M-CO-O-H]-","[Sph-H]-","[Sph+C=O-3H]-","[Sph-O-H]-","[Sph+C=O-O-3H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Max Intensity","Cer-ADS","[M-H]-","[M-O-H]-","[M-CO-H]-","[M-CO-O-H]-","[Sph-H]-","[Sph+C=O-3H]-","[Sph-O-H]-","[Sph+C=O-O-3H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Average m/z","Cer-ADS","[M-H]-","[M-O-H]-","[M-CO-H]-","[M-CO-O-H]-","[Sph-H]-","[Sph+C=O-3H]-","[Sph-O-H]-","[Sph+C=O-O-3H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer-ADS","[M-H]-","[M-O-H]-","[M-CO-H]-","[M-CO-O-H]-","[Sph-H]-","[Sph+C=O-3H]-","[Sph-O-H]-","[Sph+C=O-O-3H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment"
"","Cer-ADS(d24:0/19:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d24:0/19:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d24:0/19:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d24:0/19:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d24:0/19:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d24:0/19:0)-H","680.6557","662.6451","648.6295","632.6345","384.3847","338.3059","366.3741","320.2953","352.3585","295.2643","323.3319","267.2693","11.7277909090909","12.0277909090909","1062"
"","Cer-ADS(d24:0/19:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d24:0/19:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d24:0/19:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d24:0/19:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d24:0/19:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d24:0/19:1)-H","678.64","660.6295","646.6138","630.6189","384.3847","336.2903","366.3741","318.2797","352.3585","293.2486","323.3319","265.2537","10.9600636363636","11.2600636363636","1038"
"","Cer-ADS(d25:0/18:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d25:0/18:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d25:0/18:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d25:0/18:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d25:0/18:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d25:0/18:0)-H","680.6557","662.6451","648.6295","632.6345","398.4004","324.2903","380.3898","306.2797","366.3741","281.2486","337.3476","253.2537","11.7277909090909","12.0277909090909","1062"
"","Cer-ADS(d25:0/18:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d25:0/18:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d25:0/18:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d25:0/18:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d25:0/18:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d25:0/18:1)-H","678.64","660.6295","646.6138","630.6189","398.4004","322.2746","380.3898","304.264","366.3741","279.233","337.3476","251.238","10.9600636363636","11.2600636363636","1038"
"","Cer-ADS(d26:0/17:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d26:0/17:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d26:0/17:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d26:0/17:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d26:0/17:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d26:0/17:0)-H","680.6557","662.6451","648.6295","632.6345","412.416","310.2746","394.4054","292.264","380.3898","267.233","351.3633","239.238","11.7277909090909","12.0277909090909","1062"
"","Cer-ADS(d27:0/16:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d27:0/16:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d27:0/16:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d27:0/16:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d27:0/16:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d27:0/16:0)-H","680.6557","662.6451","648.6295","632.6345","426.4317","296.259","408.4211","278.2484","394.4054","253.2173","365.3789","225.2224","11.7277909090909","12.0277909090909","1062"
"","Cer-ADS(d27:0/16:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d27:0/16:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d27:0/16:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d27:0/16:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d27:0/16:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d27:0/16:1)-H","678.64","660.6295","646.6138","630.6189","426.4317","294.2433","408.4211","276.2328","394.4054","251.2017","365.3789","223.2067","10.9600636363636","11.2600636363636","1038"
"","Cer-ADS(d28:0/15:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d28:0/15:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d28:0/15:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d28:0/15:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d28:0/15:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d28:0/15:0)-H","680.6557","662.6451","648.6295","632.6345","440.4473","282.2433","422.4367","264.2328","408.4211","239.2017","379.3945","211.2067","11.7277909090909","12.0277909090909","1062"
"","Cer-ADS(d28:0/15:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d28:0/15:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d28:0/15:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d28:0/15:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d28:0/15:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d28:0/15:1)-H","678.64","660.6295","646.6138","630.6189","440.4473","280.2277","422.4367","262.2171","408.4211","237.186","379.3945","209.1911","10.9600636363636","11.2600636363636","1038"
"","Cer-ADS(d29:0/14:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d29:0/14:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d29:0/14:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d29:0/14:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d29:0/14:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d29:0/14:0)-H","680.6557","662.6451","648.6295","632.6345","454.463","268.2277","436.4524","250.2171","422.4367","225.186","393.4102","197.1911","11.7277909090909","12.0277909090909","1062"
"","Cer-ADS(d29:0/14:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d29:0/14:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d29:0/14:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d29:0/14:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d29:0/14:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d29:0/14:1)-H","678.64","660.6295","646.6138","630.6189","454.463","266.212","436.4524","248.2014","422.4367","223.1704","393.4102","195.1754","10.9600636363636","11.2600636363636","1038"
"","Cer-ADS(d30:0/13:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d30:0/13:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d30:0/13:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d30:0/13:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d30:0/13:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-ADS(d30:0/13:0)-H","680.6557","662.6451","648.6295","632.6345","468.4786","254.212","450.468","236.2014","436.4524","211.1704","407.4258","183.1754","11.7277909090909","12.0277909090909","1062"
"","Cer-ADS(d30:0/13:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d30:0/13:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d30:0/13:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d30:0/13:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d30:0/13:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-ADS(d30:0/13:1)-H","678.64","660.6295","646.6138","630.6189","468.4786","252.1964","450.468","234.1858","436.4524","209.1547","407.4258","181.1598","10.9600636363636","11.2600636363636","1038"
