"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer-NS","[M+HCO2]-","[M-H]-","[M-CO-H]-","[M-CO-3H]-","[M-CO-O-3H]-","[FA+NCCO-3H]-","[FA+NCCO-O-3H]-","[Sph-N-O-5H]-","[FA+N-H]-","[Sph-NCC-3H]-","[FA-3H]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer-NS","[M+HCO2]-","[M-H]-","[M-CO-H]-","[M-CO-3H]-","[M-CO-O-3H]-","[FA+NCCO-3H]-","[FA+NCCO-O-3H]-","[Sph-N-O-5H]-","[FA+N-H]-","[Sph-NCC-3H]-","[FA-3H]-","RT_min","RT_max","Comment","Number of Scans","Cer-NS","[M+HCO2]-","[M-H]-","[M-CO-H]-","[M-CO-3H]-","[M-CO-O-3H]-","[FA+NCCO-3H]-","[FA+NCCO-O-3H]-","[Sph-N-O-5H]-","[FA+N-H]-","[Sph-NCC-3H]-","[FA-3H]-","RT_min","RT_max","Comment","Max Intensity","Cer-NS","[M+HCO2]-","[M-H]-","[M-CO-H]-","[M-CO-3H]-","[M-CO-O-3H]-","[FA+NCCO-3H]-","[FA+NCCO-O-3H]-","[Sph-N-O-5H]-","[FA+N-H]-","[Sph-NCC-3H]-","[FA-3H]-","RT_min","RT_max","Comment","Average m/z","Cer-NS","[M+HCO2]-","[M-H]-","[M-CO-H]-","[M-CO-3H]-","[M-CO-O-3H]-","[FA+NCCO-3H]-","[FA+NCCO-O-3H]-","[Sph-N-O-5H]-","[FA+N-H]-","[Sph-NCC-3H]-","[FA-3H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer-NS","[M+HCO2]-","[M-H]-","[M-CO-H]-","[M-CO-3H]-","[M-CO-O-3H]-","[FA+NCCO-3H]-","[FA+NCCO-O-3H]-","[Sph-N-O-5H]-","[FA+N-H]-","[Sph-NCC-3H]-","[FA-3H]-","RT_min","RT_max","Comment"
"","Cer-NS(d14:1/24:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer-NS(d14:1/24:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer-NS(d14:1/24:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer-NS(d14:1/24:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer-NS(d14:1/24:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer-NS(d14:1/24:0)+HCO2","638.5723","592.5669","562.5563","560.5406","544.5457","408.3842","392.3893","207.1754","366.3741","181.1598","349.3476","9.27443484848485","9.57443484848485","1335"
"","Cer-NS(d14:1/25:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer-NS(d14:1/25:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer-NS(d14:1/25:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer-NS(d14:1/25:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer-NS(d14:1/25:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer-NS(d14:1/25:0)+HCO2","652.588","606.5825","576.572","574.5563","558.5614","422.3998","406.4049","207.1754","380.3898","181.1598","363.3633","9.77759848484848","10.0775984848485","3025"
"","Cer-NS(d14:1/26:0)+HCO2",0,1,0,0,0,0,0,0,0,0,0,"10.2572696969697","10.5572696969697","287","","Cer-NS(d14:1/26:0)+HCO2",0,10.37019,0,0,0,0,0,0,0,0,0,"10.2572696969697","10.5572696969697","287","","Cer-NS(d14:1/26:0)+HCO2",0,1,0,0,0,0,0,0,0,0,0,"10.2572696969697","10.5572696969697","287","","Cer-NS(d14:1/26:0)+HCO2",0,47550.63,0,0,0,0,0,0,0,0,0,"10.2572696969697","10.5572696969697","287","","Cer-NS(d14:1/26:0)+HCO2",0,620.5994,0,0,0,0,0,0,0,0,0,"10.2572696969697","10.5572696969697","287","","Cer-NS(d14:1/26:0)+HCO2","666.6036","620.5982","590.5876","588.572","572.577","436.4155","420.4206","207.1754","394.4054","181.1598","377.3789","10.2572696969697","10.5572696969697","287"
"","Cer-NS(d14:1/27:0)+HCO2",1,1,0,0,0,0,0,0,0,0,0,"10.6999696969697","10.9999696969697","227","","Cer-NS(d14:1/27:0)+HCO2",10.8619,10.8619,10.8619,0,0,0,0,0,0,0,0,"10.6999696969697","10.9999696969697","227","","Cer-NS(d14:1/27:0)+HCO2",1,1,1,0,0,0,0,0,0,0,0,"10.6999696969697","10.9999696969697","227","","Cer-NS(d14:1/27:0)+HCO2",1057.556,65958.08,515.0173,0,0,0,0,0,0,0,0,"10.6999696969697","10.9999696969697","227","","Cer-NS(d14:1/27:0)+HCO2",680.6201,634.6152,604.6054,0,0,0,0,0,0,0,0,"10.6999696969697","10.9999696969697","227","","Cer-NS(d14:1/27:0)+HCO2","680.6193","634.6138","604.6033","602.5876","586.5927","450.4311","434.4362","207.1754","408.4211","181.1598","391.3945","10.6999696969697","10.9999696969697","227"
"","Cer-NS(d14:1/27:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"10.5248181818182","10.8248181818182","1553","","Cer-NS(d14:1/27:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"10.5248181818182","10.8248181818182","1553","","Cer-NS(d14:1/27:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"10.5248181818182","10.8248181818182","1553","","Cer-NS(d14:1/27:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"10.5248181818182","10.8248181818182","1553","","Cer-NS(d14:1/27:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"10.5248181818182","10.8248181818182","1553","","Cer-NS(d14:1/27:0)+HCO2","680.6193","634.6138","604.6033","602.5876","586.5927","450.4311","434.4362","207.1754","408.4211","181.1598","391.3945","10.5248181818182","10.8248181818182","1553"
"","Cer-NS(d14:1/27:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-NS(d14:1/27:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-NS(d14:1/27:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-NS(d14:1/27:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-NS(d14:1/27:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-NS(d14:1/27:1)+HCO2","678.6036","632.5982","602.5876","600.572","584.577","448.4155","432.4206","207.1754","406.4054","181.1598","389.3789","9.8607848484848","10.1607848484848","1372"
"","Cer-NS(d14:1/28:0)+HCO2",1,1,1,0,1,0,0,0,0,0,0,"11.1295590909091","11.4295590909091","108","","Cer-NS(d14:1/28:0)+HCO2",11.29021,11.29021,11.29021,11.29021,11.29021,0,0,0,0,0,0,"11.1295590909091","11.4295590909091","108","","Cer-NS(d14:1/28:0)+HCO2",1,2,1,1,1,0,0,0,0,0,0,"11.1295590909091","11.4295590909091","108","","Cer-NS(d14:1/28:0)+HCO2",8007.366,335871.2,5140.881,793.6923,2095.437,0,0,0,0,0,0,"11.1295590909091","11.4295590909091","108","","Cer-NS(d14:1/28:0)+HCO2",694.6364,648.63095,618.6187,616.6044,600.6101,0,0,0,0,0,0,"11.1295590909091","11.4295590909091","108","","Cer-NS(d14:1/28:0)+HCO2","694.6349","648.6295","618.6189","616.6033","600.6083","464.4468","448.4518","207.1754","422.4367","181.1598","405.4102","11.1295590909091","11.4295590909091","108"
"","Cer-NS(d14:1/28:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"10.5101439393939","10.8101439393939","1160","","Cer-NS(d14:1/28:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"10.5101439393939","10.8101439393939","1160","","Cer-NS(d14:1/28:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"10.5101439393939","10.8101439393939","1160","","Cer-NS(d14:1/28:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"10.5101439393939","10.8101439393939","1160","","Cer-NS(d14:1/28:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"10.5101439393939","10.8101439393939","1160","","Cer-NS(d14:1/28:0)+HCO2","694.6349","648.6295","618.6189","616.6033","600.6083","464.4468","448.4518","207.1754","422.4367","181.1598","405.4102","10.5101439393939","10.8101439393939","1160"
"","Cer-NS(d14:1/28:0)+HCO2",1,1,1,0,1,0,0,0,0,0,0,"11.0714060606061","11.3714060606061","3271","","Cer-NS(d14:1/28:0)+HCO2",11.29021,11.29021,11.29021,11.29021,11.29021,0,0,0,0,0,0,"11.0714060606061","11.3714060606061","3271","","Cer-NS(d14:1/28:0)+HCO2",1,2,1,1,1,0,0,0,0,0,0,"11.0714060606061","11.3714060606061","3271","","Cer-NS(d14:1/28:0)+HCO2",8007.366,335871.2,5140.881,793.6923,2095.437,0,0,0,0,0,0,"11.0714060606061","11.3714060606061","3271","","Cer-NS(d14:1/28:0)+HCO2",694.6364,648.63095,618.6187,616.6044,600.6101,0,0,0,0,0,0,"11.0714060606061","11.3714060606061","3271","","Cer-NS(d14:1/28:0)+HCO2","694.6349","648.6295","618.6189","616.6033","600.6083","464.4468","448.4518","207.1754","422.4367","181.1598","405.4102","11.0714060606061","11.3714060606061","3271"
"","Cer-NS(d14:1/28:1)+HCO2",0,1,1,0,0,0,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-NS(d14:1/28:1)+HCO2",10.4723,10.4723,10.33888,0,0,0,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-NS(d14:1/28:1)+HCO2",2,2,2,0,0,0,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-NS(d14:1/28:1)+HCO2",774.0684,49953.16,1494.75,0,0,0,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-NS(d14:1/28:1)+HCO2",692.62145,646.61545,616.60385,0,0,0,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-NS(d14:1/28:1)+HCO2","692.6193","646.6138","616.6033","614.5876","598.5927","462.4311","446.4362","207.1754","420.4211","181.1598","403.3945","10.3349015151515","10.6349015151515","366"
