"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer-NP","[M-H]-","[M-H2O-H]-","[M-2H2O-H]-","[FAA+C3H5O-H]-","[FAA+C2H5O-H]-","[FAA+C2H5O-H]-.1","[FAA+C2H3-H]-","[Sph-CH9NO-H]-","[FA+O-H]-","[Sph-C2H9NO-H]-","[FAA-H]-","[Sph-C3H11NO2-H]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer-NP","[M-H]-","[M-H2O-H]-","[M-2H2O-H]-","[FAA+C3H5O-H]-","[FAA+C2H5O-H]-","[FAA+C2H5O-H]-.1","[FAA+C2H3-H]-","[Sph-CH9NO-H]-","[FA+O-H]-","[Sph-C2H9NO-H]-","[FAA-H]-","[Sph-C3H11NO2-H]-","RT_min","RT_max","Comment","Number of Scans","Cer-NP","[M-H]-","[M-H2O-H]-","[M-2H2O-H]-","[FAA+C3H5O-H]-","[FAA+C2H5O-H]-","[FAA+C2H5O-H]-.1","[FAA+C2H3-H]-","[Sph-CH9NO-H]-","[FA+O-H]-","[Sph-C2H9NO-H]-","[FAA-H]-","[Sph-C3H11NO2-H]-","RT_min","RT_max","Comment","Max Intensity","Cer-NP","[M-H]-","[M-H2O-H]-","[M-2H2O-H]-","[FAA+C3H5O-H]-","[FAA+C2H5O-H]-","[FAA+C2H5O-H]-.1","[FAA+C2H3-H]-","[Sph-CH9NO-H]-","[FA+O-H]-","[Sph-C2H9NO-H]-","[FAA-H]-","[Sph-C3H11NO2-H]-","RT_min","RT_max","Comment","Average m/z","Cer-NP","[M-H]-","[M-H2O-H]-","[M-2H2O-H]-","[FAA+C3H5O-H]-","[FAA+C2H5O-H]-","[FAA+C2H5O-H]-.1","[FAA+C2H3-H]-","[Sph-CH9NO-H]-","[FA+O-H]-","[Sph-C2H9NO-H]-","[FAA-H]-","[Sph-C3H11NO2-H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer-NP","[M-H]-","[M-H2O-H]-","[M-2H2O-H]-","[FAA+C3H5O-H]-","[FAA+C2H5O-H]-","[FAA+C2H5O-H]-.1","[FAA+C2H3-H]-","[Sph-CH9NO-H]-","[FA+O-H]-","[Sph-C2H9NO-H]-","[FAA-H]-","[Sph-C3H11NO2-H]-","RT_min","RT_max","Comment"
"","Cer-NP(t20:1/23:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t20:1/23:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t20:1/23:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t20:1/23:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t20:1/23:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t20:1/23:0)-H","678.64","660.6295","642.6189","408.3836","396.3836","396.3836","378.373","293.2475","353.3425","281.2475","352.3579","251.237","10.9600636363636","11.2600636363636","1038"
"","Cer-NP(t21:0/22:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t21:0/22:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t21:0/22:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t21:0/22:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t21:0/22:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t21:0/22:0)-H","680.6557","662.6451","644.6345","394.368","382.368","382.368","364.3574","309.2788","339.3269","297.2788","338.3423","267.2682","11.7277909090909","12.0277909090909","1062"
"","Cer-NP(t21:0/22:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t21:0/22:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t21:0/22:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t21:0/22:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t21:0/22:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t21:0/22:1)-H","678.64","660.6295","642.6189","392.3523","380.3523","380.3523","362.3417","309.2788","337.3112","297.2788","336.3266","267.2682","10.9600636363636","11.2600636363636","1038"
"","Cer-NP(t21:1/22:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t21:1/22:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t21:1/22:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t21:1/22:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t21:1/22:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t21:1/22:0)-H","678.64","660.6295","642.6189","394.368","382.368","382.368","364.3574","307.2632","339.3269","295.2632","338.3423","265.2526","10.9600636363636","11.2600636363636","1038"
"","Cer-NP(t22:0/21:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t22:0/21:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t22:0/21:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t22:0/21:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t22:0/21:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t22:0/21:0)-H","680.6557","662.6451","644.6345","380.3523","368.3523","368.3523","350.3417","323.2945","325.3112","311.2945","324.3266","281.2839","11.7277909090909","12.0277909090909","1062"
"","Cer-NP(t22:0/21:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t22:0/21:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t22:0/21:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t22:0/21:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t22:0/21:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t22:0/21:1)-H","678.64","660.6295","642.6189","378.3367","366.3367","366.3367","348.3261","323.2945","323.2956","311.2945","322.311","281.2839","10.9600636363636","11.2600636363636","1038"
"","Cer-NP(t22:1/21:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t22:1/21:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t22:1/21:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t22:1/21:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t22:1/21:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t22:1/21:0)-H","678.64","660.6295","642.6189","380.3523","368.3523","368.3523","350.3417","321.2788","325.3112","309.2788","324.3266","279.2682","10.9600636363636","11.2600636363636","1038"
"","Cer-NP(t23:0/20:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t23:0/20:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t23:0/20:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t23:0/20:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t23:0/20:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t23:0/20:0)-H","680.6557","662.6451","644.6345","366.3367","354.3367","354.3367","336.3261","337.3101","311.2956","325.3101","310.311","295.2996","11.7277909090909","12.0277909090909","1062"
"","Cer-NP(t23:0/20:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t23:0/20:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t23:0/20:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t23:0/20:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t23:0/20:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t23:0/20:1)-H","678.64","660.6295","642.6189","364.321","352.321","352.321","334.3105","337.3101","309.2799","325.3101","308.2953","295.2996","10.9600636363636","11.2600636363636","1038"
"","Cer-NP(t23:1/20:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t23:1/20:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t23:1/20:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t23:1/20:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t23:1/20:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t23:1/20:0)-H","678.64","660.6295","642.6189","366.3367","354.3367","354.3367","336.3261","335.2945","311.2956","323.2945","310.311","293.2839","10.9600636363636","11.2600636363636","1038"
"","Cer-NP(t24:0/19:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t24:0/19:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t24:0/19:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t24:0/19:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t24:0/19:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t24:0/19:0)-H","680.6557","662.6451","644.6345","352.321","340.321","340.321","322.3105","351.3258","297.2799","339.3258","296.2953","309.3152","11.7277909090909","12.0277909090909","1062"
"","Cer-NP(t24:0/19:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t24:0/19:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t24:0/19:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t24:0/19:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t24:0/19:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t24:0/19:1)-H","678.64","660.6295","642.6189","350.3054","338.3054","338.3054","320.2948","351.3258","295.2643","339.3258","294.2797","309.3152","10.9600636363636","11.2600636363636","1038"
"","Cer-NP(t24:1/19:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t24:1/19:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t24:1/19:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t24:1/19:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t24:1/19:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t24:1/19:0)-H","678.64","660.6295","642.6189","352.321","340.321","340.321","322.3105","349.3101","297.2799","337.3101","296.2953","307.2996","10.9600636363636","11.2600636363636","1038"
"","Cer-NP(t25:0/18:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t25:0/18:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t25:0/18:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t25:0/18:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t25:0/18:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t25:0/18:0)-H","680.6557","662.6451","644.6345","338.3054","326.3054","326.3054","308.2948","365.3414","283.2643","353.3414","282.2797","323.3308","11.7277909090909","12.0277909090909","1062"
"","Cer-NP(t25:0/18:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t25:0/18:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t25:0/18:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t25:0/18:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t25:0/18:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t25:0/18:1)-H","678.64","660.6295","642.6189","336.2897","324.2897","324.2897","306.2791","365.3414","281.2486","353.3414","280.264","323.3308","10.9600636363636","11.2600636363636","1038"
"","Cer-NP(t25:1/18:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t25:1/18:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t25:1/18:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t25:1/18:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t25:1/18:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t25:1/18:0)-H","678.64","660.6295","642.6189","338.3054","326.3054","326.3054","308.2948","363.3258","283.2643","351.3258","282.2797","321.3152","10.9600636363636","11.2600636363636","1038"
"","Cer-NP(t26:0/17:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t26:0/17:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t26:0/17:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t26:0/17:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t26:0/17:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t26:0/17:0)-H","680.6557","662.6451","644.6345","324.2897","312.2897","312.2897","294.2791","379.3571","269.2486","367.3571","268.264","337.3465","11.7277909090909","12.0277909090909","1062"
"","Cer-NP(t26:1/17:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t26:1/17:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t26:1/17:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t26:1/17:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t26:1/17:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t26:1/17:0)-H","678.64","660.6295","642.6189","324.2897","312.2897","312.2897","294.2791","377.3414","269.2486","365.3414","268.264","335.3308","10.9600636363636","11.2600636363636","1038"
"","Cer-NP(t27:0/16:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t27:0/16:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t27:0/16:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t27:0/16:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t27:0/16:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t27:0/16:0)-H","680.6557","662.6451","644.6345","310.2741","298.2741","298.2741","280.2635","393.3727","255.233","381.3727","254.2484","351.3622","11.7277909090909","12.0277909090909","1062"
"","Cer-NP(t27:0/16:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t27:0/16:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t27:0/16:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t27:0/16:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t27:0/16:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t27:0/16:1)-H","678.64","660.6295","642.6189","308.2584","296.2584","296.2584","278.2479","393.3727","253.2173","381.3727","252.2327","351.3622","10.9600636363636","11.2600636363636","1038"
"","Cer-NP(t27:1/16:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t27:1/16:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t27:1/16:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t27:1/16:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t27:1/16:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t27:1/16:0)-H","678.64","660.6295","642.6189","310.2741","298.2741","298.2741","280.2635","391.3571","255.233","379.3571","254.2484","349.3465","10.9600636363636","11.2600636363636","1038"
"","Cer-NP(t28:0/15:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t28:0/15:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t28:0/15:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t28:0/15:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t28:0/15:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t28:0/15:0)-H","680.6557","662.6451","644.6345","296.2584","284.2584","284.2584","266.2479","407.3884","241.2173","395.3884","240.2327","365.3778","11.7277909090909","12.0277909090909","1062"
"","Cer-NP(t28:0/15:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t28:0/15:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t28:0/15:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t28:0/15:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t28:0/15:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t28:0/15:1)-H","678.64","660.6295","642.6189","294.2428","282.2428","282.2428","264.2322","407.3884","239.2017","395.3884","238.2171","365.3778","10.9600636363636","11.2600636363636","1038"
"","Cer-NP(t28:1/15:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t28:1/15:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t28:1/15:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t28:1/15:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t28:1/15:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t28:1/15:0)-H","678.64","660.6295","642.6189","296.2584","284.2584","284.2584","266.2479","405.3727","241.2173","393.3727","240.2327","363.3622","10.9600636363636","11.2600636363636","1038"
"","Cer-NP(t29:0/14:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t29:0/14:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t29:0/14:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t29:0/14:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t29:0/14:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t29:0/14:0)-H","680.6557","662.6451","644.6345","282.2428","270.2428","270.2428","252.2322","421.404","227.2017","409.404","226.2171","379.3935","11.7277909090909","12.0277909090909","1062"
"","Cer-NP(t29:0/14:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t29:0/14:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t29:0/14:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t29:0/14:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t29:0/14:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t29:0/14:1)-H","678.64","660.6295","642.6189","280.2271","268.2271","268.2271","250.2166","421.404","225.186","409.404","224.2014","379.3935","10.9600636363636","11.2600636363636","1038"
"","Cer-NP(t29:1/14:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t29:1/14:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t29:1/14:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t29:1/14:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t29:1/14:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t29:1/14:0)-H","678.64","660.6295","642.6189","282.2428","270.2428","270.2428","252.2322","419.3884","227.2017","407.3884","226.2171","377.3778","10.9600636363636","11.2600636363636","1038"
"","Cer-NP(t30:0/13:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t30:0/13:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t30:0/13:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t30:0/13:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t30:0/13:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-NP(t30:0/13:0)-H","680.6557","662.6451","644.6345","268.2271","256.2271","256.2271","238.2166","435.4197","213.186","423.4197","212.2014","393.4091","11.7277909090909","12.0277909090909","1062"
"","Cer-NP(t30:0/13:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t30:0/13:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t30:0/13:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t30:0/13:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t30:0/13:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t30:0/13:1)-H","678.64","660.6295","642.6189","266.2115","254.2115","254.2115","236.2009","435.4197","211.1704","423.4197","210.1858","393.4091","10.9600636363636","11.2600636363636","1038"
"","Cer-NP(t30:1/13:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t30:1/13:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t30:1/13:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t30:1/13:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t30:1/13:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-NP(t30:1/13:0)-H","678.64","660.6295","642.6189","268.2271","256.2271","256.2271","238.2166","433.404","213.186","421.404","212.2014","391.3935","10.9600636363636","11.2600636363636","1038"
