"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer-EODS","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer-EODS","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","Number of Scans","Cer-EODS","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","Max Intensity","Cer-EODS","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","Average m/z","Cer-EODS","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer-EODS","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment"
"","Cer-EODS(d14:0/16:1-O-14:0)-H",0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-EODS(d14:0/16:1-O-14:0)-H",0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-EODS(d14:0/16:1-O-14:0)-H",0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-EODS(d14:0/16:1-O-14:0)-H",0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-EODS(d14:0/16:1-O-14:0)-H",0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-EODS(d14:0/16:1-O-14:0)-H","706.6349","496.4366","294.2439","227.2017","268.2282","183.1754","10.4557772727273","10.7557772727273","1755"
"","Cer-EODS(d14:0/17:0-O-14:0)-H",0,0,0,0,0,0,"11.9297696969697","12.2297696969697","759","","Cer-EODS(d14:0/17:0-O-14:0)-H",0,0,0,0,0,0,"11.9297696969697","12.2297696969697","759","","Cer-EODS(d14:0/17:0-O-14:0)-H",0,0,0,0,0,0,"11.9297696969697","12.2297696969697","759","","Cer-EODS(d14:0/17:0-O-14:0)-H",0,0,0,0,0,0,"11.9297696969697","12.2297696969697","759","","Cer-EODS(d14:0/17:0-O-14:0)-H",0,0,0,0,0,0,"11.9297696969697","12.2297696969697","759","","Cer-EODS(d14:0/17:0-O-14:0)-H","722.6663","512.4679","310.2751","227.2017","284.2595","183.1754","11.9297696969697","12.2297696969697","759"
"","Cer-EODS(d14:0/14:0-O-14:1)-H",0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-EODS(d14:0/14:0-O-14:1)-H",0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-EODS(d14:0/14:0-O-14:1)-H",0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-EODS(d14:0/14:0-O-14:1)-H",0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-EODS(d14:0/14:0-O-14:1)-H",0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-EODS(d14:0/14:0-O-14:1)-H","678.6036","470.4209","268.2282","225.186","242.2126","183.1754","9.8607848484848","10.1607848484848","1372"
"","Cer-EODS(d14:0/15:0-O-14:1)-H",0,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-EODS(d14:0/15:0-O-14:1)-H",10.4723,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-EODS(d14:0/15:0-O-14:1)-H",2,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-EODS(d14:0/15:0-O-14:1)-H",774.0684,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-EODS(d14:0/15:0-O-14:1)-H",692.62145,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-EODS(d14:0/15:0-O-14:1)-H","692.6193","484.4366","282.2439","225.186","256.2282","183.1754","10.3349015151515","10.6349015151515","366"
"","Cer-EODS(d14:0/15:0-O-14:1)-H",0,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer-EODS(d14:0/15:0-O-14:1)-H",10.4723,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer-EODS(d14:0/15:0-O-14:1)-H",2,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer-EODS(d14:0/15:0-O-14:1)-H",774.0684,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer-EODS(d14:0/15:0-O-14:1)-H",692.62145,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer-EODS(d14:0/15:0-O-14:1)-H","692.6193","484.4366","282.2439","225.186","256.2282","183.1754","10.1740090909091","10.4740090909091","470"
"","Cer-EODS(d14:0/15:1-O-14:1)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EODS(d14:0/15:1-O-14:1)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EODS(d14:0/15:1-O-14:1)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EODS(d14:0/15:1-O-14:1)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EODS(d14:0/15:1-O-14:1)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EODS(d14:0/15:1-O-14:1)-H","690.6036","482.4209","280.2282","225.186","254.2126","183.1754","9.3155606060606","9.6155606060606","1495"
"","Cer-EODS(d14:0/16:0-O-14:1)-H",0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-EODS(d14:0/16:0-O-14:1)-H",0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-EODS(d14:0/16:0-O-14:1)-H",0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-EODS(d14:0/16:0-O-14:1)-H",0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-EODS(d14:0/16:0-O-14:1)-H",0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-EODS(d14:0/16:0-O-14:1)-H","706.6349","498.4522","296.2595","225.186","270.2439","183.1754","10.4557772727273","10.7557772727273","1755"
"","Cer-EODS(d14:0/12:0-O-15:0)-H",0,0,0,0,0,0,"10.2572696969697","10.5572696969697","287","","Cer-EODS(d14:0/12:0-O-15:0)-H",0,0,0,0,0,0,"10.2572696969697","10.5572696969697","287","","Cer-EODS(d14:0/12:0-O-15:0)-H",0,0,0,0,0,0,"10.2572696969697","10.5572696969697","287","","Cer-EODS(d14:0/12:0-O-15:0)-H",0,0,0,0,0,0,"10.2572696969697","10.5572696969697","287","","Cer-EODS(d14:0/12:0-O-15:0)-H",0,0,0,0,0,0,"10.2572696969697","10.5572696969697","287","","Cer-EODS(d14:0/12:0-O-15:0)-H","666.6036","442.3896","240.1969","241.2173","214.1813","183.1754","10.2572696969697","10.5572696969697","287"
"","Cer-EODS(d14:0/13:0-O-15:0)-H",1,0,0,0,0,0,"10.6999696969697","10.9999696969697","227","","Cer-EODS(d14:0/13:0-O-15:0)-H",10.8619,0,0,0,0,0,"10.6999696969697","10.9999696969697","227","","Cer-EODS(d14:0/13:0-O-15:0)-H",1,0,0,0,0,0,"10.6999696969697","10.9999696969697","227","","Cer-EODS(d14:0/13:0-O-15:0)-H",1057.556,0,0,0,0,0,"10.6999696969697","10.9999696969697","227","","Cer-EODS(d14:0/13:0-O-15:0)-H",680.6201,0,0,0,0,0,"10.6999696969697","10.9999696969697","227","","Cer-EODS(d14:0/13:0-O-15:0)-H","680.6193","456.4053","254.2126","241.2173","228.1969","183.1754","10.6999696969697","10.9999696969697","227"
"","Cer-EODS(d14:0/13:0-O-15:0)-H",0,0,0,0,0,0,"10.5248181818182","10.8248181818182","1553","","Cer-EODS(d14:0/13:0-O-15:0)-H",0,0,0,0,0,0,"10.5248181818182","10.8248181818182","1553","","Cer-EODS(d14:0/13:0-O-15:0)-H",0,0,0,0,0,0,"10.5248181818182","10.8248181818182","1553","","Cer-EODS(d14:0/13:0-O-15:0)-H",0,0,0,0,0,0,"10.5248181818182","10.8248181818182","1553","","Cer-EODS(d14:0/13:0-O-15:0)-H",0,0,0,0,0,0,"10.5248181818182","10.8248181818182","1553","","Cer-EODS(d14:0/13:0-O-15:0)-H","680.6193","456.4053","254.2126","241.2173","228.1969","183.1754","10.5248181818182","10.8248181818182","1553"
