"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer-AP","[M-H]-","[FA+NC(C)CO-H]-","[FA+O-H]-","[FA-CO-3H]-","[Sph-NC(CO)CO-H]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer-AP","[M-H]-","[FA+NC(C)CO-H]-","[FA+O-H]-","[FA-CO-3H]-","[Sph-NC(CO)CO-H]-","RT_min","RT_max","Comment","Number of Scans","Cer-AP","[M-H]-","[FA+NC(C)CO-H]-","[FA+O-H]-","[FA-CO-3H]-","[Sph-NC(CO)CO-H]-","RT_min","RT_max","Comment","Max Intensity","Cer-AP","[M-H]-","[FA+NC(C)CO-H]-","[FA+O-H]-","[FA-CO-3H]-","[Sph-NC(CO)CO-H]-","RT_min","RT_max","Comment","Average m/z","Cer-AP","[M-H]-","[FA+NC(C)CO-H]-","[FA+O-H]-","[FA-CO-3H]-","[Sph-NC(CO)CO-H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer-AP","[M-H]-","[FA+NC(C)CO-H]-","[FA+O-H]-","[FA-CO-3H]-","[Sph-NC(CO)CO-H]-","RT_min","RT_max","Comment"
"","Cer-AP(t14:0/29:1)-H",0,0,0,0,0,"10.5101439393939","10.8101439393939","1160","","Cer-AP(t14:0/29:1)-H",0,0,0,0,0,"10.5101439393939","10.8101439393939","1160","","Cer-AP(t14:0/29:1)-H",0,0,0,0,0,"10.5101439393939","10.8101439393939","1160","","Cer-AP(t14:0/29:1)-H",0,0,0,0,0,"10.5101439393939","10.8101439393939","1160","","Cer-AP(t14:0/29:1)-H",0,0,0,0,0,"10.5101439393939","10.8101439393939","1160","","Cer-AP(t14:0/29:1)-H","694.6349","506.4568","451.4157","405.4102","169.1587","10.5101439393939","10.8101439393939","1160"
"","Cer-AP(t14:0/29:1)-H",1,0,0,0,0,"11.0714060606061","11.3714060606061","3271","","Cer-AP(t14:0/29:1)-H",11.29021,0,0,0,0,"11.0714060606061","11.3714060606061","3271","","Cer-AP(t14:0/29:1)-H",1,0,0,0,0,"11.0714060606061","11.3714060606061","3271","","Cer-AP(t14:0/29:1)-H",8007.366,0,0,0,0,"11.0714060606061","11.3714060606061","3271","","Cer-AP(t14:0/29:1)-H",694.6364,0,0,0,0,"11.0714060606061","11.3714060606061","3271","","Cer-AP(t14:0/29:1)-H","694.6349","506.4568","451.4157","405.4102","169.1587","11.0714060606061","11.3714060606061","3271"
"","Cer-AP(t14:0/30:1)-H",0,0,0,0,0,"11.3712712121212","11.6712712121212","402","","Cer-AP(t14:0/30:1)-H",0,0,0,0,0,"11.3712712121212","11.6712712121212","402","","Cer-AP(t14:0/30:1)-H",0,0,0,0,0,"11.3712712121212","11.6712712121212","402","","Cer-AP(t14:0/30:1)-H",0,0,0,0,0,"11.3712712121212","11.6712712121212","402","","Cer-AP(t14:0/30:1)-H",0,0,0,0,0,"11.3712712121212","11.6712712121212","402","","Cer-AP(t14:0/30:1)-H","708.6506","520.4724","465.4313","419.4258","169.1587","11.3712712121212","11.6712712121212","402"
"","Cer-AP(t14:0/30:1)-H",0,0,0,0,0,"11.5306954545455","11.8306954545455","2733","","Cer-AP(t14:0/30:1)-H",0,0,0,0,0,"11.5306954545455","11.8306954545455","2733","","Cer-AP(t14:0/30:1)-H",0,0,0,0,0,"11.5306954545455","11.8306954545455","2733","","Cer-AP(t14:0/30:1)-H",0,0,0,0,0,"11.5306954545455","11.8306954545455","2733","","Cer-AP(t14:0/30:1)-H",0,0,0,0,0,"11.5306954545455","11.8306954545455","2733","","Cer-AP(t14:0/30:1)-H","708.6506","520.4724","465.4313","419.4258","169.1587","11.5306954545455","11.8306954545455","2733"
"","Cer-AP(t14:0/30:2)-H",0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-AP(t14:0/30:2)-H",0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-AP(t14:0/30:2)-H",0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-AP(t14:0/30:2)-H",0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-AP(t14:0/30:2)-H",0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-AP(t14:0/30:2)-H","706.6349","518.4568","463.4157","417.4102","169.1587","10.4557772727273","10.7557772727273","1755"
"","Cer-AP(t14:0/31:0)-H",0,0,0,0,0,"12.1783683333333","12.4783683333333","3694","","Cer-AP(t14:0/31:0)-H",0,0,0,0,0,"12.1783683333333","12.4783683333333","3694","","Cer-AP(t14:0/31:0)-H",0,0,0,0,0,"12.1783683333333","12.4783683333333","3694","","Cer-AP(t14:0/31:0)-H",0,0,0,0,0,"12.1783683333333","12.4783683333333","3694","","Cer-AP(t14:0/31:0)-H",0,0,0,0,0,"12.1783683333333","12.4783683333333","3694","","Cer-AP(t14:0/31:0)-H","724.6819","536.5037","481.4626","435.4572","169.1587","12.1783683333333","12.4783683333333","3694"
"","Cer-AP(t14:0/31:1)-H",0,0,0,0,0,"11.9297696969697","12.2297696969697","759","","Cer-AP(t14:0/31:1)-H",0,0,0,0,0,"11.9297696969697","12.2297696969697","759","","Cer-AP(t14:0/31:1)-H",0,0,0,0,0,"11.9297696969697","12.2297696969697","759","","Cer-AP(t14:0/31:1)-H",0,0,0,0,0,"11.9297696969697","12.2297696969697","759","","Cer-AP(t14:0/31:1)-H",0,0,0,0,0,"11.9297696969697","12.2297696969697","759","","Cer-AP(t14:0/31:1)-H","722.6663","534.4881","479.447","433.4415","169.1587","11.9297696969697","12.2297696969697","759"
"","Cer-AP(t14:0/40:0)-H",0,0,0,0,0,"15.1353378787879","15.4353378787879","1451","","Cer-AP(t14:0/40:0)-H",0,0,0,0,0,"15.1353378787879","15.4353378787879","1451","","Cer-AP(t14:0/40:0)-H",0,0,0,0,0,"15.1353378787879","15.4353378787879","1451","","Cer-AP(t14:0/40:0)-H",0,0,0,0,0,"15.1353378787879","15.4353378787879","1451","","Cer-AP(t14:0/40:0)-H",0,0,0,0,0,"15.1353378787879","15.4353378787879","1451","","Cer-AP(t14:0/40:0)-H","850.8228","662.6446","607.6035","561.598","169.1587","15.1353378787879","15.4353378787879","1451"
"","Cer-AP(t14:0/40:0)-H",0,0,0,0,0,"14.7103075757576","15.0103075757576","1902","","Cer-AP(t14:0/40:0)-H",0,0,0,0,0,"14.7103075757576","15.0103075757576","1902","","Cer-AP(t14:0/40:0)-H",0,0,0,0,0,"14.7103075757576","15.0103075757576","1902","","Cer-AP(t14:0/40:0)-H",0,0,0,0,0,"14.7103075757576","15.0103075757576","1902","","Cer-AP(t14:0/40:0)-H",0,0,0,0,0,"14.7103075757576","15.0103075757576","1902","","Cer-AP(t14:0/40:0)-H","850.8228","662.6446","607.6035","561.598","169.1587","14.7103075757576","15.0103075757576","1902"
"","Cer-AP(t14:0/40:0)-H",0,0,0,0,0,"15.1195863636364","15.4195863636364","4139","","Cer-AP(t14:0/40:0)-H",0,0,0,0,0,"15.1195863636364","15.4195863636364","4139","","Cer-AP(t14:0/40:0)-H",0,0,0,0,0,"15.1195863636364","15.4195863636364","4139","","Cer-AP(t14:0/40:0)-H",0,0,0,0,0,"15.1195863636364","15.4195863636364","4139","","Cer-AP(t14:0/40:0)-H",0,0,0,0,0,"15.1195863636364","15.4195863636364","4139","","Cer-AP(t14:0/40:0)-H","850.8228","662.6446","607.6035","561.598","169.1587","15.1195863636364","15.4195863636364","4139"
"","Cer-AP(t14:1/25:0)-H",0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer-AP(t14:1/25:0)-H",0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer-AP(t14:1/25:0)-H",0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer-AP(t14:1/25:0)-H",0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer-AP(t14:1/25:0)-H",0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer-AP(t14:1/25:0)-H","638.5723","452.4099","397.3687","351.3633","167.1431","9.27443484848485","9.57443484848485","1335"
"","Cer-AP(t14:1/26:0)-H",0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer-AP(t14:1/26:0)-H",0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer-AP(t14:1/26:0)-H",0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer-AP(t14:1/26:0)-H",0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer-AP(t14:1/26:0)-H",0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer-AP(t14:1/26:0)-H","652.588","466.4255","411.3844","365.3789","167.1431","9.77759848484848","10.0775984848485","3025"
"","Cer-AP(t14:1/27:0)-H",0,0,0,0,0,"10.2572696969697","10.5572696969697","287","","Cer-AP(t14:1/27:0)-H",0,0,0,0,0,"10.2572696969697","10.5572696969697","287","","Cer-AP(t14:1/27:0)-H",0,0,0,0,0,"10.2572696969697","10.5572696969697","287","","Cer-AP(t14:1/27:0)-H",0,0,0,0,0,"10.2572696969697","10.5572696969697","287","","Cer-AP(t14:1/27:0)-H",0,0,0,0,0,"10.2572696969697","10.5572696969697","287","","Cer-AP(t14:1/27:0)-H","666.6036","480.4411","425.4","379.3945","167.1431","10.2572696969697","10.5572696969697","287"
"","Cer-AP(t14:1/28:0)-H",1,0,0,0,0,"10.6999696969697","10.9999696969697","227","","Cer-AP(t14:1/28:0)-H",10.8619,0,0,0,0,"10.6999696969697","10.9999696969697","227","","Cer-AP(t14:1/28:0)-H",1,0,0,0,0,"10.6999696969697","10.9999696969697","227","","Cer-AP(t14:1/28:0)-H",1057.556,0,0,0,0,"10.6999696969697","10.9999696969697","227","","Cer-AP(t14:1/28:0)-H",680.6201,0,0,0,0,"10.6999696969697","10.9999696969697","227","","Cer-AP(t14:1/28:0)-H","680.6193","494.4568","439.4157","393.4102","167.1431","10.6999696969697","10.9999696969697","227"
"","Cer-AP(t14:1/28:0)-H",0,0,0,0,0,"10.5248181818182","10.8248181818182","1553","","Cer-AP(t14:1/28:0)-H",0,0,0,0,0,"10.5248181818182","10.8248181818182","1553","","Cer-AP(t14:1/28:0)-H",0,0,0,0,0,"10.5248181818182","10.8248181818182","1553","","Cer-AP(t14:1/28:0)-H",0,0,0,0,0,"10.5248181818182","10.8248181818182","1553","","Cer-AP(t14:1/28:0)-H",0,0,0,0,0,"10.5248181818182","10.8248181818182","1553","","Cer-AP(t14:1/28:0)-H","680.6193","494.4568","439.4157","393.4102","167.1431","10.5248181818182","10.8248181818182","1553"
"","Cer-AP(t14:1/28:1)-H",0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-AP(t14:1/28:1)-H",0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-AP(t14:1/28:1)-H",0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-AP(t14:1/28:1)-H",0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-AP(t14:1/28:1)-H",0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-AP(t14:1/28:1)-H","678.6036","492.4411","437.4","391.3945","167.1431","9.8607848484848","10.1607848484848","1372"
"","Cer-AP(t14:1/29:0)-H",1,0,0,0,0,"11.1295590909091","11.4295590909091","108","","Cer-AP(t14:1/29:0)-H",11.29021,0,0,0,0,"11.1295590909091","11.4295590909091","108","","Cer-AP(t14:1/29:0)-H",1,0,0,0,0,"11.1295590909091","11.4295590909091","108","","Cer-AP(t14:1/29:0)-H",8007.366,0,0,0,0,"11.1295590909091","11.4295590909091","108","","Cer-AP(t14:1/29:0)-H",694.6364,0,0,0,0,"11.1295590909091","11.4295590909091","108","","Cer-AP(t14:1/29:0)-H","694.6349","508.4724","453.4313","407.4258","167.1431","11.1295590909091","11.4295590909091","108"
