"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer-BDS","[M+HCO2]-","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer-BDS","[M+HCO2]-","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","Number of Scans","Cer-BDS","[M+HCO2]-","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","Max Intensity","Cer-BDS","[M+HCO2]-","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","Average m/z","Cer-BDS","[M+HCO2]-","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer-BDS","[M+HCO2]-","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment"
"","Cer-BDS(d18:0/42:2)+HCO2",0,0,0,0,0,0,"15.1107681818182","15.4107681818182","1559","","Cer-BDS(d18:0/42:2)+HCO2",0,0,0,0,0,0,"15.1107681818182","15.4107681818182","1559","","Cer-BDS(d18:0/42:2)+HCO2",0,0,0,0,0,0,"15.1107681818182","15.4107681818182","1559","","Cer-BDS(d18:0/42:2)+HCO2",0,0,0,0,0,0,"15.1107681818182","15.4107681818182","1559","","Cer-BDS(d18:0/42:2)+HCO2",0,0,0,0,0,0,"15.1107681818182","15.4107681818182","1559","","Cer-BDS(d18:0/42:2)+HCO2","960.8959","914.8904","342.3014","310.2751","300.2908","239.2381","15.1107681818182","15.4107681818182","1559"
"","Cer-BDS(d19:0/23:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d19:0/23:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d19:0/23:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d19:0/23:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d19:0/23:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d19:0/23:0)+HCO2","712.6455","666.64","356.317","324.2908","314.3065","253.2537","10.6707424242424","10.9707424242424","1131"
"","Cer-BDS(d19:0/23:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d19:0/23:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d19:0/23:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d19:0/23:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d19:0/23:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d19:0/23:1)+HCO2","710.6299","664.6244","356.317","324.2908","314.3065","253.2537","10.7806166666667","11.0806166666667","1422"
"","Cer-BDS(d20:0/22:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d20:0/22:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d20:0/22:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d20:0/22:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d20:0/22:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d20:0/22:0)+HCO2","712.6455","666.64","370.3327","338.3065","328.3221","267.2693","10.6707424242424","10.9707424242424","1131"
"","Cer-BDS(d20:0/22:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d20:0/22:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d20:0/22:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d20:0/22:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d20:0/22:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d20:0/22:1)+HCO2","710.6299","664.6244","370.3327","338.3065","328.3221","267.2693","10.7806166666667","11.0806166666667","1422"
"","Cer-BDS(d20:0/40:2)+HCO2",0,0,0,0,0,0,"15.1107681818182","15.4107681818182","1559","","Cer-BDS(d20:0/40:2)+HCO2",0,0,0,0,0,0,"15.1107681818182","15.4107681818182","1559","","Cer-BDS(d20:0/40:2)+HCO2",0,0,0,0,0,0,"15.1107681818182","15.4107681818182","1559","","Cer-BDS(d20:0/40:2)+HCO2",0,0,0,0,0,0,"15.1107681818182","15.4107681818182","1559","","Cer-BDS(d20:0/40:2)+HCO2",0,0,0,0,0,0,"15.1107681818182","15.4107681818182","1559","","Cer-BDS(d20:0/40:2)+HCO2","960.8959","914.8904","370.3327","338.3065","328.3221","267.2693","15.1107681818182","15.4107681818182","1559"
"","Cer-BDS(d21:0/21:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d21:0/21:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d21:0/21:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d21:0/21:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d21:0/21:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d21:0/21:0)+HCO2","712.6455","666.64","384.3483","352.3221","342.3378","281.285","10.6707424242424","10.9707424242424","1131"
"","Cer-BDS(d21:0/21:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d21:0/21:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d21:0/21:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d21:0/21:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d21:0/21:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d21:0/21:1)+HCO2","710.6299","664.6244","384.3483","352.3221","342.3378","281.285","10.7806166666667","11.0806166666667","1422"
"","Cer-BDS(d22:0/20:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d22:0/20:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d22:0/20:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d22:0/20:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d22:0/20:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d22:0/20:0)+HCO2","712.6455","666.64","398.364","366.3378","356.3534","295.3007","10.6707424242424","10.9707424242424","1131"
"","Cer-BDS(d22:0/20:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d22:0/20:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d22:0/20:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d22:0/20:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d22:0/20:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d22:0/20:1)+HCO2","710.6299","664.6244","398.364","366.3378","356.3534","295.3007","10.7806166666667","11.0806166666667","1422"
