"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer-ADS","[M+HCO2]-","[M-H]-","[M-O-H]-","[M-CO-H]-","[M-CO-O-H]-","[Sph-H]-","[Sph+C=O-3H]-","[Sph-O-H]-","[Sph+C=O-O-3H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer-ADS","[M+HCO2]-","[M-H]-","[M-O-H]-","[M-CO-H]-","[M-CO-O-H]-","[Sph-H]-","[Sph+C=O-3H]-","[Sph-O-H]-","[Sph+C=O-O-3H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Number of Scans","Cer-ADS","[M+HCO2]-","[M-H]-","[M-O-H]-","[M-CO-H]-","[M-CO-O-H]-","[Sph-H]-","[Sph+C=O-3H]-","[Sph-O-H]-","[Sph+C=O-O-3H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Max Intensity","Cer-ADS","[M+HCO2]-","[M-H]-","[M-O-H]-","[M-CO-H]-","[M-CO-O-H]-","[Sph-H]-","[Sph+C=O-3H]-","[Sph-O-H]-","[Sph+C=O-O-3H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Average m/z","Cer-ADS","[M+HCO2]-","[M-H]-","[M-O-H]-","[M-CO-H]-","[M-CO-O-H]-","[Sph-H]-","[Sph+C=O-3H]-","[Sph-O-H]-","[Sph+C=O-O-3H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer-ADS","[M+HCO2]-","[M-H]-","[M-O-H]-","[M-CO-H]-","[M-CO-O-H]-","[Sph-H]-","[Sph+C=O-3H]-","[Sph-O-H]-","[Sph+C=O-O-3H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment"
"","Cer-ADS(d18:0/42:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"15.1107681818182","15.4107681818182","1559","","Cer-ADS(d18:0/42:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"15.1107681818182","15.4107681818182","1559","","Cer-ADS(d18:0/42:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"15.1107681818182","15.4107681818182","1559","","Cer-ADS(d18:0/42:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"15.1107681818182","15.4107681818182","1559","","Cer-ADS(d18:0/42:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"15.1107681818182","15.4107681818182","1559","","Cer-ADS(d18:0/42:2)+HCO2","960.8959","914.8904","896.8799","882.8642","866.8693","300.2908","656.6346","282.2802","638.624","268.2646","613.5929","239.238","585.598","15.1107681818182","15.4107681818182","1559"
"","Cer-ADS(d19:0/23:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-ADS(d19:0/23:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-ADS(d19:0/23:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-ADS(d19:0/23:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-ADS(d19:0/23:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-ADS(d19:0/23:0)+HCO2","712.6455","666.64","648.6295","634.6138","618.6189","314.3065","394.3685","296.2959","376.3579","282.2802","351.3269","253.2537","323.3319","10.6707424242424","10.9707424242424","1131"
"","Cer-ADS(d19:0/23:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-ADS(d19:0/23:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-ADS(d19:0/23:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-ADS(d19:0/23:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-ADS(d19:0/23:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-ADS(d19:0/23:1)+HCO2","710.6299","664.6244","646.6138","632.5981","616.6033","314.3065","392.3529","296.2959","374.3423","282.2802","349.3112","253.2537","321.3163","10.7806166666667","11.0806166666667","1422"
"","Cer-ADS(d20:0/22:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-ADS(d20:0/22:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-ADS(d20:0/22:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-ADS(d20:0/22:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-ADS(d20:0/22:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-ADS(d20:0/22:0)+HCO2","712.6455","666.64","648.6295","634.6138","618.6189","328.3221","380.3529","310.3116","362.3423","296.2959","337.3112","267.2693","309.3163","10.6707424242424","10.9707424242424","1131"
"","Cer-ADS(d20:0/22:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-ADS(d20:0/22:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-ADS(d20:0/22:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-ADS(d20:0/22:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-ADS(d20:0/22:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-ADS(d20:0/22:1)+HCO2","710.6299","664.6244","646.6138","632.5981","616.6033","328.3221","378.3372","310.3116","360.3267","296.2959","335.2956","267.2693","307.3006","10.7806166666667","11.0806166666667","1422"
"","Cer-ADS(d20:0/40:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"15.1107681818182","15.4107681818182","1559","","Cer-ADS(d20:0/40:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"15.1107681818182","15.4107681818182","1559","","Cer-ADS(d20:0/40:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"15.1107681818182","15.4107681818182","1559","","Cer-ADS(d20:0/40:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"15.1107681818182","15.4107681818182","1559","","Cer-ADS(d20:0/40:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"15.1107681818182","15.4107681818182","1559","","Cer-ADS(d20:0/40:2)+HCO2","960.8959","914.8904","896.8799","882.8642","866.8693","328.3221","628.6033","310.3116","610.5927","296.2959","585.5616","267.2693","557.5667","15.1107681818182","15.4107681818182","1559"
"","Cer-ADS(d21:0/21:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-ADS(d21:0/21:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-ADS(d21:0/21:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-ADS(d21:0/21:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-ADS(d21:0/21:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-ADS(d21:0/21:0)+HCO2","712.6455","666.64","648.6295","634.6138","618.6189","342.3378","366.3372","324.3272","348.3267","310.3116","323.2956","281.285","295.3006","10.6707424242424","10.9707424242424","1131"
"","Cer-ADS(d21:0/21:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-ADS(d21:0/21:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-ADS(d21:0/21:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-ADS(d21:0/21:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-ADS(d21:0/21:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-ADS(d21:0/21:1)+HCO2","710.6299","664.6244","646.6138","632.5981","616.6033","342.3378","364.3216","324.3272","346.311","310.3116","321.2799","281.285","293.285","10.7806166666667","11.0806166666667","1422"
"","Cer-ADS(d22:0/20:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-ADS(d22:0/20:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-ADS(d22:0/20:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-ADS(d22:0/20:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-ADS(d22:0/20:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-ADS(d22:0/20:0)+HCO2","712.6455","666.64","648.6295","634.6138","618.6189","356.3534","352.3216","338.3428","334.311","324.3272","309.2799","295.3006","281.285","10.6707424242424","10.9707424242424","1131"
"","Cer-ADS(d22:0/20:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-ADS(d22:0/20:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-ADS(d22:0/20:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-ADS(d22:0/20:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-ADS(d22:0/20:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-ADS(d22:0/20:1)+HCO2","710.6299","664.6244","646.6138","632.5981","616.6033","356.3534","350.3059","338.3428","332.2953","324.3272","307.2643","295.3006","279.2693","10.7806166666667","11.0806166666667","1422"
