"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer-NDS","[M+HCO2]-","[M-H]-","[M-CO-3H]-","[M-CO-O-3H]-","[Sph-H]-","[FA+NCCO-3H]-","[FA+NCC-3H]-","[FA+N-H]-","[Sph-NCCO-3H]-","[FA-3H]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer-NDS","[M+HCO2]-","[M-H]-","[M-CO-3H]-","[M-CO-O-3H]-","[Sph-H]-","[FA+NCCO-3H]-","[FA+NCC-3H]-","[FA+N-H]-","[Sph-NCCO-3H]-","[FA-3H]-","RT_min","RT_max","Comment","Number of Scans","Cer-NDS","[M+HCO2]-","[M-H]-","[M-CO-3H]-","[M-CO-O-3H]-","[Sph-H]-","[FA+NCCO-3H]-","[FA+NCC-3H]-","[FA+N-H]-","[Sph-NCCO-3H]-","[FA-3H]-","RT_min","RT_max","Comment","Max Intensity","Cer-NDS","[M+HCO2]-","[M-H]-","[M-CO-3H]-","[M-CO-O-3H]-","[Sph-H]-","[FA+NCCO-3H]-","[FA+NCC-3H]-","[FA+N-H]-","[Sph-NCCO-3H]-","[FA-3H]-","RT_min","RT_max","Comment","Average m/z","Cer-NDS","[M+HCO2]-","[M-H]-","[M-CO-3H]-","[M-CO-O-3H]-","[Sph-H]-","[FA+NCCO-3H]-","[FA+NCC-3H]-","[FA+N-H]-","[Sph-NCCO-3H]-","[FA-3H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer-NDS","[M+HCO2]-","[M-H]-","[M-CO-3H]-","[M-CO-O-3H]-","[Sph-H]-","[FA+NCCO-3H]-","[FA+NCC-3H]-","[FA+N-H]-","[Sph-NCCO-3H]-","[FA-3H]-","RT_min","RT_max","Comment"
"","Cer-NDS(d14:0/28:1)+HCO2",1,1,0,1,0,0,0,0,0,0,"11.0714060606061","11.3714060606061","3271","","Cer-NDS(d14:0/28:1)+HCO2",11.29021,11.29021,11.29021,11.29021,0,0,0,0,0,0,"11.0714060606061","11.3714060606061","3271","","Cer-NDS(d14:0/28:1)+HCO2",1,2,1,1,0,0,0,0,0,0,"11.0714060606061","11.3714060606061","3271","","Cer-NDS(d14:0/28:1)+HCO2",8007.366,335871.2,793.6923,2095.437,0,0,0,0,0,0,"11.0714060606061","11.3714060606061","3271","","Cer-NDS(d14:0/28:1)+HCO2",694.6364,648.63095,616.6044,600.6101,0,0,0,0,0,0,"11.0714060606061","11.3714060606061","3271","","Cer-NDS(d14:0/28:1)+HCO2","694.6349","648.6295","616.6033","600.6083","244.2282","462.4311","446.4362","420.4211","183.1754","403.4183","11.0714060606061","11.3714060606061","3271"
"","Cer-NDS(d14:0/28:2)+HCO2",0,1,0,0,0,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-NDS(d14:0/28:2)+HCO2",10.4723,10.4723,0,0,0,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-NDS(d14:0/28:2)+HCO2",2,2,0,0,0,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-NDS(d14:0/28:2)+HCO2",774.0684,49953.16,0,0,0,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-NDS(d14:0/28:2)+HCO2",692.62145,646.61545,0,0,0,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-NDS(d14:0/28:2)+HCO2","692.6193","646.6138","614.5876","598.5927","244.2282","460.4155","444.4206","418.4054","183.1754","401.4027","10.3349015151515","10.6349015151515","366"
"","Cer-NDS(d14:0/28:2)+HCO2",0,1,0,0,0,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer-NDS(d14:0/28:2)+HCO2",10.4723,10.4723,0,0,0,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer-NDS(d14:0/28:2)+HCO2",2,2,0,0,0,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer-NDS(d14:0/28:2)+HCO2",774.0684,49953.16,0,0,0,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer-NDS(d14:0/28:2)+HCO2",692.62145,646.61545,0,0,0,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer-NDS(d14:0/28:2)+HCO2","692.6193","646.6138","614.5876","598.5927","244.2282","460.4155","444.4206","418.4054","183.1754","401.4027","10.1740090909091","10.4740090909091","470"
"","Cer-NDS(d14:0/29:1)+HCO2",0,1,0,0,0,0,0,0,0,0,"11.3712712121212","11.6712712121212","402","","Cer-NDS(d14:0/29:1)+HCO2",0,11.52146,0,0,0,0,0,0,0,0,"11.3712712121212","11.6712712121212","402","","Cer-NDS(d14:0/29:1)+HCO2",0,2,0,0,0,0,0,0,0,0,"11.3712712121212","11.6712712121212","402","","Cer-NDS(d14:0/29:1)+HCO2",0,44391.68,0,0,0,0,0,0,0,0,"11.3712712121212","11.6712712121212","402","","Cer-NDS(d14:0/29:1)+HCO2",0,662.64675,0,0,0,0,0,0,0,0,"11.3712712121212","11.6712712121212","402","","Cer-NDS(d14:0/29:1)+HCO2","708.6506","662.6451","630.6189","614.624","244.2282","476.4468","460.4518","434.4367","183.1754","417.434","11.3712712121212","11.6712712121212","402"
"","Cer-NDS(d14:0/29:1)+HCO2",0,1,0,0,0,0,0,0,0,0,"11.5306954545455","11.8306954545455","2733","","Cer-NDS(d14:0/29:1)+HCO2",0,11.66083,0,0,0,0,0,0,0,0,"11.5306954545455","11.8306954545455","2733","","Cer-NDS(d14:0/29:1)+HCO2",0,1,0,0,0,0,0,0,0,0,"11.5306954545455","11.8306954545455","2733","","Cer-NDS(d14:0/29:1)+HCO2",0,27088.57,0,0,0,0,0,0,0,0,"11.5306954545455","11.8306954545455","2733","","Cer-NDS(d14:0/29:1)+HCO2",0,662.6468,0,0,0,0,0,0,0,0,"11.5306954545455","11.8306954545455","2733","","Cer-NDS(d14:0/29:1)+HCO2","708.6506","662.6451","630.6189","614.624","244.2282","476.4468","460.4518","434.4367","183.1754","417.434","11.5306954545455","11.8306954545455","2733"
"","Cer-NDS(d14:0/30:0)+HCO2",0,0,0,0,0,0,0,0,0,0,"12.1783683333333","12.4783683333333","3694","","Cer-NDS(d14:0/30:0)+HCO2",0,0,0,0,0,0,0,0,0,0,"12.1783683333333","12.4783683333333","3694","","Cer-NDS(d14:0/30:0)+HCO2",0,0,0,0,0,0,0,0,0,0,"12.1783683333333","12.4783683333333","3694","","Cer-NDS(d14:0/30:0)+HCO2",0,0,0,0,0,0,0,0,0,0,"12.1783683333333","12.4783683333333","3694","","Cer-NDS(d14:0/30:0)+HCO2",0,0,0,0,0,0,0,0,0,0,"12.1783683333333","12.4783683333333","3694","","Cer-NDS(d14:0/30:0)+HCO2","724.6819","678.6765","646.6502","630.6553","244.2282","492.4781","476.4832","450.468","183.1754","433.4653","12.1783683333333","12.4783683333333","3694"
"","Cer-NDS(d14:0/30:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"11.9297696969697","12.2297696969697","759","","Cer-NDS(d14:0/30:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"11.9297696969697","12.2297696969697","759","","Cer-NDS(d14:0/30:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"11.9297696969697","12.2297696969697","759","","Cer-NDS(d14:0/30:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"11.9297696969697","12.2297696969697","759","","Cer-NDS(d14:0/30:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"11.9297696969697","12.2297696969697","759","","Cer-NDS(d14:0/30:1)+HCO2","722.6663","676.6608","644.6346","628.6396","244.2282","490.4624","474.4675","448.4524","183.1754","431.4496","11.9297696969697","12.2297696969697","759"
"","Cer-NDS(d15:0/23:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer-NDS(d15:0/23:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer-NDS(d15:0/23:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer-NDS(d15:0/23:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer-NDS(d15:0/23:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer-NDS(d15:0/23:1)+HCO2","638.5723","592.5669","560.5406","544.5457","258.2439","392.3529","376.3579","350.3428","197.1911","333.3401","9.27443484848485","9.57443484848485","1335"
"","Cer-NDS(d15:0/24:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer-NDS(d15:0/24:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer-NDS(d15:0/24:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer-NDS(d15:0/24:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer-NDS(d15:0/24:1)+HCO2",0,0,0,0,0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer-NDS(d15:0/24:1)+HCO2","652.588","606.5825","574.5563","558.5614","258.2439","406.3685","390.3736","364.3585","197.1911","347.3557","9.77759848484848","10.0775984848485","3025"
"","Cer-NDS(d15:0/25:0)+HCO2",0,1,0,0,0,0,0,0,0,0,"10.5709893939394","10.8709893939394","708","","Cer-NDS(d15:0/25:0)+HCO2",0,10.73891,0,0,0,0,0,0,0,0,"10.5709893939394","10.8709893939394","708","","Cer-NDS(d15:0/25:0)+HCO2",0,1,0,0,0,0,0,0,0,0,"10.5709893939394","10.8709893939394","708","","Cer-NDS(d15:0/25:0)+HCO2",0,10931.03,0,0,0,0,0,0,0,0,"10.5709893939394","10.8709893939394","708","","Cer-NDS(d15:0/25:0)+HCO2",0,622.6153,0,0,0,0,0,0,0,0,"10.5709893939394","10.8709893939394","708","","Cer-NDS(d15:0/25:0)+HCO2","668.6193","622.6138","590.5876","574.5927","258.2439","422.3998","406.4049","380.3898","197.1911","363.3871","10.5709893939394","10.8709893939394","708"
