"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxPE","[M-H]-","FA SN2","FA SN2-H2O","FA SN2-2H2O","FA SN1","C5H11NO5P","RT_min","RT_max","Comment","RT at Max Intensity","OxPE","[M-H]-","FA SN2","FA SN2-H2O","FA SN2-2H2O","FA SN1","C5H11NO5P","RT_min","RT_max","Comment","Number of Scans","OxPE","[M-H]-","FA SN2","FA SN2-H2O","FA SN2-2H2O","FA SN1","C5H11NO5P","RT_min","RT_max","Comment","Max Intensity","OxPE","[M-H]-","FA SN2","FA SN2-H2O","FA SN2-2H2O","FA SN1","C5H11NO5P","RT_min","RT_max","Comment","Average m/z","OxPE","[M-H]-","FA SN2","FA SN2-H2O","FA SN2-2H2O","FA SN1","C5H11NO5P","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxPE","[M-H]-","FA SN2","FA SN2-H2O","FA SN2-2H2O","FA SN1","C5H11NO5P","RT_min","RT_max","Comment"
"","OxPE(18:0_20:3(2O))-H",1,0,0,0,0,0,"5.38637727272727","5.68637727272727","185","","OxPE(18:0_20:3(2O))-H",5.500496,0,0,0,0,0,"5.38637727272727","5.68637727272727","185","","OxPE(18:0_20:3(2O))-H",2,0,0,0,0,0,"5.38637727272727","5.68637727272727","185","","OxPE(18:0_20:3(2O))-H",9038.361,0,0,0,0,0,"5.38637727272727","5.68637727272727","185","","OxPE(18:0_20:3(2O))-H",800.54545,0,0,0,0,0,"5.38637727272727","5.68637727272727","185","","OxPE(18:0_20:3(2O))-H","800.5442","337.2384","319.2279","301.2173","283.2635","196.038","5.38637727272727","5.68637727272727","185"
"","OxPE(18:0_20:3(2O))-H",1,0,0,0,0,0,"5.13399242424242","5.43399242424242","191","","OxPE(18:0_20:3(2O))-H",5.235445,0,0,0,0,0,"5.13399242424242","5.43399242424242","191","","OxPE(18:0_20:3(2O))-H",2,0,0,0,0,0,"5.13399242424242","5.43399242424242","191","","OxPE(18:0_20:3(2O))-H",8043.59,0,0,0,0,0,"5.13399242424242","5.43399242424242","191","","OxPE(18:0_20:3(2O))-H",800.54535,0,0,0,0,0,"5.13399242424242","5.43399242424242","191","","OxPE(18:0_20:3(2O))-H","800.5442","337.2384","319.2279","301.2173","283.2635","196.038","5.13399242424242","5.43399242424242","191"
"","OxPE(18:0_20:3(2O))-H",1,0,0,0,0,0,"5.5910696969697","5.8910696969697","244","","OxPE(18:0_20:3(2O))-H",5.76282,0,0,0,0,0,"5.5910696969697","5.8910696969697","244","","OxPE(18:0_20:3(2O))-H",2,0,0,0,0,0,"5.5910696969697","5.8910696969697","244","","OxPE(18:0_20:3(2O))-H",7286.93,0,0,0,0,0,"5.5910696969697","5.8910696969697","244","","OxPE(18:0_20:3(2O))-H",800.54575,0,0,0,0,0,"5.5910696969697","5.8910696969697","244","","OxPE(18:0_20:3(2O))-H","800.5442","337.2384","319.2279","301.2173","283.2635","196.038","5.5910696969697","5.8910696969697","244"
"","OxPE(18:0_20:3(2O(1Cyc)))-H",0,0,0,0,0,0,"4.7790303030303","5.0790303030303","844","","OxPE(18:0_20:3(2O(1Cyc)))-H",0,0,0,0,0,0,"4.7790303030303","5.0790303030303","844","","OxPE(18:0_20:3(2O(1Cyc)))-H",0,0,0,0,0,0,"4.7790303030303","5.0790303030303","844","","OxPE(18:0_20:3(2O(1Cyc)))-H",0,0,0,0,0,0,"4.7790303030303","5.0790303030303","844","","OxPE(18:0_20:3(2O(1Cyc)))-H",0,0,0,0,0,0,"4.7790303030303","5.0790303030303","844","","OxPE(18:0_20:3(2O(1Cyc)))-H","798.5285","335.2228","317.2122","0.01","283.2635","196.038","4.7790303030303","5.0790303030303","844"
"","OxPE(18:0_20:3(2O(1Cyc)))-H",0,0,0,0,0,0,"6.00865757575758","6.30865757575758","1893","","OxPE(18:0_20:3(2O(1Cyc)))-H",0,0,0,0,0,0,"6.00865757575758","6.30865757575758","1893","","OxPE(18:0_20:3(2O(1Cyc)))-H",0,0,0,0,0,0,"6.00865757575758","6.30865757575758","1893","","OxPE(18:0_20:3(2O(1Cyc)))-H",0,0,0,0,0,0,"6.00865757575758","6.30865757575758","1893","","OxPE(18:0_20:3(2O(1Cyc)))-H",0,0,0,0,0,0,"6.00865757575758","6.30865757575758","1893","","OxPE(18:0_20:3(2O(1Cyc)))-H","798.5285","335.2228","317.2122","0.01","283.2635","196.038","6.00865757575758","6.30865757575758","1893"
"","OxPE(18:0_20:4(2O))-H",0,0,0,0,0,0,"4.7790303030303","5.0790303030303","844","","OxPE(18:0_20:4(2O))-H",0,0,0,0,0,0,"4.7790303030303","5.0790303030303","844","","OxPE(18:0_20:4(2O))-H",0,0,0,0,0,0,"4.7790303030303","5.0790303030303","844","","OxPE(18:0_20:4(2O))-H",0,0,0,0,0,0,"4.7790303030303","5.0790303030303","844","","OxPE(18:0_20:4(2O))-H",0,0,0,0,0,0,"4.7790303030303","5.0790303030303","844","","OxPE(18:0_20:4(2O))-H","798.5285","335.2228","317.2122","299.2017","283.2635","196.038","4.7790303030303","5.0790303030303","844"
"","OxPE(18:0_20:4(2O))-H",0,0,0,0,0,0,"6.00865757575758","6.30865757575758","1893","","OxPE(18:0_20:4(2O))-H",0,0,0,0,0,0,"6.00865757575758","6.30865757575758","1893","","OxPE(18:0_20:4(2O))-H",0,0,0,0,0,0,"6.00865757575758","6.30865757575758","1893","","OxPE(18:0_20:4(2O))-H",0,0,0,0,0,0,"6.00865757575758","6.30865757575758","1893","","OxPE(18:0_20:4(2O))-H",0,0,0,0,0,0,"6.00865757575758","6.30865757575758","1893","","OxPE(18:0_20:4(2O))-H","798.5285","335.2228","317.2122","299.2017","283.2635","196.038","6.00865757575758","6.30865757575758","1893"
"","OxPE(18:0_20:5(2O))-H",0,0,0,0,0,0,"5.74913636363636","6.04913636363636","976","","OxPE(18:0_20:5(2O))-H",0,0,0,0,0,0,"5.74913636363636","6.04913636363636","976","","OxPE(18:0_20:5(2O))-H",0,0,0,0,0,0,"5.74913636363636","6.04913636363636","976","","OxPE(18:0_20:5(2O))-H",0,0,0,0,0,0,"5.74913636363636","6.04913636363636","976","","OxPE(18:0_20:5(2O))-H",0,0,0,0,0,0,"5.74913636363636","6.04913636363636","976","","OxPE(18:0_20:5(2O))-H","796.5129","333.2071","315.1966","297.186","283.2635","196.038","5.74913636363636","6.04913636363636","976"
"","OxPE(18:0_22:5(2O))-H",1,0,0,0,0,0,"5.23841363636364","5.53841363636364","104","","OxPE(18:0_22:5(2O))-H",5.362202,0,0,0,0,0,"5.23841363636364","5.53841363636364","104","","OxPE(18:0_22:5(2O))-H",2,0,0,0,0,0,"5.23841363636364","5.53841363636364","104","","OxPE(18:0_22:5(2O))-H",22206.33,0,0,0,0,0,"5.23841363636364","5.53841363636364","104","","OxPE(18:0_22:5(2O))-H",824.54545,0,0,0,0,0,"5.23841363636364","5.53841363636364","104","","OxPE(18:0_22:5(2O))-H","824.5442","361.2384","343.2279","325.2173","283.2635","196.038","5.23841363636364","5.53841363636364","104"
"","OxPE(18:0_22:5(2O))-H",0,0,0,0,0,0,"4.93768939393939","5.23768939393939","489","","OxPE(18:0_22:5(2O))-H",0,0,0,0,0,0,"4.93768939393939","5.23768939393939","489","","OxPE(18:0_22:5(2O))-H",0,0,0,0,0,0,"4.93768939393939","5.23768939393939","489","","OxPE(18:0_22:5(2O))-H",0,0,0,0,0,0,"4.93768939393939","5.23768939393939","489","","OxPE(18:0_22:5(2O))-H",0,0,0,0,0,0,"4.93768939393939","5.23768939393939","489","","OxPE(18:0_22:5(2O))-H","824.5442","361.2384","343.2279","325.2173","283.2635","196.038","4.93768939393939","5.23768939393939","489"
