"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer-EOS","[M+HCO2]-","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer-EOS","[M+HCO2]-","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","Number of Scans","Cer-EOS","[M+HCO2]-","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","Max Intensity","Cer-EOS","[M+HCO2]-","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","Average m/z","Cer-EOS","[M+HCO2]-","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer-EOS","[M+HCO2]-","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment"
"","Cer-EOS(d14:1/13:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"9.27028333333333","9.57028333333333","359","","Cer-EOS(d14:1/13:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"9.27028333333333","9.57028333333333","359","","Cer-EOS(d14:1/13:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"9.27028333333333","9.57028333333333","359","","Cer-EOS(d14:1/13:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"9.27028333333333","9.57028333333333","359","","Cer-EOS(d14:1/13:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"9.27028333333333","9.57028333333333","359","","Cer-EOS(d14:1/13:1-O-14:1)+HCO2","706.5622","660.5567","452.374","252.1969","225.186","226.1813","181.1598","9.27028333333333","9.57028333333333","359"
"","Cer-EOS(d14:1/14:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"9.7723","10.0723","607","","Cer-EOS(d14:1/14:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"9.7723","10.0723","607","","Cer-EOS(d14:1/14:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"9.7723","10.0723","607","","Cer-EOS(d14:1/14:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"9.7723","10.0723","607","","Cer-EOS(d14:1/14:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"9.7723","10.0723","607","","Cer-EOS(d14:1/14:1-O-14:1)+HCO2","720.5778","674.5723","466.3896","266.2126","225.186","240.1969","181.1598","9.7723","10.0723","607"
"","Cer-EOS(d14:1/15:0-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","Cer-EOS(d14:1/15:0-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","Cer-EOS(d14:1/15:0-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","Cer-EOS(d14:1/15:0-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","Cer-EOS(d14:1/15:0-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","Cer-EOS(d14:1/15:0-O-14:1)+HCO2","736.6091","690.6036","482.4209","282.2439","225.186","256.2282","181.1598","10.5703878787879","10.8703878787879","306"
"","Cer-EOS(d14:1/15:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.2551090909091","10.5551090909091","171","","Cer-EOS(d14:1/15:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.2551090909091","10.5551090909091","171","","Cer-EOS(d14:1/15:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.2551090909091","10.5551090909091","171","","Cer-EOS(d14:1/15:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.2551090909091","10.5551090909091","171","","Cer-EOS(d14:1/15:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.2551090909091","10.5551090909091","171","","Cer-EOS(d14:1/15:1-O-14:1)+HCO2","734.5935","688.588","480.4053","280.2282","225.186","254.2126","181.1598","10.2551090909091","10.5551090909091","171"
"","Cer-EOS(d14:1/15:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.0804848484848","10.3804848484848","4126","","Cer-EOS(d14:1/15:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.0804848484848","10.3804848484848","4126","","Cer-EOS(d14:1/15:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.0804848484848","10.3804848484848","4126","","Cer-EOS(d14:1/15:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.0804848484848","10.3804848484848","4126","","Cer-EOS(d14:1/15:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.0804848484848","10.3804848484848","4126","","Cer-EOS(d14:1/15:1-O-14:1)+HCO2","734.5935","688.588","480.4053","280.2282","225.186","254.2126","181.1598","10.0804848484848","10.3804848484848","4126"
"","Cer-EOS(d14:1/16:0-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer-EOS(d14:1/16:0-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer-EOS(d14:1/16:0-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer-EOS(d14:1/16:0-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer-EOS(d14:1/16:0-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer-EOS(d14:1/16:0-O-14:1)+HCO2","750.6248","704.6193","496.4366","296.2595","225.186","270.2439","181.1598","11.0025560606061","11.3025560606061","394"
"","Cer-EOS(d14:1/16:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.6981590909091","10.9981590909091","136","","Cer-EOS(d14:1/16:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.6981590909091","10.9981590909091","136","","Cer-EOS(d14:1/16:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.6981590909091","10.9981590909091","136","","Cer-EOS(d14:1/16:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.6981590909091","10.9981590909091","136","","Cer-EOS(d14:1/16:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.6981590909091","10.9981590909091","136","","Cer-EOS(d14:1/16:1-O-14:1)+HCO2","748.6091","702.6036","494.4209","294.2439","225.186","268.2282","181.1598","10.6981590909091","10.9981590909091","136"
"","Cer-EOS(d14:1/16:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.5236848484849","10.8236848484849","675","","Cer-EOS(d14:1/16:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.5236848484849","10.8236848484849","675","","Cer-EOS(d14:1/16:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.5236848484849","10.8236848484849","675","","Cer-EOS(d14:1/16:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.5236848484849","10.8236848484849","675","","Cer-EOS(d14:1/16:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.5236848484849","10.8236848484849","675","","Cer-EOS(d14:1/16:1-O-14:1)+HCO2","748.6091","702.6036","494.4209","294.2439","225.186","268.2282","181.1598","10.5236848484849","10.8236848484849","675"
"","Cer-EOS(d14:1/16:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"9.8612878787879","10.1612878787879","804","","Cer-EOS(d14:1/16:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"9.8612878787879","10.1612878787879","804","","Cer-EOS(d14:1/16:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"9.8612878787879","10.1612878787879","804","","Cer-EOS(d14:1/16:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"9.8612878787879","10.1612878787879","804","","Cer-EOS(d14:1/16:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"9.8612878787879","10.1612878787879","804","","Cer-EOS(d14:1/16:2-O-14:1)+HCO2","746.5935","700.588","492.4053","292.2282","225.186","266.2126","181.1598","9.8612878787879","10.1612878787879","804"
"","Cer-EOS(d14:1/16:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"9.71900606060606","10.0190060606061","2981","","Cer-EOS(d14:1/16:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"9.71900606060606","10.0190060606061","2981","","Cer-EOS(d14:1/16:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"9.71900606060606","10.0190060606061","2981","","Cer-EOS(d14:1/16:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"9.71900606060606","10.0190060606061","2981","","Cer-EOS(d14:1/16:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"9.71900606060606","10.0190060606061","2981","","Cer-EOS(d14:1/16:2-O-14:1)+HCO2","746.5935","700.588","492.4053","292.2282","225.186","266.2126","181.1598","9.71900606060606","10.0190060606061","2981"
