"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","FAHFA","[M-H]-","[HFA-H]-","[HFA-H-H2O]-","[FA-H]-","RT_min","RT_max","Comment","RT at Max Intensity","FAHFA","[M-H]-","[HFA-H]-","[HFA-H-H2O]-","[FA-H]-","RT_min","RT_max","Comment","Number of Scans","FAHFA","[M-H]-","[HFA-H]-","[HFA-H-H2O]-","[FA-H]-","RT_min","RT_max","Comment","Max Intensity","FAHFA","[M-H]-","[HFA-H]-","[HFA-H-H2O]-","[FA-H]-","RT_min","RT_max","Comment","Average m/z","FAHFA","[M-H]-","[HFA-H]-","[HFA-H-H2O]-","[FA-H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","FAHFA","[M-H]-","[HFA-H]-","[HFA-H-H2O]-","[FA-H]-","RT_min","RT_max","Comment"
"","FAHFA(3:0/24:0)-H",0,0,0,0,"1.72563787878788","2.02563787878788","4178","","FAHFA(3:0/24:0)-H",0,0,0,0,"1.72563787878788","2.02563787878788","4178","","FAHFA(3:0/24:0)-H",0,0,0,0,"1.72563787878788","2.02563787878788","4178","","FAHFA(3:0/24:0)-H",0,0,0,0,"1.72563787878788","2.02563787878788","4178","","FAHFA(3:0/24:0)-H",0,0,0,0,"1.72563787878788","2.02563787878788","4178","","FAHFA(3:0/24:0)-H","439.3793","383.3531","365.3425","73.0295","1.72563787878788","2.02563787878788","4178"
"","FAHFA(4:0/15:0)-H",0,0,0,0,"1.83388181818182","2.13388181818182","2119","","FAHFA(4:0/15:0)-H",0,0,0,0,"1.83388181818182","2.13388181818182","2119","","FAHFA(4:0/15:0)-H",0,0,0,0,"1.83388181818182","2.13388181818182","2119","","FAHFA(4:0/15:0)-H",0,0,0,0,"1.83388181818182","2.13388181818182","2119","","FAHFA(4:0/15:0)-H",0,0,0,0,"1.83388181818182","2.13388181818182","2119","","FAHFA(4:0/15:0)-H","327.2541","257.2122","239.2016","87.04515","1.83388181818182","2.13388181818182","2119"
"","FAHFA(4:0/15:1)-H",0,0,0,0,"1.36632575757576","1.66632575757576","2882","","FAHFA(4:0/15:1)-H",0,0,0,0,"1.36632575757576","1.66632575757576","2882","","FAHFA(4:0/15:1)-H",0,0,0,0,"1.36632575757576","1.66632575757576","2882","","FAHFA(4:0/15:1)-H",0,0,0,0,"1.36632575757576","1.66632575757576","2882","","FAHFA(4:0/15:1)-H",0,0,0,0,"1.36632575757576","1.66632575757576","2882","","FAHFA(4:0/15:1)-H","325.2384","255.1966","237.186","87.04515","1.36632575757576","1.66632575757576","2882"
"","FAHFA(4:0/22:0)-H",0,0,0,0,"2.17962575757576","2.47962575757576","1277","","FAHFA(4:0/22:0)-H",0,0,0,0,"2.17962575757576","2.47962575757576","1277","","FAHFA(4:0/22:0)-H",0,0,0,0,"2.17962575757576","2.47962575757576","1277","","FAHFA(4:0/22:0)-H",0,0,0,0,"2.17962575757576","2.47962575757576","1277","","FAHFA(4:0/22:0)-H",0,0,0,0,"2.17962575757576","2.47962575757576","1277","","FAHFA(4:0/22:0)-H","425.3636","355.3218","337.3112","87.04515","2.17962575757576","2.47962575757576","1277"
"","FAHFA(4:0/23:0)-H",0,0,0,0,"1.72563787878788","2.02563787878788","4178","","FAHFA(4:0/23:0)-H",0,0,0,0,"1.72563787878788","2.02563787878788","4178","","FAHFA(4:0/23:0)-H",0,0,0,0,"1.72563787878788","2.02563787878788","4178","","FAHFA(4:0/23:0)-H",0,0,0,0,"1.72563787878788","2.02563787878788","4178","","FAHFA(4:0/23:0)-H",0,0,0,0,"1.72563787878788","2.02563787878788","4178","","FAHFA(4:0/23:0)-H","439.3793","369.3374","351.3268","87.04515","1.72563787878788","2.02563787878788","4178"
"","FAHFA(4:0/24:2)-H",0,0,0,0,"2.09649242424242","2.39649242424242","1686","","FAHFA(4:0/24:2)-H",0,0,0,0,"2.09649242424242","2.39649242424242","1686","","FAHFA(4:0/24:2)-H",0,0,0,0,"2.09649242424242","2.39649242424242","1686","","FAHFA(4:0/24:2)-H",0,0,0,0,"2.09649242424242","2.39649242424242","1686","","FAHFA(4:0/24:2)-H",0,0,0,0,"2.09649242424242","2.39649242424242","1686","","FAHFA(4:0/24:2)-H","449.3636","379.3218","361.3112","87.04515","2.09649242424242","2.39649242424242","1686"
"","FAHFA(4:0/24:4)-H",1,0,0,0,"1.69611212121212","1.99611212121212","638","","FAHFA(4:0/24:4)-H",1.860396,0,0,0,"1.69611212121212","1.99611212121212","638","","FAHFA(4:0/24:4)-H",1,0,0,0,"1.69611212121212","1.99611212121212","638","","FAHFA(4:0/24:4)-H",56801.45,0,0,0,"1.69611212121212","1.99611212121212","638","","FAHFA(4:0/24:4)-H",445.3327,0,0,0,"1.69611212121212","1.99611212121212","638","","FAHFA(4:0/24:4)-H","445.3323","375.2905","357.2799","87.04515","1.69611212121212","1.99611212121212","638"
"","FAHFA(4:0/24:4)-H",1,0,0,0,"1.61559393939394","1.91559393939394","2790","","FAHFA(4:0/24:4)-H",1.860396,0,0,0,"1.61559393939394","1.91559393939394","2790","","FAHFA(4:0/24:4)-H",1,0,0,0,"1.61559393939394","1.91559393939394","2790","","FAHFA(4:0/24:4)-H",56801.45,0,0,0,"1.61559393939394","1.91559393939394","2790","","FAHFA(4:0/24:4)-H",445.3327,0,0,0,"1.61559393939394","1.91559393939394","2790","","FAHFA(4:0/24:4)-H","445.3323","375.2905","357.2799","87.04515","1.61559393939394","1.91559393939394","2790"
"","FAHFA(4:0/26:4)-H",0,0,0,0,"1.93971363636364","2.23971363636364","1765","","FAHFA(4:0/26:4)-H",0,0,0,0,"1.93971363636364","2.23971363636364","1765","","FAHFA(4:0/26:4)-H",0,0,0,0,"1.93971363636364","2.23971363636364","1765","","FAHFA(4:0/26:4)-H",0,0,0,0,"1.93971363636364","2.23971363636364","1765","","FAHFA(4:0/26:4)-H",0,0,0,0,"1.93971363636364","2.23971363636364","1765","","FAHFA(4:0/26:4)-H","473.3636","403.3218","385.3112","87.04515","1.93971363636364","2.23971363636364","1765"
"","FAHFA(4:0/26:4)-H",0,0,0,0,"2.15844696969697","2.45844696969697","3115","","FAHFA(4:0/26:4)-H",0,0,0,0,"2.15844696969697","2.45844696969697","3115","","FAHFA(4:0/26:4)-H",0,0,0,0,"2.15844696969697","2.45844696969697","3115","","FAHFA(4:0/26:4)-H",0,0,0,0,"2.15844696969697","2.45844696969697","3115","","FAHFA(4:0/26:4)-H",0,0,0,0,"2.15844696969697","2.45844696969697","3115","","FAHFA(4:0/26:4)-H","473.3636","403.3218","385.3112","87.04515","2.15844696969697","2.45844696969697","3115"
"","FAHFA(5:0/14:0)-H",0,0,0,0,"1.83388181818182","2.13388181818182","2119","","FAHFA(5:0/14:0)-H",0,0,0,0,"1.83388181818182","2.13388181818182","2119","","FAHFA(5:0/14:0)-H",0,0,0,0,"1.83388181818182","2.13388181818182","2119","","FAHFA(5:0/14:0)-H",0,0,0,0,"1.83388181818182","2.13388181818182","2119","","FAHFA(5:0/14:0)-H",0,0,0,0,"1.83388181818182","2.13388181818182","2119","","FAHFA(5:0/14:0)-H","327.2541","243.1966","225.186","101.0608","1.83388181818182","2.13388181818182","2119"
"","FAHFA(5:0/14:1)-H",0,0,0,0,"1.36632575757576","1.66632575757576","2882","","FAHFA(5:0/14:1)-H",0,0,0,0,"1.36632575757576","1.66632575757576","2882","","FAHFA(5:0/14:1)-H",0,0,0,0,"1.36632575757576","1.66632575757576","2882","","FAHFA(5:0/14:1)-H",0,0,0,0,"1.36632575757576","1.66632575757576","2882","","FAHFA(5:0/14:1)-H",0,0,0,0,"1.36632575757576","1.66632575757576","2882","","FAHFA(5:0/14:1)-H","325.2384","241.1809","223.1703","101.0608","1.36632575757576","1.66632575757576","2882"
"","FAHFA(5:0/21:0)-H",0,0,0,0,"2.17962575757576","2.47962575757576","1277","","FAHFA(5:0/21:0)-H",0,0,0,0,"2.17962575757576","2.47962575757576","1277","","FAHFA(5:0/21:0)-H",0,0,0,0,"2.17962575757576","2.47962575757576","1277","","FAHFA(5:0/21:0)-H",0,0,0,0,"2.17962575757576","2.47962575757576","1277","","FAHFA(5:0/21:0)-H",0,0,0,0,"2.17962575757576","2.47962575757576","1277","","FAHFA(5:0/21:0)-H","425.3636","341.3061","323.2956","101.0608","2.17962575757576","2.47962575757576","1277"
"","FAHFA(5:0/22:0)-H",0,0,0,0,"1.72563787878788","2.02563787878788","4178","","FAHFA(5:0/22:0)-H",0,0,0,0,"1.72563787878788","2.02563787878788","4178","","FAHFA(5:0/22:0)-H",0,0,0,0,"1.72563787878788","2.02563787878788","4178","","FAHFA(5:0/22:0)-H",0,0,0,0,"1.72563787878788","2.02563787878788","4178","","FAHFA(5:0/22:0)-H",0,0,0,0,"1.72563787878788","2.02563787878788","4178","","FAHFA(5:0/22:0)-H","439.3793","355.3218","337.3112","101.0608","1.72563787878788","2.02563787878788","4178"
