"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","HexCer-AP","[M+HCO2]-","[M-H]-","[M-C6H10O5-H]-","[FA+NC(C)CO-H]-","[FA+NCC-3H]-","[FA+O-H]-","[C6H12O6-H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","RT at Max Intensity","HexCer-AP","[M+HCO2]-","[M-H]-","[M-C6H10O5-H]-","[FA+NC(C)CO-H]-","[FA+NCC-3H]-","[FA+O-H]-","[C6H12O6-H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Number of Scans","HexCer-AP","[M+HCO2]-","[M-H]-","[M-C6H10O5-H]-","[FA+NC(C)CO-H]-","[FA+NCC-3H]-","[FA+O-H]-","[C6H12O6-H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Max Intensity","HexCer-AP","[M+HCO2]-","[M-H]-","[M-C6H10O5-H]-","[FA+NC(C)CO-H]-","[FA+NCC-3H]-","[FA+O-H]-","[C6H12O6-H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Average m/z","HexCer-AP","[M+HCO2]-","[M-H]-","[M-C6H10O5-H]-","[FA+NC(C)CO-H]-","[FA+NCC-3H]-","[FA+O-H]-","[C6H12O6-H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","HexCer-AP","[M+HCO2]-","[M-H]-","[M-C6H10O5-H]-","[FA+NC(C)CO-H]-","[FA+NCC-3H]-","[FA+O-H]-","[C6H12O6-H]-","[FA-CO-3H]-","RT_min","RT_max","Comment"
"","HexCer-AP(t21:2/22:2)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","HexCer-AP(t21:2/22:2)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","HexCer-AP(t21:2/22:2)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","HexCer-AP(t21:2/22:2)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","HexCer-AP(t21:2/22:2)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","HexCer-AP(t21:2/22:2)+HCO2","896.6463","850.6408","688.588","406.3316","376.321","351.2905","179.0556","305.285","9.57360303030303","9.87360303030303","721"
"","HexCer-AP(t21:2/24:2)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","HexCer-AP(t21:2/24:2)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","HexCer-AP(t21:2/24:2)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","HexCer-AP(t21:2/24:2)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","HexCer-AP(t21:2/24:2)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","HexCer-AP(t21:2/24:2)+HCO2","924.6776","878.6721","716.6193","434.3629","404.3523","379.3218","179.0556","333.3163","10.4961333333333","10.7961333333333","518"
"","HexCer-AP(t22:2/22:2)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","HexCer-AP(t22:2/22:2)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","HexCer-AP(t22:2/22:2)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","HexCer-AP(t22:2/22:2)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","HexCer-AP(t22:2/22:2)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","HexCer-AP(t22:2/22:2)+HCO2","910.6619","864.6565","702.6036","406.3316","376.321","351.2905","179.0556","305.285","10.0432939393939","10.3432939393939","1021"
"","HexCer-AP(t23:2/20:2)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","HexCer-AP(t23:2/20:2)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","HexCer-AP(t23:2/20:2)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","HexCer-AP(t23:2/20:2)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","HexCer-AP(t23:2/20:2)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","HexCer-AP(t23:2/20:2)+HCO2","896.6463","850.6408","688.588","378.3003","348.2897","323.2592","179.0556","277.2537","9.57360303030303","9.87360303030303","721"
"","HexCer-AP(t23:2/22:2)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","HexCer-AP(t23:2/22:2)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","HexCer-AP(t23:2/22:2)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","HexCer-AP(t23:2/22:2)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","HexCer-AP(t23:2/22:2)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","HexCer-AP(t23:2/22:2)+HCO2","924.6776","878.6721","716.6193","406.3316","376.321","351.2905","179.0556","305.285","10.4961333333333","10.7961333333333","518"
"","HexCer-AP(t24:2/20:2)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","HexCer-AP(t24:2/20:2)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","HexCer-AP(t24:2/20:2)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","HexCer-AP(t24:2/20:2)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","HexCer-AP(t24:2/20:2)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","HexCer-AP(t24:2/20:2)+HCO2","910.6619","864.6565","702.6036","378.3003","348.2897","323.2592","179.0556","277.2537","10.0432939393939","10.3432939393939","1021"
"","HexCer-AP(t25:2/18:2)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","HexCer-AP(t25:2/18:2)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","HexCer-AP(t25:2/18:2)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","HexCer-AP(t25:2/18:2)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","HexCer-AP(t25:2/18:2)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","HexCer-AP(t25:2/18:2)+HCO2","896.6463","850.6408","688.588","350.269","320.2584","295.2279","179.0556","249.2224","9.57360303030303","9.87360303030303","721"
"","HexCer-AP(t25:2/20:2)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","HexCer-AP(t25:2/20:2)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","HexCer-AP(t25:2/20:2)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","HexCer-AP(t25:2/20:2)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","HexCer-AP(t25:2/20:2)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","HexCer-AP(t25:2/20:2)+HCO2","924.6776","878.6721","716.6193","378.3003","348.2897","323.2592","179.0556","277.2537","10.4961333333333","10.7961333333333","518"
"","HexCer-AP(t26:2/18:2)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","HexCer-AP(t26:2/18:2)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","HexCer-AP(t26:2/18:2)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","HexCer-AP(t26:2/18:2)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","HexCer-AP(t26:2/18:2)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","HexCer-AP(t26:2/18:2)+HCO2","910.6619","864.6565","702.6036","350.269","320.2584","295.2279","179.0556","249.2224","10.0432939393939","10.3432939393939","1021"
"","HexCer-AP(t27:2/16:2)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","HexCer-AP(t27:2/16:2)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","HexCer-AP(t27:2/16:2)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","HexCer-AP(t27:2/16:2)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","HexCer-AP(t27:2/16:2)+HCO2",0,0,0,0,0,0,0,0,"9.57360303030303","9.87360303030303","721","","HexCer-AP(t27:2/16:2)+HCO2","896.6463","850.6408","688.588","322.2377","292.2271","267.1966","179.0556","221.1911","9.57360303030303","9.87360303030303","721"
"","HexCer-AP(t27:2/18:2)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","HexCer-AP(t27:2/18:2)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","HexCer-AP(t27:2/18:2)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","HexCer-AP(t27:2/18:2)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","HexCer-AP(t27:2/18:2)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","HexCer-AP(t27:2/18:2)+HCO2","924.6776","878.6721","716.6193","350.269","320.2584","295.2279","179.0556","249.2224","10.4961333333333","10.7961333333333","518"
"","HexCer-AP(t28:2/16:2)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","HexCer-AP(t28:2/16:2)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","HexCer-AP(t28:2/16:2)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","HexCer-AP(t28:2/16:2)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","HexCer-AP(t28:2/16:2)+HCO2",0,0,0,0,0,0,0,0,"10.0432939393939","10.3432939393939","1021","","HexCer-AP(t28:2/16:2)+HCO2","910.6619","864.6565","702.6036","322.2377","292.2271","267.1966","179.0556","221.1911","10.0432939393939","10.3432939393939","1021"
"","HexCer-AP(t29:2/16:2)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","HexCer-AP(t29:2/16:2)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","HexCer-AP(t29:2/16:2)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","HexCer-AP(t29:2/16:2)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","HexCer-AP(t29:2/16:2)+HCO2",0,0,0,0,0,0,0,0,"10.4961333333333","10.7961333333333","518","","HexCer-AP(t29:2/16:2)+HCO2","924.6776","878.6721","716.6193","322.2377","292.2271","267.1966","179.0556","221.1911","10.4961333333333","10.7961333333333","518"
