"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer-BS","[M+HCO2]-","[M-H]-","[M-H2O-H]-","[Sph+C2H2O-H]-","[Sph+C-H]-","[Sph-H5NO-H]-","[Sph-C2H7NO-H]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer-BS","[M+HCO2]-","[M-H]-","[M-H2O-H]-","[Sph+C2H2O-H]-","[Sph+C-H]-","[Sph-H5NO-H]-","[Sph-C2H7NO-H]-","RT_min","RT_max","Comment","Number of Scans","Cer-BS","[M+HCO2]-","[M-H]-","[M-H2O-H]-","[Sph+C2H2O-H]-","[Sph+C-H]-","[Sph-H5NO-H]-","[Sph-C2H7NO-H]-","RT_min","RT_max","Comment","Max Intensity","Cer-BS","[M+HCO2]-","[M-H]-","[M-H2O-H]-","[Sph+C2H2O-H]-","[Sph+C-H]-","[Sph-H5NO-H]-","[Sph-C2H7NO-H]-","RT_min","RT_max","Comment","Average m/z","Cer-BS","[M+HCO2]-","[M-H]-","[M-H2O-H]-","[Sph+C2H2O-H]-","[Sph+C-H]-","[Sph-H5NO-H]-","[Sph-C2H7NO-H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer-BS","[M+HCO2]-","[M-H]-","[M-H2O-H]-","[Sph+C2H2O-H]-","[Sph+C-H]-","[Sph-H5NO-H]-","[Sph-C2H7NO-H]-","RT_min","RT_max","Comment"
"","Cer-BS(d14:3/30:1)+HCO2",0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer-BS(d14:3/30:1)+HCO2",0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer-BS(d14:3/30:1)+HCO2",0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer-BS(d14:3/30:1)+HCO2",0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer-BS(d14:3/30:1)+HCO2",0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer-BS(d14:3/30:1)+HCO2","732.6142","686.6088","668.5981","280.1918","250.1813","203.1441","177.1285","10.5313909090909","10.8313909090909","1290"
"","Cer-BS(d14:3/31:0)+HCO2",0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer-BS(d14:3/31:0)+HCO2",0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer-BS(d14:3/31:0)+HCO2",0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer-BS(d14:3/31:0)+HCO2",0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer-BS(d14:3/31:0)+HCO2",0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer-BS(d14:3/31:0)+HCO2","748.6455","702.64","684.6295","280.1918","250.1813","203.1441","177.1285","11.7283893939394","12.0283893939394","790"
"","Cer-BS(d14:3/31:1)+HCO2",0,0,0,0,0,0,0,"10.9594772727273","11.2594772727273","525","","Cer-BS(d14:3/31:1)+HCO2",0,0,0,0,0,0,0,"10.9594772727273","11.2594772727273","525","","Cer-BS(d14:3/31:1)+HCO2",0,0,0,0,0,0,0,"10.9594772727273","11.2594772727273","525","","Cer-BS(d14:3/31:1)+HCO2",0,0,0,0,0,0,0,"10.9594772727273","11.2594772727273","525","","Cer-BS(d14:3/31:1)+HCO2",0,0,0,0,0,0,0,"10.9594772727273","11.2594772727273","525","","Cer-BS(d14:3/31:1)+HCO2","746.6299","700.6244","682.6138","280.1918","250.1813","203.1441","177.1285","10.9594772727273","11.2594772727273","525"
"","Cer-BS(d14:3/38:1)+HCO2",0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer-BS(d14:3/38:1)+HCO2",0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer-BS(d14:3/38:1)+HCO2",0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer-BS(d14:3/38:1)+HCO2",0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer-BS(d14:3/38:1)+HCO2",0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer-BS(d14:3/38:1)+HCO2","844.7394","798.7339","780.7234","280.1918","250.1813","203.1441","177.1285","12.0117515151515","12.3117515151515","1639"
"","Cer-BS(d15:1/27:0)+HCO2",0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BS(d15:1/27:0)+HCO2",0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BS(d15:1/27:0)+HCO2",0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BS(d15:1/27:0)+HCO2",0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BS(d15:1/27:0)+HCO2",0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BS(d15:1/27:0)+HCO2","710.6299","664.6244","646.6138","298.2388","268.2282","221.1911","195.1754","10.7806166666667","11.0806166666667","1422"
"","Cer-BS(d15:1/28:2)+HCO2",0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer-BS(d15:1/28:2)+HCO2",0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer-BS(d15:1/28:2)+HCO2",0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer-BS(d15:1/28:2)+HCO2",0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer-BS(d15:1/28:2)+HCO2",0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer-BS(d15:1/28:2)+HCO2","720.6142","674.6088","656.5981","298.2388","268.2282","221.1911","195.1754","10.9162772727273","11.2162772727273","972"
"","Cer-BS(d15:1/30:2)+HCO2",0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer-BS(d15:1/30:2)+HCO2",0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer-BS(d15:1/30:2)+HCO2",0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer-BS(d15:1/30:2)+HCO2",0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer-BS(d15:1/30:2)+HCO2",0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer-BS(d15:1/30:2)+HCO2","748.6455","702.64","684.6295","298.2388","268.2282","221.1911","195.1754","11.7283893939394","12.0283893939394","790"
"","Cer-BS(d15:2/28:1)+HCO2",0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer-BS(d15:2/28:1)+HCO2",0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer-BS(d15:2/28:1)+HCO2",0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer-BS(d15:2/28:1)+HCO2",0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer-BS(d15:2/28:1)+HCO2",0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer-BS(d15:2/28:1)+HCO2","720.6142","674.6088","656.5981","296.2231","266.2126","219.1754","193.1598","10.9162772727273","11.2162772727273","972"
"","Cer-BS(d15:2/28:2)+HCO2",0,0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","Cer-BS(d15:2/28:2)+HCO2",0,0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","Cer-BS(d15:2/28:2)+HCO2",0,0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","Cer-BS(d15:2/28:2)+HCO2",0,0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","Cer-BS(d15:2/28:2)+HCO2",0,0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","Cer-BS(d15:2/28:2)+HCO2","718.5986","672.5931","654.5825","296.2231","266.2126","219.1754","193.1598","10.0734984848485","10.3734984848485","908"
"","Cer-BS(d15:2/29:1)+HCO2",0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer-BS(d15:2/29:1)+HCO2",0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer-BS(d15:2/29:1)+HCO2",0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer-BS(d15:2/29:1)+HCO2",0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer-BS(d15:2/29:1)+HCO2",0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer-BS(d15:2/29:1)+HCO2","734.6299","688.6244","670.6138","296.2231","266.2126","219.1754","193.1598","11.3263590909091","11.6263590909091","1402"
