"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","HexCer-NDS","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[Sph-C2H7NO-H]-","[FAA-OH-H]-","[C6H11O6]-","RT_min","RT_max","Comment","RT at Max Intensity","HexCer-NDS","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[Sph-C2H7NO-H]-","[FAA-OH-H]-","[C6H11O6]-","RT_min","RT_max","Comment","Number of Scans","HexCer-NDS","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[Sph-C2H7NO-H]-","[FAA-OH-H]-","[C6H11O6]-","RT_min","RT_max","Comment","Max Intensity","HexCer-NDS","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[Sph-C2H7NO-H]-","[FAA-OH-H]-","[C6H11O6]-","RT_min","RT_max","Comment","Average m/z","HexCer-NDS","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[Sph-C2H7NO-H]-","[FAA-OH-H]-","[C6H11O6]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","HexCer-NDS","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[Sph-C2H7NO-H]-","[FAA-OH-H]-","[C6H11O6]-","RT_min","RT_max","Comment"
"","HexCer-NDS(d18:0/24:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NDS(d18:0/24:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NDS(d18:0/24:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NDS(d18:0/24:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NDS(d18:0/24:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NDS(d18:0/24:2)-H","808.6666","646.6138","388.3579","239.238","345.3401","179.0556","11.4915318181818","11.7915318181818","3156"
"","HexCer-NDS(d19:0/20:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","HexCer-NDS(d19:0/20:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","HexCer-NDS(d19:0/20:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","HexCer-NDS(d19:0/20:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","HexCer-NDS(d19:0/20:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","HexCer-NDS(d19:0/20:2)-H","766.6197","604.5669","332.2953","253.2537","289.2775","179.0556","10.2335636363636","10.5335636363636","1362"
"","HexCer-NDS(d20:0/18:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NDS(d20:0/18:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NDS(d20:0/18:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NDS(d20:0/18:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NDS(d20:0/18:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NDS(d20:0/18:2)-H","752.6041","590.5512","304.264","267.2693","261.2462","179.0556","9.75611666666666","10.0561166666667","871"
"","HexCer-NDS(d20:0/20:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NDS(d20:0/20:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NDS(d20:0/20:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NDS(d20:0/20:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NDS(d20:0/20:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NDS(d20:0/20:2)-H","780.6354","618.5825","332.2953","267.2693","289.2775","179.0556","10.6655606060606","10.9655606060606","477"
"","HexCer-NDS(d20:0/22:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NDS(d20:0/22:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NDS(d20:0/22:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NDS(d20:0/22:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NDS(d20:0/22:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NDS(d20:0/22:2)-H","808.6666","646.6138","360.3267","267.2693","317.3088","179.0556","11.4915318181818","11.7915318181818","3156"
"","HexCer-NDS(d21:0/18:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","HexCer-NDS(d21:0/18:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","HexCer-NDS(d21:0/18:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","HexCer-NDS(d21:0/18:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","HexCer-NDS(d21:0/18:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","HexCer-NDS(d21:0/18:2)-H","766.6197","604.5669","304.264","281.285","261.2462","179.0556","10.2335636363636","10.5335636363636","1362"
"","HexCer-NDS(d22:0/16:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NDS(d22:0/16:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NDS(d22:0/16:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NDS(d22:0/16:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NDS(d22:0/16:2)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NDS(d22:0/16:2)-H","752.6041","590.5512","276.2328","295.3006","233.2149","179.0556","9.75611666666666","10.0561166666667","871"
"","HexCer-NDS(d22:0/18:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NDS(d22:0/18:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NDS(d22:0/18:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NDS(d22:0/18:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NDS(d22:0/18:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NDS(d22:0/18:2)-H","780.6354","618.5825","304.264","295.3006","261.2462","179.0556","10.6655606060606","10.9655606060606","477"
"","HexCer-NDS(d22:0/20:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NDS(d22:0/20:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NDS(d22:0/20:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NDS(d22:0/20:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NDS(d22:0/20:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NDS(d22:0/20:2)-H","808.6666","646.6138","332.2953","295.3006","289.2775","179.0556","11.4915318181818","11.7915318181818","3156"
"","HexCer-NDS(d23:0/16:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","HexCer-NDS(d23:0/16:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","HexCer-NDS(d23:0/16:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","HexCer-NDS(d23:0/16:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","HexCer-NDS(d23:0/16:2)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","HexCer-NDS(d23:0/16:2)-H","766.6197","604.5669","276.2328","309.3163","233.2149","179.0556","10.2335636363636","10.5335636363636","1362"
"","HexCer-NDS(d24:0/16:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NDS(d24:0/16:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NDS(d24:0/16:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NDS(d24:0/16:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NDS(d24:0/16:2)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NDS(d24:0/16:2)-H","780.6354","618.5825","276.2328","323.3319","233.2149","179.0556","10.6655606060606","10.9655606060606","477"
"","HexCer-NDS(d24:0/18:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NDS(d24:0/18:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NDS(d24:0/18:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NDS(d24:0/18:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NDS(d24:0/18:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NDS(d24:0/18:2)-H","808.6666","646.6138","304.264","323.3319","261.2462","179.0556","11.4915318181818","11.7915318181818","3156"
"","HexCer-NDS(d26:0/16:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NDS(d26:0/16:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NDS(d26:0/16:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NDS(d26:0/16:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NDS(d26:0/16:2)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NDS(d26:0/16:2)-H","808.6666","646.6138","276.2328","351.3633","233.2149","179.0556","11.4915318181818","11.7915318181818","3156"
