"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","ether-OxPE","[M-H]-","[M-H]-SN2 acyl chain","FA SN2","FA SN2-H2O","FA SN2-2H2O","RT_min","RT_max","Comment","RT at Max Intensity","ether-OxPE","[M-H]-","[M-H]-SN2 acyl chain","FA SN2","FA SN2-H2O","FA SN2-2H2O","RT_min","RT_max","Comment","Number of Scans","ether-OxPE","[M-H]-","[M-H]-SN2 acyl chain","FA SN2","FA SN2-H2O","FA SN2-2H2O","RT_min","RT_max","Comment","Max Intensity","ether-OxPE","[M-H]-","[M-H]-SN2 acyl chain","FA SN2","FA SN2-H2O","FA SN2-2H2O","RT_min","RT_max","Comment","Average m/z","ether-OxPE","[M-H]-","[M-H]-SN2 acyl chain","FA SN2","FA SN2-H2O","FA SN2-2H2O","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","ether-OxPE","[M-H]-","[M-H]-SN2 acyl chain","FA SN2","FA SN2-H2O","FA SN2-2H2O","RT_min","RT_max","Comment"
"","OxPE(16:0e/20:4(1O(1Cyc)))-H",0,0,0,0,0,"6.33049696969697","6.63049696969697","1643","","OxPE(16:0e/20:4(1O(1Cyc)))-H",0,0,0,0,0,"6.33049696969697","6.63049696969697","1643","","OxPE(16:0e/20:4(1O(1Cyc)))-H",0,0,0,0,0,"6.33049696969697","6.63049696969697","1643","","OxPE(16:0e/20:4(1O(1Cyc)))-H",0,0,0,0,0,"6.33049696969697","6.63049696969697","1643","","OxPE(16:0e/20:4(1O(1Cyc)))-H",0,0,0,0,0,"6.33049696969697","6.63049696969697","1643","","OxPE(16:0e/20:4(1O(1Cyc)))-H","738.5074","438.2985","317.2122","0.01","0.01","6.33049696969697","6.63049696969697","1643"
"","OxPE(16:0e/20:4(1O(1Cyc)))-H",0,0,0,0,0,"4.35774848484849","4.65774848484849","2622","","OxPE(16:0e/20:4(1O(1Cyc)))-H",0,0,0,0,0,"4.35774848484849","4.65774848484849","2622","","OxPE(16:0e/20:4(1O(1Cyc)))-H",0,0,0,0,0,"4.35774848484849","4.65774848484849","2622","","OxPE(16:0e/20:4(1O(1Cyc)))-H",0,0,0,0,0,"4.35774848484849","4.65774848484849","2622","","OxPE(16:0e/20:4(1O(1Cyc)))-H",0,0,0,0,0,"4.35774848484849","4.65774848484849","2622","","OxPE(16:0e/20:4(1O(1Cyc)))-H","738.5074","438.2985","317.2122","0.01","0.01","4.35774848484849","4.65774848484849","2622"
"","OxPE(16:0e/20:4(1O(1Cyc)))-H",0,0,0,0,0,"3.80641212121212","4.10641212121212","3147","","OxPE(16:0e/20:4(1O(1Cyc)))-H",0,0,0,0,0,"3.80641212121212","4.10641212121212","3147","","OxPE(16:0e/20:4(1O(1Cyc)))-H",0,0,0,0,0,"3.80641212121212","4.10641212121212","3147","","OxPE(16:0e/20:4(1O(1Cyc)))-H",0,0,0,0,0,"3.80641212121212","4.10641212121212","3147","","OxPE(16:0e/20:4(1O(1Cyc)))-H",0,0,0,0,0,"3.80641212121212","4.10641212121212","3147","","OxPE(16:0e/20:4(1O(1Cyc)))-H","738.5074","438.2985","317.2122","0.01","0.01","3.80641212121212","4.10641212121212","3147"
"","OxPE(16:0e/20:4(3O))-H",0,0,0,0,0,"5.93952727272727","6.23952727272727","902","","OxPE(16:0e/20:4(3O))-H",0,0,0,0,0,"5.93952727272727","6.23952727272727","902","","OxPE(16:0e/20:4(3O))-H",0,0,0,0,0,"5.93952727272727","6.23952727272727","902","","OxPE(16:0e/20:4(3O))-H",0,0,0,0,0,"5.93952727272727","6.23952727272727","902","","OxPE(16:0e/20:4(3O))-H",0,0,0,0,0,"5.93952727272727","6.23952727272727","902","","OxPE(16:0e/20:4(3O))-H","772.5129","438.2985","351.2177","333.2072","315.1966","5.93952727272727","6.23952727272727","902"
"","OxPE(16:0e/20:4(3O(2Cyc)))-H",0,0,0,0,0,"5.93952727272727","6.23952727272727","902","","OxPE(16:0e/20:4(3O(2Cyc)))-H",0,0,0,0,0,"5.93952727272727","6.23952727272727","902","","OxPE(16:0e/20:4(3O(2Cyc)))-H",0,0,0,0,0,"5.93952727272727","6.23952727272727","902","","OxPE(16:0e/20:4(3O(2Cyc)))-H",0,0,0,0,0,"5.93952727272727","6.23952727272727","902","","OxPE(16:0e/20:4(3O(2Cyc)))-H",0,0,0,0,0,"5.93952727272727","6.23952727272727","902","","OxPE(16:0e/20:4(3O(2Cyc)))-H","772.5129","438.2985","351.2177","333.2072","0.01","5.93952727272727","6.23952727272727","902"
"","OxPE(16:0e/20:5(1O))-H",0,0,0,0,0,"5.65324848484848","5.95324848484848","923","","OxPE(16:0e/20:5(1O))-H",0,0,0,0,0,"5.65324848484848","5.95324848484848","923","","OxPE(16:0e/20:5(1O))-H",0,0,0,0,0,"5.65324848484848","5.95324848484848","923","","OxPE(16:0e/20:5(1O))-H",0,0,0,0,0,"5.65324848484848","5.95324848484848","923","","OxPE(16:0e/20:5(1O))-H",0,0,0,0,0,"5.65324848484848","5.95324848484848","923","","OxPE(16:0e/20:5(1O))-H","738.5074","438.2985","317.2122","299.2017","0.01","5.65324848484848","5.95324848484848","923"
"","OxPE(16:0e/20:5(1O))-H",0,0,0,0,0,"6.33049696969697","6.63049696969697","1643","","OxPE(16:0e/20:5(1O))-H",0,0,0,0,0,"6.33049696969697","6.63049696969697","1643","","OxPE(16:0e/20:5(1O))-H",0,0,0,0,0,"6.33049696969697","6.63049696969697","1643","","OxPE(16:0e/20:5(1O))-H",0,0,0,0,0,"6.33049696969697","6.63049696969697","1643","","OxPE(16:0e/20:5(1O))-H",0,0,0,0,0,"6.33049696969697","6.63049696969697","1643","","OxPE(16:0e/20:5(1O))-H","738.5074","438.2985","317.2122","299.2017","0.01","6.33049696969697","6.63049696969697","1643"
"","OxPE(16:0e/20:5(1O))-H",0,0,0,0,0,"4.35774848484849","4.65774848484849","2622","","OxPE(16:0e/20:5(1O))-H",0,0,0,0,0,"4.35774848484849","4.65774848484849","2622","","OxPE(16:0e/20:5(1O))-H",0,0,0,0,0,"4.35774848484849","4.65774848484849","2622","","OxPE(16:0e/20:5(1O))-H",0,0,0,0,0,"4.35774848484849","4.65774848484849","2622","","OxPE(16:0e/20:5(1O))-H",0,0,0,0,0,"4.35774848484849","4.65774848484849","2622","","OxPE(16:0e/20:5(1O))-H","738.5074","438.2985","317.2122","299.2017","0.01","4.35774848484849","4.65774848484849","2622"
"","OxPE(16:0e/20:5(1O))-H",0,0,0,0,0,"3.80641212121212","4.10641212121212","3147","","OxPE(16:0e/20:5(1O))-H",0,0,0,0,0,"3.80641212121212","4.10641212121212","3147","","OxPE(16:0e/20:5(1O))-H",0,0,0,0,0,"3.80641212121212","4.10641212121212","3147","","OxPE(16:0e/20:5(1O))-H",0,0,0,0,0,"3.80641212121212","4.10641212121212","3147","","OxPE(16:0e/20:5(1O))-H",0,0,0,0,0,"3.80641212121212","4.10641212121212","3147","","OxPE(16:0e/20:5(1O))-H","738.5074","438.2985","317.2122","299.2017","0.01","3.80641212121212","4.10641212121212","3147"
"","OxPE(16:0e/22:6(3O))-H",0,0,0,0,0,"5.74913636363636","6.04913636363636","976","","OxPE(16:0e/22:6(3O))-H",0,0,0,0,0,"5.74913636363636","6.04913636363636","976","","OxPE(16:0e/22:6(3O))-H",0,0,0,0,0,"5.74913636363636","6.04913636363636","976","","OxPE(16:0e/22:6(3O))-H",0,0,0,0,0,"5.74913636363636","6.04913636363636","976","","OxPE(16:0e/22:6(3O))-H",0,0,0,0,0,"5.74913636363636","6.04913636363636","976","","OxPE(16:0e/22:6(3O))-H","796.5129","438.2985","375.2177","357.2072","339.1966","5.74913636363636","6.04913636363636","976"
"","OxPE(18:0e/18:0(2O))-H",0,0,0,0,0,"7.76112727272727","8.06112727272727","1915","","OxPE(18:0e/18:0(2O))-H",0,0,0,0,0,"7.76112727272727","8.06112727272727","1915","","OxPE(18:0e/18:0(2O))-H",0,0,0,0,0,"7.76112727272727","8.06112727272727","1915","","OxPE(18:0e/18:0(2O))-H",0,0,0,0,0,"7.76112727272727","8.06112727272727","1915","","OxPE(18:0e/18:0(2O))-H",0,0,0,0,0,"7.76112727272727","8.06112727272727","1915","","OxPE(18:0e/18:0(2O))-H","764.5806","466.3298","315.2541","297.2435","279.233","7.76112727272727","8.06112727272727","1915"
"","OxPE(18:0e/18:1(1O(1Cyc)))-H",1,0,0,0,0,"8.54963333333333","8.84963333333333","1115","","OxPE(18:0e/18:1(1O(1Cyc)))-H",8.71849,0,0,0,0,"8.54963333333333","8.84963333333333","1115","","OxPE(18:0e/18:1(1O(1Cyc)))-H",1,0,0,0,0,"8.54963333333333","8.84963333333333","1115","","OxPE(18:0e/18:1(1O(1Cyc)))-H",17193.23,0,0,0,0,"8.54963333333333","8.84963333333333","1115","","OxPE(18:0e/18:1(1O(1Cyc)))-H",744.5564,0,0,0,0,"8.54963333333333","8.84963333333333","1115","","OxPE(18:0e/18:1(1O(1Cyc)))-H","744.5543","466.3298","295.2279","0.01","0.01","8.54963333333333","8.84963333333333","1115"
"","OxPE(18:0e/18:1(2O))-H",0,0,0,0,0,"7.58775757575758","7.88775757575758","2502","","OxPE(18:0e/18:1(2O))-H",0,0,0,0,0,"7.58775757575758","7.88775757575758","2502","","OxPE(18:0e/18:1(2O))-H",0,0,0,0,0,"7.58775757575758","7.88775757575758","2502","","OxPE(18:0e/18:1(2O))-H",0,0,0,0,0,"7.58775757575758","7.88775757575758","2502","","OxPE(18:0e/18:1(2O))-H",0,0,0,0,0,"7.58775757575758","7.88775757575758","2502","","OxPE(18:0e/18:1(2O))-H","762.5649","466.3298","313.2384","295.2279","277.2173","7.58775757575758","7.88775757575758","2502"
