"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer-AS","[M+HCO2]-","[M-H]-","[M-O-H]-","[M-CO-3H]-","[M-CO-O-H]-","[Sph-3H]-","[Sph-O-3H]-","[FA+O-H]-","[FA+N-H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer-AS","[M+HCO2]-","[M-H]-","[M-O-H]-","[M-CO-3H]-","[M-CO-O-H]-","[Sph-3H]-","[Sph-O-3H]-","[FA+O-H]-","[FA+N-H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Number of Scans","Cer-AS","[M+HCO2]-","[M-H]-","[M-O-H]-","[M-CO-3H]-","[M-CO-O-H]-","[Sph-3H]-","[Sph-O-3H]-","[FA+O-H]-","[FA+N-H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Max Intensity","Cer-AS","[M+HCO2]-","[M-H]-","[M-O-H]-","[M-CO-3H]-","[M-CO-O-H]-","[Sph-3H]-","[Sph-O-3H]-","[FA+O-H]-","[FA+N-H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Average m/z","Cer-AS","[M+HCO2]-","[M-H]-","[M-O-H]-","[M-CO-3H]-","[M-CO-O-H]-","[Sph-3H]-","[Sph-O-3H]-","[FA+O-H]-","[FA+N-H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer-AS","[M+HCO2]-","[M-H]-","[M-O-H]-","[M-CO-3H]-","[M-CO-O-H]-","[Sph-3H]-","[Sph-O-3H]-","[FA+O-H]-","[FA+N-H]-","[Sph-CO-H]-","[FA-3H]-","[Sph-NCCO-H]-","[Sph-NCCO-3H]-","[FA-CO-3H]-","RT_min","RT_max","Comment"
"","Cer-AS(d14:3/30:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer-AS(d14:3/30:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer-AS(d14:3/30:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer-AS(d14:3/30:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer-AS(d14:3/30:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.5313909090909","10.8313909090909","1290","","Cer-AS(d14:3/30:1)+HCO2","732.6142","686.6088","668.5981","654.5825","638.5876","236.1656","220.1707","465.4313","464.4473","208.1707","447.4207","179.1441","177.1285","419.4258","10.5313909090909","10.8313909090909","1290"
"","Cer-AS(d14:3/31:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer-AS(d14:3/31:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer-AS(d14:3/31:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer-AS(d14:3/31:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer-AS(d14:3/31:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer-AS(d14:3/31:0)+HCO2","748.6455","702.64","684.6295","670.6138","654.6189","236.1656","220.1707","481.4626","480.4786","208.1707","463.4521","179.1441","177.1285","435.4572","11.7283893939394","12.0283893939394","790"
"","Cer-AS(d14:3/31:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9594772727273","11.2594772727273","525","","Cer-AS(d14:3/31:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9594772727273","11.2594772727273","525","","Cer-AS(d14:3/31:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9594772727273","11.2594772727273","525","","Cer-AS(d14:3/31:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9594772727273","11.2594772727273","525","","Cer-AS(d14:3/31:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9594772727273","11.2594772727273","525","","Cer-AS(d14:3/31:1)+HCO2","746.6299","700.6244","682.6138","668.5981","652.6033","236.1656","220.1707","479.447","478.463","208.1707","461.4364","179.1441","177.1285","433.4415","10.9594772727273","11.2594772727273","525"
"","Cer-AS(d14:3/38:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer-AS(d14:3/38:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer-AS(d14:3/38:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer-AS(d14:3/38:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer-AS(d14:3/38:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12.0117515151515","12.3117515151515","1639","","Cer-AS(d14:3/38:1)+HCO2","844.7394","798.7339","780.7234","766.7077","750.7128","236.1656","220.1707","577.5565","576.5725","208.1707","559.546","179.1441","177.1285","531.551","12.0117515151515","12.3117515151515","1639"
"","Cer-AS(d15:1/27:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-AS(d15:1/27:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-AS(d15:1/27:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-AS(d15:1/27:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-AS(d15:1/27:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-AS(d15:1/27:0)+HCO2","710.6299","664.6244","646.6138","632.5981","616.6033","254.2126","238.2176","425.4","424.416","226.2176","407.3895","197.1911","195.1754","379.3945","10.7806166666667","11.0806166666667","1422"
"","Cer-AS(d15:1/28:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer-AS(d15:1/28:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer-AS(d15:1/28:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer-AS(d15:1/28:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer-AS(d15:1/28:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer-AS(d15:1/28:2)+HCO2","720.6142","674.6088","656.5981","642.5825","626.5876","254.2126","238.2176","435.3844","434.4004","226.2176","417.3738","197.1911","195.1754","389.3789","10.9162772727273","11.2162772727273","972"
"","Cer-AS(d15:1/30:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer-AS(d15:1/30:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer-AS(d15:1/30:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer-AS(d15:1/30:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer-AS(d15:1/30:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11.7283893939394","12.0283893939394","790","","Cer-AS(d15:1/30:2)+HCO2","748.6455","702.64","684.6295","670.6138","654.6189","254.2126","238.2176","463.4157","462.4317","226.2176","445.4051","197.1911","195.1754","417.4102","11.7283893939394","12.0283893939394","790"
"","Cer-AS(d15:2/28:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer-AS(d15:2/28:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer-AS(d15:2/28:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer-AS(d15:2/28:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer-AS(d15:2/28:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.9162772727273","11.2162772727273","972","","Cer-AS(d15:2/28:1)+HCO2","720.6142","674.6088","656.5981","642.5825","626.5876","252.1969","236.202","437.4","436.416","224.202","419.3895","195.1754","193.1598","391.3945","10.9162772727273","11.2162772727273","972"
"","Cer-AS(d15:2/28:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","Cer-AS(d15:2/28:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","Cer-AS(d15:2/28:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","Cer-AS(d15:2/28:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","Cer-AS(d15:2/28:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.0734984848485","10.3734984848485","908","","Cer-AS(d15:2/28:2)+HCO2","718.5986","672.5931","654.5825","640.5669","624.572","252.1969","236.202","435.3844","434.4004","224.202","417.3738","195.1754","193.1598","389.3789","10.0734984848485","10.3734984848485","908"
"","Cer-AS(d15:2/29:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer-AS(d15:2/29:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer-AS(d15:2/29:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer-AS(d15:2/29:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer-AS(d15:2/29:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11.3263590909091","11.6263590909091","1402","","Cer-AS(d15:2/29:1)+HCO2","734.6299","688.6244","670.6138","656.5981","640.6033","252.1969","236.202","451.4157","450.4317","224.202","433.4051","195.1754","193.1598","405.4102","11.3263590909091","11.6263590909091","1402"
