"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer-EODS","[M+HCO2]-","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer-EODS","[M+HCO2]-","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","Number of Scans","Cer-EODS","[M+HCO2]-","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","Max Intensity","Cer-EODS","[M+HCO2]-","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","Average m/z","Cer-EODS","[M+HCO2]-","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer-EODS","[M+HCO2]-","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment"
"","Cer-EODS(d14:0/18:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.3751787878788","11.6751787878788","222","","Cer-EODS(d14:0/18:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.3751787878788","11.6751787878788","222","","Cer-EODS(d14:0/18:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.3751787878788","11.6751787878788","222","","Cer-EODS(d14:0/18:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.3751787878788","11.6751787878788","222","","Cer-EODS(d14:0/18:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.3751787878788","11.6751787878788","222","","Cer-EODS(d14:0/18:2-O-14:1)+HCO2","776.6404","730.6349","522.4522","320.2595","225.186","294.2439","183.1754","11.3751787878788","11.6751787878788","222"
"","Cer-EODS(d14:0/18:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.5348393939394","11.8348393939394","2693","","Cer-EODS(d14:0/18:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.5348393939394","11.8348393939394","2693","","Cer-EODS(d14:0/18:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.5348393939394","11.8348393939394","2693","","Cer-EODS(d14:0/18:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.5348393939394","11.8348393939394","2693","","Cer-EODS(d14:0/18:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.5348393939394","11.8348393939394","2693","","Cer-EODS(d14:0/18:2-O-14:1)+HCO2","776.6404","730.6349","522.4522","320.2595","225.186","294.2439","183.1754","11.5348393939394","11.8348393939394","2693"
"","Cer-EODS(d14:0/16:2-O-15:0)+HCO2",0,0,0,0,0,0,0,"11.4196181818182","11.7196181818182","210","","Cer-EODS(d14:0/16:2-O-15:0)+HCO2",0,0,0,0,0,0,0,"11.4196181818182","11.7196181818182","210","","Cer-EODS(d14:0/16:2-O-15:0)+HCO2",0,0,0,0,0,0,0,"11.4196181818182","11.7196181818182","210","","Cer-EODS(d14:0/16:2-O-15:0)+HCO2",0,0,0,0,0,0,0,"11.4196181818182","11.7196181818182","210","","Cer-EODS(d14:0/16:2-O-15:0)+HCO2",0,0,0,0,0,0,0,"11.4196181818182","11.7196181818182","210","","Cer-EODS(d14:0/16:2-O-15:0)+HCO2","764.6404","718.6349","494.4209","292.2282","241.2173","266.2126","183.1754","11.4196181818182","11.7196181818182","210"
"","Cer-EODS(d14:0/12:1-O-15:1)+HCO2",0,0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","Cer-EODS(d14:0/12:1-O-15:1)+HCO2",0,0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","Cer-EODS(d14:0/12:1-O-15:1)+HCO2",0,0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","Cer-EODS(d14:0/12:1-O-15:1)+HCO2",0,0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","Cer-EODS(d14:0/12:1-O-15:1)+HCO2",0,0,0,0,0,0,0,"9.63075303030303","9.93075303030303","2513","","Cer-EODS(d14:0/12:1-O-15:1)+HCO2","708.5778","662.5723","440.374","238.1813","239.2017","212.1656","183.1754","9.63075303030303","9.93075303030303","2513"
"","Cer-EODS(d14:0/14:1-O-15:1)+HCO2",0,0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","Cer-EODS(d14:0/14:1-O-15:1)+HCO2",0,0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","Cer-EODS(d14:0/14:1-O-15:1)+HCO2",0,0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","Cer-EODS(d14:0/14:1-O-15:1)+HCO2",0,0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","Cer-EODS(d14:0/14:1-O-15:1)+HCO2",0,0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","Cer-EODS(d14:0/14:1-O-15:1)+HCO2","736.6091","690.6036","468.4053","266.2126","239.2017","240.1969","183.1754","10.5703878787879","10.8703878787879","306"
"","Cer-EODS(d14:0/15:1-O-15:1)+HCO2",0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer-EODS(d14:0/15:1-O-15:1)+HCO2",0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer-EODS(d14:0/15:1-O-15:1)+HCO2",0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer-EODS(d14:0/15:1-O-15:1)+HCO2",0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer-EODS(d14:0/15:1-O-15:1)+HCO2",0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer-EODS(d14:0/15:1-O-15:1)+HCO2","750.6248","704.6193","482.4209","280.2282","239.2017","254.2126","183.1754","11.0025560606061","11.3025560606061","394"
"","Cer-EODS(d14:0/16:1-O-15:1)+HCO2",0,0,0,0,0,0,0,"11.4196181818182","11.7196181818182","210","","Cer-EODS(d14:0/16:1-O-15:1)+HCO2",0,0,0,0,0,0,0,"11.4196181818182","11.7196181818182","210","","Cer-EODS(d14:0/16:1-O-15:1)+HCO2",0,0,0,0,0,0,0,"11.4196181818182","11.7196181818182","210","","Cer-EODS(d14:0/16:1-O-15:1)+HCO2",0,0,0,0,0,0,0,"11.4196181818182","11.7196181818182","210","","Cer-EODS(d14:0/16:1-O-15:1)+HCO2",0,0,0,0,0,0,0,"11.4196181818182","11.7196181818182","210","","Cer-EODS(d14:0/16:1-O-15:1)+HCO2","764.6404","718.6349","496.4366","294.2439","239.2017","268.2282","183.1754","11.4196181818182","11.7196181818182","210"
"","Cer-EODS(d14:0/16:2-O-15:1)+HCO2",0,0,0,0,0,0,0,"11.1295590909091","11.4295590909091","66","","Cer-EODS(d14:0/16:2-O-15:1)+HCO2",0,0,0,0,0,0,0,"11.1295590909091","11.4295590909091","66","","Cer-EODS(d14:0/16:2-O-15:1)+HCO2",0,0,0,0,0,0,0,"11.1295590909091","11.4295590909091","66","","Cer-EODS(d14:0/16:2-O-15:1)+HCO2",0,0,0,0,0,0,0,"11.1295590909091","11.4295590909091","66","","Cer-EODS(d14:0/16:2-O-15:1)+HCO2",0,0,0,0,0,0,0,"11.1295590909091","11.4295590909091","66","","Cer-EODS(d14:0/16:2-O-15:1)+HCO2","762.6248","716.6193","494.4209","292.2282","239.2017","266.2126","183.1754","11.1295590909091","11.4295590909091","66"
"","Cer-EODS(d14:0/16:2-O-15:1)+HCO2",0,0,0,0,0,0,0,"10.5101439393939","10.8101439393939","492","","Cer-EODS(d14:0/16:2-O-15:1)+HCO2",0,0,0,0,0,0,0,"10.5101439393939","10.8101439393939","492","","Cer-EODS(d14:0/16:2-O-15:1)+HCO2",0,0,0,0,0,0,0,"10.5101439393939","10.8101439393939","492","","Cer-EODS(d14:0/16:2-O-15:1)+HCO2",0,0,0,0,0,0,0,"10.5101439393939","10.8101439393939","492","","Cer-EODS(d14:0/16:2-O-15:1)+HCO2",0,0,0,0,0,0,0,"10.5101439393939","10.8101439393939","492","","Cer-EODS(d14:0/16:2-O-15:1)+HCO2","762.6248","716.6193","494.4209","292.2282","239.2017","266.2126","183.1754","10.5101439393939","10.8101439393939","492"
"","Cer-EODS(d14:0/16:2-O-15:1)+HCO2",0,0,0,0,0,0,0,"10.9706818181818","11.2706818181818","1958","","Cer-EODS(d14:0/16:2-O-15:1)+HCO2",0,0,0,0,0,0,0,"10.9706818181818","11.2706818181818","1958","","Cer-EODS(d14:0/16:2-O-15:1)+HCO2",0,0,0,0,0,0,0,"10.9706818181818","11.2706818181818","1958","","Cer-EODS(d14:0/16:2-O-15:1)+HCO2",0,0,0,0,0,0,0,"10.9706818181818","11.2706818181818","1958","","Cer-EODS(d14:0/16:2-O-15:1)+HCO2",0,0,0,0,0,0,0,"10.9706818181818","11.2706818181818","1958","","Cer-EODS(d14:0/16:2-O-15:1)+HCO2","762.6248","716.6193","494.4209","292.2282","239.2017","266.2126","183.1754","10.9706818181818","11.2706818181818","1958"
