"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer-BDS","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer-BDS","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","Number of Scans","Cer-BDS","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","Max Intensity","Cer-BDS","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","Average m/z","Cer-BDS","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer-BDS","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment"
"","Cer-BDS(d19:0/24:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d19:0/24:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d19:0/24:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d19:0/24:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d19:0/24:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d19:0/24:0)-H","680.6557","356.317","324.2908","314.3065","253.2537","11.7277909090909","12.0277909090909","1062"
"","Cer-BDS(d19:0/24:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d19:0/24:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d19:0/24:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d19:0/24:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d19:0/24:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d19:0/24:1)-H","678.64","356.317","324.2908","314.3065","253.2537","10.9600636363636","11.2600636363636","1038"
"","Cer-BDS(d20:0/23:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d20:0/23:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d20:0/23:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d20:0/23:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d20:0/23:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d20:0/23:0)-H","680.6557","370.3327","338.3065","328.3221","267.2693","11.7277909090909","12.0277909090909","1062"
"","Cer-BDS(d20:0/23:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d20:0/23:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d20:0/23:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d20:0/23:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d20:0/23:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d20:0/23:1)-H","678.64","370.3327","338.3065","328.3221","267.2693","10.9600636363636","11.2600636363636","1038"
"","Cer-BDS(d21:0/22:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d21:0/22:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d21:0/22:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d21:0/22:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d21:0/22:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d21:0/22:0)-H","680.6557","384.3483","352.3221","342.3378","281.285","11.7277909090909","12.0277909090909","1062"
"","Cer-BDS(d21:0/22:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d21:0/22:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d21:0/22:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d21:0/22:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d21:0/22:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d21:0/22:1)-H","678.64","384.3483","352.3221","342.3378","281.285","10.9600636363636","11.2600636363636","1038"
"","Cer-BDS(d22:0/21:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d22:0/21:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d22:0/21:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d22:0/21:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d22:0/21:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d22:0/21:0)-H","680.6557","398.364","366.3378","356.3534","295.3007","11.7277909090909","12.0277909090909","1062"
"","Cer-BDS(d22:0/21:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d22:0/21:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d22:0/21:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d22:0/21:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d22:0/21:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d22:0/21:1)-H","678.64","398.364","366.3378","356.3534","295.3007","10.9600636363636","11.2600636363636","1038"
"","Cer-BDS(d23:0/20:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d23:0/20:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d23:0/20:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d23:0/20:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d23:0/20:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d23:0/20:0)-H","680.6557","412.3796","380.3534","370.369","309.3163","11.7277909090909","12.0277909090909","1062"
"","Cer-BDS(d23:0/20:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d23:0/20:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d23:0/20:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d23:0/20:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d23:0/20:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d23:0/20:1)-H","678.64","412.3796","380.3534","370.369","309.3163","10.9600636363636","11.2600636363636","1038"
